,feat,cluster,pw_entr,feat_n,N,group,relrole
37,amod> ...,0,0.006,6,206,Arthropod__phylum,taxongroup_comment
38,amod> Huntsman,0,0.175,13,206,Arthropod__phylum,taxongroup_comment
39,amod> huntsman,0,0.011,2,206,Arthropod__phylum,taxongroup_comment
48,amod>advmod> ...,0,0.009,1,206,Arthropod__phylum,taxongroup_comment
49,appos< ...,0,0.001,1,206,Arthropod__phylum,taxongroup_comment
84,appos> ...,0,0.023,4,206,Arthropod__phylum,taxongroup_comment
85,appos> Reproduction,0,0.028,2,206,Arthropod__phylum,taxongroup_comment
86,appos> Salticidae,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
87,appos> behavior,0,0.042,3,206,Arthropod__phylum,taxongroup_comment
89,appos> description,0,0.028,2,206,Arthropod__phylum,taxongroup_comment
122,case> of,0,-0.005,1,206,Arthropod__phylum,taxongroup_comment
129,cc> or,0,0.005,1,206,Arthropod__phylum,taxongroup_comment
132,compound< ...,0,0.092,9,206,Arthropod__phylum,taxongroup_comment
133,compound< family,0,0.052,4,206,Arthropod__phylum,taxongroup_comment
134,compound< food,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
135,compound< group,0,0.022,2,206,Arthropod__phylum,taxongroup_comment
136,compound< phylum,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
137,compound< prey,0,0.022,2,206,Arthropod__phylum,taxongroup_comment
138,compound< species,0,0.073,6,206,Arthropod__phylum,taxongroup_comment
139,compound<acl:relcl> ...,0,0.009,1,206,Arthropod__phylum,taxongroup_comment
141,compound<acl:relcl>nsubj> which,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
142,compound<amod> ...,0,0.039,4,206,Arthropod__phylum,taxongroup_comment
143,compound<amod> largest,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
145,compound<amod> most,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
147,compound<appos> ...,0,0.019,2,206,Arthropod__phylum,taxongroup_comment
148,compound<case> ...,0,0.035,3,206,Arthropod__phylum,taxongroup_comment
149,compound<case> in,0,0.019,2,206,Arthropod__phylum,taxongroup_comment
150,compound<case> of,0,0.151,11,206,Arthropod__phylum,taxongroup_comment
151,compound<compound> ...,0,0.018,2,206,Arthropod__phylum,taxongroup_comment
152,compound<conj< ...,0,0.006,1,206,Arthropod__phylum,taxongroup_comment
153,compound<conj<conj> ...,0,0.003,1,206,Arthropod__phylum,taxongroup_comment
154,compound<conj> ...,0,0.005,1,206,Arthropod__phylum,taxongroup_comment
155,compound<conj>cc> ...,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
158,compound<det> all,0,0.028,2,206,Arthropod__phylum,taxongroup_comment
159,compound<det> the,0,0.081,7,206,Arthropod__phylum,taxongroup_comment
161,compound<nmod:poss> they,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
162,compound<nmod< ...,0,0.123,9,206,Arthropod__phylum,taxongroup_comment
163,compound<nmod< distribution,0,0.042,3,206,Arthropod__phylum,taxongroup_comment
164,compound<nmod<amod> ...,0,0.042,3,206,Arthropod__phylum,taxongroup_comment
165,compound<nmod<case> ...,0,0.014,1,206,Arthropod__phylum,taxongroup_comment
166,compound<nmod<case> for,0,0.042,3,206,Arthropod__phylum,taxongroup_comment
167,compound<nmod<det> ...,0,0.014,1,206,Arthropod__phylum,taxongroup_comment
168,compound<nmod<det> the,0,0.094,7,206,Arthropod__phylum,taxongroup_comment
169,compound<nmod<obj< ...,0,0.028,2,206,Arthropod__phylum,taxongroup_comment
170,compound<nmod<obj< show,0,0.042,3,206,Arthropod__phylum,taxongroup_comment
182,compound<nsubj:pass< ...,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
183,compound<nsubj:pass< call,0,0.011,1,206,Arthropod__phylum,taxongroup_comment
184,compound<nsubj:pass<aux:pass> be,0,0.022,2,206,Arthropod__phylum,taxongroup_comment
