feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
list<list> bat,0.956,0.0,0.577,0.134,2,Bat__order,adaptation_topic
conj<conj> ...,0.93,0.001,0.577,0.134,2,Bat__order,adaptation_topic
conj<conj> bat,0.92,0.001,0.577,0.134,6,Bat__order,adaptation_topic
list<list> australis,0.915,0.001,0.577,0.134,2,Bat__order,adaptation_topic
nsubj<conj>appos> ...,0.905,0.002,0.577,0.134,3,Bat__order,adaptation_topic
nsubj<obj>det> a,0.859,0.006,0.577,0.134,2,Bat__order,adaptation_topic
appos<appos>compound> Syconycteris,0.851,0.007,0.577,0.134,2,Bat__order,adaptation_topic
conj< ...,0.837,0.01,0.764,0.027,5,Bat__order,adaptation_topic
appos<appos> australis,0.835,0.01,0.577,0.134,2,Bat__order,adaptation_topic
conj<appos>compound> ...,0.831,0.011,0.655,0.078,3,Bat__order,adaptation_topic
nsubj<conj>acl:relcl> ...,0.827,0.011,0.655,0.078,3,Bat__order,adaptation_topic
nmod< ...,0.818,0.013,0.577,0.134,9,Bat__order,adaptation_topic
nmod< species,0.809,0.015,0.546,0.162,3,Bat__order,adaptation_topic
case> such,0.808,0.015,0.756,0.03,2,Bat__order,adaptation_topic
nsubj<obj>det> the,0.8,0.017,0.756,0.03,2,Bat__order,adaptation_topic
cop> be,0.788,0.02,0.764,0.027,4,Bat__order,adaptation_topic
appos<appos<conj> ...,0.768,0.026,0.577,0.134,3,Bat__order,adaptation_topic
nsubj<obj>amod> ...,0.754,0.031,0.764,0.027,3,Bat__order,adaptation_topic
appos>compound> ...,0.75,0.032,0.536,0.171,5,Bat__order,adaptation_topic
appos>compound> Syconycteris,0.74,0.036,0.733,0.039,3,Bat__order,adaptation_topic
nsubj<advmod> ...,-0.74,0.036,-0.577,0.134,4,Bat__order,adaptation_topic
case> by,0.74,0.036,0.577,0.134,2,Bat__order,adaptation_topic
case> in,0.732,0.039,0.577,0.134,4,Bat__order,adaptation_topic
case> of,0.731,0.039,0.577,0.134,10,Bat__order,adaptation_topic
nmod<det> a,0.73,0.04,0.577,0.134,4,Bat__order,adaptation_topic
nmod< colony,0.727,0.041,0.577,0.134,2,Bat__order,adaptation_topic
conj>cc> and,0.723,0.043,0.756,0.03,2,Bat__order,adaptation_topic
nmod<det> the,0.72,0.044,0.577,0.134,6,Bat__order,adaptation_topic
compound> ...,0.719,0.044,0.593,0.121,11,Bat__order,adaptation_topic
nsubj<advcl> ...,0.715,0.046,0.577,0.134,1,Bat__order,adaptation_topic
nsubj<advcl< ...,0.714,0.047,0.577,0.134,3,Bat__order,adaptation_topic
nsubj> ...,0.712,0.048,0.577,0.134,1,Bat__order,adaptation_topic
nsubj<conj>det> the,0.698,0.054,0.327,0.429,5,Bat__order,adaptation_topic
nmod<compound> ...,-0.698,0.054,-0.655,0.078,3,Bat__order,adaptation_topic
nmod<amod> ...,0.686,0.06,0.764,0.027,5,Bat__order,adaptation_topic
nsubj>det> the,0.684,0.061,0.764,0.027,4,Bat__order,adaptation_topic
appos<conj>cc> ...,0.672,0.068,0.577,0.134,1,Bat__order,adaptation_topic
amod>amod> free,-0.655,0.078,-0.385,0.346,5,Bat__order,adaptation_topic
case> like,0.654,0.078,0.577,0.134,2,Bat__order,adaptation_topic
conj> species,0.651,0.081,0.63,0.094,2,Bat__order,adaptation_topic
conj<appos> ...,0.649,0.081,0.577,0.134,2,Bat__order,adaptation_topic
nsubj<det> a,0.647,0.083,0.577,0.134,4,Bat__order,adaptation_topic
nsubj:pass<obl>case> ...,0.641,0.087,0.577,0.134,4,Bat__order,adaptation_topic
nsubj<det> ...,0.633,0.092,0.577,0.134,1,Bat__order,adaptation_topic
det> the,0.63,0.094,0.675,0.066,38,Bat__order,adaptation_topic
nsubj< eat,0.628,0.095,0.412,0.31,2,Bat__order,adaptation_topic
list<list>compound> ...,0.628,0.096,0.577,0.134,1,Bat__order,adaptation_topic
list<appos>flat> carolinae,0.626,0.097,0.577,0.134,2,Bat__order,adaptation_topic
det> a,0.624,0.098,0.655,0.078,3,Bat__order,adaptation_topic
conj<appos>det> the,0.62,0.101,0.733,0.039,3,Bat__order,adaptation_topic
amod>advmod> ...,0.618,0.102,0.504,0.203,2,Bat__order,adaptation_topic
nsubj> bat,0.609,0.109,0.436,0.28,3,Bat__order,adaptation_topic
nsubj< ...,0.605,0.112,0.626,0.097,14,Bat__order,adaptation_topic
obl<obl>case> ...,0.598,0.117,0.577,0.134,1,Bat__order,adaptation_topic
obl<obl> region,0.594,0.12,0.577,0.134,2,Bat__order,adaptation_topic
conj<conj>cc> and,0.591,0.123,0.577,0.134,2,Bat__order,adaptation_topic
appos<conj> bat,0.588,0.126,0.514,0.192,3,Bat__order,adaptation_topic
nsubj<obl>case> for,0.586,0.127,0.577,0.134,2,Bat__order,adaptation_topic
appos>amod> ...,-0.573,0.138,-0.591,0.123,7,Bat__order,adaptation_topic
nsubj:pass<aux:pass> be,-0.572,0.139,-0.546,0.162,5,Bat__order,adaptation_topic
conj<parataxis> have,0.569,0.141,0.577,0.134,3,Bat__order,adaptation_topic
nsubj>amod> ...,0.561,0.148,0.577,0.134,2,Bat__order,adaptation_topic
nsubj<conj> bat,0.56,0.149,0.577,0.134,3,Bat__order,adaptation_topic
case> ...,0.556,0.152,0.385,0.346,4,Bat__order,adaptation_topic
appos> behavior,0.551,0.157,0.577,0.134,4,Bat__order,adaptation_topic
conj<conj>cc> ...,0.541,0.166,0.577,0.134,1,Bat__order,adaptation_topic
nmod<case> ...,0.537,0.17,0.412,0.31,2,Bat__order,adaptation_topic
nmod<case> in,0.536,0.171,0.412,0.31,2,Bat__order,adaptation_topic
conj>cc> or,0.535,0.172,0.514,0.192,3,Bat__order,adaptation_topic
nsubj<obl>case> ...,0.523,0.184,0.481,0.227,4,Bat__order,adaptation_topic
compound> fruit,0.521,0.186,0.396,0.332,11,Bat__order,adaptation_topic
appos<conj>cc> and,0.517,0.19,0.218,0.604,3,Bat__order,adaptation_topic
cc> or,0.508,0.199,0.504,0.203,2,Bat__order,adaptation_topic
obl< ...,0.505,0.202,0.481,0.227,9,Bat__order,adaptation_topic
parataxis<conj>det> the,0.502,0.205,0.577,0.134,3,Bat__order,adaptation_topic
appos> biology,0.5,0.207,0.577,0.134,4,Bat__order,adaptation_topic
conj<parataxis> bat,0.499,0.209,0.412,0.31,3,Bat__order,adaptation_topic
nsubj< bat,0.496,0.211,0.412,0.31,3,Bat__order,adaptation_topic
conj> ...,0.496,0.211,0.252,0.547,6,Bat__order,adaptation_topic
conj> bat,0.495,0.212,0.252,0.547,2,Bat__order,adaptation_topic
conj<appos>appos> ...,0.493,0.215,0.218,0.604,4,Bat__order,adaptation_topic
list<list>compound> Syconycteris,0.492,0.216,0.577,0.134,3,Bat__order,adaptation_topic
compound> vesper,0.486,0.222,0.63,0.094,2,Bat__order,adaptation_topic
nsubj<obj> eye,0.48,0.229,0.504,0.203,2,Bat__order,adaptation_topic
appos> auritus,0.474,0.235,0.252,0.547,2,Bat__order,adaptation_topic
appos> australis,0.471,0.239,0.109,0.797,3,Bat__order,adaptation_topic
conj<det> the,0.468,0.242,0.504,0.203,2,Bat__order,adaptation_topic
conj<amod> ...,0.466,0.245,0.218,0.604,3,Bat__order,adaptation_topic
list>compound> blossom,-0.46,0.251,-0.577,0.134,2,Bat__order,adaptation_topic
amod> ...,0.456,0.256,0.764,0.027,20,Bat__order,adaptation_topic
list<compound> blossom,-0.455,0.257,-0.577,0.134,2,Bat__order,adaptation_topic
nsubj<conj>nmod> ...,0.454,0.259,0.412,0.31,3,Bat__order,adaptation_topic
conj<appos> bat,0.441,0.274,0.252,0.547,2,Bat__order,adaptation_topic
amod>obl:npmod> free,-0.441,0.274,-0.313,0.45,10,Bat__order,adaptation_topic
amod> mexican,-0.437,0.28,-0.247,0.555,14,Bat__order,adaptation_topic
conj<parataxis>det> the,0.433,0.284,0.412,0.31,3,Bat__order,adaptation_topic
appos<amod> ...,-0.43,0.288,-0.44,0.275,4,Bat__order,adaptation_topic
nsubj<obj> ...,0.427,0.292,0.109,0.797,6,Bat__order,adaptation_topic
appos<conj>amod> ...,0.425,0.293,0.296,0.476,5,Bat__order,adaptation_topic
amod> taile,-0.425,0.294,-0.536,0.171,16,Bat__order,adaptation_topic
conj<parataxis>cop> be,0.422,0.298,0.412,0.31,3,Bat__order,adaptation_topic
appos>compound> Plecotus,0.42,0.3,0.252,0.547,2,Bat__order,adaptation_topic
conj>cc> ...,0.417,0.304,0.412,0.31,1,Bat__order,adaptation_topic
nsubj<conj>cc> ...,0.417,0.304,0.412,0.31,2,Bat__order,adaptation_topic
appos< bat,0.415,0.306,0.479,0.23,7,Bat__order,adaptation_topic
