,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
8,Bat-2d5b_355_bat-53,bat,Bat#order,nsubj<,live,VERB,54,nsubj< ...,0.39582069587031354,-0.2120633866609225,Bat__order,adaptation_topic,1,18
6,Bat-2d5b_355_bat-9,bat,Bat#order,nsubj<,fly,VERB,10,nsubj< ...,0.48656576020948705,-0.06998604534546489,Bat__order,adaptation_topic,1,18
3,Com-a11e_3_bat-4,bat,Common_Blossom_Bat#species,nsubj<,feed,VERB,5,nsubj< ...,0.5137052569506432,-0.14454038577155073,Bat__order,adaptation_topic,1,18
16,Com-a11e_2_bat-4,bat,Common_Blossom_Bat#species,nsubj<,megabat,NOUN,23,nsubj< ...,0.3695218104861938,-0.11427392518346255,Bat__order,adaptation_topic,1,18
3,Bro-acd0_21_bats-5,bats,Bat#order,nsubj<,have,VERB,6,nsubj< have,0.41777034264606216,-0.021972267014568704,Bat__order,adaptation_topic,1,18
5,Bro-acd0_5_bat-7,bat,Bat#order,nsubj<,have,VERB,8,nsubj< have,0.41777034264606216,-0.021972267014568704,Bat__order,adaptation_topic,1,18
8,Bro-acd0_2_bat-6,bat,Brown_long-eared_bat#species,conj>,bat,NOUN,12,conj> bat,-0.48809552899744346,-0.15136059021832962,Bat__order,adaptation_topic,1,18
16,Bro-acd0_2_bat-6,bat,Brown_long-eared_bat#species,nsubj<,bat,NOUN,22,nsubj< bat,0.3656190591169294,-0.0642576547520343,Bat__order,adaptation_topic,1,18
2,Bul-4be2_8_bats-3,bats,Bat#order,nsubj<,have,VERB,4,nsubj< have,0.41777034264606216,-0.021972267014568704,Bat__order,adaptation_topic,1,18
7,Bul-4be2_3_bat-4,bat,Bat#order,nsubj<,belong,VERB,11,nsubj< ...,0.19300621720297145,-0.19753448556393116,Bat__order,adaptation_topic,1,18
7,Bul-4be2_21_bats-15,bats,Bat#order,nsubj<,eat,VERB,17,nsubj< eat,0.4828306607446122,-0.1754315299387405,Bat__order,adaptation_topic,1,18
8,Str-48f8_6_bats-28,bats,Bat#order,nsubj<,congregate,VERB,29,nsubj< ...,0.4501615145958257,-0.06770912482209947,Bat__order,adaptation_topic,1,18
10,Str-48f8_2_bat-6,bat,Bat#order,nsubj<,bat,NOUN,15,nsubj< bat,0.3656190591169294,-0.0642576547520343,Bat__order,adaptation_topic,1,18
8,Str-48f8_19_bat-6,bat,Bat#order,nsubj<,species,NOUN,11,nsubj< ...,0.2697981817288356,-0.1505602726190659,Bat__order,adaptation_topic,1,18
9,Str-48f8_38_bat-6,bat,Bat#order,nsubj<,bat,NOUN,13,nsubj< bat,0.3656190591169294,-0.0642576547520343,Bat__order,adaptation_topic,1,18
3,Hor-ab9c_134_bats-3,bats,Horseshoe_bat#family,nsubj<,catch,VERB,5,nsubj< ...,0.4068309143893059,-0.005811103395278426,Bat__order,adaptation_topic,1,18
3,Hor-ab9c_155_bat-4,bat,Horseshoe_bat#family,nsubj<,have,VERB,5,nsubj< have,0.41777034264606216,-0.021972267014568704,Bat__order,adaptation_topic,1,18
2,Com-8568_28_bats-3,bats,Bat#order,nsubj<,hibernate,VERB,4,nsubj< ...,0.5372653724241537,-0.12486183488152462,Bat__order,adaptation_topic,1,18
3,Com-8568_37_bats-3,bats,Bat#order,nsubj<,eat,VERB,5,nsubj< eat,0.4828306607446122,-0.1754315299387405,Bat__order,adaptation_topic,1,18
0,Com-a11e_13_bat-3,bat,Common_Blossom_Bat#species,amod>,common,ADJ,1,amod> common,0.36770606842055187,-0.1561277877227383,Bat__order,adaptation_topic,3,20
2,Com-a11e_13_bat-3,bat,Common_Blossom_Bat#species,appos>,behaviour,PROPN,5,appos> ...,0.24369794537423728,0.4037617340733237,Bat__order,adaptation_topic,3,20
0,Com-a11e_9_bat-3,bat,Common_Blossom_Bat#species,amod>,common,ADJ,1,amod> common,0.36770606842055187,-0.1561277877227383,Bat__order,adaptation_topic,3,20
