,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Acc-0f45_121_bats-24,bats,Bat#order,amod>,hunting,VERB,23,amod> ...,-0.41839117265281134,0.20804615381408276,Bat__order,free_topic,5,78
5,Ani-4d8b_285_bats-14,bats,Bat#order,amod>,mustach,VERB,13,amod> ...,-0.6012713909455906,-0.12390193687597657,Bat__order,free_topic,5,78
5,Ani-ab87_91_bats-7,bats,Bat#order,det>,some,DET,6,det> some,0.5364857085698783,-0.47142565283636045,Bat__order,free_topic,5,78
4,Bar-b361_181_bat-9,bat,Bat#order,det>,the,DET,5,det> the,0.5743234477925332,-0.47467920203098735,Bat__order,free_topic,5,78
5,Bar-b361_181_bat-9,bat,Bat#order,amod>,greater,ADJ,6,amod> greater,-0.5287888177817022,0.20516012117581536,Bat__order,free_topic,5,78
6,Bar-b361_181_bat-9,bat,Bat#order,amod>,false,ADJ,7,amod> ...,-0.4896441106708623,-0.028638508655265925,Bat__order,free_topic,5,78
0,Bar-b361_181_bats-2,bats,Bat#order,amod>,Predatory,ADJ,1,amod> ...,-0.24927398441127815,0.16079651779582665,Bat__order,free_topic,5,78
6,Bat9ca6_13_bats-11,bats,Bat#order,amod>,greater,ADJ,7,amod> greater,-0.5287888177817022,0.20516012117581536,Bat__order,free_topic,5,78
8,Bat9ca6_13_bats-11,bats,Bat#order,amod>,eare,VERB,10,amod> eare,-0.3761180022363215,-0.014106123461685521,Bat__order,free_topic,5,78
7,Birb966_42_bats-21,bats,Bat#order,amod>,eat,VERB,20,amod> eat,-0.6190279482989294,0.06385456432395659,Bat__order,free_topic,5,78
8,Birb966_42_bats-21,bats,Bat#order,conj>cc>,and,CCONJ,22,conj>cc> and,0.5715883195802882,-0.19140488907540873,Bat__order,free_topic,5,78
2,Bro-acd0_12_bats-5,bats,Bat#order,amod>,eare,VERB,4,amod> eare,-0.3761180022363215,-0.014106123461685521,Bat__order,free_topic,5,78
4,Brod534_2_bat-11,bat,Bat#order,det>,the,DET,10,det> the,0.5743234477925332,-0.47467920203098735,Bat__order,free_topic,5,78
2,Bul-4be2_16_bats-4,bats,Bat#order,amod>,other,ADJ,3,amod> other,-0.6461323282086568,0.11220388534378703,Bat__order,free_topic,5,78
5,Com-2ad3_102_bat-16,bat,Bat#order,det>,the,DET,12,det> the,0.5743234477925332,-0.47467920203098735,Bat__order,free_topic,5,78
7,Com-2ad3_102_bat-16,bat,Bat#order,amod>,infect,ADJ,14,amod> ...,-0.42583320140810493,0.165822401431292,Bat__order,free_topic,5,78
0,Com-2ad3_104_bats-2,bats,Bat#order,amod>,fruit,ADJ,1,amod> ...,-0.5411453123960269,-0.009220520649780808,Bat__order,free_topic,5,78
