,feat,cluster,pw_entr,feat_n,N,group,relrole
1,amod< ...,0,0.0,3,38,Bat__order,adaptation_comment
2,amod< structure,0,0.049,2,38,Bat__order,adaptation_comment
3,amod<acl:relcl>nmod> ...,0,0.127,3,38,Bat__order,adaptation_comment
4,amod<amod> ...,0,0.0,1,38,Bat__order,adaptation_comment
5,amod<case> ...,0,0.042,1,38,Bat__order,adaptation_comment
6,amod<case> of,0,0.006,1,38,Bat__order,adaptation_comment
8,amod<case> with,0,0.014,1,38,Bat__order,adaptation_comment
9,amod<compound> ...,0,0.006,1,38,Bat__order,adaptation_comment
11,amod<det> a,0,0.064,2,38,Bat__order,adaptation_comment
13,amod<nmod< ...,0,0.014,1,38,Bat__order,adaptation_comment
14,amod<nmod< one,0,0.024,1,38,Bat__order,adaptation_comment
15,amod<nmod<nmod> ...,0,0.014,1,38,Bat__order,adaptation_comment
16,amod<nmod<nmod> number,0,0.024,1,38,Bat__order,adaptation_comment
18,amod<nmod<nsubj> it,0,0.024,1,38,Bat__order,adaptation_comment
19,amod<obj< ...,0,0.014,1,38,Bat__order,adaptation_comment
20,amod<obl< ...,0,0.006,1,38,Bat__order,adaptation_comment
23,case> during,0,0.014,1,38,Bat__order,adaptation_comment
24,compound< ...,0,0.087,3,38,Bat__order,adaptation_comment
26,compound<case> ...,0,0.073,3,38,Bat__order,adaptation_comment
28,compound<nmod< ...,0,0.049,2,38,Bat__order,adaptation_comment
29,compound<obl< ...,0,0.006,1,38,Bat__order,adaptation_comment
36,det> this,0,0.014,1,38,Bat__order,adaptation_comment
37,nmod< ...,0,0.006,1,38,Bat__order,adaptation_comment
40,nsubj:pass< ...,0,0.014,1,38,Bat__order,adaptation_comment
41,nsubj:pass<aux:pass> be,0,0.014,1,38,Bat__order,adaptation_comment
42,nsubj:pass<obl> ...,0,0.014,1,38,Bat__order,adaptation_comment
44,nsubj:pass<obl>case> in,0,0.024,1,38,Bat__order,adaptation_comment
55,amod< ...,1,0.221,5,23,Bat__order,adaptation_comment
56,amod< structure,1,0.032,1,23,Bat__order,adaptation_comment
64,amod<det> ...,1,0.062,1,23,Bat__order,adaptation_comment
73,amod<obj< ...,1,0.044,1,23,Bat__order,adaptation_comment
78,compound< ...,1,0.104,2,23,Bat__order,adaptation_comment
79,compound< site,1,0.276,3,23,Bat__order,adaptation_comment
80,compound<case> ...,1,0.186,3,23,Bat__order,adaptation_comment
81,compound<case> to,1,0.184,2,23,Bat__order,adaptation_comment
82,compound<nmod< ...,1,0.124,2,23,Bat__order,adaptation_comment
83,compound<obl< ...,1,0.239,3,23,Bat__order,adaptation_comment
129,amod> ...,2,1.181,3,6,Bat__order,adaptation_comment
130,case> ...,2,0.309,1,6,Bat__order,adaptation_comment
138,compound> ...,2,0.394,1,6,Bat__order,adaptation_comment
145,nmod< ...,2,0.346,1,6,Bat__order,adaptation_comment
162,advmod> ...,3,0.309,3,18,Bat__order,adaptation_comment
183,amod> ...,3,0.095,2,18,Bat__order,adaptation_comment
193,conj> ...,3,0.123,2,18,Bat__order,adaptation_comment
195,conj>cc> and,3,0.054,1,18,Bat__order,adaptation_comment
196,cop> be,3,0.401,4,18,Bat__order,adaptation_comment
208,nsubj> ...,3,0.093,1,18,Bat__order,adaptation_comment
209,nsubj> bat,3,0.217,2,18,Bat__order,adaptation_comment
210,nsubj> majority,3,0.093,1,18,Bat__order,adaptation_comment
211,nsubj>compound> ...,3,0.217,2,18,Bat__order,adaptation_comment
217,amod< ...,4,-0.026,1,24,Bat__order,adaptation_comment
224,amod<case> with,4,0.041,1,24,Bat__order,adaptation_comment
225,amod<compound> ...,4,0.029,1,24,Bat__order,adaptation_comment
236,amod<obl< ...,4,0.029,1,24,Bat__order,adaptation_comment
238,case> ...,4,0.096,2,24,Bat__order,adaptation_comment
239,case> during,4,0.139,2,24,Bat__order,adaptation_comment
252,det> this,4,0.041,1,24,Bat__order,adaptation_comment
253,nmod< ...,4,0.029,1,24,Bat__order,adaptation_comment
266,obl< ...,4,0.223,3,24,Bat__order,adaptation_comment
267,obl<nsubj> ...,4,0.259,3,24,Bat__order,adaptation_comment
268,obl<obl> ...,4,0.346,4,24,Bat__order,adaptation_comment
269,obl<obl>case> ...,4,0.346,4,24,Bat__order,adaptation_comment
291,amod> ...,5,0.266,4,21,Bat__order,adaptation_comment
292,case> ...,5,0.123,2,21,Bat__order,adaptation_comment
300,compound> ...,5,0.053,1,21,Bat__order,adaptation_comment
305,det> ...,5,0.105,1,21,Bat__order,adaptation_comment
307,nmod< ...,5,0.039,1,21,Bat__order,adaptation_comment
308,nmod> ...,5,0.172,2,21,Bat__order,adaptation_comment
309,nmod>case> ...,5,0.172,2,21,Bat__order,adaptation_comment
310,nsubj:pass< ...,5,0.053,1,21,Bat__order,adaptation_comment
