,feat,cluster,pw_entr,feat_n,N,group,relrole
2,amod> ...,0,-0.003,3,165,Bat__order,adaptation_topic
3,amod> brown,0,0.002,1,165,Bat__order,adaptation_topic
4,amod> colou,0,0.004,2,165,Bat__order,adaptation_topic
5,amod> common,0,0.005,3,165,Bat__order,adaptation_topic
6,amod> eared,0,0.003,2,165,Bat__order,adaptation_topic
7,amod> free,0,0.004,1,165,Bat__order,adaptation_topic
8,amod> greater,0,0.016,3,165,Bat__order,adaptation_topic
9,amod> mexican,0,-0.003,2,165,Bat__order,adaptation_topic
10,amod> nose,0,0.006,1,165,Bat__order,adaptation_topic
12,amod> taile,0,0.001,3,165,Bat__order,adaptation_topic
14,amod>advmod> long,0,0.004,2,165,Bat__order,adaptation_topic
15,amod>amod> free,0,0.001,1,165,Bat__order,adaptation_topic
16,amod>amod> straw,0,0.021,2,165,Bat__order,adaptation_topic
17,amod>compound> ...,0,0.004,1,165,Bat__order,adaptation_topic
18,amod>obl:npmod> ...,0,0.004,1,165,Bat__order,adaptation_topic
19,amod>obl:npmod> free,0,-0.003,1,165,Bat__order,adaptation_topic
22,appos< bat,0,-0.001,1,165,Bat__order,adaptation_topic
33,appos<compound> ...,0,0.006,1,165,Bat__order,adaptation_topic
43,appos<det> the,0,0.001,1,165,Bat__order,adaptation_topic
48,appos> ...,0,-0.008,1,165,Bat__order,adaptation_topic
49,appos> auritus,0,0.006,1,165,Bat__order,adaptation_topic
56,appos>compound> ...,0,0.001,1,165,Bat__order,adaptation_topic
57,appos>compound> Plecotus,0,0.006,1,165,Bat__order,adaptation_topic
64,case> ...,0,0.013,2,165,Bat__order,adaptation_topic
66,case> by,0,0.021,2,165,Bat__order,adaptation_topic
67,case> in,0,0.042,4,165,Bat__order,adaptation_topic
68,case> like,0,0.021,2,165,Bat__order,adaptation_topic
69,case> of,0,0.105,10,165,Bat__order,adaptation_topic
70,case> such,0,0.006,1,165,Bat__order,adaptation_topic
72,cc> or,0,0.006,1,165,Bat__order,adaptation_topic
74,compound< species,0,0.002,1,165,Bat__order,adaptation_topic
75,compound<amod> ...,0,0.0,2,165,Bat__order,adaptation_topic
85,compound> ...,0,-0.004,1,165,Bat__order,adaptation_topic
89,compound> bulldog,0,0.004,2,165,Bat__order,adaptation_topic
90,compound> fruit,0,0.0,2,165,Bat__order,adaptation_topic
91,compound> horseshoe,0,0.038,6,165,Bat__order,adaptation_topic
93,compound> vampire,0,0.022,3,165,Bat__order,adaptation_topic
96,conj< bat,0,0.006,1,165,Bat__order,adaptation_topic
98,conj<amod> ...,0,0.016,2,165,Bat__order,adaptation_topic
119,conj<det> the,0,0.006,1,165,Bat__order,adaptation_topic
120,conj<nsubj< ...,0,0.002,1,165,Bat__order,adaptation_topic
121,conj<nsubj<amod> ...,0,0.031,3,165,Bat__order,adaptation_topic
143,det> the,0,-0.013,4,165,Bat__order,adaptation_topic
159,nmod< ...,0,0.094,9,165,Bat__order,adaptation_topic
160,nmod< colony,0,0.021,2,165,Bat__order,adaptation_topic
161,nmod< species,0,0.016,2,165,Bat__order,adaptation_topic
162,nmod<amod> ...,0,0.037,4,165,Bat__order,adaptation_topic
163,nmod<case> ...,0,0.021,2,165,Bat__order,adaptation_topic
164,nmod<case> in,0,0.021,2,165,Bat__order,adaptation_topic
165,nmod<compound> ...,0,0.004,1,165,Bat__order,adaptation_topic
166,nmod<det> a,0,0.042,4,165,Bat__order,adaptation_topic
167,nmod<det> the,0,0.063,6,165,Bat__order,adaptation_topic
168,nmod<nsubj< ...,0,0.057,6,165,Bat__order,adaptation_topic
169,nmod<nsubj<conj> ...,0,0.006,1,165,Bat__order,adaptation_topic
170,nmod<nsubj<conj> hunt,0,0.006,1,165,Bat__order,adaptation_topic
171,nmod<nsubj<nmod> ...,0,0.016,2,165,Bat__order,adaptation_topic
