,feat,cluster,pw_entr,feat_n,N,group,relrole
8,amod> ...,0,-0.006,1,243,Bat__order,taxongroup_topic
10,amod> common,0,0.047,9,243,Bat__order,taxongroup_topic
12,amod> greater,0,0.039,7,243,Bat__order,taxongroup_topic
16,amod> little,0,0.025,3,243,Bat__order,taxongroup_topic
17,amod> mexican,0,0.109,11,243,Bat__order,taxongroup_topic
18,amod> taile,0,0.115,11,243,Bat__order,taxongroup_topic
23,amod>amod> free,0,0.121,11,243,Bat__order,taxongroup_topic
31,amod>obl:npmod> hog,0,0.009,1,243,Bat__order,taxongroup_topic
36,appos< ...,0,0.0,1,243,Bat__order,taxongroup_topic
88,appos<case> ...,0,0.007,1,243,Bat__order,taxongroup_topic
124,appos<det> the,0,0.001,1,243,Bat__order,taxongroup_topic
130,appos<nmod< ...,0,0.012,1,243,Bat__order,taxongroup_topic
148,appos> ...,0,0.117,19,243,Bat__order,taxongroup_topic
149,appos> Taxonomy,0,0.047,4,243,Bat__order,taxongroup_topic
152,appos> behavior,0,0.047,4,243,Bat__order,taxongroup_topic
153,appos> biology,0,0.059,5,243,Bat__order,taxongroup_topic
154,appos> conservation,0,0.035,3,243,Bat__order,taxongroup_topic
155,appos> description,0,0.082,7,243,Bat__order,taxongroup_topic
156,appos> ecology,0,0.047,4,243,Bat__order,taxongroup_topic
157,appos> relationship,0,0.07,6,243,Bat__order,taxongroup_topic
159,appos>amod> ...,0,0.008,2,243,Bat__order,taxongroup_topic
161,appos>amod> external,0,0.023,2,243,Bat__order,taxongroup_topic
162,appos>amod> physical,0,0.023,2,243,Bat__order,taxongroup_topic
163,appos>appos> ...,0,0.044,5,243,Bat__order,taxongroup_topic
172,appos>conj> ...,0,0.032,3,243,Bat__order,taxongroup_topic
173,appos>conj> behavior,0,0.047,4,243,Bat__order,taxongroup_topic
174,appos>conj> ecology,0,0.07,6,243,Bat__order,taxongroup_topic
175,appos>conj> evolution,0,0.023,2,243,Bat__order,taxongroup_topic
176,appos>conj> habitat,0,0.023,2,243,Bat__order,taxongroup_topic
177,appos>conj>cc> and,0,0.195,17,243,Bat__order,taxongroup_topic
183,appos>nmod> human,0,0.07,6,243,Bat__order,taxongroup_topic
184,appos>nmod>case> ...,0,0.012,1,243,Bat__order,taxongroup_topic
185,appos>nmod>case> to,0,0.059,5,243,Bat__order,taxongroup_topic
201,compound< ...,0,0.011,2,243,Bat__order,taxongroup_topic
203,compound< species,0,0.009,2,243,Bat__order,taxongroup_topic
209,compound<case> of,0,0.016,2,243,Bat__order,taxongroup_topic
216,compound<nmod< ...,0,0.016,2,243,Bat__order,taxongroup_topic
217,compound<nmod<det> ...,0,0.012,1,243,Bat__order,taxongroup_topic
224,compound<nummod> ...,0,0.018,2,243,Bat__order,taxongroup_topic
225,compound<obj< ...,0,0.016,2,243,Bat__order,taxongroup_topic
226,compound<obj<nsubj> ...,0,0.009,1,243,Bat__order,taxongroup_topic
228,compound> ...,0,0.008,3,243,Bat__order,taxongroup_topic
229,compound> Horseshoe,0,0.211,18,243,Bat__order,taxongroup_topic
230,compound> blossom,0,0.009,2,243,Bat__order,taxongroup_topic
231,compound> bulldog,0,0.049,7,243,Bat__order,taxongroup_topic
233,compound> horseshoe,0,0.015,9,243,Bat__order,taxongroup_topic
237,compound> vampire,0,0.032,7,243,Bat__order,taxongroup_topic
240,compound>amod> bent,0,0.032,3,243,Bat__order,taxongroup_topic
242,compound>compound> lesser,0,0.083,8,243,Bat__order,taxongroup_topic
444,flat< ...,0,0.007,1,243,Bat__order,taxongroup_topic
487,nmod:poss> Kitti,0,0.009,1,243,Bat__order,taxongroup_topic
489,nmod:poss>case> 's,0,-0.001,1,243,Bat__order,taxongroup_topic
754,obj< -roosting,0,0.009,1,243,Bat__order,taxongroup_topic
758,obj<acl< cave,0,0.009,1,243,Bat__order,taxongroup_topic
837,amod> ...,1,0.004,3,135,Bat__order,taxongroup_topic
839,amod> common,1,0.005,2,135,Bat__order,taxongroup_topic
1057,compound> ...,1,0.013,2,135,Bat__order,taxongroup_topic
1059,compound> blossom,1,0.026,2,135,Bat__order,taxongroup_topic
1062,compound> horseshoe,1,-0.009,1,135,Bat__order,taxongroup_topic
1066,compound> vampire,1,0.019,3,135,Bat__order,taxongroup_topic
1070,compound>compound> ...,1,0.011,1,135,Bat__order,taxongroup_topic
1272,det> the,1,-0.01,1,135,Bat__order,taxongroup_topic
1276,list< Desmodontinae,1,0.076,3,135,Bat__order,taxongroup_topic
1277,list< bat,1,0.051,2,135,Bat__order,taxongroup_topic
1278,list<appos> Syconycteris,1,0.051,2,135,Bat__order,taxongroup_topic
1279,list<appos> puntajudensis,1,0.076,3,135,Bat__order,taxongroup_topic
1280,list<appos>compound> Desmodus,1,0.076,3,135,Bat__order,taxongroup_topic
1281,list<appos>flat> Moss,1,0.051,2,135,Bat__order,taxongroup_topic
1282,list<appos>flat> carolinae,1,0.051,2,135,Bat__order,taxongroup_topic
1283,list<compound> Halmahera,1,0.051,2,135,Bat__order,taxongroup_topic
1284,list<compound> blossom,1,0.051,2,135,Bat__order,taxongroup_topic
1285,list<compound> subfamilia,1,0.076,3,135,Bat__order,taxongroup_topic
1286,list<flat> Desmodus,1,0.076,3,135,Bat__order,taxongroup_topic
1287,list<flat> genus,1,0.076,3,135,Bat__order,taxongroup_topic
1288,list<list> archaeodapte,1,0.076,3,135,Bat__order,taxongroup_topic
1289,list<list> australis,1,0.051,2,135,Bat__order,taxongroup_topic
1290,list<list> bat,1,0.203,8,135,Bat__order,taxongroup_topic
1291,list<list> dracula,1,0.076,3,135,Bat__order,taxongroup_topic
1292,list<list> extant,1,0.076,3,135,Bat__order,taxongroup_topic
1293,list<list> extinct,1,0.229,9,135,Bat__order,taxongroup_topic
1294,list<list> puntajudensis,1,0.076,3,135,Bat__order,taxongroup_topic
1295,list<list> rotundus,1,0.076,3,135,Bat__order,taxongroup_topic
1296,list<list> stocki,1,0.076,3,135,Bat__order,taxongroup_topic
1297,list<list>amod> ...,1,0.025,1,135,Bat__order,taxongroup_topic
1298,list<list>amod> Desmodus,1,0.153,6,135,Bat__order,taxongroup_topic
1299,list<list>amod> common,1,0.076,3,135,Bat__order,taxongroup_topic
1300,list<list>amod> cuban,1,0.051,2,135,Bat__order,taxongroup_topic
1301,list<list>amod> giant,1,0.051,2,135,Bat__order,taxongroup_topic
1302,list<list>compound> ...,1,0.025,1,135,Bat__order,taxongroup_topic
1303,list<list>compound> Desmodus,1,0.229,9,135,Bat__order,taxongroup_topic
1304,list<list>compound> Syconycteris,1,0.076,3,135,Bat__order,taxongroup_topic
1305,list<list>compound> blossom,1,0.051,2,135,Bat__order,taxongroup_topic
1306,list<list>compound> rotundus,1,0.076,3,135,Bat__order,taxongroup_topic
1307,list<list>compound> vampire,1,0.153,6,135,Bat__order,taxongroup_topic
1584,obj< ...,1,0.008,1,135,Bat__order,taxongroup_topic
1592,obj<conj> bat,1,0.076,3,135,Bat__order,taxongroup_topic
1593,obj<conj>appos> ...,1,0.102,4,135,Bat__order,taxongroup_topic
1594,obj<conj>appos> bat,1,0.051,2,135,Bat__order,taxongroup_topic
1595,obj<conj>compound> ...,1,0.025,1,135,Bat__order,taxongroup_topic
1596,obj<conj>compound> horseshoe,1,0.076,3,135,Bat__order,taxongroup_topic
1599,obj<nsubj> ...,1,0.01,1,135,Bat__order,taxongroup_topic
1666,amod> ...,2,-0.005,2,152,Bat__order,taxongroup_topic
1667,amod> brown,2,0.009,1,152,Bat__order,taxongroup_topic
1670,amod> greater,2,-0.001,1,152,Bat__order,taxongroup_topic
1674,amod> little,2,0.009,1,152,Bat__order,taxongroup_topic
1686,amod>obl:npmod> ...,2,0.011,1,152,Bat__order,taxongroup_topic
1695,appos< bat,2,0.051,4,152,Bat__order,taxongroup_topic
1699,appos<amod> brown,2,0.087,4,152,Bat__order,taxongroup_topic
1701,appos<amod> eare,2,0.087,4,152,Bat__order,taxongroup_topic
1704,appos<amod>advmod> long,2,0.087,4,152,Bat__order,taxongroup_topic
1706,appos<appos< record,2,0.087,4,152,Bat__order,taxongroup_topic
1707,appos<appos<advcl> live,2,0.087,4,152,Bat__order,taxongroup_topic
1709,appos<appos<aux:pass> be,2,0.081,4,152,Bat__order,taxongroup_topic
1710,appos<appos<aux> have,2,0.087,4,152,Bat__order,taxongroup_topic
1713,appos<appos<nsubj:pass> species,2,0.087,4,152,Bat__order,taxongroup_topic
1715,appos<appos> Myotis,2,0.087,4,152,Bat__order,taxongroup_topic
1716,appos<appos> auritus,2,0.087,4,152,Bat__order,taxongroup_topic
1718,appos<appos> bat,2,0.23,12,152,Bat__order,taxongroup_topic
1726,appos<appos>amod> Siberian,2,0.065,3,152,Bat__order,taxongroup_topic
1727,appos<appos>amod> brown,2,0.065,3,152,Bat__order,taxongroup_topic
1728,appos<appos>amod> eare,2,0.065,3,152,Bat__order,taxongroup_topic
1729,appos<appos>amod> greater,2,0.065,3,152,Bat__order,taxongroup_topic
1730,appos<appos>amod> little,2,0.065,3,152,Bat__order,taxongroup_topic
1731,appos<appos>appos> Rhinolophus,2,0.065,3,152,Bat__order,taxongroup_topic
1732,appos<appos>appos> blythii,2,0.087,4,152,Bat__order,taxongroup_topic
1733,appos<appos>appos> lucifugus,2,0.065,3,152,Bat__order,taxongroup_topic
1734,appos<appos>appos> sibiricus,2,0.065,3,152,Bat__order,taxongroup_topic
1737,appos<appos>compound> Plecotus,2,0.087,4,152,Bat__order,taxongroup_topic
1740,appos<appos>compound> horseshoe,2,0.046,3,152,Bat__order,taxongroup_topic
1741,appos<appos>compound> lesser,2,0.065,3,152,Bat__order,taxongroup_topic
1744,appos<appos>det> the,2,0.255,12,152,Bat__order,taxongroup_topic
1762,appos<conj> fox,2,0.087,4,152,Bat__order,taxongroup_topic
1764,appos<conj>amod> indian,2,0.087,4,152,Bat__order,taxongroup_topic
1768,appos<conj>appos> giganteus,2,0.087,4,152,Bat__order,taxongroup_topic
1771,appos<conj>cc> and,2,0.054,4,152,Bat__order,taxongroup_topic
1773,appos<conj>compound> fly,2,0.087,4,152,Bat__order,taxongroup_topic
1777,appos<conj>det> the,2,0.063,4,152,Bat__order,taxongroup_topic
1782,appos<det> the,2,0.054,4,152,Bat__order,taxongroup_topic
1806,appos> ...,2,0.002,3,152,Bat__order,taxongroup_topic
1824,appos>compound> Myotis,2,0.044,2,152,Bat__order,taxongroup_topic
1838,appos>flat> ...,2,0.007,1,152,Bat__order,taxongroup_topic
1891,compound> horseshoe,2,-0.009,1,152,Bat__order,taxongroup_topic
1892,compound> lesser,2,0.011,1,152,Bat__order,taxongroup_topic
2101,det> the,2,-0.001,4,152,Bat__order,taxongroup_topic
2487,acl:relcl> ...,3,0.006,5,972,Bat__order,taxongroup_topic
2488,acl:relcl>advmod> ...,3,0.002,2,972,Bat__order,taxongroup_topic
2489,acl:relcl>advmod> where,3,0.003,2,972,Bat__order,taxongroup_topic
