feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod< species,0.968,0.0,0.764,0.027,5,Bird__class,adaptation_topic
conj<conj> mink,0.951,0.0,0.577,0.134,3,Bird__class,adaptation_topic
conj<conj> fox,0.945,0.0,0.577,0.134,4,Bird__class,adaptation_topic
conj<conj> weasel,0.94,0.001,0.577,0.134,3,Bird__class,adaptation_topic
nsubj:pass<obl>det> ...,0.939,0.001,0.577,0.134,1,Bird__class,adaptation_topic
nsubj:pass<obl>det> the,0.936,0.001,0.577,0.134,5,Bird__class,adaptation_topic
obl<mark> ...,0.917,0.001,0.845,0.008,3,Bird__class,adaptation_topic
conj<nsubj>det> the,0.915,0.001,0.577,0.134,2,Bird__class,adaptation_topic
compound<appos<case> such,-0.909,0.002,-0.577,0.134,3,Bird__class,adaptation_topic
acl:relcl>obl>case> on,0.899,0.002,0.577,0.134,2,Bird__class,adaptation_topic
conj<conj> ...,0.899,0.002,0.409,0.314,27,Bird__class,adaptation_topic
nmod< ...,0.896,0.003,0.577,0.134,21,Bird__class,adaptation_topic
conj>amod> golden,0.888,0.003,0.577,0.134,3,Bird__class,adaptation_topic
nmod< predator,0.885,0.003,0.764,0.027,11,Bird__class,adaptation_topic
conj<conj> hawk,0.88,0.004,0.577,0.134,4,Bird__class,adaptation_topic
conj<conj> skunk,0.878,0.004,0.577,0.134,3,Bird__class,adaptation_topic
appos<appos> marten,0.878,0.004,0.577,0.134,2,Bird__class,adaptation_topic
nmod< owl,0.875,0.004,0.577,0.134,2,Bird__class,adaptation_topic
conj<conj> owl,0.873,0.005,0.385,0.346,25,Bird__class,adaptation_topic
nmod:poss> Wilson,0.872,0.005,0.756,0.03,2,Bird__class,adaptation_topic
cc> ...,0.87,0.005,0.577,0.134,1,Bird__class,adaptation_topic
nmod< bird,0.87,0.005,0.577,0.134,2,Bird__class,adaptation_topic
nsubj< more,0.868,0.005,0.756,0.03,2,Bird__class,adaptation_topic
nmod<amod> southern,0.865,0.006,0.577,0.134,2,Bird__class,adaptation_topic
conj> eagle,0.859,0.006,0.764,0.027,5,Bird__class,adaptation_topic
conj>amod> Eurasian,0.858,0.006,0.655,0.078,4,Bird__class,adaptation_topic
