feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj< unable,0.953,0.0,0.577,0.134,2,Bird__class,taxongroup_topic
conj< ...,0.93,0.001,0.897,0.003,28,Bird__class,taxongroup_topic
conj<conj> ...,0.929,0.001,0.761,0.028,53,Bird__class,taxongroup_topic
nsubj<nmod>compound> ...,0.927,0.001,0.577,0.134,3,Bird__class,taxongroup_topic
conj<conj> amphibian,0.926,0.001,0.756,0.03,4,Bird__class,taxongroup_topic
conj<conj> mammal,0.925,0.001,0.866,0.005,5,Bird__class,taxongroup_topic
obl<nsubj>det> ...,0.922,0.001,0.577,0.134,1,Bird__class,taxongroup_topic
nmod>case> ...,0.917,0.001,0.756,0.03,2,Bird__class,taxongroup_topic
conj<conj> reptile,0.915,0.001,0.756,0.03,2,Bird__class,taxongroup_topic
nmod>case> from,0.912,0.002,0.756,0.03,2,Bird__class,taxongroup_topic
nsubj< one,0.909,0.002,0.577,0.134,2,Bird__class,taxongroup_topic
nsubj< ...,0.906,0.002,0.511,0.196,19,Bird__class,taxongroup_topic
nmod< ...,0.897,0.003,0.786,0.021,33,Bird__class,taxongroup_topic
nmod<case> for,0.893,0.003,0.577,0.134,2,Bird__class,taxongroup_topic
nsubj< bird,0.892,0.003,0.577,0.134,4,Bird__class,taxongroup_topic
obl<mark> that,0.89,0.003,0.577,0.134,3,Bird__class,taxongroup_topic
conj<conj> fox,0.889,0.003,0.733,0.039,3,Bird__class,taxongroup_topic
obl<mark> ...,0.888,0.003,0.577,0.134,2,Bird__class,taxongroup_topic
nsubj< lack,0.883,0.004,0.577,0.134,2,Bird__class,taxongroup_topic
conj<conj> snake,0.882,0.004,0.733,0.039,3,Bird__class,taxongroup_topic
nmod>conj> ...,0.871,0.005,0.511,0.196,20,Bird__class,taxongroup_topic
obl<obj>amod> ...,0.869,0.005,0.577,0.134,6,Bird__class,taxongroup_topic
nmod> ...,0.869,0.005,0.447,0.267,21,Bird__class,taxongroup_topic
nmod<case> with,0.869,0.005,0.764,0.027,3,Bird__class,taxongroup_topic
nmod<case> ...,0.859,0.006,0.548,0.16,6,Bird__class,taxongroup_topic
obl<nsubj> ...,0.856,0.007,0.327,0.429,9,Bird__class,taxongroup_topic
nsubj:pass<obl>det> a,0.85,0.008,0.577,0.134,3,Bird__class,taxongroup_topic
nsubj:pass<obl>det> the,0.85,0.008,0.577,0.134,3,Bird__class,taxongroup_topic
conj> mammal,0.843,0.009,0.546,0.162,6,Bird__class,taxongroup_topic
obl<nsubj>det> a,0.841,0.009,0.577,0.134,2,Bird__class,taxongroup_topic
conj> ...,0.839,0.009,0.509,0.197,28,Bird__class,taxongroup_topic
conj> reptile,0.838,0.009,0.577,0.134,2,Bird__class,taxongroup_topic
conj<conj> fish,0.836,0.01,0.866,0.005,6,Bird__class,taxongroup_topic
obl<nsubj> ring,0.835,0.01,0.577,0.134,2,Bird__class,taxongroup_topic
nmod< species,0.833,0.01,0.77,0.025,5,Bird__class,taxongroup_topic
nsubj<conj> ...,0.828,0.011,0.385,0.346,11,Bird__class,taxongroup_topic
obl<obl>amod> ...,-0.82,0.013,-0.764,0.027,3,Bird__class,taxongroup_topic
nsubj<nmod>amod> ...,0.813,0.014,0.577,0.134,3,Bird__class,taxongroup_topic
nmod:poss>case> 's,0.812,0.014,0.845,0.008,3,Bird__class,taxongroup_topic
conj<conj>cc> and,0.81,0.015,0.596,0.119,22,Bird__class,taxongroup_topic
