,feat,cluster,pw_entr,feat_n,N,group,relrole
13,acl> ...,0,0.006,1,169,Bird__class,adaptation_topic
14,acl>obl> ...,0,0.009,1,169,Bird__class,adaptation_topic
15,acl>obl>case> ...,0,0.017,1,169,Bird__class,adaptation_topic
19,advmod> ...,0,0.016,2,169,Bird__class,adaptation_topic
21,advmod>advmod> ...,0,0.013,1,169,Bird__class,adaptation_topic
22,advmod>advmod> most,0,0.013,1,169,Bird__class,adaptation_topic
23,amod> ...,0,0.019,6,169,Bird__class,adaptation_topic
28,amod> eared,0,-0.0,1,169,Bird__class,adaptation_topic
30,amod> great,0,-0.0,1,169,Bird__class,adaptation_topic
31,amod> horned,0,0.002,1,169,Bird__class,adaptation_topic
32,amod> northern,0,0.011,1,169,Bird__class,adaptation_topic
33,amod> other,0,0.029,2,169,Bird__class,adaptation_topic
35,amod>advmod> long,0,0.002,1,169,Bird__class,adaptation_topic
90,appos> Bubo,0,0.011,1,169,Bird__class,adaptation_topic
101,appos>flat> ...,0,0.013,1,169,Bird__class,adaptation_topic
104,case> ...,0,0.034,3,169,Bird__class,adaptation_topic
108,case> of,0,0.006,2,169,Bird__class,adaptation_topic
113,case> with,0,0.026,2,169,Bird__class,adaptation_topic
172,compound> ...,0,0.005,2,169,Bird__class,adaptation_topic
176,compound> eagle,0,-0.001,1,169,Bird__class,adaptation_topic
180,compound> storm,0,0.002,1,169,Bird__class,adaptation_topic
182,compound> wood,0,0.011,1,169,Bird__class,adaptation_topic
183,compound>compound> ...,0,0.013,1,169,Bird__class,adaptation_topic
184,compound>compound> ground,0,0.013,1,169,Bird__class,adaptation_topic
360,det> ...,0,0.006,1,169,Bird__class,adaptation_topic
362,det> the,0,-0.003,4,169,Bird__class,adaptation_topic
373,nmod< predator,0,0.003,1,169,Bird__class,adaptation_topic
374,nmod< species,0,0.008,1,169,Bird__class,adaptation_topic
381,nmod<amod> ...,0,0.014,2,169,Bird__class,adaptation_topic
389,nmod<conj< ...,0,0.011,1,169,Bird__class,adaptation_topic
401,nmod<cop> be,0,0.021,2,169,Bird__class,adaptation_topic
403,nmod<det> a,0,0.011,1,169,Bird__class,adaptation_topic
404,nmod<det> the,0,0.004,1,169,Bird__class,adaptation_topic
432,nmod<nsubj> ...,0,0.019,2,169,Bird__class,adaptation_topic
433,nmod<nsubj>amod> ...,0,0.011,1,169,Bird__class,adaptation_topic
434,nmod<nsubj>appos> ...,0,0.051,3,169,Bird__class,adaptation_topic
436,nmod<nsubj>det> the,0,0.034,2,169,Bird__class,adaptation_topic
444,nmod> ...,0,0.143,10,169,Bird__class,adaptation_topic
445,nmod> migration,0,0.013,1,169,Bird__class,adaptation_topic
446,nmod> owl,0,0.034,2,169,Bird__class,adaptation_topic
447,nmod>amod> ...,0,0.102,6,169,Bird__class,adaptation_topic
448,nmod>case> ...,0,0.075,5,169,Bird__class,adaptation_topic
449,nmod>case> at,0,0.013,1,169,Bird__class,adaptation_topic
450,nmod>case> in,0,0.075,5,169,Bird__class,adaptation_topic
