,feat,cluster,pw_entr,feat_n,N,group,relrole
32,acl> ...,0,0.007,1,144,Bird__class,free_topic
37,acl> know,0,0.017,1,144,Bird__class,free_topic
44,acl>obl> ...,0,0.02,2,144,Bird__class,free_topic
45,acl>obl>amod> ...,0,0.015,1,144,Bird__class,free_topic
46,acl>obl>case> ...,0,0.021,1,144,Bird__class,free_topic
47,acl>obl>case> as,0,0.019,1,144,Bird__class,free_topic
53,acl>obl>compound> ...,0,0.017,1,144,Bird__class,free_topic
55,acl>obl>det> the,0,0.012,1,144,Bird__class,free_topic
58,acl>obl>nmod> ...,0,0.015,1,144,Bird__class,free_topic
63,advcl> ...,0,0.017,1,144,Bird__class,free_topic
64,advcl>mark> ...,0,0.021,1,144,Bird__class,free_topic
66,amod> ...,0,0.001,4,144,Bird__class,free_topic
72,amod> large,0,0.014,1,144,Bird__class,free_topic
75,amod> other,0,0.011,1,144,Bird__class,free_topic
76,amod> small,0,0.009,1,144,Bird__class,free_topic
77,amod>advmod> ...,0,0.009,1,144,Bird__class,free_topic
84,amod>compound> ...,0,0.017,1,144,Bird__class,free_topic
85,amod>conj> ...,0,0.014,1,144,Bird__class,free_topic
87,amod>conj>advmod> ...,0,0.021,1,144,Bird__class,free_topic
88,amod>conj>cc> and,0,0.014,1,144,Bird__class,free_topic
89,amod>cop> be,0,0.021,1,144,Bird__class,free_topic
90,amod>nsubj> ...,0,0.021,1,144,Bird__class,free_topic
91,amod>nsubj>compound> ...,0,0.021,1,144,Bird__class,free_topic
95,amod>obl> ...,0,0.012,1,144,Bird__class,free_topic
96,amod>obl>case> ...,0,0.019,1,144,Bird__class,free_topic
99,amod>obl>case> to,0,0.023,1,144,Bird__class,free_topic
145,appos> ...,0,0.003,1,144,Bird__class,free_topic
163,appos>nmod> mile,0,0.023,1,144,Bird__class,free_topic
165,appos>nmod>case> per,0,0.023,1,144,Bird__class,free_topic
167,case> ...,0,0.003,1,144,Bird__class,free_topic
173,case> of,0,-0.006,1,144,Bird__class,free_topic
176,case> with,0,0.012,1,144,Bird__class,free_topic
186,compound< ...,0,-0.0,1,144,Bird__class,free_topic
209,compound<appos< ...,0,0.014,1,144,Bird__class,free_topic
210,compound<appos<advmod> ...,0,0.021,1,144,Bird__class,free_topic
211,compound<appos<appos> ...,0,0.237,9,144,Bird__class,free_topic
212,compound<appos<appos> 1893,0,0.057,2,144,Bird__class,free_topic
213,compound<appos<appos> grasshopper,0,0.057,2,144,Bird__class,free_topic
214,compound<appos<conj> ...,0,0.064,3,144,Bird__class,free_topic
215,compound<appos<conj> Africa,0,0.085,3,144,Bird__class,free_topic
218,compound<appos<list> ...,0,0.141,5,144,Bird__class,free_topic
219,compound<appos<list> Africa,0,0.057,2,144,Bird__class,free_topic
220,compound<appos<list> genera,0,0.198,7,144,Bird__class,free_topic
221,compound<appos<list> species,0,0.226,8,144,Bird__class,free_topic
308,compound> ...,0,-0.003,1,144,Bird__class,free_topic
319,compound>amod> ...,0,0.015,1,144,Bird__class,free_topic
326,conj< ...,0,-0.003,1,144,Bird__class,free_topic
340,conj<advmod> ...,0,0.032,2,144,Bird__class,free_topic
548,det> the,0,-0.007,1,144,Bird__class,free_topic
584,nmod< ...,0,-0.005,1,144,Bird__class,free_topic
601,nmod<advmod> ...,0,0.012,1,144,Bird__class,free_topic
646,nmod<conj> ...,0,0.026,2,144,Bird__class,free_topic
649,nmod<conj>amod> ...,0,0.041,2,144,Bird__class,free_topic
652,nmod<conj>cc> and,0,0.012,1,144,Bird__class,free_topic
711,nmod<nsubj> ...,0,0.007,1,144,Bird__class,free_topic
713,nmod<nsubj>amod> ...,0,0.021,1,144,Bird__class,free_topic
756,nmod<obl> ...,0,0.039,2,144,Bird__class,free_topic
757,nmod<obl>amod> ...,0,0.021,1,144,Bird__class,free_topic
758,nmod<obl>case> ...,0,0.019,1,144,Bird__class,free_topic
759,nmod<obl>case> in,0,0.021,1,144,Bird__class,free_topic
760,nmod<obl>det> the,0,0.019,1,144,Bird__class,free_topic
761,nmod<parataxis> ...,0,0.021,1,144,Bird__class,free_topic
763,nmod> ...,0,0.03,4,144,Bird__class,free_topic
765,nmod> kilometre,0,0.023,1,144,Bird__class,free_topic
774,nmod>advmod> ...,0,0.019,1,144,Bird__class,free_topic
775,nmod>amod> ...,0,0.006,1,144,Bird__class,free_topic
777,nmod>amod> square,0,0.023,1,144,Bird__class,free_topic
779,nmod>case> ...,0,0.033,2,144,Bird__class,free_topic
783,nmod>case> in,0,0.007,1,144,Bird__class,free_topic
784,nmod>case> include,0,0.017,1,144,Bird__class,free_topic
787,nmod>case> such,0,0.008,1,144,Bird__class,free_topic
790,nmod>case>fixed> as,0,0.008,1,144,Bird__class,free_topic
795,nmod>conj> ...,0,0.136,7,144,Bird__class,free_topic
797,nmod>conj>cc> and,0,0.033,2,144,Bird__class,free_topic
856,nsubj< ...,0,-0.005,1,144,Bird__class,free_topic
918,nsubj<advmod> now,0,0.023,1,144,Bird__class,free_topic
921,nsubj<amod> ...,0,0.01,1,144,Bird__class,free_topic
923,nsubj<appos> ...,0,0.016,1,144,Bird__class,free_topic
926,nsubj<appos>amod> ...,0,0.044,2,144,Bird__class,free_topic
929,nsubj<appos>det> the,0,0.021,1,144,Bird__class,free_topic
983,nsubj<cop> be,0,0.002,1,144,Bird__class,free_topic
985,nsubj<det> the,0,0.012,1,144,Bird__class,free_topic
1042,nsubj<obl> example,0,0.021,1,144,Bird__class,free_topic
1047,nsubj<obl>case> for,0,0.015,1,144,Bird__class,free_topic
1089,nummod> ...,0,0.009,1,144,Bird__class,free_topic
1156,obl< ...,0,-0.0,1,144,Bird__class,free_topic
1172,obl<advmod> ...,0,0.007,1,144,Bird__class,free_topic
1208,obl<mark> to,0,0.017,1,144,Bird__class,free_topic
1244,obl<xcomp< ...,0,0.019,1,144,Bird__class,free_topic
1246,obl<xcomp<nsubj> ...,0,0.023,1,144,Bird__class,free_topic
1248,obl<xcomp<obl> ...,0,0.041,2,144,Bird__class,free_topic
1295,acl> ...,1,0.007,3,438,Bird__class,free_topic
1304,acl>obj> ...,1,0.002,1,438,Bird__class,free_topic
1307,acl>obl> ...,1,-0.001,1,438,Bird__class,free_topic
1315,acl>obl>case> with,1,0.005,1,438,Bird__class,free_topic
1322,acl>xcomp> ...,1,0.003,1,438,Bird__class,free_topic
1329,amod> ...,1,0.044,25,438,Bird__class,free_topic
1330,amod> Andean,1,0.027,5,438,Bird__class,free_topic
1331,amod> black,1,0.0,1,438,Bird__class,free_topic
1336,amod> little,1,0.003,1,438,Bird__class,free_topic
1340,amod>advmod> ...,1,0.001,1,438,Bird__class,free_topic
1355,amod>obl:npmod> ...,1,0.004,1,438,Bird__class,free_topic
1364,appos< ...,1,0.001,2,438,Bird__class,free_topic
1367,appos<appos< ...,1,0.003,1,438,Bird__class,free_topic
1368,appos<appos<appos> ...,1,0.004,1,438,Bird__class,free_topic
1408,appos> ...,1,0.02,7,438,Bird__class,free_topic
1409,appos> Taxonomy,1,0.041,6,438,Bird__class,free_topic
1410,appos> description,1,0.027,4,438,Bird__class,free_topic
1411,appos> reference,1,0.014,2,438,Bird__class,free_topic
1413,appos> species,1,0.014,2,438,Bird__class,free_topic
1414,appos>amod> ...,1,0.002,1,438,Bird__class,free_topic
1418,appos>conj> ...,1,0.013,3,438,Bird__class,free_topic
