,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.001,1,444,Bird__class,taxongroup_topic
5,acl:relcl>nsubj> which,0,0.001,1,444,Bird__class,taxongroup_topic
8,acl:relcl>obl> ...,0,0.001,1,444,Bird__class,taxongroup_topic
9,acl:relcl>obl>case> ...,0,0.001,1,444,Bird__class,taxongroup_topic
12,acl> name,0,0.008,2,444,Bird__class,taxongroup_topic
15,acl>obl> flight,0,0.008,2,444,Bird__class,taxongroup_topic
20,acl>obl>case> for,0,0.008,2,444,Bird__class,taxongroup_topic
22,acl>obl>compound> circling,0,0.008,2,444,Bird__class,taxongroup_topic
27,advmod> ...,0,-0.0,1,444,Bird__class,taxongroup_topic
28,amod> ...,0,-0.006,4,444,Bird__class,taxongroup_topic
29,amod> black,0,0.001,1,444,Bird__class,taxongroup_topic
30,amod> diurnal,0,-0.0,2,444,Bird__class,taxongroup_topic
32,amod> large,0,-0.001,1,444,Bird__class,taxongroup_topic
33,amod> largest,0,0.006,2,444,Bird__class,taxongroup_topic
34,amod> most,0,-0.0,1,444,Bird__class,taxongroup_topic
36,amod> other,0,0.003,3,444,Bird__class,taxongroup_topic
38,amod> true,0,0.005,2,444,Bird__class,taxongroup_topic
42,appos< ...,0,0.002,2,444,Bird__class,taxongroup_topic
43,appos<conj<conj> ...,0,0.012,3,444,Bird__class,taxongroup_topic
46,appos<nsubj> ...,0,0.001,1,444,Bird__class,taxongroup_topic
47,appos> ...,0,0.001,2,444,Bird__class,taxongroup_topic
50,appos>det> a,0,0.002,1,444,Bird__class,taxongroup_topic
52,case> ...,0,0.006,4,444,Bird__class,taxongroup_topic
53,case> along,0,0.002,1,444,Bird__class,taxongroup_topic
54,case> as,0,0.007,3,444,Bird__class,taxongroup_topic
57,case> in,0,0.01,5,444,Bird__class,taxongroup_topic
58,case> of,0,-0.0,6,444,Bird__class,taxongroup_topic
59,case> such,0,0.019,5,444,Bird__class,taxongroup_topic
60,case> than,0,0.006,2,444,Bird__class,taxongroup_topic
61,case> to,0,0.013,5,444,Bird__class,taxongroup_topic
62,case> with,0,0.007,3,444,Bird__class,taxongroup_topic
63,case>fixed> as,0,0.019,5,444,Bird__class,taxongroup_topic
80,compound> ...,0,-0.001,1,444,Bird__class,taxongroup_topic
82,compound> family,0,0.001,1,444,Bird__class,taxongroup_topic
179,conj> ...,0,0.052,18,444,Bird__class,taxongroup_topic
180,conj> animal,0,0.006,2,444,Bird__class,taxongroup_topic
181,conj> bat,0,0.006,2,444,Bird__class,taxongroup_topic
182,conj> bird,0,0.008,2,444,Bird__class,taxongroup_topic
183,conj> mammal,0,0.017,5,444,Bird__class,taxongroup_topic
184,conj> owl,0,0.002,1,444,Bird__class,taxongroup_topic
185,conj> reptile,0,0.008,2,444,Bird__class,taxongroup_topic
186,conj>amod> ...,0,0.01,4,444,Bird__class,taxongroup_topic
187,conj>amod> most,0,0.008,2,444,Bird__class,taxongroup_topic
188,conj>amod> other,0,0.006,2,444,Bird__class,taxongroup_topic
190,conj>cc> and,0,0.053,18,444,Bird__class,taxongroup_topic
191,conj>cc> or,0,0.01,3,444,Bird__class,taxongroup_topic
192,conj>compound> ...,0,0.001,1,444,Bird__class,taxongroup_topic
193,conj>det> ...,0,0.012,3,444,Bird__class,taxongroup_topic
194,conj>det> the,0,0.006,2,444,Bird__class,taxongroup_topic
195,conj>nmod> ...,0,0.01,3,444,Bird__class,taxongroup_topic
196,conj>nmod>case> in,0,0.002,1,444,Bird__class,taxongroup_topic
197,conj>nmod>case> of,0,0.008,2,444,Bird__class,taxongroup_topic
198,cop> be,0,-0.002,3,444,Bird__class,taxongroup_topic
199,det> ...,0,0.007,3,444,Bird__class,taxongroup_topic
200,det> a,0,-0.003,2,444,Bird__class,taxongroup_topic
201,det> the,0,0.005,9,444,Bird__class,taxongroup_topic
207,mark> ...,0,0.001,1,444,Bird__class,taxongroup_topic
208,nmod:poss> ...,0,0.001,1,444,Bird__class,taxongroup_topic
209,nmod:poss>case> 's,0,0.001,1,444,Bird__class,taxongroup_topic
210,nmod< ...,0,0.012,10,444,Bird__class,taxongroup_topic
211,nmod< animal,0,0.016,4,444,Bird__class,taxongroup_topic
215,nmod< species,0,0.0,1,444,Bird__class,taxongroup_topic
218,nmod<amod> ...,0,0.01,6,444,Bird__class,taxongroup_topic
219,nmod<amod> high,0,0.008,2,444,Bird__class,taxongroup_topic
220,nmod<amod> small,0,0.008,2,444,Bird__class,taxongroup_topic
222,nmod<case> ...,0,-0.0,1,444,Bird__class,taxongroup_topic
224,nmod<case> in,0,0.005,2,444,Bird__class,taxongroup_topic
225,nmod<case> of,0,0.0,1,444,Bird__class,taxongroup_topic
227,nmod<case> with,0,0.001,1,444,Bird__class,taxongroup_topic
228,nmod<cc> and,0,0.005,2,444,Bird__class,taxongroup_topic
229,nmod<compound> ...,0,0.0,1,444,Bird__class,taxongroup_topic
230,nmod<conj< ...,0,0.007,3,444,Bird__class,taxongroup_topic
231,nmod<conj<conj> ...,0,0.008,3,444,Bird__class,taxongroup_topic
234,nmod<conj<obj< ...,0,0.006,2,444,Bird__class,taxongroup_topic
235,nmod<conj> ...,0,0.007,3,444,Bird__class,taxongroup_topic
237,nmod<conj>amod> ...,0,-0.0,1,444,Bird__class,taxongroup_topic
239,nmod<conj>cc> and,0,0.006,2,444,Bird__class,taxongroup_topic
241,nmod<cop> be,0,0.003,3,444,Bird__class,taxongroup_topic
243,nmod<det> a,0,-0.001,1,444,Bird__class,taxongroup_topic
244,nmod<det> the,0,0.017,8,444,Bird__class,taxongroup_topic
245,nmod<nmod< ...,0,0.0,2,444,Bird__class,taxongroup_topic
246,nmod<nmod< comparison,0,0.006,2,444,Bird__class,taxongroup_topic
247,nmod<nmod<case> ...,0,0.006,2,444,Bird__class,taxongroup_topic
251,nmod<nmod<det> the,0,0.001,1,444,Bird__class,taxongroup_topic
252,nmod<nmod<nsubj< ...,0,0.001,1,444,Bird__class,taxongroup_topic
253,nmod<nmod<obj< ...,0,0.001,1,444,Bird__class,taxongroup_topic
255,nmod<nmod> ...,0,0.001,2,444,Bird__class,taxongroup_topic
256,nmod<nmod>amod> ...,0,0.005,2,444,Bird__class,taxongroup_topic
258,nmod<nmod>case> ...,0,0.008,2,444,Bird__class,taxongroup_topic
261,nmod<nmod>case> of,0,0.001,1,444,Bird__class,taxongroup_topic
262,nmod<nmod>compound> ...,0,0.002,1,444,Bird__class,taxongroup_topic
265,nmod<nsubj< ...,0,-0.0,1,444,Bird__class,taxongroup_topic
267,nmod<nsubj> ...,0,0.002,2,444,Bird__class,taxongroup_topic
269,nmod<nsubj>amod> ...,0,0.001,1,444,Bird__class,taxongroup_topic
270,nmod<nsubj>appos> ...,0,0.001,1,444,Bird__class,taxongroup_topic
272,nmod<nsubj>det> the,0,0.002,1,444,Bird__class,taxongroup_topic
274,nmod<obj< ...,0,0.006,3,444,Bird__class,taxongroup_topic
275,nmod<obj<mark> ...,0,0.004,1,444,Bird__class,taxongroup_topic
276,nmod<obj<mark> to,0,0.008,2,444,Bird__class,taxongroup_topic
278,nmod<obl< ...,0,-0.001,1,444,Bird__class,taxongroup_topic
281,nmod> ...,0,-0.002,3,444,Bird__class,taxongroup_topic
282,nmod> Accipitridae,0,0.001,1,444,Bird__class,taxongroup_topic
284,nmod> prey,0,-0.003,16,444,Bird__class,taxongroup_topic
285,nmod>amod> ...,0,-0.001,1,444,Bird__class,taxongroup_topic
286,nmod>appos> ...,0,0.0,1,444,Bird__class,taxongroup_topic
290,nmod>case> in,0,0.001,2,444,Bird__class,taxongroup_topic
291,nmod>case> of,0,-0.002,17,444,Bird__class,taxongroup_topic
293,nmod>case> with,0,0.0,1,444,Bird__class,taxongroup_topic
294,nmod>compound> ...,0,0.001,1,444,Bird__class,taxongroup_topic
295,nmod>compound> family,0,0.007,3,444,Bird__class,taxongroup_topic
305,nmod>det> a,0,0.001,1,444,Bird__class,taxongroup_topic
306,nmod>det> the,0,0.001,2,444,Bird__class,taxongroup_topic
327,nsubj< ...,0,-0.003,1,444,Bird__class,taxongroup_topic
332,nsubj< play,0,0.002,1,444,Bird__class,taxongroup_topic
335,nsubj<advcl> ...,0,-0.0,1,444,Bird__class,taxongroup_topic
336,nsubj<advcl>mark> ...,0,0.001,1,444,Bird__class,taxongroup_topic
337,nsubj<advcl>obj> ...,0,0.0,1,444,Bird__class,taxongroup_topic
339,nsubj<amod> ...,0,0.001,1,444,Bird__class,taxongroup_topic
351,nsubj<conj> ...,0,-0.002,1,444,Bird__class,taxongroup_topic
352,nsubj<conj>amod> ...,0,0.0,1,444,Bird__class,taxongroup_topic
