feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound> ...,0.946,0.0,0.927,0.001,14,Bovid__family,location_comment
case> in,0.916,0.001,0.875,0.004,10,Bovid__family,location_comment
case> to,0.904,0.002,0.577,0.134,2,Bovid__family,location_comment
nmod>case> ...,0.899,0.002,0.764,0.027,3,Bovid__family,location_comment
compound<case> with,0.897,0.002,0.756,0.03,2,Bovid__family,location_comment
nmod<obl<nsubj> ...,0.897,0.003,0.577,0.134,3,Bovid__family,location_comment
case> of,0.897,0.003,0.577,0.134,7,Bovid__family,location_comment
nmod<det> ...,0.889,0.003,0.577,0.134,1,Bovid__family,location_comment
conj<case> ...,0.881,0.004,0.756,0.03,4,Bovid__family,location_comment
cc> and,0.88,0.004,0.764,0.027,5,Bovid__family,location_comment
conj>amod> ...,0.873,0.005,0.756,0.03,4,Bovid__family,location_comment
nmod<amod> ...,0.857,0.006,0.764,0.027,6,Bovid__family,location_comment
nmod< ...,0.856,0.007,-0.096,0.821,15,Bovid__family,location_comment
compound<case> of,0.824,0.012,0.577,0.134,4,Bovid__family,location_comment
compound<case> in,0.812,0.014,0.577,0.134,2,Bovid__family,location_comment
compound<case> ...,0.808,0.015,0.655,0.078,7,Bovid__family,location_comment
nmod<det> the,0.794,0.019,0.109,0.797,5,Bovid__family,location_comment
conj> ...,0.792,0.019,0.617,0.103,10,Bovid__family,location_comment
conj< ...,0.772,0.025,0.536,0.171,7,Bovid__family,location_comment
compound<nmod<compound> population,0.77,0.025,0.756,0.03,2,Bovid__family,location_comment
nsubj<obl>case> with,0.744,0.034,0.577,0.134,2,Bovid__family,location_comment
nsubj< ...,0.733,0.039,0.655,0.078,6,Bovid__family,location_comment
conj> shrubland,0.726,0.041,0.733,0.039,6,Bovid__family,location_comment
conj>cc> and,0.715,0.046,0.6,0.116,14,Bovid__family,location_comment
obj<conj> live,0.71,0.049,0.577,0.134,2,Bovid__family,location_comment
obj<conj> ...,0.708,0.049,0.577,0.134,1,Bovid__family,location_comment
compound< bighorn,0.703,0.052,0.784,0.021,5,Bovid__family,location_comment
conj> savanna,0.702,0.052,0.733,0.039,7,Bovid__family,location_comment
compound<nmod<det> the,0.701,0.053,0.577,0.134,2,Bovid__family,location_comment
nmod<conj> ...,0.695,0.056,0.577,0.134,6,Bovid__family,location_comment
nmod<case> of,0.68,0.063,0.764,0.027,4,Bovid__family,location_comment
nsubj<obl>case> ...,0.68,0.064,0.577,0.134,2,Bovid__family,location_comment
conj<conj>amod> ...,-0.679,0.064,-0.764,0.027,3,Bovid__family,location_comment
compound<nmod<det> ...,0.675,0.066,0.577,0.134,1,Bovid__family,location_comment
nmod>case> of,0.664,0.072,0.496,0.212,5,Bovid__family,location_comment
compound<case> to,0.656,0.077,0.63,0.094,2,Bovid__family,location_comment
compound<obl<acl< ...,0.65,0.081,0.655,0.078,3,Bovid__family,location_comment
obj<nsubj> ...,-0.643,0.085,-0.655,0.078,3,Bovid__family,location_comment
obl< ...,0.639,0.088,0.385,0.346,5,Bovid__family,location_comment
compound<appos> ...,0.634,0.091,0.592,0.122,5,Bovid__family,location_comment
case> ...,0.634,0.091,0.825,0.012,4,Bovid__family,location_comment
compound<conj<compound> ...,-0.634,0.092,-0.504,0.203,2,Bovid__family,location_comment
nmod<case> ...,0.615,0.105,0.577,0.134,4,Bovid__family,location_comment
compound< type,0.606,0.111,0.592,0.122,10,Bovid__family,location_comment
compound< ...,0.595,0.119,0.805,0.016,12,Bovid__family,location_comment
compound<conj<obl< ...,0.588,0.125,0.546,0.162,3,Bovid__family,location_comment
compound<det> the,0.579,0.133,0.674,0.067,15,Bovid__family,location_comment
conj> river,0.577,0.134,0.504,0.203,2,Bovid__family,location_comment
conj> deer,0.571,0.139,0.577,0.134,2,Bovid__family,location_comment
compound<nummod> ...,0.553,0.155,0.784,0.021,4,Bovid__family,location_comment
compound<conj>compound> ...,0.54,0.167,0.764,0.027,4,Bovid__family,location_comment
compound<nsubj<obl> ...,-0.535,0.171,-0.845,0.008,3,Bovid__family,location_comment
compound< buffaloe,0.533,0.174,0.514,0.192,3,Bovid__family,location_comment
compound<amod> ...,0.533,0.174,0.682,0.062,7,Bovid__family,location_comment
