feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> donkey,0.979,0.0,0.756,0.03,2,Bovid__family,taxongroup_topic
conj<conj> deer,0.974,0.0,0.764,0.027,3,Bovid__family,taxongroup_topic
nmod<conj>det> the,0.965,0.0,0.764,0.027,4,Bovid__family,taxongroup_topic
nmod<conj>det> a,0.936,0.001,0.577,0.134,4,Bovid__family,taxongroup_topic
appos<flat> E.,0.935,0.001,0.577,0.134,2,Bovid__family,taxongroup_topic
conj> yak,0.929,0.001,0.756,0.03,2,Bovid__family,taxongroup_topic
nmod<conj> tail,0.915,0.001,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<flat> Dubois,0.891,0.003,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<appos> buffalo,0.883,0.004,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<nsubj<obl> ...,0.88,0.004,0.764,0.027,6,Bovid__family,taxongroup_topic
nmod<conj>cc> but,0.869,0.005,0.577,0.134,4,Bovid__family,taxongroup_topic
nmod>det> the,0.869,0.005,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<appos>conj> hoof,0.863,0.006,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<appos>conj> head,0.861,0.006,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<appos> ...,0.851,0.007,0.674,0.067,10,Bovid__family,taxongroup_topic
conj< buffalo,0.845,0.008,0.764,0.027,4,Bovid__family,taxongroup_topic
conj<conj> horse,0.844,0.008,0.674,0.067,6,Bovid__family,taxongroup_topic
conj>amod> domestic,0.842,0.009,0.846,0.008,6,Bovid__family,taxongroup_topic
nsubj<det> ...,0.838,0.009,0.577,0.134,1,Bovid__family,taxongroup_topic
nsubj<det> a,0.836,0.01,0.327,0.429,12,Bovid__family,taxongroup_topic
nsubj<nmod>case> of,0.83,0.011,0.577,0.134,21,Bovid__family,taxongroup_topic
nsubj<nmod>case> in,0.828,0.011,0.577,0.134,6,Bovid__family,taxongroup_topic
appos<list>compound> ...,0.822,0.012,0.577,0.134,2,Bovid__family,taxongroup_topic
conj< ...,0.82,0.013,0.626,0.097,29,Bovid__family,taxongroup_topic
nsubj<nmod>amod> ...,0.819,0.013,0.577,0.134,13,Bovid__family,taxongroup_topic
appos<list>compound> platycero,0.819,0.013,0.577,0.134,2,Bovid__family,taxongroup_topic
conj< include,0.812,0.014,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<list>compound> teilhardi,0.805,0.016,0.577,0.134,2,Bovid__family,taxongroup_topic
compound> Dall,0.802,0.017,0.577,0.134,4,Bovid__family,taxongroup_topic
appos<list>compound> Bubalus,0.801,0.017,0.327,0.429,7,Bovid__family,taxongroup_topic
nsubj<nmod>amod> genus,0.8,0.017,0.577,0.134,2,Bovid__family,taxongroup_topic
conj< deer,0.796,0.018,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<conj> ...,0.792,0.019,0.289,0.488,10,Bovid__family,taxongroup_topic
conj< bison,0.786,0.021,0.577,0.134,4,Bovid__family,taxongroup_topic
appos<case> ...,-0.781,0.022,-0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<nmod>case> such,-0.779,0.023,-0.756,0.03,2,Bovid__family,taxongroup_topic
appos<flat> Berckhemer,0.776,0.023,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<det> the,0.775,0.024,0.436,0.28,18,Bovid__family,taxongroup_topic
conj<conj> ...,0.773,0.024,0.862,0.006,69,Bovid__family,taxongroup_topic
conj<conj> dog,0.772,0.025,0.577,0.134,3,Bovid__family,taxongroup_topic
nsubj<nmod>case> ...,0.771,0.025,0.577,0.134,5,Bovid__family,taxongroup_topic
nmod<appos>conj> ...,0.768,0.026,0.577,0.134,2,Bovid__family,taxongroup_topic
compound> ...,0.767,0.026,0.368,0.37,43,Bovid__family,taxongroup_topic
conj<appos>conj> ...,0.763,0.028,0.733,0.039,3,Bovid__family,taxongroup_topic
nsubj< call,0.762,0.028,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<appos>nmod> deer,0.762,0.028,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<conj>advmod> not,0.761,0.028,0.577,0.134,4,Bovid__family,taxongroup_topic
cc> and,0.759,0.029,0.868,0.005,24,Bovid__family,taxongroup_topic
conj<obj< call,-0.756,0.03,-0.577,0.134,3,Bovid__family,taxongroup_topic
conj<conj> antelope,0.753,0.031,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod< gene,0.753,0.031,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<nmod>amod> large,0.753,0.031,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<conj<det> ...,0.752,0.031,0.577,0.134,1,Bovid__family,taxongroup_topic
nsubj<nmod>case> to,0.751,0.032,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<appos>det> the,0.747,0.033,0.733,0.039,7,Bovid__family,taxongroup_topic
conj<conj> pig,0.745,0.034,0.577,0.134,3,Bovid__family,taxongroup_topic
conj> buffalo,0.743,0.035,0.577,0.134,4,Bovid__family,taxongroup_topic
conj>cc> and,0.74,0.036,0.873,0.005,24,Bovid__family,taxongroup_topic
conj>amod> ...,0.736,0.038,0.518,0.188,8,Bovid__family,taxongroup_topic
conj> cattle,0.734,0.038,0.62,0.101,3,Bovid__family,taxongroup_topic
nmod<cop> be,0.73,0.04,0.77,0.025,6,Bovid__family,taxongroup_topic
conj<nmod<obl< ...,-0.729,0.04,-0.436,0.28,6,Bovid__family,taxongroup_topic
conj<appos> nayaur,0.725,0.042,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<list>compound> youngi,0.72,0.044,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<flat> murrensis,0.719,0.044,0.577,0.134,2,Bovid__family,taxongroup_topic
conj>compound> ...,0.714,0.047,0.866,0.005,7,Bovid__family,taxongroup_topic
acl:relcl>nsubj> that,0.714,0.047,0.63,0.094,2,Bovid__family,taxongroup_topic
nmod<conj>nmod> donkey,0.708,0.049,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<compound>list> Hopwood,0.708,0.05,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<conj> goat,0.704,0.051,0.491,0.217,11,Bovid__family,taxongroup_topic
appos<list> 1957,0.701,0.053,0.577,0.134,2,Bovid__family,taxongroup_topic
obl<acl<det> the,-0.697,0.055,-0.655,0.078,3,Bovid__family,taxongroup_topic
compound<nsubj:pass<aux:pass> be,0.696,0.055,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<conj>nmod> ...,0.694,0.056,0.436,0.28,3,Bovid__family,taxongroup_topic
nmod>case> of,0.693,0.057,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<nmod<compound> ...,-0.692,0.057,-0.577,0.134,3,Bovid__family,taxongroup_topic
acl:relcl>nsubj> ...,0.692,0.057,0.577,0.134,1,Bovid__family,taxongroup_topic
obl<parataxis< ...,0.688,0.059,0.546,0.162,3,Bovid__family,taxongroup_topic
compound> Capra,0.685,0.061,0.732,0.039,3,Bovid__family,taxongroup_topic
case> of,0.683,0.062,0.511,0.196,25,Bovid__family,taxongroup_topic
case> ...,0.682,0.063,0.546,0.162,8,Bovid__family,taxongroup_topic
nsubj< one,0.681,0.063,0.577,0.134,3,Bovid__family,taxongroup_topic
nsubj< animal,0.681,0.063,0.327,0.429,14,Bovid__family,taxongroup_topic
