,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
2,Afr-324e_110_Social-4,Social,Presociality#adaptation,amod<,behavior,NOUN,5,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
2,Afr-324e_62_Social-4,Social,Presociality#adaptation,amod<,behavior,NOUN,5,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
2,Afr-354e_32_Social-5,Social,Presociality#adaptation,amod<,behavior,NOUN,6,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
0,Afr-324e_96_Social-1,Social,Presociality#adaptation,amod<,behavior,NOUN,2,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
0,Big-0af3_72_Social-1,Social,Presociality#adaptation,amod<,structure,NOUN,2,amod< structure,-0.08127121550860184,0.004587280455740887,Bovid__family,adaptation_comment,0,39
5,Big-0af3_79_social-6,social,Presociality#adaptation,amod<,status,NOUN,7,amod< ...,0.08653722544030741,0.06983403112074368,Bovid__family,adaptation_comment,0,39
4,Din-756f_350_herbivorous-5,herbivorous,Herbivore#adaptation,amod<,specimen,NOUN,6,amod< ...,0.11047432878781131,0.05231746244096046,Bovid__family,adaptation_comment,0,39
2,Ame-d5c4_134_Social-5,Social,Presociality#adaptation,amod<,behavior,NOUN,6,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
2,Bon-fbc3_61_Social-6,Social,Presociality#adaptation,amod<,organization,NOUN,7,amod< ...,-0.17494378911218988,-0.014437250608063612,Bovid__family,adaptation_comment,0,39
4,Bon-fbc3_5_social-5,social,Presociality#adaptation,amod<,interaction,NOUN,6,amod< interaction,0.03900479821011649,-0.0011209188300038558,Bovid__family,adaptation_comment,0,39
5,Spo-c072_229_social-6,social,Presociality#adaptation,amod<,intelligence,NOUN,7,amod< ...,-0.0678364190150224,-0.015526134734684255,Bovid__family,adaptation_comment,0,39
5,Spo-c072_222_social-24,social,Presociality#adaptation,amod<,behavior,NOUN,25,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
2,Ovi-a47a_37_social-3,social,Presociality#adaptation,amod<,animal,NOUN,4,amod< animal,-0.000443779124352936,0.0007758759666391044,Bovid__family,adaptation_comment,0,39
4,Spe-2571_103_care-18,care,Maternal_effect#adaptation,amod>,maternal,ADJ,17,amod> ...,0.5331891166346525,0.1672855817732533,Bovid__family,adaptation_comment,0,39
3,Aur-c4ea_123_social-4,social,Presociality#adaptation,amod<,behaviour,NOUN,5,amod< behaviour,0.06828232201952342,0.014475097914021424,Bovid__family,adaptation_comment,0,39
4,Aur-c4ea_123_social-11,social,Presociality#adaptation,amod<,status,NOUN,12,amod< ...,0.08653722544030741,0.06983403112074368,Bovid__family,adaptation_comment,0,39
5,Bov-d455_13_social-9,social,Presociality#adaptation,amod<,behaviour,NOUN,10,amod< behaviour,0.06828232201952342,0.014475097914021424,Bovid__family,adaptation_comment,0,39
4,Bov-d455_13_social-6,social,Presociality#adaptation,amod<,organisation,NOUN,7,amod< ...,-0.07257648186119164,0.0390313019274338,Bovid__family,adaptation_comment,0,39
0,Bov-d455_11_Social-1,Social,Presociality#adaptation,amod<,activity,NOUN,2,amod< ...,-0.08070292742390164,-0.055148050561448676,Bovid__family,adaptation_comment,0,39
0,Dom3f20_5_Hierarchical-1,Hierarchical,Dominance_hierarchy#adaptation,amod<,animal,NOUN,2,amod< animal,-0.000443779124352936,0.0007758759666391044,Bovid__family,adaptation_comment,0,39
1,Dom3f20_23_social-15,social,Presociality#adaptation,amod<,anthropologist,NOUN,16,amod< ...,-0.23992069780933095,-0.05498778118851799,Bovid__family,adaptation_comment,0,39
0,Dom3f20_38_Social-1,Social,Presociality#adaptation,amod<,climbing,NOUN,2,amod< ...,-0.1628839216061134,-0.07813298858365463,Bovid__family,adaptation_comment,0,39
0,Ani6f2b_12_migration-2,migration,Animal_migration#adaptation,amod>,Himalayan,ADJ,1,amod> ...,0.6093539679628142,0.21308094090617957,Bovid__family,adaptation_comment,0,39
0,Nub-af58_76_Social-1,Social,Presociality#adaptation,amod<,behavior,NOUN,2,amod< behavior,0.08880793392371947,0.00864116364954456,Bovid__family,adaptation_comment,0,39
3,Blu-3a31_45_social-4,social,Presociality#adaptation,amod<,behaviour,NOUN,5,amod< behaviour,0.06828232201952342,0.014475097914021424,Bovid__family,adaptation_comment,0,39
5,Liz-2f75_155_herbivorous-28,herbivorous,Herbivore#adaptation,amod<,one,NOUN,29,amod< ...,0.14976290619800461,0.026864248011202182,Bovid__family,adaptation_comment,0,39
4,Dom-6f87_96_hierarchical-15,hierarchical,Dominance_hierarchy#adaptation,amod<,dominance,NOUN,16,amod< ...,0.10396340880557893,-0.04237457145127809,Bovid__family,adaptation_comment,0,39
2,Dom-6f87_85_hierarchical-9,hierarchical,Dominance_hierarchy#adaptation,amod<,differentiation,NOUN,10,amod< ...,0.20142017131227147,0.10583621680341351,Bovid__family,adaptation_comment,0,39
0,Che-369e_271_Social-1,Social,Presociality#adaptation,amod<,meeting,NOUN,2,amod< ...,-0.2658876548552447,-0.15703235054644787,Bovid__family,adaptation_comment,0,39
