,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Argaf7f_1_sheep-2,sheep,Ovis#genus,nsubj<,robe,VERB,3,nsubj< ...,-0.1913623576439165,0.28537884732544105,Bovid__family,taxongroup_comment,4,18
7,Big-0af3_56_sheep-8,sheep,Ovis#genus,nsubj<,occupy,VERB,9,nsubj< ...,-0.4263711203126735,-0.07436803283850107,Bovid__family,taxongroup_comment,4,18
4,Big-0af3_129_sheep-3,sheep,Ovis#genus,nsubj<,have,VERB,6,nsubj< have,-0.436402530805059,0.019078532473738752,Bovid__family,taxongroup_comment,4,18
8,Nub-af58_142_ibex-18,ibex,Nubian_Ibex#species,conj>cc>,and,CCONJ,19,conj>cc> and,0.4091215971306496,0.33838109985876486,Bovid__family,taxongroup_comment,4,18
10,Nub-af58_142_ibex-18,ibex,Nubian_Ibex#species,conj>,goat,NOUN,21,conj> goat,0.6290457923520185,-0.316143399711446,Bovid__family,taxongroup_comment,4,18
7,Big-0af3_126_sheep-5,sheep,Ovis#genus,nsubj<,mammal,NOUN,9,nsubj< ...,-0.3848616896512349,-0.1856104559566508,Bovid__family,taxongroup_comment,4,18
9,Bla-3ee3_105_animals-14,animals,Animal#kingdom,conj>cc>,and,CCONJ,16,conj>cc> and,0.4091215971306496,0.33838109985876486,Bovid__family,taxongroup_comment,4,18
10,Bla-3ee3_105_animals-14,animals,Animal#kingdom,conj>,livestock,NOUN,17,conj> ...,0.678751875150958,-0.26446048032176245,Bovid__family,taxongroup_comment,4,18
1,Pro-10af_13_animal-2,animal,Animal#kingdom,nsubj<,get,VERB,3,nsubj< ...,-0.24766465491535958,0.3354791483051133,Bovid__family,taxongroup_comment,4,18
11,Wil-de29_182_animals-18,animals,Animal#kingdom,conj>,cattle,NOUN,22,conj> cattle,0.6278284760965098,-0.3156812083135814,Bovid__family,taxongroup_comment,4,18
2,Bov439b_2_bovines-3,bovines,Bovid#family,nsubj<,have,VERB,4,nsubj< have,-0.436402530805059,0.019078532473738752,Bovid__family,taxongroup_comment,4,18
7,Mam-3742_279_mammals-15,mammals,Mammal#class,nsubj<,have,VERB,17,nsubj< have,-0.436402530805059,0.019078532473738752,Bovid__family,taxongroup_comment,4,18
1,Gua-668b_90_animal-2,animal,Animal#kingdom,nsubj<,disappear,VERB,3,nsubj< ...,-0.4373328005784428,-0.05348065728905502,Bovid__family,taxongroup_comment,4,18
6,She-572b_325_animals-2,animals,Animal#kingdom,nsubj<,include,VERB,8,nsubj< include,-0.3160501731784144,-0.21162018935598273,Bovid__family,taxongroup_comment,4,18
5,Wat-9861_259_animal-6,animal,Animal#kingdom,conj>cc>,and,CCONJ,7,conj>cc> and,0.4091215971306496,0.33838109985876486,Bovid__family,taxongroup_comment,4,18
7,Wat-9861_259_animal-6,animal,Animal#kingdom,conj>,zodiac,NOUN,9,conj> ...,0.25498130593306495,-0.41186384067681325,Bovid__family,taxongroup_comment,4,18
13,Blu-3a31_98_animals-17,animals,Animal#kingdom,nsubj<,%,SYM,34,nsubj< ...,-0.3051440662925806,0.011560456387410822,Bovid__family,taxongroup_comment,4,18
4,Afr-354e_15_animals-19,animals,Animal#kingdom,nsubj<,handle,VERB,20,nsubj< ...,-0.20605982578993334,0.3116284032690052,Bovid__family,taxongroup_comment,4,18
2,Bov-d455_162_bovids-2,bovids,Bovid#family,nsubj<,diurnal,ADJ,4,nsubj< ...,-0.2731644891717384,0.08857477234781641,Bovid__family,taxongroup_comment,4,18
3,Mac-9f03_40_mammals-2,mammals,Mammal#class,nsubj<,show,VERB,5,nsubj< ...,-0.4033806046618932,-0.05201029529519996,Bovid__family,taxongroup_comment,4,18
6,Wil-de29_26_Bovidae-7,Bovidae,Bovid#family,conj>cc>,and,CCONJ,8,conj>cc> and,0.4091215971306496,0.33838109985876486,Bovid__family,taxongroup_comment,4,18
8,Wil-de29_26_Bovidae-7,Bovidae,Bovid#family,conj>,Alcelaphina,ADV,10,conj> ...,0.42508244568167913,-0.4088395162647924,Bovid__family,taxongroup_comment,4,18
13,Wil-de29_26_Bovidae-7,Bovidae,Bovid#family,conj>,hirola,NOUN,25,conj> ...,0.1924835741538782,-0.27496275497072137,Bovid__family,taxongroup_comment,4,18
7,Dal-d353_2_sheep-19,sheep,Ovis#genus,amod>,wild,ADJ,18,amod> wild,-0.35957040028398857,-0.06861239815077665,Bovid__family,taxongroup_comment,1,47
8,Dal-d353_2_sheep-19,sheep,Ovis#genus,amod>,native,ADJ,20,amod> ...,-0.28313222240771274,-0.1243817957710061,Bovid__family,taxongroup_comment,1,47
2,Dal-d353_11_sheep-7,sheep,Ovis#genus,appos<,name,NOUN,3,appos< name,0.4014484466681987,-0.2658532991929541,Bovid__family,taxongroup_comment,1,47
7,Big-0af3_113_sheep-13,sheep,Ovis#genus,amod>,bighorn,ADJ,12,amod> bighorn,-0.2833397282338315,-0.06995126633024872,Bovid__family,taxongroup_comment,1,47
7,Big-0af3_125_sheep-17,sheep,Ovis#genus,amod>,bighorn,ADJ,16,amod> bighorn,-0.2833397282338315,-0.06995126633024872,Bovid__family,taxongroup_comment,1,47
5,Wat-9861_2_bovid-23,bovid,Bovid#family,appos<,call,VERB,10,appos< call,0.5775552155457248,-0.196434697536373,Bovid__family,taxongroup_comment,1,47
10,Wat-9861_2_bovid-23,bovid,Bovid#family,appos<obj>conj>,buffalo,NOUN,18,appos<obj>conj> buffalo,0.5270031449037533,-0.2567419055803488,Bovid__family,taxongroup_comment,1,47
13,Wat-9861_2_bovid-23,bovid,Bovid#family,amod>,large,ADJ,22,amod> large,-0.4244103461248629,-0.08700843123228835,Bovid__family,taxongroup_comment,1,47
6,Wil-28c2_2_bovine-24,bovine,Bovid#family,appos<,call,VERB,11,appos< call,0.5775552155457248,-0.196434697536373,Bovid__family,taxongroup_comment,1,47
9,Wil-28c2_2_bovine-24,bovine,Bovid#family,appos<obj>conj>,buffalo,NOUN,16,appos<obj>conj> buffalo,0.5270031449037533,-0.2567419055803488,Bovid__family,taxongroup_comment,1,47
10,Wil-28c2_2_bovine-24,bovine,Bovid#family,appos<obj>conj>,buffalo,NOUN,19,appos<obj>conj> buffalo,0.5270031449037533,-0.2567419055803488,Bovid__family,taxongroup_comment,1,47
13,Wil-28c2_2_bovine-24,bovine,Bovid#family,amod>,large,ADJ,23,amod> large,-0.4244103461248629,-0.08700843123228835,Bovid__family,taxongroup_comment,1,47
14,Wil-28c2_2_bovine-24,bovine,Bovid#family,amod>,native,ADJ,25,amod> ...,-0.28313222240771274,-0.1243817957710061,Bovid__family,taxongroup_comment,1,47
4,Afr-324e_10_animals-8,animals,Animal#kingdom,amod>,big,ADJ,5,amod> ...,-0.3954677302171675,-0.17259696474949393,Bovid__family,taxongroup_comment,1,47
9,Bos-be23_11_mammals-20,mammals,Mammal#class,amod>,numerous,ADJ,19,amod> ...,-0.4435619542034225,-0.16064940204479825,Bovid__family,taxongroup_comment,1,47
9,Mon-b346_27_animals-12,animals,Animal#kingdom,amod>,numerous,ADJ,10,amod> ...,-0.4435619542034225,-0.16064940204479825,Bovid__family,taxongroup_comment,1,47
10,Mon-b346_27_animals-12,animals,Animal#kingdom,amod>,large,ADJ,11,amod> large,-0.4244103461248629,-0.08700843123228835,Bovid__family,taxongroup_comment,1,47
6,Tem-2c3b_12_vertebrates-15,vertebrates,Chordate#phylum,amod>,large,ADJ,14,amod> large,-0.4244103461248629,-0.08700843123228835,Bovid__family,taxongroup_comment,1,47
6,Hum-c1bb_341_animals-8,animals,Animal#kingdom,amod>,other,ADJ,7,amod> other,-0.46369768500076247,-0.162707895935697,Bovid__family,taxongroup_comment,1,47
5,Hyp-f6cf_10_animals-7,animals,Animal#kingdom,amod>,large,ADJ,6,amod> large,-0.4244103461248629,-0.08700843123228835,Bovid__family,taxongroup_comment,1,47
11,She-572b_371_animal-22,animal,Animal#kingdom,amod>,live,ADJ,21,amod> ...,-0.40791946239323407,-0.006984095539524818,Bovid__family,taxongroup_comment,1,47
15,Fro-2392_621_animals-29,animals,Animal#kingdom,amod>,higher,ADJ,28,amod> ...,-0.4284550705763757,0.057245301925376774,Bovid__family,taxongroup_comment,1,47
2,She-572b_18_animal-4,animal,Animal#kingdom,amod>,key,ADJ,3,amod> ...,-0.3616672463418669,-0.09542701799310288,Bovid__family,taxongroup_comment,1,47
3,She-572b_8_animals-5,animals,Animal#kingdom,amod>,earliest,ADJ,4,amod> ...,-0.3863635300368576,-0.07744840542942419,Bovid__family,taxongroup_comment,1,47
14,Ama-9e7a_263_animals-22,animals,Animal#kingdom,amod>,domestic,ADJ,21,amod> domestic,-0.3490662624088059,-0.14312127954595605,Bovid__family,taxongroup_comment,1,47
6,Red-1eff_77_animals-10,animals,Animal#kingdom,amod>,large,ADJ,8,amod> large,-0.4244103461248629,-0.08700843123228835,Bovid__family,taxongroup_comment,1,47
7,Red-1eff_77_animals-10,animals,Animal#kingdom,amod>,domestic,ADJ,9,amod> domestic,-0.3490662624088059,-0.14312127954595605,Bovid__family,taxongroup_comment,1,47
6,She-572b_183_animals-8,animals,Animal#kingdom,amod>,unintelligent,ADJ,7,amod> ...,-0.3745251967478803,-0.19470784010371384,Bovid__family,taxongroup_comment,1,47
5,She-572b_4_ungulates-17,ungulates,Even-toed_ungulate#order,appos<,member,NOUN,7,appos< ...,0.2253463284694101,0.03705674311026813,Bovid__family,taxongroup_comment,1,47
12,She-572b_4_ungulates-17,ungulates,Even-toed_ungulate#order,amod>,toe,VERB,16,amod> ...,-0.3678013081032969,-0.0793981283645503,Bovid__family,taxongroup_comment,1,47
