,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Dal-d353_2_sheep-9,sheep,Ovis#genus,conj>,thinhorn,NOUN,11,conj> ...,0.3584915602426678,-0.05047262223681488,Bovid__family,taxongroup_topic,1,10
8,Afr-324e_31_bison-16,bison,American_Bison#species,conj>,cattle,NOUN,19,conj> cattle,0.6971547104688138,-0.34965357911479383,Bovid__family,taxongroup_topic,1,10
9,Afr-324e_31_bison-16,bison,American_Bison#species,nsubj<,have,VERB,20,nsubj< have,-0.39479287486429293,-0.12147044416215627,Bovid__family,taxongroup_topic,1,10
3,Bla-3ee3_2_cervicapra-5,cervicapra,Blackbuck#species,appos<acl>advmod>,also,ADV,8,appos<acl>advmod> also,-0.4075612484345792,0.2836023672045047,Bovid__family,taxongroup_topic,1,10
1,Bov-01d4_22_cattle-2,cattle,Aurochs#species,conj>,Bos,PROPN,4,conj> ...,0.6582003159957657,-0.17953773812675478,Bovid__family,taxongroup_topic,1,10
12,Bov-01d4_22_cattle-2,cattle,Aurochs#species,conj>,indicus,SCONJ,19,conj> ...,0.5155379550977872,-0.07164777335128178,Bovid__family,taxongroup_topic,1,10
5,She-572b_18_sheep-11,sheep,Ovis#genus,nsubj<,have,VERB,12,nsubj< have,-0.39479287486429293,-0.12147044416215627,Bovid__family,taxongroup_topic,1,10
3,Aur263f_8_cattle-5,cattle,Aurochs#species,nsubj<,give,VERB,6,nsubj< ...,-0.3853455948465816,0.027798171934720804,Bovid__family,taxongroup_topic,1,10
5,Big-0af3_21_sheep-3,sheep,Ovis#genus,nsubj<,find,VERB,9,nsubj< ...,-0.2871163624650933,-0.14564957459757252,Bovid__family,taxongroup_topic,1,10
3,Big-0af3_19_sheep-4,sheep,Ovis#genus,conj>,Audubon,PROPN,7,conj> ...,0.39876770124798433,-0.025059946217267298,Bovid__family,taxongroup_topic,1,10
3,Cat-605b_196_cows-27,cows,Aurochs#species,nsubj<,be,VERB,21,nsubj< ...,-0.379686754566986,-0.1590273804265881,Bovid__family,taxongroup_topic,1,10
12,Cat-605b_196_cows-27,cows,Aurochs#species,conj>,1000,NUM,31,conj> ...,0.40081252062656714,-0.06397956070981914,Bovid__family,taxongroup_topic,1,10
5,Mar-3955_75_markhor-3,markhor,Markhor#species,nsubj<,have,VERB,9,nsubj< have,-0.39479287486429293,-0.12147044416215627,Bovid__family,taxongroup_topic,1,10
1,Argaf7f_1_sheep-2,sheep,Ovis#genus,nsubj<,robe,VERB,3,nsubj< ...,-0.04006227224308488,0.2624931650503037,Bovid__family,taxongroup_topic,5,65
6,Argaf7f_1_sheep-2,sheep,Ovis#genus,nsubj<obl>case>,during,ADP,10,nsubj<obl>case> ...,-0.1671008944505253,0.41788971419445536,Bovid__family,taxongroup_topic,5,65
5,Wat-9861_2_buffalo-3,buffalo,Water_Buffalo#species,nsubj<,call,VERB,10,nsubj< call,-0.17691956542216342,0.1690716831947856,Bovid__family,taxongroup_topic,5,65
11,Big-0af3_12_sheep-25,sheep,Ovis#genus,cc>,and,CCONJ,23,cc> and,0.5121642388377341,0.4936787079238476,Bovid__family,taxongroup_topic,5,65
0,Big-0af3_12_sheep-6,sheep,Ovis#genus,nsubj<obl>case>,in,ADP,1,nsubj<obl>case> in,-0.33716564666985793,0.4511326091194202,Bovid__family,taxongroup_topic,5,65
4,Big-0af3_12_sheep-6,sheep,Ovis#genus,nsubj<,diverge,VERB,7,nsubj< ...,-0.4234859591312219,-0.38709576848047256,Bovid__family,taxongroup_topic,5,65
5,Big-0af3_12_sheep-6,sheep,Ovis#genus,nsubj<obl>case>,into,ADP,8,nsubj<obl>case> ...,-0.3128001238921433,0.5037503244315067,Bovid__family,taxongroup_topic,5,65
9,Nub-af58_2_ibex-3,ibex,Nubian_Ibex#species,nsubj<,species,NOUN,14,nsubj< species,-0.4884908072505751,-0.2661278583801678,Bovid__family,taxongroup_topic,5,65
16,Wat-9861_91_buffalo-16,buffalo,Water_Buffalo#species,nsubj<,differentiate,VERB,36,nsubj< ...,-0.42282730101680827,-0.20194151190419954,Bovid__family,taxongroup_topic,5,65
17,Wat-9861_91_buffalo-16,buffalo,Water_Buffalo#species,nsubj<obl>case>,at,ADP,37,nsubj<obl>case> ...,-0.3202284049476591,0.32634153130799093,Bovid__family,taxongroup_topic,5,65
1,Big-0af3_56_sheep-8,sheep,Ovis#genus,compound>compound>,Rocky,PROPN,2,compound>compound> Rocky,0.5153482080870382,-0.3140896574568002,Bovid__family,taxongroup_topic,5,65
7,Big-0af3_56_sheep-8,sheep,Ovis#genus,nsubj<,occupy,VERB,9,nsubj< ...,-0.37992006211304397,-0.13901730755742592,Bovid__family,taxongroup_topic,5,65
1,Big-0af3_33_sheep-14,sheep,Ovis#genus,compound>compound>,c.,X,7,compound>compound> ...,0.21464368763384256,-0.20613336019431322,Bovid__family,taxongroup_topic,5,65
7,Big-0af3_34_sheep-9,sheep,Bighorn_Sheep#species,nsubj<,range,VERB,12,nsubj< ...,-0.2569810187500713,0.01734735210216612,Bovid__family,taxongroup_topic,5,65
2,Big-0af3_47_sheep-3,sheep,Ovis#genus,nsubj<,have,VERB,4,nsubj< have,-0.42865730818478764,-0.1889478943465698,Bovid__family,taxongroup_topic,5,65
4,Big-0af3_59_sheep-3,sheep,Ovis#genus,nsubj<,move,VERB,6,nsubj< ...,-0.07356780533649947,0.19805626087967734,Bovid__family,taxongroup_topic,5,65
5,Big-0af3_59_sheep-3,sheep,Ovis#genus,nsubj<obl>case>,through,ADP,7,nsubj<obl>case> ...,-0.30799985373608346,0.5521776092922588,Bovid__family,taxongroup_topic,5,65
15,Wal-cefe_2_ibex-3,ibex,Walia_Ibex#species,nsubj<,species,NOUN,22,nsubj< species,-0.4884908072505751,-0.2661278583801678,Bovid__family,taxongroup_topic,5,65
20,Bha-2df5_29_sheep-4,sheep,Ovis#genus,nsubj<,species,NOUN,28,nsubj< species,-0.4884908072505751,-0.2661278583801678,Bovid__family,taxongroup_topic,5,65
5,Man-5a67_13_cow-4,cow,Aurochs#species,nsubj<,reference,NOUN,7,nsubj< ...,-0.3425192395451353,-0.09911907033640505,Bovid__family,taxongroup_topic,5,65
4,Afr3777_5_buffalos-2,buffalos,African_Buffalo#species,nsubj<,animal,NOUN,7,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
5,Afr-324e_7_buffalo-3,buffalo,African_Buffalo#species,nsubj<,related,ADJ,7,nsubj< ...,-0.5153050725142656,-0.3550598062552422,Bovid__family,taxongroup_topic,5,65
6,Afr-324e_7_buffalo-3,buffalo,African_Buffalo#species,nsubj<obl>case>,to,ADP,8,nsubj<obl>case> to,-0.404276716365939,0.48605015202823326,Bovid__family,taxongroup_topic,5,65
9,Afr-324e_2_buffalo-3,buffalo,African_Buffalo#species,nsubj<,bovine,NOUN,13,nsubj< ...,-0.4852450223812163,-0.20585678813534947,Bovid__family,taxongroup_topic,5,65
13,Ame-d5c4_7_bison-38,bison,American_Bison#species,nsubj<,resource,NOUN,42,nsubj< ...,-0.3236784231229822,-0.034350380217825396,Bovid__family,taxongroup_topic,5,65
5,Ame48f4_3_bison-2,bison,American_Bison#species,nsubj<,mammal,NOUN,7,nsubj< mammal,-0.4557771145703513,-0.21862658356120618,Bovid__family,taxongroup_topic,5,65
0,Ame-d5c4_353_bison-6,bison,American_Bison#species,nsubj<obl>case>,in,ADP,1,nsubj<obl>case> in,-0.33716564666985793,0.4511326091194202,Bovid__family,taxongroup_topic,5,65
4,Ame-d5c4_353_bison-6,bison,American_Bison#species,nsubj<,become,VERB,7,nsubj< ...,-0.3822730400871379,-0.17679139185293685,Bovid__family,taxongroup_topic,5,65
5,Ame48f4_10_bison-2,bison,American_Bison#species,nsubj<,mammal,NOUN,7,nsubj< mammal,-0.4557771145703513,-0.21862658356120618,Bovid__family,taxongroup_topic,5,65
6,Wil-28c2_2_buffalo-4,buffalo,Water_Buffalo#species,nsubj<,call,VERB,11,nsubj< call,-0.17691956542216342,0.1690716831947856,Bovid__family,taxongroup_topic,5,65
4,Big-0af3_129_sheep-3,sheep,Ovis#genus,nsubj<,have,VERB,6,nsubj< have,-0.42865730818478764,-0.1889478943465698,Bovid__family,taxongroup_topic,5,65
9,Afr-324e_136_buffalo-27,buffalo,African_Buffalo#species,nsubj<,seek,NOUN,30,nsubj< ...,-0.24273991714042506,0.029863659552493458,Bovid__family,taxongroup_topic,5,65
2,Cap-9b25_2_Capra-1,Capra,Capra_genus#genus,nsubj<,genus,NOUN,4,nsubj< ...,-0.49293409954176304,-0.3493201212862311,Bovid__family,taxongroup_topic,5,65
6,Bos-be23_11_cattle-7,cattle,Aurochs#species,nsubj<,alive,VERB,8,nsubj< ...,-0.3049092977696584,-0.05329397799611619,Bovid__family,taxongroup_topic,5,65
0,Mar-3955_25_Markhor-1,Markhor,Markhor#species,nsubj<,live,VERB,2,nsubj< ...,-0.38054699862135244,-0.11234868575446243,Bovid__family,taxongroup_topic,5,65
1,Mar-3955_25_Markhor-1,Markhor,Markhor#species,nsubj<obl>case>,in,ADP,3,nsubj<obl>case> in,-0.33716564666985793,0.4511326091194202,Bovid__family,taxongroup_topic,5,65
4,Mon-b346_27_gazelle-3,gazelle,Mongolian_gazelle#species,nsubj<,one,NUM,6,nsubj< one,-0.403880335314214,-0.2296681538572632,Bovid__family,taxongroup_topic,5,65
4,Mam-3742_279_ox-26,ox,Muskox#species,nsubj<obl>case>,for,ADP,21,nsubj<obl>case> for,-0.4354654651600072,0.5307058630388667,Bovid__family,taxongroup_topic,5,65
8,Mam-3742_279_ox-26,ox,Muskox#species,nsubj<,have,VERB,27,nsubj< have,-0.42865730818478764,-0.1889478943465698,Bovid__family,taxongroup_topic,5,65
6,Big-0af3_118_sheep-2,sheep,Ovis#genus,nsubj<,animal,NOUN,8,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
2,She-572b_363_Sheep-1,Sheep,Ovis#genus,nsubj<,beneficial,ADJ,4,nsubj< ...,-0.41813215210666066,-0.1379964629752718,Bovid__family,taxongroup_topic,5,65
3,She-572b_363_Sheep-1,Sheep,Ovis#genus,nsubj<obl>case>,for,ADP,5,nsubj<obl>case> for,-0.4354654651600072,0.5307058630388667,Bovid__family,taxongroup_topic,5,65
1,Big-0af3_126_sheep-5,sheep,Ovis#genus,compound>compound>,Rocky,PROPN,2,compound>compound> Rocky,0.5153482080870382,-0.3140896574568002,Bovid__family,taxongroup_topic,5,65
7,Big-0af3_126_sheep-5,sheep,Ovis#genus,nsubj<,mammal,NOUN,9,nsubj< mammal,-0.4557771145703513,-0.21862658356120618,Bovid__family,taxongroup_topic,5,65
0,She-572b_224_Sheep-1,Sheep,Ovis#genus,nsubj<,follow,VERB,2,nsubj< ...,-0.4112745375962394,-0.3832499982884396,Bovid__family,taxongroup_topic,5,65
5,She-572b_224_Sheep-1,Sheep,Ovis#genus,nsubj<obl>case>,to,ADP,7,nsubj<obl>case> to,-0.404276716365939,0.48605015202823326,Bovid__family,taxongroup_topic,5,65
2,Ovi-a47a_37_Sheep-1,Sheep,Ovis#genus,nsubj<,animal,NOUN,4,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
10,She-572b_438_sheep-20,sheep,Ovis#genus,nsubj<,eighth,NOUN,23,nsubj< ...,-0.30662773001464394,-0.24636422760360388,Bovid__family,taxongroup_topic,5,65
2,She-572b_360_Sheep-1,Sheep,Ovis#genus,nsubj<,consume,VERB,4,nsubj< ...,-0.2557877765346789,0.11820333776875552,Bovid__family,taxongroup_topic,5,65
2,She-572b_140_Sheep-1,Sheep,Ovis#genus,nsubj<,grazing,VERB,4,nsubj< ...,-0.31005303468232037,0.047136279507364445,Bovid__family,taxongroup_topic,5,65
9,Bov-d455_287_sheep-2,sheep,Ovis#genus,nsubj<,animal,NOUN,15,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
5,She-572b_81_sheep-3,sheep,Ovis#genus,nsubj<,animal,NOUN,7,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
2,She-572b_153_Sheep-1,Sheep,Ovis#genus,nsubj<,animal,NOUN,4,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
0,She-572b_4_sheep-5,sheep,Ovis#genus,nsubj<obl>case>,like,ADP,1,nsubj<obl>case> like,-0.5174343881364789,0.47237296270619983,Bovid__family,taxongroup_topic,5,65
4,She-572b_4_sheep-5,sheep,Ovis#genus,nsubj<,member,NOUN,7,nsubj< member,-0.5345546305233128,-0.3910356226960857,Bovid__family,taxongroup_topic,5,65
6,Big-0af3_127_sheep-4,sheep,Ovis#genus,nsubj<,mammal,NOUN,8,nsubj< mammal,-0.4557771145703513,-0.21862658356120618,Bovid__family,taxongroup_topic,5,65
12,She-572b_398_sheep-8,sheep,Ovis#genus,nsubj<,mammal,NOUN,28,nsubj< mammal,-0.4557771145703513,-0.21862658356120618,Bovid__family,taxongroup_topic,5,65
6,Wat-9861_114_buffalo-3,buffalo,Water_Buffalo#species,nsubj<,animal,NOUN,8,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
0,Wat-9861_259_buffalo-13,buffalo,Water_Buffalo#species,nsubj<obl>case>,in,ADP,1,nsubj<obl>case> in,-0.33716564666985793,0.4511326091194202,Bovid__family,taxongroup_topic,5,65
11,Wat-9861_259_buffalo-13,buffalo,Water_Buffalo#species,nsubj<,zodiac,NOUN,18,nsubj< zodiac,-0.35054105759630805,-0.2758675492553911,Bovid__family,taxongroup_topic,5,65
7,Wat-9861_274_buffalo-5,buffalo,Water_Buffalo#species,nsubj<,zodiac,NOUN,10,nsubj< zodiac,-0.35054105759630805,-0.2758675492553911,Bovid__family,taxongroup_topic,5,65
8,Big-0af3_6_sheep-28,sheep,Bighorn_Sheep#species,cc>,and,CCONJ,25,cc> and,0.5121642388377341,0.4936787079238476,Bovid__family,taxongroup_topic,5,65
5,Bla-3ee3_12_blackbuck-2,blackbuck,Blackbuck#species,nsubj<,member,NOUN,7,nsubj< member,-0.5345546305233128,-0.3910356226960857,Bovid__family,taxongroup_topic,5,65
5,Bla-3ee3_39_blackbuck-2,blackbuck,Blackbuck#species,nsubj<,member,NOUN,7,nsubj< member,-0.5345546305233128,-0.3910356226960857,Bovid__family,taxongroup_topic,5,65
6,Blu-3a31_193_wildebeest-15,wildebeest,Blue_Wildebeest#species,nsubj<,one,NUM,17,nsubj< one,-0.403880335314214,-0.2296681538572632,Bovid__family,taxongroup_topic,5,65
4,Blu-3a31_160_wildebeest-8,wildebeest,Blue_Wildebeest#species,nsubj<,bovid,NOUN,5,nsubj< ...,-0.4493236811003147,-0.27245636629222114,Bovid__family,taxongroup_topic,5,65
6,Blu-3a31_89_wildebeest-8,wildebeest,Blue_Wildebeest#species,nsubj<,possess,VERB,9,nsubj< ...,-0.3001565309447096,-0.047936750501779736,Bovid__family,taxongroup_topic,5,65
0,Bon-fbc3_160_bongo-9,bongo,Bongo_antelope#species,nsubj<obl>case>,along,ADP,1,nsubj<obl>case> ...,-0.2627108681902279,0.46511597843705527,Bovid__family,taxongroup_topic,5,65
1,Bon-fbc3_160_bongo-9,bongo,Bongo_antelope#species,nsubj<obl>case>,with,ADP,2,nsubj<obl>case> ...,-0.5163522517404642,0.4829948646205338,Bovid__family,taxongroup_topic,5,65
9,Bon-fbc3_160_bongo-9,bongo,Bongo_antelope#species,nsubj<,one,NUM,12,nsubj< one,-0.403880335314214,-0.2296681538572632,Bovid__family,taxongroup_topic,5,65
0,Bon7c8f_5_bongos-6,bongos,Bongo_antelope#species,nsubj<obl>case>,despite,ADP,1,nsubj<obl>case> ...,-0.4373464247826332,0.42847334322202874,Bovid__family,taxongroup_topic,5,65
7,Bon7c8f_5_bongos-6,bongos,Bongo_antelope#species,nsubj<,animal,NOUN,11,nsubj< animal,-0.4078101822360376,-0.12424843165251306,Bovid__family,taxongroup_topic,5,65
