,feat,cluster,pw_entr,feat_n,N,group,relrole
0,advmod> ...,0,-0.006,1,157,Bovid__family,adaptation_comment
2,amod< ...,0,0.054,15,157,Bovid__family,adaptation_comment
3,amod< animal,0,0.016,2,157,Bovid__family,adaptation_comment
4,amod< behavior,0,0.056,8,157,Bovid__family,adaptation_comment
5,amod< behaviour,0,0.039,5,157,Bovid__family,adaptation_comment
6,amod< dinosaur,0,0.001,1,157,Bovid__family,adaptation_comment
7,amod< group,0,0.001,1,157,Bovid__family,adaptation_comment
8,amod< interaction,0,0.016,2,157,Bovid__family,adaptation_comment
9,amod< male,0,0.003,1,157,Bovid__family,adaptation_comment
10,amod< mammal,0,-0.004,1,157,Bovid__family,adaptation_comment
12,amod< structure,0,-0.001,1,157,Bovid__family,adaptation_comment
17,amod<amod> ...,0,-0.001,6,157,Bovid__family,adaptation_comment
21,amod<appos< ...,0,0.01,2,157,Bovid__family,adaptation_comment
22,amod<appos< buffalo,0,0.023,3,157,Bovid__family,adaptation_comment
23,amod<case> ...,0,0.007,3,157,Bovid__family,adaptation_comment
25,amod<case> in,0,0.018,3,157,Bovid__family,adaptation_comment
26,amod<case> of,0,0.036,6,157,Bovid__family,adaptation_comment
27,amod<case> to,0,0.003,1,157,Bovid__family,adaptation_comment
29,amod<cc> and,0,0.014,3,157,Bovid__family,adaptation_comment
31,amod<conj< ...,0,0.007,3,157,Bovid__family,adaptation_comment
32,amod<conj<amod> ...,0,0.023,3,157,Bovid__family,adaptation_comment
33,amod<conj<case> ...,0,0.01,2,157,Bovid__family,adaptation_comment
34,amod<conj<case> of,0,0.003,1,157,Bovid__family,adaptation_comment
35,amod<conj<nmod< ...,0,0.01,2,157,Bovid__family,adaptation_comment
36,amod<conj> ...,0,0.002,3,157,Bovid__family,adaptation_comment
37,amod<conj> feed,0,0.01,2,157,Bovid__family,adaptation_comment
38,amod<conj> habitats,0,0.016,2,157,Bovid__family,adaptation_comment
39,amod<conj> reproduction,0,0.016,2,157,Bovid__family,adaptation_comment
40,amod<conj>amod> ...,0,0.007,2,157,Bovid__family,adaptation_comment
42,amod<conj>cc> and,0,0.046,8,157,Bovid__family,adaptation_comment
44,amod<cop> be,0,-0.0,2,157,Bovid__family,adaptation_comment
45,amod<det> a,0,0.007,3,157,Bovid__family,adaptation_comment
46,amod<det> the,0,-0.005,1,157,Bovid__family,adaptation_comment
47,amod<nmod:poss>case> 's,0,0.003,1,157,Bovid__family,adaptation_comment
48,amod<nmod:poss>case> ...,0,0.008,1,157,Bovid__family,adaptation_comment
49,amod<nmod< ...,0,0.051,8,157,Bovid__family,adaptation_comment
50,amod<nmod< difference,0,0.016,2,157,Bovid__family,adaptation_comment
51,amod<nmod< group,0,0.003,1,157,Bovid__family,adaptation_comment
52,amod<nmod<amod> ...,0,0.01,2,157,Bovid__family,adaptation_comment
53,amod<nmod<case> ...,0,0.003,1,157,Bovid__family,adaptation_comment
54,amod<nmod<case> of,0,0.016,2,157,Bovid__family,adaptation_comment
55,amod<nmod<det> a,0,0.01,2,157,Bovid__family,adaptation_comment
56,amod<nmod<det> the,0,0.043,7,157,Bovid__family,adaptation_comment
58,amod<nmod<nsubj< prevent,0,0.016,2,157,Bovid__family,adaptation_comment
59,amod<nmod> ...,0,-0.002,1,157,Bovid__family,adaptation_comment
