,feat,cluster,pw_entr,feat_n,N,group,relrole
5,advmod> ...,0,0.001,1,197,Bovid__family,adaptation_topic
6,amod> ...,0,-0.006,1,197,Bovid__family,adaptation_topic
8,amod> african,0,-0.004,1,197,Bovid__family,adaptation_topic
10,amod> bighorn,0,0.008,2,197,Bovid__family,adaptation_topic
12,amod> blue,0,0.0,3,197,Bovid__family,adaptation_topic
13,amod> domestic,0,0.004,2,197,Bovid__family,adaptation_topic
26,appos> ...,0,0.006,3,197,Bovid__family,adaptation_topic
32,appos> t.,0,0.006,1,197,Bovid__family,adaptation_topic
33,appos>amod> ...,0,0.012,2,197,Bovid__family,adaptation_topic
35,appos>compound> ...,0,0.012,2,197,Bovid__family,adaptation_topic
41,appos>nmod> sheep,0,0.019,2,197,Bovid__family,adaptation_topic
43,appos>nmod>case> of,0,0.019,2,197,Bovid__family,adaptation_topic
44,appos>nmod>compound> ...,0,0.009,1,197,Bovid__family,adaptation_topic
45,appos>nmod>compound> bighorn,0,0.019,2,197,Bovid__family,adaptation_topic
46,case> ...,0,-0.0,1,197,Bovid__family,adaptation_topic
57,cc> ...,0,0.009,1,197,Bovid__family,adaptation_topic
58,cc> and,0,0.057,6,197,Bovid__family,adaptation_topic
59,cc> or,0,0.006,1,197,Bovid__family,adaptation_topic
86,compound> ...,0,-0.003,1,197,Bovid__family,adaptation_topic
88,compound> cape,0,0.002,1,197,Bovid__family,adaptation_topic
91,compound> sea,0,0.0,1,197,Bovid__family,adaptation_topic
92,compound> water,0,-0.004,1,197,Bovid__family,adaptation_topic
93,conj< ...,0,0.076,9,197,Bovid__family,adaptation_topic
94,conj< bison,0,0.019,2,197,Bovid__family,adaptation_topic
95,conj< impala,0,0.019,2,197,Bovid__family,adaptation_topic
97,conj<amod> ...,0,0.015,2,197,Bovid__family,adaptation_topic
100,conj<appos<conj> ...,0,0.028,3,197,Bovid__family,adaptation_topic
101,conj<appos> ...,0,0.019,2,197,Bovid__family,adaptation_topic
103,conj<appos>compound> ...,0,0.009,1,197,Bovid__family,adaptation_topic
105,conj<case> ...,0,0.047,5,197,Bovid__family,adaptation_topic
106,conj<case> for,0,0.019,2,197,Bovid__family,adaptation_topic
107,conj<case> like,0,0.019,2,197,Bovid__family,adaptation_topic
108,conj<case> such,0,0.019,2,197,Bovid__family,adaptation_topic
109,conj<compound> ...,0,0.033,4,197,Bovid__family,adaptation_topic
110,conj<conj> ...,0,0.1,12,197,Bovid__family,adaptation_topic
114,conj<conj>amod> ...,0,0.019,2,197,Bovid__family,adaptation_topic
118,conj<conj>cc> ...,0,0.009,1,197,Bovid__family,adaptation_topic
119,conj<conj>cc> and,0,0.004,1,197,Bovid__family,adaptation_topic
120,conj<conj>compound> ...,0,0.006,1,197,Bovid__family,adaptation_topic
122,conj<conj>det> ...,0,0.009,1,197,Bovid__family,adaptation_topic
124,conj<cop> be,0,0.004,1,197,Bovid__family,adaptation_topic
125,conj<det> ...,0,0.009,1,197,Bovid__family,adaptation_topic
126,conj<det> the,0,0.033,4,197,Bovid__family,adaptation_topic
127,conj<nmod< ...,0,0.038,4,197,Bovid__family,adaptation_topic
128,conj<nsubj< ...,0,0.015,2,197,Bovid__family,adaptation_topic
129,conj<nsubj<conj> ...,0,0.039,5,197,Bovid__family,adaptation_topic
130,conj<obl< ...,0,0.028,3,197,Bovid__family,adaptation_topic
131,conj<obl<nsubj> ...,0,0.028,3,197,Bovid__family,adaptation_topic
139,det> a,0,0.002,1,197,Bovid__family,adaptation_topic
140,det> the,0,0.007,9,197,Bovid__family,adaptation_topic
194,nsubj< ...,0,0.006,4,197,Bovid__family,adaptation_topic
195,nsubj< active,0,0.006,1,197,Bovid__family,adaptation_topic
197,nsubj< form,0,0.006,1,197,Bovid__family,adaptation_topic
198,nsubj< have,0,0.013,3,197,Bovid__family,adaptation_topic
204,nsubj<advcl> ...,0,0.01,2,197,Bovid__family,adaptation_topic
205,nsubj<advcl>mark> ...,0,0.009,1,197,Bovid__family,adaptation_topic
206,nsubj<advcl>mark> while,0,0.006,1,197,Bovid__family,adaptation_topic
207,nsubj<advcl>obj> ...,0,0.004,1,197,Bovid__family,adaptation_topic
208,nsubj<advcl>obl> ...,0,0.015,2,197,Bovid__family,adaptation_topic
209,nsubj<advmod> ...,0,0.012,3,197,Bovid__family,adaptation_topic
212,nsubj<aux> can,0,0.015,2,197,Bovid__family,adaptation_topic
213,nsubj<aux> have,0,0.006,1,197,Bovid__family,adaptation_topic
214,nsubj<ccomp< ...,0,0.01,2,197,Bovid__family,adaptation_topic
218,nsubj<conj> ...,0,-0.002,1,197,Bovid__family,adaptation_topic
221,nsubj<conj>nsubj> ...,0,0.004,1,197,Bovid__family,adaptation_topic
222,nsubj<conj>obj> ...,0,0.002,1,197,Bovid__family,adaptation_topic
223,nsubj<cop> be,0,-0.005,1,197,Bovid__family,adaptation_topic
227,nsubj<mark> that,0,0.024,3,197,Bovid__family,adaptation_topic
229,nsubj<nmod> ...,0,0.001,1,197,Bovid__family,adaptation_topic
