,feat,cluster,pw_entr,feat_n,N,group,relrole
15,amod> ...,0,0.01,2,108,Bovid__family,taxongroup_topic
22,amod> blue,0,0.011,1,108,Bovid__family,taxongroup_topic
23,amod> domestic,0,0.002,1,108,Bovid__family,taxongroup_topic
24,amod> horn,0,0.024,1,108,Bovid__family,taxongroup_topic
26,amod>advmod> ...,0,0.013,1,108,Bovid__family,taxongroup_topic
27,appos< ...,0,0.005,1,108,Bovid__family,taxongroup_topic
28,appos< Bubalus,0,0.054,2,108,Bovid__family,taxongroup_topic
35,appos<appos> ...,0,0.024,1,108,Bovid__family,taxongroup_topic
36,appos<appos> Bubalus,0,0.061,2,108,Bovid__family,taxongroup_topic
37,appos<appos> buffalo,0,0.061,2,108,Bovid__family,taxongroup_topic
38,appos<appos>compound> ...,0,0.061,2,108,Bovid__family,taxongroup_topic
39,appos<appos>compound> water,0,0.061,2,108,Bovid__family,taxongroup_topic
41,appos<appos>flat> palaeokerabau,0,0.061,2,108,Bovid__family,taxongroup_topic
48,appos<compound> Bubalus,0,0.061,2,108,Bovid__family,taxongroup_topic
50,appos<compound>flat> Rozzi,0,0.061,2,108,Bovid__family,taxongroup_topic
51,appos<compound>flat> grovesi,0,0.061,2,108,Bovid__family,taxongroup_topic
52,appos<compound>list> Hopwood,0,0.061,2,108,Bovid__family,taxongroup_topic
53,appos<compound>list> mephistophele,0,0.061,2,108,Bovid__family,taxongroup_topic
57,appos<flat> ...,0,0.048,2,108,Bovid__family,taxongroup_topic
58,appos<flat> Berckhemer,0,0.061,2,108,Bovid__family,taxongroup_topic
59,appos<flat> Dubois,0,0.061,2,108,Bovid__family,taxongroup_topic
60,appos<flat> E.,0,0.061,2,108,Bovid__family,taxongroup_topic
61,appos<flat> murrensis,0,0.061,2,108,Bovid__family,taxongroup_topic
62,appos<list> ...,0,0.048,2,108,Bovid__family,taxongroup_topic
63,appos<list> 1957,0,0.061,2,108,Bovid__family,taxongroup_topic
64,appos<list> Bubalus,0,0.061,2,108,Bovid__family,taxongroup_topic
65,appos<list> Chow,0,0.061,2,108,Bovid__family,taxongroup_topic
66,appos<list> Lydekker,0,0.061,2,108,Bovid__family,taxongroup_topic
67,appos<list> young,0,0.061,2,108,Bovid__family,taxongroup_topic
68,appos<list>compound> ...,0,0.061,2,108,Bovid__family,taxongroup_topic
69,appos<list>compound> Bubalus,0,0.175,6,108,Bovid__family,taxongroup_topic
70,appos<list>compound> platycero,0,0.061,2,108,Bovid__family,taxongroup_topic
71,appos<list>compound> teilhardi,0,0.061,2,108,Bovid__family,taxongroup_topic
72,appos<list>compound> youngi,0,0.061,2,108,Bovid__family,taxongroup_topic
73,appos<list>nummod> ...,0,0.024,1,108,Bovid__family,taxongroup_topic
74,appos<list>nummod> 1877,0,0.061,2,108,Bovid__family,taxongroup_topic
75,appos<list>nummod> 1908,0,0.061,2,108,Bovid__family,taxongroup_topic
76,appos<list>nummod> 1928,0,0.061,2,108,Bovid__family,taxongroup_topic
77,appos<list>nummod> 1932,0,0.061,2,108,Bovid__family,taxongroup_topic
81,appos> ...,0,0.001,1,108,Bovid__family,taxongroup_topic
100,appos>nmod> ...,0,0.054,2,108,Bovid__family,taxongroup_topic
103,appos>nmod>case> in,0,0.061,2,108,Bovid__family,taxongroup_topic
113,case> of,0,0.001,1,108,Bovid__family,taxongroup_topic
122,compound< ...,0,-0.001,1,108,Bovid__family,taxongroup_topic
126,compound<amod> ...,0,0.01,1,108,Bovid__family,taxongroup_topic
127,compound<appos<appos> ...,0,0.123,4,108,Bovid__family,taxongroup_topic
128,compound<appos<conj> ...,0,0.153,5,108,Bovid__family,taxongroup_topic
166,compound> ...,0,-0.004,1,108,Bovid__family,taxongroup_topic
176,compound> water,0,0.015,2,108,Bovid__family,taxongroup_topic
350,det> the,0,-0.011,1,108,Bovid__family,taxongroup_topic
353,nmod< ...,0,-0.001,1,108,Bovid__family,taxongroup_topic
359,nmod<amod> ...,0,0.004,1,108,Bovid__family,taxongroup_topic
399,nmod<det> a,0,0.011,1,108,Bovid__family,taxongroup_topic
410,nmod<nsubj< ...,0,0.02,1,108,Bovid__family,taxongroup_topic
412,nmod<nsubj<obl> ...,0,0.145,5,108,Bovid__family,taxongroup_topic
439,nsubj:pass< ...,0,0.01,1,108,Bovid__family,taxongroup_topic
443,nsubj:pass<aux:pass> be,0,0.005,1,108,Bovid__family,taxongroup_topic
444,nsubj:pass<aux> have,0,0.016,1,108,Bovid__family,taxongroup_topic
633,acl> ...,1,0.0,1,692,Bovid__family,taxongroup_topic
644,advmod> ...,1,0.004,3,692,Bovid__family,taxongroup_topic
645,amod> ...,1,-0.002,6,692,Bovid__family,taxongroup_topic
648,amod> african,1,0.001,2,692,Bovid__family,taxongroup_topic
649,amod> american,1,-0.0,2,692,Bovid__family,taxongroup_topic
650,amod> asian,1,0.001,1,692,Bovid__family,taxongroup_topic
651,amod> bighorn,1,0.007,9,692,Bovid__family,taxongroup_topic
652,amod> blue,1,-0.001,1,692,Bovid__family,taxongroup_topic
653,amod> domestic,1,0.005,8,692,Bovid__family,taxongroup_topic
655,amod> wild,1,0.002,4,692,Bovid__family,taxongroup_topic
656,amod>advmod> ...,1,-0.001,1,692,Bovid__family,taxongroup_topic
657,appos< ...,1,0.009,8,692,Bovid__family,taxongroup_topic
659,appos< name,1,0.001,1,692,Bovid__family,taxongroup_topic
660,appos<acl> know,1,0.001,1,692,Bovid__family,taxongroup_topic
661,appos<acl>advmod> also,1,0.001,1,692,Bovid__family,taxongroup_topic
662,appos<acl>obl> ...,1,0.001,1,692,Bovid__family,taxongroup_topic
663,appos<amod> ...,1,0.003,3,692,Bovid__family,taxongroup_topic
664,appos<amod> common,1,0.001,1,692,Bovid__family,taxongroup_topic
672,appos<case> ...,1,0.006,3,692,Bovid__family,taxongroup_topic
677,appos<compound> ...,1,0.0,1,692,Bovid__family,taxongroup_topic
684,appos<conj> ...,1,0.002,2,692,Bovid__family,taxongroup_topic
686,appos<det> the,1,0.006,4,692,Bovid__family,taxongroup_topic
