feat	count	weight	rel_role	group_name
amod< ...	68.0	0.34	adaptation_comment	Bovid__family
amod<amod> ...	27.0	0.578	adaptation_comment	Bovid__family
amod> ...	24.0	0.988	adaptation_comment	Bovid__family
amod<case> ...	23.0	0.539	adaptation_comment	Bovid__family
amod<conj> ...	16.0	0.231	adaptation_comment	Bovid__family
amod<nmod< ...	14.0	0.228	adaptation_comment	Bovid__family
amod<det> ...	14.0	0.74	adaptation_comment	Bovid__family
amod<conj>cc> ...	12.0	0.597	adaptation_comment	Bovid__family
amod<nmod<det> ...	12.0	0.424	adaptation_comment	Bovid__family
advmod> ...	11.0	0.485	adaptation_comment	Bovid__family
amod<conj>cc> and	11.0	0.611	adaptation_comment	Bovid__family
nmod>case> ...	10.0	0.86	adaptation_comment	Bovid__family
nmod> ...	10.0	0.486	adaptation_comment	Bovid__family
amod<nmod<det> the	9.0	0.39	adaptation_comment	Bovid__family
amod< behavior	9.0	0.229	adaptation_comment	Bovid__family
amod<obl< ...	9.0	0.372	adaptation_comment	Bovid__family
amod<case> of	8.0	0.577	adaptation_comment	Bovid__family
case> ...	8.0	0.969	adaptation_comment	Bovid__family
amod<nsubj< ...	8.0	0.345	adaptation_comment	Bovid__family
obj< ...	8.0	0.431	adaptation_comment	Bovid__family
nsubj> ...	7.0	0.51	adaptation_comment	Bovid__family
amod<nmod> ...	7.0	0.595	adaptation_comment	Bovid__family
amod<nsubj> ...	7.0	0.49	adaptation_comment	Bovid__family
conj> ...	7.0	1.041	adaptation_comment	Bovid__family
amod<obj< ...	7.0	0.292	adaptation_comment	Bovid__family
amod<cop> ...	7.0	0.523	adaptation_comment	Bovid__family
cop> be	7.0	0.486	adaptation_comment	Bovid__family
cop> ...	7.0	0.486	adaptation_comment	Bovid__family
amod<nmod>case> ...	7.0	0.598	adaptation_comment	Bovid__family
amod<det> the	7.0	0.723	adaptation_comment	Bovid__family
nsubj:pass<obl>case> ...	7.0	0.411	adaptation_comment	Bovid__family
amod<det> a	7.0	0.758	adaptation_comment	Bovid__family
amod<cop> be	7.0	0.523	adaptation_comment	Bovid__family
amod<conj< ...	7.0	0.391	adaptation_comment	Bovid__family
obj<nsubj> ...	6.0	0.253	adaptation_comment	Bovid__family
amod<appos< ...	6.0	0.401	adaptation_comment	Bovid__family
amod<cc> ...	6.0	0.285	adaptation_comment	Bovid__family
compound> ...	6.0	0.657	adaptation_comment	Bovid__family
amod< mammal	6.0	0.626	adaptation_comment	Bovid__family
amod<cc> and	5.0	0.28	adaptation_comment	Bovid__family
amod< behaviour	5.0	0.218	adaptation_comment	Bovid__family
conj>cc> ...	5.0	0.783	adaptation_comment	Bovid__family
amod<obj<nsubj> ...	5.0	0.19	adaptation_comment	Bovid__family
nmod>case> in	5.0	0.943	adaptation_comment	Bovid__family
compound< ...	5.0	0.834	adaptation_comment	Bovid__family
conj>cc> and	5.0	0.979	adaptation_comment	Bovid__family
conj<conj> ...	5.0	0.803	adaptation_comment	Bovid__family
nmod< ...	5.0	0.458	adaptation_comment	Bovid__family
nsubj:pass<obl> ...	5.0	0.36	adaptation_comment	Bovid__family
det> ...	5.0	0.816	adaptation_comment	Bovid__family
amod<conj<case> ...	5.0	0.323	adaptation_comment	Bovid__family
obl> ...	4.0	0.33	adaptation_comment	Bovid__family
nsubj< ...	4.0	0.897	adaptation_comment	Bovid__family
amod<nmod<case> ...	4.0	0.312	adaptation_comment	Bovid__family
amod<acl> ...	4.0	0.659	adaptation_comment	Bovid__family
amod<advmod> ...	4.0	0.362	adaptation_comment	Bovid__family
nsubj>amod> ...	4.0	0.342	adaptation_comment	Bovid__family
nsubj:pass<obl>case> in	4.0	0.462	adaptation_comment	Bovid__family
amod<conj>amod> ...	4.0	0.281	adaptation_comment	Bovid__family
nmod>det> ...	4.0	0.394	adaptation_comment	Bovid__family
det> a	4.0	0.872	adaptation_comment	Bovid__family
amod<nsubj<obj> ...	4.0	0.133	adaptation_comment	Bovid__family
nsubj:pass< ...	4.0	0.265	adaptation_comment	Bovid__family
