	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Bovid__family	1753
1	adaptation_comment	adaptation_topic	0.48679477621624484	Bovid__family	1753
2	adaptation_comment	free_topic	0.46349364009116073	Bovid__family	1753
3	adaptation_comment	location_comment	0.5597532348026536	Bovid__family	1753
4	adaptation_comment	location_topic	0.4816375475505094	Bovid__family	1753
5	adaptation_comment	taxongroup_comment	0.44034055853737	Bovid__family	1753
6	adaptation_comment	taxongroup_topic	0.48610647249470595	Bovid__family	1753
7	adaptation_topic	adaptation_comment	0.48679477621624484	Bovid__family	1753
8	adaptation_topic	adaptation_topic	0.0	Bovid__family	1753
9	adaptation_topic	free_topic	0.3391953706397528	Bovid__family	1753
10	adaptation_topic	location_comment	0.5018584486352049	Bovid__family	1753
11	adaptation_topic	location_topic	0.36359461903387535	Bovid__family	1753
12	adaptation_topic	taxongroup_comment	0.3660221538265357	Bovid__family	1753
13	adaptation_topic	taxongroup_topic	0.38416058828433963	Bovid__family	1753
14	free_topic	adaptation_comment	0.46349364009116073	Bovid__family	1753
15	free_topic	adaptation_topic	0.3391953706397528	Bovid__family	1753
16	free_topic	free_topic	0.0	Bovid__family	1753
17	free_topic	location_comment	0.40509438371143935	Bovid__family	1753
18	free_topic	location_topic	0.33055856827497276	Bovid__family	1753
19	free_topic	taxongroup_comment	0.2796097561489967	Bovid__family	1753
20	free_topic	taxongroup_topic	0.2479309819048401	Bovid__family	1753
21	location_comment	adaptation_comment	0.5597532348026536	Bovid__family	1753
22	location_comment	adaptation_topic	0.5018584486352049	Bovid__family	1753
23	location_comment	free_topic	0.40509438371143935	Bovid__family	1753
24	location_comment	location_comment	0.0	Bovid__family	1753
25	location_comment	location_topic	0.5053285489738416	Bovid__family	1753
26	location_comment	taxongroup_comment	0.47751088401529085	Bovid__family	1753
27	location_comment	taxongroup_topic	0.4849070045638729	Bovid__family	1753
28	location_topic	adaptation_comment	0.4816375475505094	Bovid__family	1753
29	location_topic	adaptation_topic	0.36359461903387535	Bovid__family	1753
30	location_topic	free_topic	0.33055856827497276	Bovid__family	1753
31	location_topic	location_comment	0.5053285489738416	Bovid__family	1753
32	location_topic	location_topic	0.0	Bovid__family	1753
33	location_topic	taxongroup_comment	0.34116847953498514	Bovid__family	1753
34	location_topic	taxongroup_topic	0.3401032586029371	Bovid__family	1753
35	taxongroup_comment	adaptation_comment	0.44034055853737	Bovid__family	1753
36	taxongroup_comment	adaptation_topic	0.3660221538265357	Bovid__family	1753
37	taxongroup_comment	free_topic	0.2796097561489967	Bovid__family	1753
38	taxongroup_comment	location_comment	0.47751088401529085	Bovid__family	1753
39	taxongroup_comment	location_topic	0.34116847953498514	Bovid__family	1753
40	taxongroup_comment	taxongroup_comment	0.0	Bovid__family	1753
41	taxongroup_comment	taxongroup_topic	0.2911398209190297	Bovid__family	1753
42	taxongroup_topic	adaptation_comment	0.48610647249470595	Bovid__family	1753
43	taxongroup_topic	adaptation_topic	0.38416058828433963	Bovid__family	1753
44	taxongroup_topic	free_topic	0.2479309819048401	Bovid__family	1753
45	taxongroup_topic	location_comment	0.4849070045638729	Bovid__family	1753
46	taxongroup_topic	location_topic	0.3401032586029371	Bovid__family	1753
47	taxongroup_topic	taxongroup_comment	0.2911398209190297	Bovid__family	1753
48	taxongroup_topic	taxongroup_topic	0.0	Bovid__family	1753
