feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj<obj>conj> ...,0.942,0.0,0.577,0.134,4,Carnivora__order,taxongroup_comment
case> for,0.933,0.001,0.926,0.001,6,Carnivora__order,taxongroup_comment
obl<mark> as,0.93,0.001,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj<conj> elephant,0.928,0.001,0.577,0.134,2,Carnivora__order,taxongroup_comment
compound<conj< subspecy,-0.927,0.001,-0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod> ...,0.926,0.001,0.946,0.0,55,Carnivora__order,taxongroup_comment
conj<conj> mink,0.924,0.001,0.577,0.134,5,Carnivora__order,taxongroup_comment
conj<conj> wolf,0.921,0.001,0.577,0.134,7,Carnivora__order,taxongroup_comment
obl<obj>amod> ...,0.92,0.001,0.577,0.134,3,Carnivora__order,taxongroup_comment
conj<conj> lion,0.918,0.001,0.577,0.134,3,Carnivora__order,taxongroup_comment
conj<conj> coyote,0.916,0.001,0.577,0.134,3,Carnivora__order,taxongroup_comment
conj<conj> fox,0.913,0.002,0.577,0.134,4,Carnivora__order,taxongroup_comment
obl< feed,0.907,0.002,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj<conj> bird,0.906,0.002,0.577,0.134,3,Carnivora__order,taxongroup_comment
conj<conj> ...,0.904,0.002,0.577,0.134,60,Carnivora__order,taxongroup_comment
nsubj<obl>case> with,0.899,0.002,0.756,0.03,2,Carnivora__order,taxongroup_comment
amod> golden,0.898,0.002,0.939,0.001,42,Carnivora__order,taxongroup_comment
nsubj<obj>compound> ...,0.892,0.003,0.764,0.027,4,Carnivora__order,taxongroup_comment
compound>amod> small,0.886,0.003,0.577,0.134,2,Carnivora__order,taxongroup_comment
nsubj<obl>case> than,0.885,0.003,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod>det> the,0.883,0.004,0.854,0.007,23,Carnivora__order,taxongroup_comment
nmod>conj> lion,0.881,0.004,0.756,0.03,2,Carnivora__order,taxongroup_comment
nmod< one,0.873,0.005,0.764,0.027,3,Carnivora__order,taxongroup_comment
nsubj<obj>amod> ...,0.872,0.005,0.756,0.03,6,Carnivora__order,taxongroup_comment
conj<conj>amod> ...,-0.871,0.005,-0.577,0.134,9,Carnivora__order,taxongroup_comment
obl<mark> ...,0.859,0.006,0.546,0.162,3,Carnivora__order,taxongroup_comment
conj< wolf,0.858,0.006,0.655,0.078,4,Carnivora__order,taxongroup_comment
appos<nmod<conj> ...,0.857,0.007,0.577,0.134,3,Carnivora__order,taxongroup_comment
obl<nsubj> ...,0.856,0.007,0.736,0.037,10,Carnivora__order,taxongroup_comment
nmod<conj> ...,0.856,0.007,0.756,0.03,10,Carnivora__order,taxongroup_comment
conj< lion,0.856,0.007,0.577,0.134,2,Carnivora__order,taxongroup_comment
amod> asian,0.856,0.007,0.761,0.028,42,Carnivora__order,taxongroup_comment
conj<case> include,0.855,0.007,0.577,0.134,2,Carnivora__order,taxongroup_comment
obl<obl> ...,0.854,0.007,0.577,0.134,10,Carnivora__order,taxongroup_comment
nmod>case> in,0.854,0.007,0.699,0.054,17,Carnivora__order,taxongroup_comment
appos<nmod>case> per,0.85,0.007,0.577,0.134,4,Carnivora__order,taxongroup_comment
conj< ...,0.848,0.008,0.687,0.06,32,Carnivora__order,taxongroup_comment
conj<conj> weasel,0.844,0.008,0.577,0.134,3,Carnivora__order,taxongroup_comment
appos>nmod>compound> ...,0.84,0.009,0.756,0.03,4,Carnivora__order,taxongroup_comment
conj<appos> ...,0.835,0.01,0.327,0.429,7,Carnivora__order,taxongroup_comment
acl:relcl>obl>case> ...,0.833,0.01,0.289,0.488,8,Carnivora__order,taxongroup_comment
nmod>flat> ...,0.831,0.011,0.655,0.078,3,Carnivora__order,taxongroup_comment
conj> stoat,0.83,0.011,0.577,0.134,3,Carnivora__order,taxongroup_comment
conj<nsubj> ...,0.828,0.011,0.873,0.005,9,Carnivora__order,taxongroup_comment
obl< find,0.828,0.011,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj> ...,0.823,0.012,0.365,0.374,27,Carnivora__order,taxongroup_comment
obl<nsubj> it,0.822,0.012,0.577,0.134,3,Carnivora__order,taxongroup_comment
nmod< ...,0.822,0.012,0.786,0.021,49,Carnivora__order,taxongroup_comment
flat<list>compound> G.,0.821,0.012,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod>case> from,0.819,0.013,0.764,0.027,3,Carnivora__order,taxongroup_comment
conj> otter,0.819,0.013,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj<conj>amod> domestic,-0.818,0.013,-0.577,0.134,2,Carnivora__order,taxongroup_comment
appos<conj>advmod> not,0.815,0.014,0.577,0.134,2,Carnivora__order,taxongroup_comment
appos<conj>cc> and,0.814,0.014,0.577,0.134,5,Carnivora__order,taxongroup_comment
nmod< those,0.812,0.014,0.577,0.134,3,Carnivora__order,taxongroup_comment
nmod< group,0.812,0.014,0.577,0.134,3,Carnivora__order,taxongroup_comment
appos<appos> ...,0.807,0.015,0.218,0.604,10,Carnivora__order,taxongroup_comment
conj<conj> snake,0.806,0.016,0.577,0.134,2,Carnivora__order,taxongroup_comment
appos<conj>advmod> ...,0.803,0.016,0.577,0.134,2,Carnivora__order,taxongroup_comment
obl<advcl>nsubj> they,0.803,0.016,0.756,0.03,2,Carnivora__order,taxongroup_comment
appos<appos> animal,0.8,0.017,0.577,0.134,2,Carnivora__order,taxongroup_comment
appos<conj>advmod> usually,0.797,0.018,0.577,0.134,2,Carnivora__order,taxongroup_comment
obl<nsubj> species,0.796,0.018,0.577,0.134,3,Carnivora__order,taxongroup_comment
amod> brown,-0.795,0.018,-0.817,0.013,7,Carnivora__order,taxongroup_comment
acl:relcl>nsubj> which,0.793,0.019,0.822,0.012,5,Carnivora__order,taxongroup_comment
obl< transform,0.788,0.02,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<nmod< ...,0.787,0.02,0.846,0.008,16,Carnivora__order,taxongroup_comment
flat<list>compound> Fischer,0.779,0.023,0.577,0.134,3,Carnivora__order,taxongroup_comment
nmod>case> ...,0.778,0.023,0.791,0.019,9,Carnivora__order,taxongroup_comment
obl<nsubj> wildcat,0.777,0.023,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod>case> with,0.774,0.024,0.866,0.005,10,Carnivora__order,taxongroup_comment
compound<nsubj<conj> leopard,0.774,0.024,0.577,0.134,3,Carnivora__order,taxongroup_comment
compound<conj< ...,-0.773,0.024,-0.577,0.134,1,Carnivora__order,taxongroup_comment
nsubj>conj>cc> and,0.773,0.025,0.764,0.027,3,Carnivora__order,taxongroup_comment
compound<appos<det> ...,-0.764,0.027,-0.577,0.134,1,Carnivora__order,taxongroup_comment
conj<conj> bear,0.764,0.027,0.577,0.134,6,Carnivora__order,taxongroup_comment
nmod>amod> ...,0.763,0.028,0.873,0.005,17,Carnivora__order,taxongroup_comment
nmod>nmod>case> of,0.762,0.028,0.846,0.008,6,Carnivora__order,taxongroup_comment
nmod>amod> ancient,0.761,0.028,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod>case> for,0.76,0.029,0.655,0.078,3,Carnivora__order,taxongroup_comment
nmod>case> such,0.76,0.029,0.805,0.016,11,Carnivora__order,taxongroup_comment
obl<nsubj>det> ...,0.756,0.03,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod>det> a,0.754,0.031,0.546,0.162,9,Carnivora__order,taxongroup_comment
obl<advcl>aux> ...,-0.753,0.031,-0.436,0.28,4,Carnivora__order,taxongroup_comment
nmod> Mesoamerica,0.753,0.031,0.577,0.134,2,Carnivora__order,taxongroup_comment
cop> be,0.751,0.032,0.862,0.006,31,Carnivora__order,taxongroup_comment
nsubj:pass<aux:pass> be,0.751,0.032,0.358,0.385,12,Carnivora__order,taxongroup_comment
appos<nmod>case> to,0.749,0.032,0.577,0.134,2,Carnivora__order,taxongroup_comment
nsubj<aux> have,0.749,0.032,0.63,0.094,2,Carnivora__order,taxongroup_comment
nsubj:pass<advmod> ...,0.749,0.033,0.655,0.078,6,Carnivora__order,taxongroup_comment
obl>case> ...,0.747,0.033,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<case> than,0.742,0.035,0.577,0.134,2,Carnivora__order,taxongroup_comment
nsubj:pass<obl>case> for,0.741,0.036,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj< type,0.74,0.036,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<nsubj< ...,0.737,0.037,0.805,0.016,8,Carnivora__order,taxongroup_comment
compound<nsubj<conj> ...,0.736,0.037,0.577,0.134,5,Carnivora__order,taxongroup_comment
nmod< form,0.735,0.038,0.63,0.094,2,Carnivora__order,taxongroup_comment
obl<mark> to,0.734,0.038,0.63,0.094,6,Carnivora__order,taxongroup_comment
conj<case> between,0.728,0.04,0.577,0.134,2,Carnivora__order,taxongroup_comment
obl<obl>case> in,0.727,0.041,0.577,0.134,3,Carnivora__order,taxongroup_comment
nsubj<advmod> where,0.727,0.041,0.327,0.429,3,Carnivora__order,taxongroup_comment
nmod< family,0.726,0.042,0.63,0.094,2,Carnivora__order,taxongroup_comment
nmod<obl<nsubj> ...,0.725,0.042,0.577,0.134,7,Carnivora__order,taxongroup_comment
nmod<case> as,0.725,0.042,0.577,0.134,2,Carnivora__order,taxongroup_comment
obl< ...,0.721,0.044,0.1,0.814,35,Carnivora__order,taxongroup_comment
appos<nmod<appos> ...,0.721,0.044,0.577,0.134,3,Carnivora__order,taxongroup_comment
nmod> head,0.719,0.044,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod>case> of,0.719,0.044,0.882,0.004,11,Carnivora__order,taxongroup_comment
nmod<amod> ...,0.717,0.045,0.741,0.036,33,Carnivora__order,taxongroup_comment
nmod<acl:relcl>advmod> ...,0.715,0.046,0.845,0.008,3,Carnivora__order,taxongroup_comment
compound<appos<det> the,-0.714,0.047,-0.327,0.429,5,Carnivora__order,taxongroup_comment
nsubj<conj>advmod> ...,0.714,0.047,0.109,0.797,9,Carnivora__order,taxongroup_comment
nsubj<nmod>amod> ...,0.712,0.048,0.764,0.027,3,Carnivora__order,taxongroup_comment
conj< cat,0.712,0.048,0.546,0.162,5,Carnivora__order,taxongroup_comment
conj>cc> and,0.711,0.048,0.83,0.011,15,Carnivora__order,taxongroup_comment
compound<cop> be,-0.71,0.048,-0.327,0.429,4,Carnivora__order,taxongroup_comment
nsubj<amod> ...,0.709,0.049,0.764,0.027,10,Carnivora__order,taxongroup_comment
nmod>nmod> Mustelidae,0.708,0.05,0.63,0.094,2,Carnivora__order,taxongroup_comment
nmod>nmod>case> ...,0.706,0.05,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod> body,0.704,0.051,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj>amod> ...,0.703,0.052,0.655,0.078,8,Carnivora__order,taxongroup_comment
obl< reclassify,0.702,0.052,0.756,0.03,2,Carnivora__order,taxongroup_comment
nmod<nmod> ...,0.699,0.054,0.784,0.021,16,Carnivora__order,taxongroup_comment
nsubj<obj>det> the,0.697,0.055,0.674,0.067,4,Carnivora__order,taxongroup_comment
appos<nmod>case> ...,0.697,0.055,0.504,0.203,2,Carnivora__order,taxongroup_comment
obl> ...,0.694,0.056,0.63,0.094,2,Carnivora__order,taxongroup_comment
obl<obl>case> from,0.691,0.058,0.577,0.134,2,Carnivora__order,taxongroup_comment
appos>conj> ...,0.69,0.058,0.109,0.797,4,Carnivora__order,taxongroup_comment
conj<nmod< ...,0.69,0.058,0.655,0.078,10,Carnivora__order,taxongroup_comment
nsubj:pass<obl>det> the,0.689,0.059,0.63,0.094,2,Carnivora__order,taxongroup_comment
obl<obl>case> ...,0.688,0.059,0.577,0.134,4,Carnivora__order,taxongroup_comment
nmod<det> a,0.687,0.06,0.736,0.038,14,Carnivora__order,taxongroup_comment
conj> dog,0.687,0.06,0.63,0.094,2,Carnivora__order,taxongroup_comment
nsubj< species,0.682,0.062,0.756,0.03,2,Carnivora__order,taxongroup_comment
nsubj:pass<obl> ...,0.681,0.063,0.6,0.116,12,Carnivora__order,taxongroup_comment
flat<list> ...,0.68,0.063,0.577,0.134,6,Carnivora__order,taxongroup_comment
obl<conj<mark> ...,0.678,0.065,0.327,0.429,3,Carnivora__order,taxongroup_comment
flat<list> Waldheim,0.677,0.065,0.577,0.134,2,Carnivora__order,taxongroup_comment
conj<nsubj< decline,0.677,0.065,0.577,0.134,2,Carnivora__order,taxongroup_comment
nsubj<appos>conj> ...,0.676,0.066,0.655,0.078,3,Carnivora__order,taxongroup_comment
obl<acl:relcl< ...,0.675,0.066,0.577,0.134,3,Carnivora__order,taxongroup_comment
nmod<amod>advmod> ...,0.675,0.066,0.546,0.162,5,Carnivora__order,taxongroup_comment
obj<advmod> ...,0.675,0.066,0.756,0.03,4,Carnivora__order,taxongroup_comment
nmod<acl:relcl> ...,0.67,0.069,0.62,0.101,3,Carnivora__order,taxongroup_comment
parataxis> ...,0.67,0.069,0.577,0.134,4,Carnivora__order,taxongroup_comment
compound<acl:relcl>nsubj> ...,0.668,0.07,0.577,0.134,1,Carnivora__order,taxongroup_comment
obl<aux> ...,0.668,0.07,0.577,0.134,4,Carnivora__order,taxongroup_comment
nmod<conj<conj> ...,0.665,0.072,0.218,0.604,18,Carnivora__order,taxongroup_comment
flat> gombaszoegensis,-0.665,0.072,-0.756,0.03,2,Carnivora__order,taxongroup_comment
amod>advmod> ...,0.664,0.073,0.593,0.121,10,Carnivora__order,taxongroup_comment
nsubj<conj<conj> ...,-0.659,0.075,-0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<case> in,0.655,0.078,0.546,0.162,3,Carnivora__order,taxongroup_comment
obl<nsubj>det> the,0.654,0.079,0.577,0.134,6,Carnivora__order,taxongroup_comment
obj<obl>amod> ...,0.653,0.079,0.732,0.039,3,Carnivora__order,taxongroup_comment
nmod<obl< ...,0.65,0.081,0.546,0.162,12,Carnivora__order,taxongroup_comment
conj<nmod>case> ...,0.649,0.082,0.577,0.134,1,Carnivora__order,taxongroup_comment
conj<nmod>case> with,0.648,0.082,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<conj<conj> weasel,0.647,0.083,0.577,0.134,3,Carnivora__order,taxongroup_comment
compound<amod>advmod> widely,-0.646,0.083,-0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<amod> diverse,0.645,0.084,0.63,0.094,2,Carnivora__order,taxongroup_comment
nmod>conj>cc> and,0.645,0.084,0.582,0.13,19,Carnivora__order,taxongroup_comment
nmod<nsubj>appos> weasel,0.643,0.085,0.63,0.094,2,Carnivora__order,taxongroup_comment
det> some,0.643,0.086,0.504,0.203,2,Carnivora__order,taxongroup_comment
amod>obl:npmod> ...,0.641,0.087,0.626,0.097,5,Carnivora__order,taxongroup_comment
nsubj<conj>nsubj> ...,0.639,0.088,0.62,0.101,3,Carnivora__order,taxongroup_comment
nmod> genus,0.637,0.089,0.504,0.203,2,Carnivora__order,taxongroup_comment
obj<conj<compound> ...,0.637,0.089,0.546,0.162,3,Carnivora__order,taxongroup_comment
appos<nmod>case> from,0.634,0.092,0.577,0.134,2,Carnivora__order,taxongroup_comment
compound<appos<nmod> ...,0.633,0.092,0.577,0.134,3,Carnivora__order,taxongroup_comment
cc> and,0.632,0.093,0.507,0.199,28,Carnivora__order,taxongroup_comment
conj>cc> or,0.632,0.093,0.733,0.039,3,Carnivora__order,taxongroup_comment
conj<conj>cc> ...,0.63,0.094,0.577,0.134,2,Carnivora__order,taxongroup_comment
nmod<nmod<case> of,-0.627,0.096,-0.577,0.134,2,Carnivora__order,taxongroup_comment
parataxis>nsubj> ...,0.626,0.097,0.62,0.101,3,Carnivora__order,taxongroup_comment
nmod<appos< ...,-0.625,0.097,-0.436,0.28,3,Carnivora__order,taxongroup_comment
appos<nmod> kilometer,0.619,0.102,0.577,0.134,4,Carnivora__order,taxongroup_comment
obl< translate,0.617,0.103,0.63,0.094,2,Carnivora__order,taxongroup_comment
parataxis>obl> ...,0.614,0.105,0.655,0.078,4,Carnivora__order,taxongroup_comment
nsubj<aux> may,0.614,0.105,0.592,0.122,3,Carnivora__order,taxongroup_comment
nmod<case> to,0.613,0.106,0.504,0.203,4,Carnivora__order,taxongroup_comment
nmod>conj> wolverine,0.611,0.108,0.577,0.134,2,Carnivora__order,taxongroup_comment
flat<list>compound> ...,0.61,0.108,0.577,0.134,2,Carnivora__order,taxongroup_comment
nsubj<det> the,0.61,0.108,0.536,0.171,5,Carnivora__order,taxongroup_comment
obl<nsubj>appos> ...,0.61,0.108,0.577,0.134,3,Carnivora__order,taxongroup_comment
nmod<acl:relcl>obl> ...,0.608,0.11,0.218,0.604,3,Carnivora__order,taxongroup_comment
nmod>case> like,0.607,0.11,0.746,0.034,6,Carnivora__order,taxongroup_comment
acl:relcl>nsubj:pass> ...,0.606,0.112,0.577,0.134,1,Carnivora__order,taxongroup_comment
nmod<nmod<conj> ...,0.601,0.115,0.764,0.027,18,Carnivora__order,taxongroup_comment
nmod>amod> genus,0.598,0.117,0.577,0.134,2,Carnivora__order,taxongroup_comment
obl<aux> have,0.598,0.117,0.218,0.604,4,Carnivora__order,taxongroup_comment
nsubj< have,0.597,0.118,0.733,0.039,3,Carnivora__order,taxongroup_comment
nsubj<conj>compound> ...,0.596,0.119,0.218,0.604,3,Carnivora__order,taxongroup_comment
nmod<obl<conj< ...,-0.596,0.119,-0.577,0.134,3,Carnivora__order,taxongroup_comment
compound<nmod<appos> ...,0.595,0.12,0.577,0.134,7,Carnivora__order,taxongroup_comment
flat<list>compound> de,0.594,0.12,0.577,0.134,3,Carnivora__order,taxongroup_comment
obl<obj>nmod> ...,-0.592,0.122,-0.66,0.075,5,Carnivora__order,taxongroup_comment
nmod>nmod> ...,0.59,0.123,0.481,0.227,6,Carnivora__order,taxongroup_comment
nsubj<conj>cc> but,0.589,0.125,0.62,0.101,3,Carnivora__order,taxongroup_comment
case> of,0.588,0.125,0.634,0.091,46,Carnivora__order,taxongroup_comment
conj<conj>cc> and,0.588,0.125,0.577,0.134,17,Carnivora__order,taxongroup_comment
appos< species,-0.588,0.126,-0.764,0.027,3,Carnivora__order,taxongroup_comment
obj<conj<det> ...,-0.584,0.128,-0.577,0.134,1,Carnivora__order,taxongroup_comment
appos<appos>compound> və,-0.581,0.131,-0.577,0.134,2,Carnivora__order,taxongroup_comment
conj<nmod<case> ...,0.578,0.133,0.577,0.134,4,Carnivora__order,taxongroup_comment
nsubj:pass<conj> ...,0.578,0.134,0.327,0.429,3,Carnivora__order,taxongroup_comment
case> by,0.577,0.134,0.66,0.075,5,Carnivora__order,taxongroup_comment
nmod<det> the,0.577,0.134,0.81,0.015,26,Carnivora__order,taxongroup_comment
nmod<nsubj<aux> can,-0.577,0.135,-0.756,0.03,2,Carnivora__order,taxongroup_comment
compound<amod>advmod> ...,-0.575,0.136,-0.577,0.134,1,Carnivora__order,taxongroup_comment
obl<conj> ...,0.575,0.136,0.436,0.28,7,Carnivora__order,taxongroup_comment
obl<advcl>obj> ...,0.572,0.138,0.577,0.134,6,Carnivora__order,taxongroup_comment
conj<obl> ...,0.572,0.139,0.454,0.259,7,Carnivora__order,taxongroup_comment
obj<aux> ...,0.571,0.139,0.507,0.2,3,Carnivora__order,taxongroup_comment
nsubj<obl>case> ...,0.571,0.14,0.733,0.039,9,Carnivora__order,taxongroup_comment
conj<case> ...,0.569,0.141,0.027,0.949,10,Carnivora__order,taxongroup_comment
nsubj:pass<obl>case> ...,0.568,0.142,0.436,0.28,6,Carnivora__order,taxongroup_comment
nmod>amod>advmod> ...,0.566,0.144,0.577,0.134,3,Carnivora__order,taxongroup_comment
obl:npmod<amod<nmod> ...,-0.565,0.144,-0.577,0.134,3,Carnivora__order,taxongroup_comment
appos<nmod> animal,0.562,0.147,0.577,0.134,2,Carnivora__order,taxongroup_comment
appos<cc> and,-0.562,0.147,-0.62,0.101,3,Carnivora__order,taxongroup_comment
compound>amod> ...,0.561,0.148,0.252,0.547,2,Carnivora__order,taxongroup_comment
obl<aux:pass> be,-0.561,0.148,-0.482,0.226,14,Carnivora__order,taxongroup_comment
conj<compound> ...,0.559,0.15,0.756,0.03,4,Carnivora__order,taxongroup_comment
nsubj< ...,0.559,0.15,0.561,0.148,35,Carnivora__order,taxongroup_comment
nmod<nmod>compound> ...,-0.555,0.153,-0.632,0.093,4,Carnivora__order,taxongroup_comment
amod>obl>case> ...,0.554,0.154,0.504,0.203,2,Carnivora__order,taxongroup_comment
nmod<nmod>nmod> ...,0.553,0.155,0.536,0.171,5,Carnivora__order,taxongroup_comment
appos<appos>compound> ...,0.549,0.159,0.109,0.797,4,Carnivora__order,taxongroup_comment
appos<nsubj< live,0.548,0.16,0.577,0.134,2,Carnivora__order,taxongroup_comment
appos< member,-0.548,0.16,-0.504,0.203,2,Carnivora__order,taxongroup_comment
conj<case> such,0.547,0.16,0.109,0.797,4,Carnivora__order,taxongroup_comment
appos<conj> raccoon,0.547,0.16,0.577,0.134,2,Carnivora__order,taxongroup_comment
nsubj:pass<conj>amod> ...,0.547,0.161,0.546,0.162,3,Carnivora__order,taxongroup_comment
appos<appos>amod> ...,0.546,0.161,0.577,0.134,5,Carnivora__order,taxongroup_comment
conj<cop> be,-0.546,0.162,-0.44,0.275,6,Carnivora__order,taxongroup_comment
case> ...,0.543,0.165,0.854,0.007,32,Carnivora__order,taxongroup_comment
amod> african,-0.541,0.166,-0.524,0.183,8,Carnivora__order,taxongroup_comment
nmod:poss> ...,0.541,0.166,0.577,0.134,1,Carnivora__order,taxongroup_comment
appos< lion,-0.54,0.167,-0.577,0.134,2,Carnivora__order,taxongroup_comment
conj<nmod<nmod< ...,-0.539,0.169,-0.592,0.122,3,Carnivora__order,taxongroup_comment
conj<nsubj< ...,0.536,0.171,0.546,0.162,3,Carnivora__order,taxongroup_comment
obj<cc> ...,-0.535,0.172,-0.378,0.356,2,Carnivora__order,taxongroup_comment
acl>obl> name,0.534,0.172,0.504,0.203,2,Carnivora__order,taxongroup_comment
nummod> ...,0.534,0.172,0.445,0.27,9,Carnivora__order,taxongroup_comment
