,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
11,Asi8a65_2_predators-9,predators,Predation#adaptation,acl:relcl>,difficult,ADJ,13,acl:relcl> ...,0.6033849144572955,0.13539089861202255,Carnivora__order,adaptation_comment,2,20
9,Cat-fa3e_346_predators-52,predators,Predation#adaptation,acl:relcl>,cause,VERB,54,acl:relcl> ...,0.5933329737467352,0.21120085572729952,Carnivora__order,adaptation_comment,2,20
7,Toq-9767_66_predators-16,predators,Predation#adaptation,nsubj>conj>,python,NOUN,12,nsubj>conj> python,0.4909836685007298,0.11406061186095212,Carnivora__order,adaptation_comment,2,20
4,Eur-9ec0_53_predators-2,predators,Predation#adaptation,nsubj<obj>conj>,owl,NOUN,8,nsubj<obj>conj> ...,-0.8384872762319588,-0.468030076215907,Carnivora__order,adaptation_comment,2,20
5,Eur-9ec0_53_predators-2,predators,Predation#adaptation,nsubj<obj>conj>,owl,NOUN,11,nsubj<obj>conj> ...,-0.8384872762319588,-0.468030076215907,Carnivora__order,adaptation_comment,2,20
7,Pre-0725_140_Predators-1,Predators,Predation#adaptation,conj>,share,VERB,12,conj> share,-0.47901369826063134,-0.001795340939385607,Carnivora__order,adaptation_comment,2,20
10,Rin-ae1a_150_predator-4,predator,Predation#adaptation,conj>,extinction,NOUN,13,conj> ...,-0.4421936432676326,0.04992201483028735,Carnivora__order,adaptation_comment,2,20
20,Pho-dee1_46_predators-10,predators,Predation#adaptation,nsubj<obj>conj>,skull,NOUN,28,nsubj<obj>conj> ...,-0.5028788093469294,-0.20888745281742227,Carnivora__order,adaptation_comment,2,20
8,Smi-7190_22_social-7,social,Presociality#adaptation,conj>,lifestyle,NOUN,11,conj> ...,-0.5062554095251974,-0.019419576667804,Carnivora__order,adaptation_comment,2,20
9,Mar-3955_36_predators-32,predators,Predation#adaptation,nsubj>conj>,wolf,NOUN,16,nsubj>conj> ...,0.3105772670105959,0.018677046876716064,Carnivora__order,adaptation_comment,2,20
13,Mar-3955_36_predators-32,predators,Predation#adaptation,nsubj>conj>,bear,NOUN,24,nsubj>conj> bear,0.1927412477085398,-0.05187498201381166,Carnivora__order,adaptation_comment,2,20
14,Gol-1dbf_377_predators-12,predators,Predation#adaptation,conj>,carnivore,NOUN,17,conj> ...,-0.4851717377907766,-0.027914132819688735,Carnivora__order,adaptation_comment,2,20
5,Arg-817f_97_predators-12,predators,Predation#adaptation,nsubj>conj>,leopard,NOUN,9,nsubj>conj> leopard,0.2121047482590268,-0.03173978865300976,Carnivora__order,adaptation_comment,2,20
10,Che-369e_256_predator-13,predator,Predation#adaptation,acl:relcl>,steal,VERB,16,acl:relcl> ...,0.45068522810444916,0.030416374874359286,Carnivora__order,adaptation_comment,2,20
9,Coy-1bf1_306_predators-12,predators,Predation#adaptation,acl:relcl>,come,VERB,16,acl:relcl> ...,0.4816715664075366,-0.0828695707079165,Carnivora__order,adaptation_comment,2,20
3,Eur-c08e_144_predators-13,predators,Predation#adaptation,nsubj>conj>,fox,NOUN,5,nsubj>conj> ...,0.4074434167438797,0.05868267363124492,Carnivora__order,adaptation_comment,2,20
5,Eur-c08e_144_predators-13,predators,Predation#adaptation,nsubj>conj>,coyote,NOUN,7,nsubj>conj> coyote,0.34339834143505754,0.028531527163613006,Carnivora__order,adaptation_comment,2,20
10,Fer-25f0_55_Predators-1,Predators,Predation#adaptation,nsubj<obj>conj>,weaken,VERB,13,nsubj<obj>conj> ...,-0.7059051307957327,-0.3026128818689166,Carnivora__order,adaptation_comment,2,20
13,Whi-b4c3_467_predator-5,predator,Predation#adaptation,nsubj<obj>conj>,kg,NOUN,19,nsubj<obj>conj> ...,-0.5729023882256354,0.019508202992387376,Carnivora__order,adaptation_comment,2,20
6,Bur-08d7_19_burrowers-14,burrowers,Fossorial#adaptation,nsubj>conj>,marsupial,NOUN,8,nsubj>conj> ...,0.4688551438873671,0.07332190545553059,Carnivora__order,adaptation_comment,2,20
12,Whi-b4c3_683_predators-3,predators,Predation#adaptation,nsubj<obj>conj>,marten,NOUN,16,nsubj<obj>conj> ...,-0.8083025915462331,-0.5055097421271535,Carnivora__order,adaptation_comment,2,20
13,Whi-b4c3_683_predators-3,predators,Predation#adaptation,nsubj<obj>conj>,bear,NOUN,18,nsubj<obj>conj> bear,-0.8366575527074196,-0.4368302792123918,Carnivora__order,adaptation_comment,2,20
11,Wes-0eef_61_predators-22,predators,Predation#adaptation,acl:relcl>,control,VERB,24,acl:relcl> ...,0.5881958050650027,0.18966502061206042,Carnivora__order,adaptation_comment,2,20
6,Sto-1ff0_133_predator-6,predator,Predation#adaptation,acl:relcl>,move,VERB,8,acl:relcl> ...,0.36849946253837973,-0.015162877294217541,Carnivora__order,adaptation_comment,2,20
1,Pac-29db_245_social-4,social,Presociality#adaptation,amod<nmod<,variety,NOUN,2,amod<nmod< ...,0.6845116901084899,0.1183691786095276,Carnivora__order,adaptation_comment,7,9
5,Ant-cf9b_35_predators-13,predators,Predation#adaptation,case>,of,ADP,6,case> of,0.45024269582671367,-0.2429657961434562,Carnivora__order,adaptation_comment,7,9
2,Smi-7190_205_social-29,social,Presociality#adaptation,amod<nmod<,aid,NOUN,26,amod<nmod< ...,0.5736121814882825,0.11694527167073625,Carnivora__order,adaptation_comment,7,9
3,Sto-1ff0_105_Territorial-7,Territorial,Territory_animal#adaptation,conj>,shelter,VERB,9,conj> ...,-0.3383466634389848,0.21109952936090318,Carnivora__order,adaptation_comment,7,9
2,Che-369e_13_social-7,social,Presociality#adaptation,amod<nmod<,live,NOUN,3,amod<nmod< ...,0.40343050680861264,0.08416415960127593,Carnivora__order,adaptation_comment,7,9
3,Spo-c072_222_social-24,social,Presociality#adaptation,amod<nmod<,mediation,NOUN,22,amod<nmod< ...,0.5407702974180433,0.11418590453431367,Carnivora__order,adaptation_comment,7,9
2,Hye-f31b_148_social-7,social,Presociality#adaptation,amod<nmod<,exception,NOUN,3,amod<nmod< ...,0.4608381857803818,0.07620286182406462,Carnivora__order,adaptation_comment,7,9
2,Lem-06b1_29_predators-24,predators,Predation#adaptation,case>,'s,PART,25,case> ...,0.4129605493950126,-0.18689379685111057,Carnivora__order,adaptation_comment,7,9
1,Ani6f2b_29_migration-5,migration,Animal_migration#adaptation,case>,to,ADP,2,case> to,0.42083974442738903,-0.21117760700739802,Carnivora__order,adaptation_comment,7,9
5,Asi-28dd_46_territorial-5,territorial,Territory_animal#adaptation,conj>,solitary,ADJ,7,conj> solitary,0.7964210308220351,0.2279433612719271,Carnivora__order,adaptation_comment,0,17
7,Ame-35ae_147_territorial-7,territorial,Territory_animal#adaptation,conj>,non-gregarious,ADJ,9,conj> ...,0.8484272430236071,0.220530566018417,Carnivora__order,adaptation_comment,0,17
16,Man-d9fd_148_predators-3,predators,Predation#adaptation,conj>,prey,VERB,30,conj> prey,0.7004123872448731,0.21491814913647622,Carnivora__order,adaptation_comment,0,17
