,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
9,Ame-86f0_83_minks-12,minks,American_Mink#species,conj>,predator,NOUN,14,conj> predator,0.5047541987722098,-0.3760431381136647,Carnivora__order,adaptation_topic,4,8
3,Pre-0725_140_cats-4,cats,Felidae#family,conj>,bird,NOUN,6,conj> bird,0.5659359559118787,-0.34943301191823045,Carnivora__order,adaptation_topic,4,8
6,Arg-817f_97_leopards-7,leopards,Snow_Leopard#species,conj>,leopard,NOUN,9,conj> leopard,0.5259041851833207,-0.2788409489929546,Carnivora__order,adaptation_topic,4,8
17,Tyr-9f97_638_jaguars-24,jaguars,Jaguar#species,conj>,hyena,NOUN,26,conj> ...,0.526953633303782,-0.3511396837680243,Carnivora__order,adaptation_topic,4,8
5,Nor-d13e_83_otters-30,otters,European_Otter#species,conj>,beaver,NOUN,32,conj> ...,0.49375152968095204,-0.3634905416940633,Carnivora__order,adaptation_topic,4,8
12,Gia-ae2f_194_otters-3,otters,European_Otter#species,nsubj<parataxis>advmod>,however,ADV,15,nsubj<parataxis>advmod> ...,0.6400196240010996,-0.11851345480095113,Carnivora__order,adaptation_topic,4,8
5,Gia3e1a_10_otters-2,otters,European_Otter#species,nsubj<parataxis>advmod>,occasionally,ADV,9,nsubj<parataxis>advmod> ...,0.5481527817073875,-0.21460689781183037,Carnivora__order,adaptation_topic,4,8
6,Eur-0e00_107_polecat-3,polecat,European_Polecat#species,nsubj<parataxis>advmod>,that,SCONJ,8,nsubj<parataxis>advmod> ...,0.6388533852229504,-0.1934004406088089,Carnivora__order,adaptation_topic,4,8
7,Bel-4321_88_bears-34,bears,Polar_bear#species,amod>,polar,ADJ,33,amod> polar,0.6344468889671614,0.21964094105771542,Carnivora__order,adaptation_topic,5,33
3,Nar-ff44_165_bears-5,bears,Polar_bear#species,amod>,polar,ADJ,4,amod> polar,0.6344468889671614,0.21964094105771542,Carnivora__order,adaptation_topic,5,33
7,Arc-cf8f_50_bears-14,bears,Polar_bear#species,amod>,polar,ADJ,13,amod> polar,0.6344468889671614,0.21964094105771542,Carnivora__order,adaptation_topic,5,33
10,Bar-4870_42_bears-21,bears,Polar_bear#species,amod>,polar,ADJ,20,amod> polar,0.6344468889671614,0.21964094105771542,Carnivora__order,adaptation_topic,5,33
6,Arc-b4f2_77_bears-37,bears,Polar_bear#species,amod>,polar,ADJ,36,amod> polar,0.6344468889671614,0.21964094105771542,Carnivora__order,adaptation_topic,5,33
4,Afr-3b7b_199_dogs-8,dogs,African_Wild_Dog#species,amod>,african,ADJ,6,amod> african,0.5699396136662174,0.29945837277371484,Carnivora__order,adaptation_topic,5,33
5,Afr-3b7b_199_dogs-8,dogs,African_Wild_Dog#species,amod>,wild,ADJ,7,amod> ...,0.5962832693992289,0.26926639224549725,Carnivora__order,adaptation_topic,5,33
8,Pac-29db_245_dogs-16,dogs,African_Wild_Dog#species,amod>,african,ADJ,14,amod> african,0.5699396136662174,0.29945837277371484,Carnivora__order,adaptation_topic,5,33
9,Pac-29db_245_dogs-16,dogs,African_Wild_Dog#species,amod>,wild,ADJ,15,amod> ...,0.5962832693992289,0.26926639224549725,Carnivora__order,adaptation_topic,5,33
24,Eur-bc75_348_minks-51,minks,American_Mink#species,amod>,american,ADJ,50,amod> american,0.4756794342760356,0.3232987592595085,Carnivora__order,adaptation_topic,5,33
8,Cer349a_4_cats-19,cats,Felidae#family,amod>,big,ADJ,18,amod> big,0.6797201854903078,0.2566324810684348,Carnivora__order,adaptation_topic,5,33
6,Col-6d94_117_cats-33,cats,Felidae#family,amod>,big,ADJ,32,amod> big,0.6797201854903078,0.2566324810684348,Carnivora__order,adaptation_topic,5,33
10,Smi-7190_263_cats-34,cats,Felidae#family,amod>,large,ADJ,33,amod> ...,0.6051189327177399,0.07782863011056246,Carnivora__order,adaptation_topic,5,33
7,Slo-13c7_59_cats-17,cats,Felidae#family,amod>,domestic,ADJ,16,amod> domestic,0.5419695197057197,0.32057826343101187,Carnivora__order,adaptation_topic,5,33
