,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Ada-8b4f_157_lion-5,lion,Lion#species,nsubj<,kill,VERB,7,nsubj< kill,0.41827626698321296,0.07920411424591854,Carnivora__order,free_topic,6,102
8,Add-f0f0_104_weasels-10,weasels,Weasel#genus,conj>,mole,NOUN,12,conj> ...,-0.42761794758383703,-0.019717657535934352,Carnivora__order,free_topic,6,102
3,Ado-9717_16_bears-3,bears,Bear#family,nsubj<,resemblance,NOUN,5,nsubj< ...,0.6171388518628552,0.4329793977815356,Carnivora__order,free_topic,6,102
1,Adé-beeb_66_dogs-2,dogs,Canidae#family,nsubj<,make,VERB,3,nsubj< ...,0.5381567262181423,0.3634551250584165,Carnivora__order,free_topic,6,102
0,Afr-324e_44_Lions-1,Lions,Lion#species,nsubj<,kill,VERB,2,nsubj< kill,0.41827626698321296,0.07920411424591854,Carnivora__order,free_topic,6,102
3,Afr-3b7b_117_dog-4,dog,Canidae#family,nsubj<,have,VERB,5,nsubj< have,0.6600267702111864,0.3448626019526664,Carnivora__order,free_topic,6,102
4,Afr-7494_181_lions-6,lions,Lion#species,nsubj<,attack,VERB,8,nsubj< ...,0.4790845029971879,0.13162181002660334,Carnivora__order,free_topic,6,102
9,Afr-f1c4_111_cats-15,cats,Felidae#family,conj>,dog,NOUN,17,conj> dog,-0.9548248574614228,-0.05486664197931022,Carnivora__order,free_topic,6,102
11,Afr-f1c4_111_cats-15,cats,Felidae#family,nsubj<,pry,ADJ,19,nsubj< ...,0.49575666184140416,0.31146272808003833,Carnivora__order,free_topic,6,102
2,Afr8cf0_2_dogs-3,dogs,African_Wild_Dog#species,nsubj<,form,VERB,4,nsubj< ...,0.6986926409527738,0.537514566719413,Carnivora__order,free_topic,6,102
8,Afr8cf0_4_dogs-14,dogs,Canidae#family,nsubj<,venture,VERB,16,nsubj< ...,0.3681547848331487,0.18999896342474826,Carnivora__order,free_topic,6,102
9,Ail-1373_10_raccoon-19,raccoon,Raccoon#species,nsubj<,deep,ADJ,22,nsubj< ...,0.43817634365242963,0.4352540565098979,Carnivora__order,free_topic,6,102
5,Amb-94f9_103_canine-9,canine,Canidae#family,nsubj<,larger,ADJ,11,nsubj< ...,0.6742374399487456,0.36030018937109937,Carnivora__order,free_topic,6,102
1,Amb-b5dc_47_bears-4,bears,Bear#family,nsubj<,be,AUX,2,nsubj< be,0.6328173598969009,0.3935192047246572,Carnivora__order,free_topic,6,102
10,Ame-35ae_109_bears-12,bears,Bear#family,nsubj<,average,VERB,16,nsubj< ...,0.36481565215521716,0.16367966417435922,Carnivora__order,free_topic,6,102
5,Ame-86f0_112_mink-3,mink,American_Mink#species,nsubj<,animal,NOUN,7,nsubj< ...,0.5571739371312051,0.34812294944358235,Carnivora__order,free_topic,6,102
3,Ame-86f0_114_mink-3,mink,American_Mink#species,nsubj<,kill,VERB,5,nsubj< kill,0.41827626698321296,0.07920411424591854,Carnivora__order,free_topic,6,102
2,Ame7c0f_18_bears-2,bears,Bear#family,conj>,human,NOUN,4,conj> ...,-0.944202608204353,-0.06070981640308228,Carnivora__order,free_topic,6,102
4,Ame7c0f_18_bears-2,bears,Bear#family,nsubj<,cross,VERB,6,nsubj< ...,0.50109006391502,0.3301620769508614,Carnivora__order,free_topic,6,102
1,Ame7c0f_24_bears-2,bears,American_Black_Bear#species,nsubj<,demonstrate,VERB,3,nsubj< ...,0.42863555106441265,0.1820187827001001,Carnivora__order,free_topic,6,102
3,Ameaa58_12_mink-2,mink,American_Mink#species,nsubj<,mistaken,ADJ,5,nsubj< ...,0.6116517906674592,0.39200102101627926,Carnivora__order,free_topic,6,102
6,Ani-2170_158_dogs-31,dogs,Canidae#family,nsubj<,bite,VERB,33,nsubj< ...,0.6371517239870627,0.30673341277728444,Carnivora__order,free_topic,6,102
6,Ani-4d8b_118_lions-6,lions,Lion#species,nsubj<,able,ADJ,8,nsubj< able,0.6272148967690342,0.37970931890686443,Carnivora__order,free_topic,6,102
6,Ani-ab87_86_wolves-11,wolves,Gray_Wolf#species,nsubj<,move,VERB,12,nsubj< ...,0.5698205359263425,0.3382866717100022,Carnivora__order,free_topic,6,102
2,Ani-ab87_87_wolf-3,wolf,Gray_Wolf#species,nsubj<,cover,VERB,4,nsubj< ...,0.4376007672855535,0.39740740823375875,Carnivora__order,free_topic,6,102
1,Ani2696_44_bears-2,bears,American_Black_Bear#species,nsubj<,demonstrate,VERB,3,nsubj< ...,0.42863555106441265,0.1820187827001001,Carnivora__order,free_topic,6,102
4,Ant-cf9b_11_seal-3,seal,Brown_Fur_Seal#species,nsubj<,midsized,NOUN,6,nsubj< ...,0.615299615724489,0.3687510644011835,Carnivora__order,free_topic,6,102
1,Ant6c3c_40_dogs-2,dogs,Canidae#family,nsubj<,perform,VERB,3,nsubj< ...,0.4570842402049765,0.14399779191873124,Carnivora__order,free_topic,6,102
3,Ant79a2_11_seals-3,seals,Antarctic_Fur_Seal#species,nsubj<,one,NUM,5,nsubj< one,0.6479516887429282,0.2601537900688437,Carnivora__order,free_topic,6,102
7,Aqu-83c9_175_lions-14,lions,Lion#species,nsubj<,create,VERB,15,nsubj< ...,0.41617481666861617,0.37403358731969677,Carnivora__order,free_topic,6,102
4,Arc-cf8f_101_foxes-5,foxes,Arctic_Fox#species,nsubj<,regulate,VERB,6,nsubj< ...,0.26665988241427013,0.26578322868865306,Carnivora__order,free_topic,6,102
1,Arc-cf8f_105_foxes-2,foxes,Arctic_Fox#species,nsubj<,maintain,VERB,3,nsubj< ...,0.5305923968772034,0.28377449679015554,Carnivora__order,free_topic,6,102
5,Arca9cf_25_foxes-4,foxes,Red_Fox#species,nsubj<,threat,NOUN,7,nsubj< ...,0.3267330506945687,0.16535416265211983,Carnivora__order,free_topic,6,102
3,Arca9cf_28_foxes-5,foxes,Arctic_Fox#species,nsubj<,go,VERB,6,nsubj< ...,0.5757121996316323,0.22201069799850479,Carnivora__order,free_topic,6,102
2,Arg-817f_98_lynx-2,lynx,Lynx#genus,conj>,wolverine,NOUN,4,conj> ...,-0.936901810064651,-0.060760870789599936,Carnivora__order,free_topic,6,102
5,Arg-817f_98_lynx-2,lynx,Lynx#genus,nsubj<,kill,VERB,7,nsubj< kill,0.41827626698321296,0.07920411424591854,Carnivora__order,free_topic,6,102
2,Aus-e5de_76_canines-2,canines,Canidae#family,nsubj<,smaller,ADJ,4,nsubj< ...,0.6509838518058914,0.3572929717654497,Carnivora__order,free_topic,6,102
2,Bai-1860_100_seals-2,seals,Baikal_Seal#species,nsubj<,specialize,VERB,4,nsubj< ...,0.6135704630830386,0.5624559038045194,Carnivora__order,free_topic,6,102
8,Bai0ed6_3_seals-2,seals,Baikal_Seal#species,nsubj<,seal,NOUN,10,nsubj< ...,0.3127809266153571,0.06692265255146519,Carnivora__order,free_topic,6,102
3,Bam-5151_92_panda-3,panda,Red_Panda#species,nsubj<,eat,VERB,5,nsubj< eat,0.5008046404682139,0.44377150256922976,Carnivora__order,free_topic,6,102
3,Bam6b02_28_bears-4,bears,Bear#family,nsubj<,eat,VERB,5,nsubj< eat,0.5008046404682139,0.44377150256922976,Carnivora__order,free_topic,6,102
1,Ban-2722_12_mongooses-2,mongooses,Banded_Mongoose#species,nsubj<,have,VERB,3,nsubj< have,0.6600267702111864,0.3448626019526664,Carnivora__order,free_topic,6,102
