,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Liobc52_59_Lions-1,Lions,Lion#species,nsubj<,adaptations,NOUN,9,nsubj< ...,-0.24922628504496191,-0.3115387943299538,Carnivora__order,taxongroup_topic,1,58
2,Gre-c49e_41_seals-2,seals,Gray_Seal#species,nsubj<,vulnerable,ADJ,4,nsubj< ...,-0.3070720593984783,-0.21982668819320306,Carnivora__order,taxongroup_topic,1,58
2,Pac-29db_137_dogs-3,dogs,African_Wild_Dog#species,nsubj<,participate,VERB,4,nsubj< ...,-0.46368495021206957,-0.20310482666488852,Carnivora__order,taxongroup_topic,1,58
8,Asi-28dd_18_cat-7,cat,Felidae#family,nsubj<,species,NOUN,11,nsubj< species,-0.2770666193354126,-0.21690945062992054,Carnivora__order,taxongroup_topic,1,58
3,Asi-28dd_52_cats-3,cats,Asian_Golden_Cat#species,nsubj<,climb,VERB,5,nsubj< ...,-0.46627115883945136,-0.45738594115951053,Carnivora__order,taxongroup_topic,1,58
7,Asi-28dd_51_cats-3,cats,Felidae#family,nsubj<,active,ADJ,9,nsubj< ...,-0.5178099943432553,-0.43404911536015567,Carnivora__order,taxongroup_topic,1,58
3,Bai-1860_9_seal-3,seal,Baikal_Seal#species,nsubj<,one,NUM,5,nsubj< one,-0.5909008768595014,-0.28085782031250933,Carnivora__order,taxongroup_topic,1,58
13,Gre-c669_38_Canis-13,Canis,Canis#genus,nsubj<,nature,NOUN,19,nsubj< ...,-0.14531238792939322,-0.027083986943002906,Carnivora__order,taxongroup_topic,1,58
3,Dog-c935_14_Canis-1,Canis,Canis#genus,nsubj<,word,NOUN,5,nsubj< ...,-0.3051335486424267,-0.27884285625744465,Carnivora__order,taxongroup_topic,1,58
5,Coy-1bf1_75_Canis-5,Canis,Canis#genus,nsubj<,translate,VERB,7,nsubj< ...,-0.26228463245716205,-0.3242713977606431,Carnivora__order,taxongroup_topic,1,58
1,Lio-60d2_371_Lions-1,Lions,Lion#species,nsubj<,part,NOUN,3,nsubj< ...,-0.40784414055145873,-0.34706603359269295,Carnivora__order,taxongroup_topic,1,58
2,Lio-60d2_427_lion-2,lion,Lion#species,nsubj<,one,NUM,4,nsubj< one,-0.5909008768595014,-0.28085782031250933,Carnivora__order,taxongroup_topic,1,58
3,Liobc52_64_Lions-1,Lions,Lion#species,nsubj<,cat,NOUN,5,nsubj< cat,-0.3718970969174508,-0.24313695093748788,Carnivora__order,taxongroup_topic,1,58
5,Mac-251e_83_lion-12,lion,Lion#species,nsubj<,have,VERB,13,nsubj< have,-0.5490074492021766,-0.33836400380730003,Carnivora__order,taxongroup_topic,1,58
7,Chi-c10a_124_lions-14,lions,Lion#species,nsubj<,kill,VERB,17,nsubj< ...,-0.45038080720185425,-0.3003130508415137,Carnivora__order,taxongroup_topic,1,58
6,Lio-60d2_89_lion-2,lion,Lion#species,nsubj<,cat,NOUN,10,nsubj< cat,-0.3718970969174508,-0.24313695093748788,Carnivora__order,taxongroup_topic,1,58
6,Lio-60d2_2_lion-2,lion,Lion#species,nsubj<,cat,NOUN,10,nsubj< cat,-0.3718970969174508,-0.24313695093748788,Carnivora__order,taxongroup_topic,1,58
10,Pan-5ce7_26_lion-10,lion,Lion#species,nsubj<,lineage,NOUN,18,nsubj< ...,-0.27812827286779773,-0.09870231611521774,Carnivora__order,taxongroup_topic,1,58
7,Mus-0b8e_13_Mustelidae-17,Mustelidae,Mustelidae#family,nsubj<,one,NUM,20,nsubj< one,-0.5909008768595014,-0.28085782031250933,Carnivora__order,taxongroup_topic,1,58
3,Sno-d342_102_leopard-3,leopard,Snow_Leopard#species,nsubj<,pursue,VERB,5,nsubj< ...,-0.47731270731907716,-0.375569101635696,Carnivora__order,taxongroup_topic,1,58
9,Sno-d342_2_leopard-3,leopard,Snow_Leopard#species,nsubj<,species,NOUN,15,nsubj< species,-0.2770666193354126,-0.21690945062992054,Carnivora__order,taxongroup_topic,1,58
1,Wea-8e57_66_Weasels-2,Weasels,Weasel#genus,nsubj<,build,VERB,4,nsubj< ...,-0.5047120754902648,-0.4505829722618991,Carnivora__order,taxongroup_topic,1,58
2,Ame-35ae_288_bears-3,bears,American_Black_Bear#species,nsubj<,tend,VERB,4,nsubj< tend,-0.5219936087968301,-0.4365105112906752,Carnivora__order,taxongroup_topic,1,58
6,Gre-c49e_51_seals-16,seals,Gray_Seal#species,nsubj<,pry,ADJ,19,nsubj< pry,-0.3802434756328191,-0.4294471991081978,Carnivora__order,taxongroup_topic,1,58
7,Gre-c49e_2_seal-3,seal,Gray_Seal#species,nsubj<,seal,NOUN,11,nsubj< ...,-0.316707396602094,-0.3041716686695814,Carnivora__order,taxongroup_topic,1,58
5,Jag-fac8_59_jaguar-2,jaguar,Jaguar#species,nsubj<,animal,NOUN,8,nsubj< animal,-0.45650297484472924,-0.33522708181965244,Carnivora__order,taxongroup_topic,1,58
11,Oli-4839_145_jaguar-43,jaguar,Jaguar#species,nsubj<,penetrate,VERB,48,nsubj< ...,-0.4059461611607328,-0.4836215289251522,Carnivora__order,taxongroup_topic,1,58
5,Oli-4839_144_jaguar-4,jaguar,Jaguar#species,nsubj<,cat,NOUN,8,nsubj< cat,-0.3718970969174508,-0.24313695093748788,Carnivora__order,taxongroup_topic,1,58
7,Jag-fac8_2_jaguar-2,jaguar,Jaguar#species,nsubj<,species,NOUN,11,nsubj< species,-0.2770666193354126,-0.21690945062992054,Carnivora__order,taxongroup_topic,1,58
4,Aqu-83c9_316_jaguars-5,jaguars,Jaguar#species,conj<nsubj<cop>,be,AUX,6,conj<nsubj<cop> be,-0.5515005404815669,-0.14967567619406857,Carnivora__order,taxongroup_topic,1,58
1,Cou-56f5_159_jaguar-2,jaguar,Jaguar#species,nsubj<,tend,VERB,3,nsubj< tend,-0.5219936087968301,-0.4365105112906752,Carnivora__order,taxongroup_topic,1,58
8,Big-321b_19_jaguar-27,jaguar,Jaguar#species,nsubj<,diverge,VERB,28,nsubj< diverge,-0.2777322194173106,-0.1080506779242917,Carnivora__order,taxongroup_topic,1,58
5,Man-d9fd_9_wolf-3,wolf,Maned_Wolf#species,nsubj<,animal,NOUN,7,nsubj< animal,-0.45650297484472924,-0.33522708181965244,Carnivora__order,taxongroup_topic,1,58
20,Man-d9fd_14_wolf-7,wolf,Maned_Wolf#species,nsubj<,case,NOUN,29,nsubj< ...,-0.5512198255013512,-0.33442402130223964,Carnivora__order,taxongroup_topic,1,58
5,Man-d9fd_69_wolf-3,wolf,Maned_Wolf#species,nsubj<,animal,NOUN,7,nsubj< animal,-0.45650297484472924,-0.33522708181965244,Carnivora__order,taxongroup_topic,1,58
6,Man-d9fd_8_wolf-3,wolf,Maned_Wolf#species,nsubj<,animal,NOUN,9,nsubj< animal,-0.45650297484472924,-0.33522708181965244,Carnivora__order,taxongroup_topic,1,58
15,Rac-2d62_148_raccoon-16,raccoon,Raccoon#species,nsubj<,one,NUM,21,nsubj< one,-0.5909008768595014,-0.28085782031250933,Carnivora__order,taxongroup_topic,1,58
