token	relrole	arcpath	lemma	upos	widx	token
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<obl<amod<	expression	NOUN	14	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<obl<	likely	ADJ	24	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<case>	because	ADP	25	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<case>fixed>	of	ADP	26	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<nmod:poss>det>	the	DET	27	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<nmod:poss>amod>	african	ADJ	28	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<nmod:poss>amod>	wild	ADJ	29	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<nmod:poss>	dog	NOUN	30	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<nmod:poss>case>	's	PART	31	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<amod>	less	ADJ	32	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<amod>	social	ADJ	34	Afr-3b7b_128_hierarchical-33
Afr-3b7b_128_hierarchical-33	adaptation_comment	amod<	structure	NOUN	35	Afr-3b7b_128_hierarchical-33
Afr-3b7b_220_social-14	adaptation_comment	amod<obl<advcl<	predator	NOUN	6	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<obl<advmod>	only	ADV	8	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<obl<advmod>	fatally	ADV	9	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<obl<	lose	VERB	10	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<obl<obj>	contests	NOUN	11	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<case>	to	ADP	12	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<amod>	larger	ADJ	13	Afr-3b7b_220_social-14
Afr-3b7b_220_social-14	adaptation_comment	amod<	carnivore	NOUN	15	Afr-3b7b_220_social-14
Afr-3b7b_128_social-34	adaptation_comment	amod<obl<amod<	expression	NOUN	14	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<obl<	likely	ADJ	24	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<case>	because	ADP	25	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<case>fixed>	of	ADP	26	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<nmod:poss>det>	the	DET	27	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<nmod:poss>amod>	african	ADJ	28	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<nmod:poss>amod>	wild	ADJ	29	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<nmod:poss>	dog	NOUN	30	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<nmod:poss>case>	's	PART	31	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<amod>	less	ADJ	32	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<amod>	hierarchical	ADJ	33	Afr-3b7b_128_social-34
Afr-3b7b_128_social-34	adaptation_comment	amod<	structure	NOUN	35	Afr-3b7b_128_social-34
Afr-3b7b_128_social-5	adaptation_comment	amod<mark>	although	SCONJ	1	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	amod<advmod>	arguably	ADV	2	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	amod<det>	the	DET	3	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	advmod>	most	ADV	4	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	amod<	canid	NOUN	6	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	amod<advcl<nsubj>	species	NOUN	9	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	amod<advcl<	lack	VERB	10	Afr-3b7b_128_social-5
Afr-3b7b_128_social-5	adaptation_comment	amod<advcl<obj>	expression	NOUN	14	Afr-3b7b_128_social-5
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod<nmod<	adult	NOUN	21	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod<case>	as	ADP	22	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod<det>	a	DET	23	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod<amod>	central	ADJ	24	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod<	part	NOUN	25	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<case>	of	ADP	26	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod:poss>det>	the	DET	27	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod:poss>	pack	NOUN	28	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<nmod:poss>case>	's	PART	29	Afr-3b7b_9_social-30
Afr-3b7b_9_social-30	adaptation_comment	amod<	unit	NOUN	31	Afr-3b7b_9_social-30
Afr-3b7b_199_social-3	adaptation_comment	amod<case>	unlike	ADP	1	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<amod>	most	ADJ	2	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<	predator	NOUN	4	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<conj>amod>	african	ADJ	6	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<conj>amod>	wild	ADJ	7	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<conj>	dog	NOUN	8	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<nsubj<aux>	will	AUX	9	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<nsubj<	regurgitate	VERB	10	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<nsubj<obj>	food	NOUN	11	Afr-3b7b_199_social-3
Afr-3b7b_199_social-3	adaptation_comment	amod<nsubj<obl>	adult	NOUN	14	Afr-3b7b_199_social-3
Dom-6f87_122_social-8	adaptation_comment	amod<obl<acl:relcl<	dog	NOUN	4	Dom-6f87_122_social-8
Dom-6f87_122_social-8	adaptation_comment	amod<obl<nsubj>	which	PRON	5	Dom-6f87_122_social-8
Dom-6f87_122_social-8	adaptation_comment	amod<obl<	live	VERB	6	Dom-6f87_122_social-8
Dom-6f87_122_social-8	adaptation_comment	amod<case>	in	ADP	7	Dom-6f87_122_social-8
Dom-6f87_122_social-8	adaptation_comment	amod<	pack	NOUN	9	Dom-6f87_122_social-8
Dom-6f87_122_social-8	adaptation_comment	amod<acl>	separate	VERB	10	Dom-6f87_122_social-8
Dom-6f87_122_social-8	adaptation_comment	amod<acl>obl>	male	NOUN	12	Dom-6f87_122_social-8
Pac-29db_245_social-4	adaptation_comment	amod<nmod<det>	a	DET	1	Pac-29db_245_social-4
Pac-29db_245_social-4	adaptation_comment	amod<nmod<	variety	NOUN	2	Pac-29db_245_social-4
Pac-29db_245_social-4	adaptation_comment	amod<case>	of	ADP	3	Pac-29db_245_social-4
Pac-29db_245_social-4	adaptation_comment	amod<	carnivore	NOUN	5	Pac-29db_245_social-4
Pac-29db_245_social-4	adaptation_comment	amod<nmod<nmod>	wolf	NOUN	9	Pac-29db_245_social-4
Pac-29db_245_social-4	adaptation_comment	amod<nmod<nsubj:pass<	observe	VERB	19	Pac-29db_245_social-4
Ame-86f0_83_predators-14	adaptation_comment	conj<nmod<nmod<	vocalise	NOUN	6	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	conj<nmod<case>	during	ADP	7	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	conj<nmod<amod>	close	ADJ	8	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	conj<nmod<	encounter	NOUN	9	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	conj<case>	with	ADP	10	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	conj<amod>	other	ADJ	11	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	conj<	mink	NOUN	12	Ame-86f0_83_predators-14
Ame-86f0_83_predators-14	adaptation_comment	cc>	or	CCONJ	13	Ame-86f0_83_predators-14
Red-2707_96_predators-12	adaptation_comment	nmod<nsubj>	introduce	VERB	1	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod<nsubj>obj>	mink	NOUN	3	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod<cop>	be	AUX	6	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod<	one	NUM	7	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	case>	of	ADP	8	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	det>	the	DET	9	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	amod>advmod>	most	ADV	10	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	amod>	successful	ADJ	11	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod>case>	of	ADP	13	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod>	egg	NOUN	14	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod>conj>cc>	and	CCONJ	15	Red-2707_96_predators-12
Red-2707_96_predators-12	adaptation_comment	nmod>conj>	nestling	NOUN	16	Red-2707_96_predators-12
Eur-bc75_348_predators-33	adaptation_comment	conj<parataxis<nsubj:pass>	carnivore	NOUN	2	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<parataxis<aux:pass>	be	AUX	3	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<parataxis<advmod>	also	ADV	4	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<parataxis<	take	VERB	5	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<amod>	such	ADJ	7	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<amod>fixed>	as	ADV	8	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<amod>fixed>	least	ADV	9	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<	weasel	NOUN	10	Eur-bc75_348_predators-33
Eur-bc75_348_predators-33	adaptation_comment	conj<appos>compound>	Mustela	PROPN	12	Eur-bc75_348_predators-33
