feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<case> ...,0.898,0.002,0.866,0.005,4,Cetacea__order,location_comment
conj<nmod< ...,0.872,0.005,0.764,0.027,3,Cetacea__order,location_comment
nmod< ...,0.863,0.006,0.866,0.005,9,Cetacea__order,location_comment
nmod> ...,0.86,0.006,0.702,0.052,9,Cetacea__order,location_comment
obl<nsubj>det> the,0.847,0.008,0.733,0.039,3,Cetacea__order,location_comment
conj> area,0.846,0.008,0.577,0.134,2,Cetacea__order,location_comment
nmod<obl<nsubj> ...,0.83,0.011,0.577,0.134,3,Cetacea__order,location_comment
conj<conj> ...,0.829,0.011,0.779,0.023,9,Cetacea__order,location_comment
cc> and,0.823,0.012,0.77,0.025,4,Cetacea__order,location_comment
case> of,0.816,0.013,0.577,0.134,3,Cetacea__order,location_comment
nmod>case> with,0.789,0.02,0.756,0.03,2,Cetacea__order,location_comment
case> to,0.768,0.026,0.866,0.005,5,Cetacea__order,location_comment
conj>amod> ...,0.765,0.027,0.577,0.134,2,Cetacea__order,location_comment
cc> or,0.75,0.032,0.577,0.134,3,Cetacea__order,location_comment
obl<obl>case> ...,0.743,0.035,0.577,0.134,3,Cetacea__order,location_comment
obl<mark> when,0.734,0.038,0.655,0.078,5,Cetacea__order,location_comment
case> in,0.723,0.043,0.549,0.159,16,Cetacea__order,location_comment
nmod<det> the,0.716,0.046,0.577,0.134,4,Cetacea__order,location_comment
obl<advcl<obj> ...,0.71,0.048,0.764,0.027,3,Cetacea__order,location_comment
obl<nsubj> ...,0.707,0.05,0.791,0.019,6,Cetacea__order,location_comment
conj< ...,0.699,0.054,0.548,0.16,8,Cetacea__order,location_comment
nmod>det> the,0.687,0.06,0.674,0.067,4,Cetacea__order,location_comment
obl<nsubj> they,0.686,0.06,0.577,0.134,4,Cetacea__order,location_comment
obl<obl>case> with,0.679,0.064,0.577,0.134,2,Cetacea__order,location_comment
amod> shallow,0.637,0.09,0.63,0.094,2,Cetacea__order,location_comment
nmod>case> ...,0.633,0.092,0.577,0.134,4,Cetacea__order,location_comment
conj>amod> coastal,0.629,0.095,0.577,0.134,2,Cetacea__order,location_comment
obl<obl> ...,0.627,0.096,-0.096,0.821,8,Cetacea__order,location_comment
conj<appos> ...,0.611,0.107,0.412,0.31,1,Cetacea__order,location_comment
conj<case> in,0.608,0.11,0.577,0.134,3,Cetacea__order,location_comment
conj<amod> coastal,0.591,0.123,0.577,0.134,2,Cetacea__order,location_comment
conj<conj>compound> ...,0.585,0.128,0.655,0.078,4,Cetacea__order,location_comment
obl<advcl<nsubj> ...,0.58,0.132,0.577,0.134,1,Cetacea__order,location_comment
conj<conj>cc> and,0.573,0.137,0.507,0.2,3,Cetacea__order,location_comment
obl<advcl<nsubj> they,0.561,0.148,0.577,0.134,2,Cetacea__order,location_comment
conj<appos> porpoise,0.553,0.155,0.577,0.134,2,Cetacea__order,location_comment
conj<amod> ...,0.546,0.161,0.577,0.134,1,Cetacea__order,location_comment
conj> ...,0.537,0.17,0.378,0.356,2,Cetacea__order,location_comment
obl<nsubj>compound> ...,-0.536,0.171,-0.592,0.122,3,Cetacea__order,location_comment
obl<advcl< ...,-0.52,0.186,-0.655,0.078,6,Cetacea__order,location_comment
det> the,0.511,0.195,0.344,0.404,20,Cetacea__order,location_comment
nmod<case> ...,0.49,0.217,0.577,0.134,4,Cetacea__order,location_comment
obl<obl>case> during,0.484,0.224,0.514,0.192,3,Cetacea__order,location_comment
obl< live,-0.455,0.258,-0.412,0.31,2,Cetacea__order,location_comment
obl<mark> ...,0.445,0.269,0.412,0.31,3,Cetacea__order,location_comment
case> ...,0.443,0.272,0.282,0.499,3,Cetacea__order,location_comment
nmod>case> of,0.429,0.289,0.44,0.275,4,Cetacea__order,location_comment
nmod<conj< ...,0.412,0.31,0.296,0.476,3,Cetacea__order,location_comment
conj>cc> ...,0.397,0.33,0.412,0.31,1,Cetacea__order,location_comment
nmod<obl< ...,0.382,0.351,0.577,0.134,3,Cetacea__order,location_comment
obl<nsubj> it,0.373,0.363,0.394,0.334,3,Cetacea__order,location_comment
obl<obl> summer,0.371,0.366,0.412,0.31,2,Cetacea__order,location_comment
compound> river,0.339,0.412,0.289,0.488,5,Cetacea__order,location_comment
amod> deep,0.308,0.458,0.399,0.328,4,Cetacea__order,location_comment
obl<aux:pass> be,-0.287,0.491,-0.282,0.499,3,Cetacea__order,location_comment
nmod>conj>cc> ...,0.283,0.496,0.247,0.555,1,Cetacea__order,location_comment
