feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
det> the,0.943,0.0,0.837,0.01,26,Cetacea__order,location_topic
nsubj:pass<obl> ...,0.938,0.001,0.577,0.134,9,Cetacea__order,location_topic
nsubj:pass<obl>case> ...,0.89,0.003,0.577,0.134,3,Cetacea__order,location_topic
conj< ...,0.875,0.004,0.546,0.162,6,Cetacea__order,location_topic
nsubj:pass<obl>case> in,0.857,0.007,0.577,0.134,5,Cetacea__order,location_topic
nsubj:pass<obl>case> on,0.853,0.007,0.577,0.134,2,Cetacea__order,location_topic
nsubj<obl>case> ...,0.846,0.008,0.577,0.134,2,Cetacea__order,location_topic
nsubj<obl>case> for,0.839,0.009,0.577,0.134,2,Cetacea__order,location_topic
obl<obl> ...,0.832,0.01,0.764,0.027,3,Cetacea__order,location_topic
nmod< ...,0.827,0.011,0.702,0.052,14,Cetacea__order,location_topic
nsubj:pass<aux:pass> be,0.827,0.011,0.577,0.134,6,Cetacea__order,location_topic
conj< porpoise,0.811,0.015,0.577,0.134,2,Cetacea__order,location_topic
appos<conj> coastal,0.805,0.016,0.756,0.03,2,Cetacea__order,location_topic
nmod<obj< ...,0.802,0.017,0.764,0.027,3,Cetacea__order,location_topic
conj<case> ...,0.802,0.017,0.577,0.134,3,Cetacea__order,location_topic
nmod<det> a,0.793,0.019,0.733,0.039,3,Cetacea__order,location_topic
obl<nsubj:pass> ...,0.788,0.02,0.756,0.03,2,Cetacea__order,location_topic
conj> porpoise,0.759,0.029,0.756,0.03,2,Cetacea__order,location_topic
det> a,0.758,0.029,0.577,0.134,4,Cetacea__order,location_topic
cop> ...,0.756,0.03,0.577,0.134,1,Cetacea__order,location_topic
nmod< species,0.754,0.031,0.733,0.039,3,Cetacea__order,location_topic
nmod>case> in,0.75,0.032,0.63,0.094,2,Cetacea__order,location_topic
appos<conj<appos> ...,0.75,0.032,0.577,0.134,1,Cetacea__order,location_topic
nmod<det> the,0.748,0.033,0.764,0.027,4,Cetacea__order,location_topic
conj<appos< ...,0.737,0.037,0.577,0.134,3,Cetacea__order,location_topic
appos<conj<appos> whale,0.731,0.039,0.577,0.134,2,Cetacea__order,location_topic
appos<conj> water,0.728,0.041,0.63,0.094,2,Cetacea__order,location_topic
compound> beluga,-0.719,0.044,-0.674,0.067,5,Cetacea__order,location_topic
appos<conj<appos> porpoise,0.716,0.046,0.577,0.134,2,Cetacea__order,location_topic
appos<conj> ocean,0.714,0.047,0.63,0.094,2,Cetacea__order,location_topic
cc> ...,0.702,0.052,0.577,0.134,1,Cetacea__order,location_topic
conj>cc> and,0.698,0.054,0.327,0.429,4,Cetacea__order,location_topic
case> of,0.696,0.055,0.825,0.012,14,Cetacea__order,location_topic
nsubj:pass<obl>nummod> ...,-0.684,0.061,-0.577,0.134,3,Cetacea__order,location_topic
cc> and,0.666,0.072,0.456,0.256,10,Cetacea__order,location_topic
obl<mark> ...,0.655,0.078,0.577,0.134,1,Cetacea__order,location_topic
obl< know,0.641,0.087,0.63,0.094,2,Cetacea__order,location_topic
nmod< population,0.638,0.089,0.577,0.134,2,Cetacea__order,location_topic
nsubj<obl> ...,0.634,0.091,0.577,0.134,4,Cetacea__order,location_topic
nmod<amod> ...,0.632,0.093,0.756,0.03,6,Cetacea__order,location_topic
obl<nsubj:pass> species,0.621,0.101,0.504,0.203,2,Cetacea__order,location_topic
nsubj<advmod> ...,0.62,0.101,0.378,0.356,4,Cetacea__order,location_topic
nsubj:pass<aux> ...,0.618,0.103,0.577,0.134,3,Cetacea__order,location_topic
nsubj<aux> ...,0.616,0.104,0.577,0.134,1,Cetacea__order,location_topic
nmod> ...,0.611,0.108,0.627,0.096,6,Cetacea__order,location_topic
amod> ...,-0.605,0.112,-0.476,0.234,13,Cetacea__order,location_topic
nmod<compound>conj> ...,0.604,0.113,0.577,0.134,3,Cetacea__order,location_topic
nsubj:pass<obl>amod> ...,0.592,0.122,0.577,0.134,6,Cetacea__order,location_topic
nmod<case> ...,-0.59,0.124,-0.577,0.134,1,Cetacea__order,location_topic
nsubj<obl>nmod> ...,0.586,0.127,0.577,0.134,4,Cetacea__order,location_topic
nmod:poss> Dall,0.58,0.132,0.756,0.03,2,Cetacea__order,location_topic
nsubj:pass< ...,0.554,0.154,0.577,0.134,6,Cetacea__order,location_topic
amod> right,-0.554,0.154,-0.659,0.076,19,Cetacea__order,location_topic
nsubj<mark> ...,0.553,0.155,0.577,0.134,1,Cetacea__order,location_topic
conj<appos<conj> ...,0.541,0.167,0.577,0.134,6,Cetacea__order,location_topic
obl<advcl> ...,0.525,0.182,0.109,0.797,3,Cetacea__order,location_topic
case> ...,0.521,0.186,0.791,0.019,8,Cetacea__order,location_topic
nsubj:pass<obl>det> the,0.518,0.188,0.577,0.134,5,Cetacea__order,location_topic
conj< beluga,0.515,0.192,0.378,0.356,2,Cetacea__order,location_topic
nmod>case> ...,0.511,0.196,0.591,0.123,4,Cetacea__order,location_topic
nummod> ...,-0.51,0.197,-0.192,0.648,5,Cetacea__order,location_topic
appos>compound> ...,0.508,0.199,0.577,0.134,1,Cetacea__order,location_topic
acl> ...,0.499,0.208,0.436,0.28,4,Cetacea__order,location_topic
compound> Beluga,0.498,0.209,0.577,0.134,10,Cetacea__order,location_topic
nmod<case> of,0.488,0.22,0.504,0.203,2,Cetacea__order,location_topic
conj> ...,0.482,0.226,0.577,0.134,2,Cetacea__order,location_topic
appos<conj<conj> ...,0.481,0.228,0.577,0.134,4,Cetacea__order,location_topic
nmod<nsubj< ...,0.473,0.236,0.358,0.385,8,Cetacea__order,location_topic
acl>obl> ...,-0.471,0.239,-0.62,0.101,3,Cetacea__order,location_topic
obl<advmod> ...,0.464,0.247,0.483,0.226,5,Cetacea__order,location_topic
case> with,0.463,0.248,0.504,0.203,2,Cetacea__order,location_topic
compound<nmod< ...,-0.456,0.256,-0.733,0.039,3,Cetacea__order,location_topic
compound> sperm,-0.449,0.264,-0.436,0.28,4,Cetacea__order,location_topic
case> against,0.445,0.27,0.412,0.31,2,Cetacea__order,location_topic
amod> southern,-0.426,0.292,-0.495,0.212,5,Cetacea__order,location_topic
appos<conj> ...,-0.425,0.294,-0.577,0.134,1,Cetacea__order,location_topic
obj< ...,-0.424,0.296,-0.452,0.261,3,Cetacea__order,location_topic
nsubj:pass<obl>compound> ...,0.417,0.304,0.412,0.31,4,Cetacea__order,location_topic
compound>amod> ...,0.411,0.312,0.412,0.31,1,Cetacea__order,location_topic
nsubj> ...,0.397,0.33,0.452,0.261,3,Cetacea__order,location_topic
nmod:poss> ...,0.397,0.331,0.577,0.134,1,Cetacea__order,location_topic
compound> bowhead,0.385,0.347,0.282,0.499,3,Cetacea__order,location_topic
obl<aux:pass> be,0.379,0.355,0.247,0.555,4,Cetacea__order,location_topic
compound>compound> North,-0.371,0.365,-0.536,0.171,4,Cetacea__order,location_topic
amod> blue,-0.363,0.376,-0.378,0.356,2,Cetacea__order,location_topic
compound> bottlenose,0.361,0.379,0.404,0.321,7,Cetacea__order,location_topic
obl<aux> ...,0.36,0.38,0.394,0.334,3,Cetacea__order,location_topic
compound<det> a,0.357,0.386,0.412,0.31,3,Cetacea__order,location_topic
case> between,-0.356,0.387,-0.378,0.356,2,Cetacea__order,location_topic
compound> humpback,-0.35,0.395,-0.265,0.526,3,Cetacea__order,location_topic
nsubj<cop> be,0.347,0.4,0.412,0.31,7,Cetacea__order,location_topic
cop> be,-0.342,0.407,-0.412,0.31,2,Cetacea__order,location_topic
