feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> whale,0.946,0.0,0.546,0.162,16,Cetacea__order,taxongroup_comment
appos>det> the,0.937,0.001,0.577,0.134,2,Cetacea__order,taxongroup_comment
conj<conj> turtle,0.931,0.001,0.577,0.134,2,Cetacea__order,taxongroup_comment
nmod<amod> southern,0.93,0.001,0.577,0.134,2,Cetacea__order,taxongroup_comment
appos>det> ...,0.925,0.001,0.577,0.134,1,Cetacea__order,taxongroup_comment
conj<nsubj> authority,0.924,0.001,0.577,0.134,4,Cetacea__order,taxongroup_comment
nsubj<advmod> ...,0.918,0.001,0.764,0.027,5,Cetacea__order,taxongroup_comment
nsubj:pass< list,0.917,0.001,0.577,0.134,2,Cetacea__order,taxongroup_comment
nmod>case> such,0.911,0.002,0.655,0.078,4,Cetacea__order,taxongroup_comment
compound> Pacific,0.905,0.002,0.764,0.027,5,Cetacea__order,taxongroup_comment
nsubj<obl>det> the,0.905,0.002,0.764,0.027,5,Cetacea__order,taxongroup_comment
nmod<det> a,0.9,0.002,0.764,0.027,5,Cetacea__order,taxongroup_comment
nsubj:pass< protect,0.898,0.002,0.577,0.134,2,Cetacea__order,taxongroup_comment
cc> plus,0.895,0.003,0.577,0.134,4,Cetacea__order,taxongroup_comment
nsubj:pass<obl> ...,0.895,0.003,0.577,0.134,11,Cetacea__order,taxongroup_comment
compound>compound> North,0.892,0.003,0.817,0.013,7,Cetacea__order,taxongroup_comment
conj<conj>appos> ...,0.892,0.003,0.577,0.134,1,Cetacea__order,taxongroup_comment
conj<conj> Pygmy,0.892,0.003,0.577,0.134,3,Cetacea__order,taxongroup_comment
nmod>case> than,0.873,0.005,0.577,0.134,2,Cetacea__order,taxongroup_comment
nsubj<obl>case> ...,0.87,0.005,0.764,0.027,7,Cetacea__order,taxongroup_comment
conj<conj>appos> whale,0.867,0.005,0.577,0.134,2,Cetacea__order,taxongroup_comment
nsubj<obl>det> ...,0.863,0.006,0.577,0.134,2,Cetacea__order,taxongroup_comment
conj<det> the,0.863,0.006,0.546,0.162,5,Cetacea__order,taxongroup_comment
conj< recategorize,0.863,0.006,0.577,0.134,3,Cetacea__order,taxongroup_comment
nmod>case> t.,0.861,0.006,0.577,0.134,4,Cetacea__order,taxongroup_comment
conj> ...,0.852,0.007,0.183,0.665,9,Cetacea__order,taxongroup_comment
cc> and,0.848,0.008,0.518,0.188,9,Cetacea__order,taxongroup_comment
nmod<det> the,0.848,0.008,0.655,0.078,18,Cetacea__order,taxongroup_comment
nmod>det> the,0.844,0.008,0.546,0.162,12,Cetacea__order,taxongroup_comment
nmod<det> ...,0.839,0.009,0.577,0.134,1,Cetacea__order,taxongroup_comment
conj<conj> Balaenoptera,0.836,0.01,0.577,0.134,6,Cetacea__order,taxongroup_comment
nsubj> whale,0.832,0.01,0.436,0.28,9,Cetacea__order,taxongroup_comment
nsubj<advmod> close,0.832,0.01,0.756,0.03,2,Cetacea__order,taxongroup_comment
conj< whale,0.829,0.011,0.866,0.005,8,Cetacea__order,taxongroup_comment
compound< kingdom,0.829,0.011,0.577,0.134,2,Cetacea__order,taxongroup_comment
nsubj:pass<obl>case> in,0.828,0.011,0.577,0.134,3,Cetacea__order,taxongroup_comment
nmod<obj<aux> have,0.816,0.013,0.577,0.134,4,Cetacea__order,taxongroup_comment
nsubj<obj>det> the,0.815,0.014,0.756,0.03,2,Cetacea__order,taxongroup_comment
obl<nsubj>det> the,0.813,0.014,0.756,0.03,2,Cetacea__order,taxongroup_comment
nsubj<obl> water,0.813,0.014,0.577,0.134,2,Cetacea__order,taxongroup_comment
appos<nmod>compound> ...,0.812,0.014,0.577,0.134,4,Cetacea__order,taxongroup_comment
nummod> marine,0.807,0.016,0.577,0.134,4,Cetacea__order,taxongroup_comment
