,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Bot-9991_242_social-18,social,Presociality#adaptation,amod<,behavior,NOUN,19,amod< behavior,-0.3312936529075266,-0.05115931875351418,Cetacea__order,adaptation_comment,4,17
5,Ani-57f1_346_social-21,social,Presociality#adaptation,amod<,structure,NOUN,22,amod< structure,-0.38219397557622925,0.05332566065423875,Cetacea__order,adaptation_comment,4,17
4,Ani-66e9_131_social-5,social,Presociality#adaptation,amod<,learn,NOUN,6,amod< ...,-0.4055415420243035,0.05942893377196207,Cetacea__order,adaptation_comment,4,17
4,Com-6f4d_45_social-33,social,Presociality#adaptation,amod<,group,NOUN,34,amod< group,-0.4907738717215506,-0.1511153957059259,Cetacea__order,adaptation_comment,4,17
4,Soc-cc7f_38_social-8,social,Presociality#adaptation,amod<,behavior,NOUN,9,amod< behavior,-0.3312936529075266,-0.05115931875351418,Cetacea__order,adaptation_comment,4,17
2,Spe-c6ef_375_Social-4,Social,Presociality#adaptation,amod<,behaviour,NOUN,5,amod< behaviour,-0.2652395447397811,-0.0648665910295172,Cetacea__order,adaptation_comment,4,17
0,Orc-02f3_176_Social-1,Social,Presociality#adaptation,amod<,structure,NOUN,2,amod< structure,-0.38219397557622925,0.05332566065423875,Cetacea__order,adaptation_comment,4,17
5,Orc-02f3_77_social-28,social,Presociality#adaptation,amod<,structure,NOUN,29,amod< structure,-0.38219397557622925,0.05332566065423875,Cetacea__order,adaptation_comment,4,17
5,Orc-02f3_178_social-10,social,Presociality#adaptation,amod<,structure,NOUN,11,amod< structure,-0.38219397557622925,0.05332566065423875,Cetacea__order,adaptation_comment,4,17
2,Spe-c6ef_332_Social-4,Social,Presociality#adaptation,amod<,behaviour,NOUN,5,amod< behaviour,-0.2652395447397811,-0.0648665910295172,Cetacea__order,adaptation_comment,4,17
2,Spe-c6ef_349_Social-4,Social,Presociality#adaptation,amod<,behaviour,NOUN,5,amod< behaviour,-0.2652395447397811,-0.0648665910295172,Cetacea__order,adaptation_comment,4,17
2,Spe-c6ef_331_Social-4,Social,Presociality#adaptation,amod<,behaviour,NOUN,5,amod< behaviour,-0.2652395447397811,-0.0648665910295172,Cetacea__order,adaptation_comment,4,17
4,Com-6f4d_102_predators-2,predators,Predation#adaptation,nsubj<,include,VERB,8,nsubj< include,0.4118139429734724,-0.036213130061683085,Cetacea__order,adaptation_comment,4,17
6,Bot-9991_160_social-27,social,Presociality#adaptation,amod<,use,NOUN,29,amod< ...,-0.34711779245626195,0.08425438150235179,Cetacea__order,adaptation_comment,4,17
6,Bow-5df3_55_social-7,social,Presociality#adaptation,amod<,animal,NOUN,8,amod< ...,-0.4986990367183376,-0.021022099782826802,Cetacea__order,adaptation_comment,4,17
6,Ani-66e9_210_social-27,social,Presociality#adaptation,amod<,learning,NOUN,28,amod< ...,-0.2684738595657652,0.026653149854008833,Cetacea__order,adaptation_comment,4,17
4,Cet-5f63_198_social-56,social,Presociality#adaptation,amod<,contact,NOUN,57,amod< ...,-0.5244137381137691,0.11359394648278699,Cetacea__order,adaptation_comment,4,17
8,Ror-d7cd_29_migration-33,migration,Animal_migration#adaptation,amod>,annual,ADJ,32,amod> annual,-0.2574434967044107,0.08367690697914833,Cetacea__order,adaptation_comment,6,11
0,Bot-9991_241_social-2,social,Presociality#adaptation,amod<det>,the,DET,1,amod<det> the,0.30027759595918185,-0.20544268415548775,Cetacea__order,adaptation_comment,6,11
4,Bot-9991_241_social-18,social,Presociality#adaptation,amod<det>,the,DET,17,amod<det> the,0.30027759595918185,-0.20544268415548775,Cetacea__order,adaptation_comment,6,11
1,Com-6f4d_42_social-4,social,Presociality#adaptation,amod<det>,a,DET,2,amod<det> a,0.2823062549021166,-0.22459941714612613,Cetacea__order,adaptation_comment,6,11
2,Anica12_15_social-4,social,Presociality#adaptation,amod<det>,a,DET,3,amod<det> a,0.2823062549021166,-0.22459941714612613,Cetacea__order,adaptation_comment,6,11
0,Cet-5f63_46_dimorphism-2,dimorphism,Sexual_dimorphism#adaptation,amod>,sexual,ADJ,1,amod> sexual,-0.24361214701909448,0.07401245495824302,Cetacea__order,adaptation_comment,6,11
0,Din-756f_359_carnivorous-3,carnivorous,Carnivore#adaptation,compound<det>,the,DET,1,compound<det> the,-0.19763926643297666,0.07467322920940918,Cetacea__order,adaptation_comment,6,11
3,Ror-d7cd_19_social-9,social,Presociality#adaptation,amod<det>,a,DET,7,amod<det> a,0.2823062549021166,-0.22459941714612613,Cetacea__order,adaptation_comment,6,11
4,Spe-c6ef_343_social-8,social,Presociality#adaptation,amod<det>,a,DET,7,amod<det> a,0.2823062549021166,-0.22459941714612613,Cetacea__order,adaptation_comment,6,11
0,Spe-c6ef_339_social-2,social,Presociality#adaptation,amod<det>,a,DET,1,amod<det> a,0.2823062549021166,-0.22459941714612613,Cetacea__order,adaptation_comment,6,11
3,Spe-c6ef_340_social-11,social,Presociality#adaptation,amod<det>,a,DET,10,amod<det> a,0.2823062549021166,-0.22459941714612613,Cetacea__order,adaptation_comment,6,11
2,Ama-9e7a_93_predators-27,predators,Predation#adaptation,nmod<,protection,NOUN,24,nmod< ...,0.2755981879263011,-0.12568160110956494,Cetacea__order,adaptation_comment,1,22
3,Ama-9e7a_93_predators-27,predators,Predation#adaptation,case>,from,ADP,25,case> ...,0.4932822853344768,-0.4005981338193965,Cetacea__order,adaptation_comment,1,22
