,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Ama-9e7a_207_dolphin-11,dolphin,Amazon_river_dolphin#species,det>,the,DET,8,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
7,Ama-9e7a_207_dolphin-11,dolphin,Amazon_river_dolphin#species,compound>compound>,Amazon,PROPN,9,compound>compound> Amazon,-0.558413856657437,-0.009193047902895275,Cetacea__order,adaptation_topic,7,19
7,Ama-9e7a_208_dolphin-39,dolphin,Amazon_river_dolphin#species,det>,the,DET,36,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
8,Ama-9e7a_208_dolphin-39,dolphin,Amazon_river_dolphin#species,compound>compound>,Amazon,PROPN,37,compound>compound> Amazon,-0.558413856657437,-0.009193047902895275,Cetacea__order,adaptation_topic,7,19
12,Ama-9e7a_94_dolphin-16,dolphin,Common_Bottlenose_Dolphin#species,det>,the,DET,14,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
10,Ini-09cc_7_dolphin-20,dolphin,Amazon_river_dolphin#species,det>,the,DET,17,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
11,Ini-09cc_7_dolphin-20,dolphin,Amazon_river_dolphin#species,compound>compound>,Amazon,PROPN,18,compound>compound> Amazon,-0.558413856657437,-0.009193047902895275,Cetacea__order,adaptation_topic,7,19
5,Ama-9e7a_58_dolphin-9,dolphin,Amazon_river_dolphin#species,det>,the,DET,6,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
6,Ant-7402_93_whale-33,whale,Antarctic_minke_whale#species,det>,a,DET,31,det> a,0.5284370948393246,0.3335184836556742,Cetacea__order,adaptation_topic,7,19
1,Ani-57f1_347_dolphin-9,dolphin,Common_Bottlenose_Dolphin#species,det>,that,DET,6,det> that,0.4681624383648311,0.35200135099240215,Cetacea__order,adaptation_topic,7,19
4,Com-03ae_146_dolphin-10,dolphin,Short-beaked_Common_Dolphin#species,det>,the,DET,5,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
7,Ani-66e9_130_dolphin-31,dolphin,Common_Bottlenose_Dolphin#species,det>,the,DET,29,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
4,Ani-66e9_130_whales-7,whales,Killer_whale#species,det>,the,DET,5,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
18,Bow-5df3_167_whale-41,whale,Balaenidae#family,det>,a,DET,39,det> a,0.5284370948393246,0.3335184836556742,Cetacea__order,adaptation_topic,7,19
10,Bot-9991_282_dolphin-29,dolphin,Common_Bottlenose_Dolphin#species,det>,the,DET,27,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
3,Blu-41f9_109_whale-7,whale,Blue_Whale#species,det>,a,DET,5,det> a,0.5284370948393246,0.3335184836556742,Cetacea__order,adaptation_topic,7,19
6,Gra-abbf_326_whale-36,whale,Gray_Whale#species,det>,the,DET,33,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
6,Gra-abbf_326_whale-24,whale,Gray_Whale#species,det>,the,DET,21,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
2,Hea8b48_59_whale-6,whale,Humpback_whale#species,det>,a,DET,3,det> a,0.5284370948393246,0.3335184836556742,Cetacea__order,adaptation_topic,7,19
0,Orc-02f3_243_orca-2,orca,Killer_whale#species,det>,the,DET,1,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
9,Spe-c6ef_2_whales-16,whales,Sperm_whale#species,det>,the,DET,14,det> the,0.5257381472393103,0.38144604499674317,Cetacea__order,adaptation_topic,7,19
4,Spe-c6ef_243_whale-7,whale,Sperm_whale#species,det>,a,DET,5,det> a,0.5284370948393246,0.3335184836556742,Cetacea__order,adaptation_topic,7,19
2,Ant-7402_86_whale-3,whale,Antarctic_minke_whale#species,appos>,distribution,NOUN,5,appos> distribution,-0.27200305859650475,0.15549367529143993,Cetacea__order,adaptation_topic,0,20
3,Ant-7402_86_whale-3,whale,Antarctic_minke_whale#species,appos>,migration,NOUN,7,appos> ...,-0.07402155930399366,-0.11893739369228952,Cetacea__order,adaptation_topic,0,20
