,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Com-6f4d_118_dolphin-3,dolphin,Common_Bottlenose_Dolphin#species,compound>amod>,common,ADJ,1,compound>amod> common,-0.1955622871298225,-0.3643708353512393,Cetacea__order,location_topic,2,17
0,Com-6f4d_103_dolphin-3,dolphin,Common_Bottlenose_Dolphin#species,compound>amod>,common,ADJ,1,compound>amod> common,-0.1955622871298225,-0.3643708353512393,Cetacea__order,location_topic,2,17
0,Com-6f4d_95_dolphin-3,dolphin,Common_Bottlenose_Dolphin#species,amod>,common,ADJ,1,amod> common,-0.028663086068771076,-0.06552288658334089,Cetacea__order,location_topic,2,17
0,Com-6f4d_127_dolphin-3,dolphin,Common_Bottlenose_Dolphin#species,compound>amod>,common,ADJ,1,compound>amod> common,-0.1955622871298225,-0.3643708353512393,Cetacea__order,location_topic,2,17
5,Sou-ac15_129_whales-14,whales,Balaenidae#family,amod>,right,ADJ,13,amod> right,-0.21756027467213318,-0.051425705425432025,Cetacea__order,location_topic,2,17
0,Sou-ac15_136_whale-3,whale,Southern_right_whale#species,amod>,southern,ADJ,1,amod> southern,-0.17860165874495432,-0.07868091162695953,Cetacea__order,location_topic,2,17
1,Sou-ac15_136_whale-3,whale,Southern_right_whale#species,amod>,right,ADJ,2,amod> right,-0.21756027467213318,-0.051425705425432025,Cetacea__order,location_topic,2,17
0,Sou-ac15_125_whale-3,whale,Southern_right_whale#species,amod>,southern,ADJ,1,amod> southern,-0.17860165874495432,-0.07868091162695953,Cetacea__order,location_topic,2,17
1,Sou-ac15_125_whale-3,whale,Southern_right_whale#species,amod>,right,ADJ,2,amod> right,-0.21756027467213318,-0.051425705425432025,Cetacea__order,location_topic,2,17
0,Sou-ac15_123_whale-3,whale,Southern_right_whale#species,amod>,southern,ADJ,1,amod> southern,-0.17860165874495432,-0.07868091162695953,Cetacea__order,location_topic,2,17
1,Sou-ac15_123_whale-3,whale,Southern_right_whale#species,amod>,right,ADJ,2,amod> right,-0.21756027467213318,-0.051425705425432025,Cetacea__order,location_topic,2,17
0,Rig-c8bd_88_whale-2,whale,Balaenidae#family,amod>,right,ADJ,1,amod> right,-0.21756027467213318,-0.051425705425432025,Cetacea__order,location_topic,2,17
