,feat,cluster,pw_entr,feat_n,N,group,relrole
16,amod> Antarctic,0,0.039,2,97,Cetacea__order,adaptation_topic
17,amod> beak,0,0.012,1,97,Cetacea__order,adaptation_topic
19,amod> common,0,0.025,2,97,Cetacea__order,adaptation_topic
27,appos< whale,0,0.019,1,97,Cetacea__order,adaptation_topic
28,appos<amod> ...,0,0.012,1,97,Cetacea__order,adaptation_topic
29,appos<compound> ...,0,0.012,1,97,Cetacea__order,adaptation_topic
31,appos<conj> whale,0,0.019,1,97,Cetacea__order,adaptation_topic
33,appos<conj>cc> and,0,0.015,1,97,Cetacea__order,adaptation_topic
37,appos> ...,0,0.088,5,97,Cetacea__order,adaptation_topic
38,appos> behaviour,0,0.159,6,97,Cetacea__order,adaptation_topic
39,appos> distribution,0,0.053,2,97,Cetacea__order,adaptation_topic
40,appos> ecology,0,0.053,2,97,Cetacea__order,adaptation_topic
41,appos> relationship,0,0.08,3,97,Cetacea__order,adaptation_topic
42,appos> threats,0,0.053,2,97,Cetacea__order,adaptation_topic
45,appos>amod> social,0,0.08,3,97,Cetacea__order,adaptation_topic
46,appos>appos> ...,0,0.106,4,97,Cetacea__order,adaptation_topic
49,appos>nmod> human,0,0.08,3,97,Cetacea__order,adaptation_topic
51,appos>nmod>case> with,0,0.08,3,97,Cetacea__order,adaptation_topic
53,case> ...,0,0.002,1,97,Cetacea__order,adaptation_topic
62,compound< ...,0,0.022,2,97,Cetacea__order,adaptation_topic
63,compound<amod> ...,0,0.012,1,97,Cetacea__order,adaptation_topic
66,compound<det> the,0,0.015,1,97,Cetacea__order,adaptation_topic
67,compound<nsubj< ...,0,0.039,2,97,Cetacea__order,adaptation_topic
68,compound<nsubj<ccomp< ...,0,0.015,1,97,Cetacea__order,adaptation_topic
69,compound<nsubj<mark> ...,0,0.027,1,97,Cetacea__order,adaptation_topic
70,compound<nsubj<mark> that,0,0.019,1,97,Cetacea__order,adaptation_topic
71,compound> ...,0,0.103,7,97,Cetacea__order,adaptation_topic
72,compound> Blue,0,0.039,2,97,Cetacea__order,adaptation_topic
73,compound> Sperm,0,0.115,5,97,Cetacea__order,adaptation_topic
74,compound> bottlenose,0,0.103,7,97,Cetacea__order,adaptation_topic
76,compound> gray,0,0.083,4,97,Cetacea__order,adaptation_topic
78,compound> killer,0,0.003,1,97,Cetacea__order,adaptation_topic
79,compound> minke,0,0.03,2,97,Cetacea__order,adaptation_topic
80,compound> river,0,0.001,1,97,Cetacea__order,adaptation_topic
82,compound>amod> ...,0,0.015,1,97,Cetacea__order,adaptation_topic
83,compound>amod> common,0,0.106,4,97,Cetacea__order,adaptation_topic
84,compound>compound> ...,0,0.027,1,97,Cetacea__order,adaptation_topic
151,nmod:poss> ...,0,0.015,1,97,Cetacea__order,adaptation_topic
154,nmod:poss>case> 's,0,0.006,1,97,Cetacea__order,adaptation_topic
209,nsubj:pass< ...,0,0.006,1,97,Cetacea__order,adaptation_topic
210,nsubj:pass< record,0,0.019,1,97,Cetacea__order,adaptation_topic
212,nsubj:pass<aux:pass> be,0,0.022,2,97,Cetacea__order,adaptation_topic
214,nsubj:pass<aux> have,0,0.034,2,97,Cetacea__order,adaptation_topic
290,nsubj> ...,0,0.012,1,97,Cetacea__order,adaptation_topic
321,amod> ...,1,0.008,4,201,Cetacea__order,adaptation_topic
322,amod> Antarctic,1,0.002,1,201,Cetacea__order,adaptation_topic
325,amod> common,1,0.005,2,201,Cetacea__order,adaptation_topic
327,amod> gray,1,-0.002,1,201,Cetacea__order,adaptation_topic
329,amod> male,1,0.004,1,201,Cetacea__order,adaptation_topic
330,amod> northern,1,0.004,1,201,Cetacea__order,adaptation_topic
331,amod> right,1,0.001,1,201,Cetacea__order,adaptation_topic
343,appos> ...,1,0.007,3,201,Cetacea__order,adaptation_topic
350,appos>amod> ...,1,0.004,1,201,Cetacea__order,adaptation_topic
353,appos>compound> ...,1,0.014,2,201,Cetacea__order,adaptation_topic
354,appos>nmod> ...,1,0.009,1,201,Cetacea__order,adaptation_topic
356,appos>nmod>case> ...,1,0.009,1,201,Cetacea__order,adaptation_topic
368,compound< ...,1,-0.002,1,201,Cetacea__order,adaptation_topic
377,compound> ...,1,0.003,4,201,Cetacea__order,adaptation_topic
378,compound> Blue,1,0.011,2,201,Cetacea__order,adaptation_topic
380,compound> bottlenose,1,0.009,5,201,Cetacea__order,adaptation_topic
381,compound> bowhead,1,0.001,1,201,Cetacea__order,adaptation_topic
384,compound> killer,1,-0.002,1,201,Cetacea__order,adaptation_topic
385,compound> minke,1,0.0,1,201,Cetacea__order,adaptation_topic
386,compound> river,1,0.001,2,201,Cetacea__order,adaptation_topic
387,compound> sperm,1,0.009,4,201,Cetacea__order,adaptation_topic
442,conj> ...,1,-0.002,1,201,Cetacea__order,adaptation_topic
447,conj>cc> ...,1,0.006,1,201,Cetacea__order,adaptation_topic
451,det> ...,1,0.004,1,201,Cetacea__order,adaptation_topic
454,det> the,1,0.025,9,201,Cetacea__order,adaptation_topic
528,nsubj< ...,1,0.108,16,201,Cetacea__order,adaptation_topic
529,nsubj< animal,1,0.018,2,201,Cetacea__order,adaptation_topic
531,nsubj< have,1,0.011,2,201,Cetacea__order,adaptation_topic
533,nsubj< show,1,0.004,1,201,Cetacea__order,adaptation_topic
535,nsubj<advcl> ...,1,0.019,4,201,Cetacea__order,adaptation_topic
536,nsubj<advcl>advmod> ...,1,0.011,2,201,Cetacea__order,adaptation_topic
537,nsubj<advcl>mark> ...,1,0.015,3,201,Cetacea__order,adaptation_topic
538,nsubj<advcl>obj> ...,1,0.009,2,201,Cetacea__order,adaptation_topic
541,nsubj<advmod> ...,1,0.006,1,201,Cetacea__order,adaptation_topic
542,nsubj<advmod> not,1,0.018,2,201,Cetacea__order,adaptation_topic
