,feat,cluster,pw_entr,feat_n,N,group,relrole
3,amod> open,0,0.064,1,11,Cetacea__order,location_comment
9,cc> and,0,0.178,1,11,Cetacea__order,location_comment
12,conj< ...,0,0.115,1,11,Cetacea__order,location_comment
16,conj<appos> porpoise,0,0.608,2,11,Cetacea__order,location_comment
17,conj<case> ...,0,0.178,1,11,Cetacea__order,location_comment
19,conj<conj> ...,0,0.334,2,11,Cetacea__order,location_comment
22,conj<conj>cc> and,0,0.204,1,11,Cetacea__order,location_comment
23,conj<conj>compound> ...,0,0.178,1,11,Cetacea__order,location_comment
24,conj<nmod< ...,0,0.204,1,11,Cetacea__order,location_comment
79,amod> deep,1,0.015,1,42,Cetacea__order,location_comment
80,amod> open,1,0.116,5,42,Cetacea__order,location_comment
82,case> ...,1,0.022,1,42,Cetacea__order,location_comment
83,case> in,1,0.059,4,42,Cetacea__order,location_comment
88,compound> river,1,0.052,2,42,Cetacea__order,location_comment
111,det> the,1,0.114,6,42,Cetacea__order,location_comment
129,obl< ...,1,0.023,3,42,Cetacea__order,location_comment
130,obl< live,1,0.095,2,42,Cetacea__order,location_comment
131,obl<advcl< ...,1,0.043,2,42,Cetacea__order,location_comment
134,obl<advcl<obj> ...,1,0.076,2,42,Cetacea__order,location_comment
135,obl<advcl> ...,1,0.062,2,42,Cetacea__order,location_comment
137,obl<advcl>mark> to,1,0.031,1,42,Cetacea__order,location_comment
138,obl<advmod> ...,1,0.022,1,42,Cetacea__order,location_comment
139,obl<aux:pass> be,1,0.022,1,42,Cetacea__order,location_comment
141,obl<mark> when,1,0.052,2,42,Cetacea__order,location_comment
142,obl<nsubj> ...,1,0.005,1,42,Cetacea__order,location_comment
143,obl<nsubj> it,1,0.022,1,42,Cetacea__order,location_comment
144,obl<nsubj> they,1,0.015,1,42,Cetacea__order,location_comment
145,obl<nsubj>compound> ...,1,0.022,1,42,Cetacea__order,location_comment
147,obl<obl> ...,1,-0.002,1,42,Cetacea__order,location_comment
150,obl<obl>case> at,1,0.031,1,42,Cetacea__order,location_comment
153,obl<obl>det> the,1,0.009,1,42,Cetacea__order,location_comment
156,amod> deep,2,0.049,1,24,Cetacea__order,location_comment
157,amod> open,2,-0.003,1,24,Cetacea__order,location_comment
158,amod> shallow,2,0.078,1,24,Cetacea__order,location_comment
159,case> ...,2,0.061,1,24,Cetacea__order,location_comment
188,det> the,2,0.022,2,24,Cetacea__order,location_comment
198,nmod> ...,2,0.292,4,24,Cetacea__order,location_comment
199,nmod>case> ...,2,0.427,4,24,Cetacea__order,location_comment
201,nmod>case> with,2,0.078,1,24,Cetacea__order,location_comment
202,nmod>conj> ...,2,0.049,1,24,Cetacea__order,location_comment
203,nmod>conj>cc> ...,2,0.107,1,24,Cetacea__order,location_comment
205,nmod>det> the,2,0.156,2,24,Cetacea__order,location_comment
206,obl< ...,2,-0.009,1,24,Cetacea__order,location_comment
216,obl<aux:pass> be,2,0.061,1,24,Cetacea__order,location_comment
224,obl<obl> ...,2,0.02,1,24,Cetacea__order,location_comment
228,obl<obl>case> during,2,0.061,1,24,Cetacea__order,location_comment
230,obl<obl>det> the,2,0.04,1,24,Cetacea__order,location_comment
233,amod> deep,3,0.012,2,91,Cetacea__order,location_comment
