feat	count	weight	rel_role	group_name
amod> ...	47.0	0.649	adaptation_comment	Cetacea__order
amod< ...	38.0	0.443	adaptation_comment	Cetacea__order
case> ...	30.0	0.861	adaptation_comment	Cetacea__order
nmod< ...	17.0	0.517	adaptation_comment	Cetacea__order
amod<case> ...	15.0	0.633	adaptation_comment	Cetacea__order
det> ...	15.0	1.056	adaptation_comment	Cetacea__order
compound< ...	14.0	0.566	adaptation_comment	Cetacea__order
nmod> ...	13.0	0.623	adaptation_comment	Cetacea__order
nmod>case> ...	13.0	0.965	adaptation_comment	Cetacea__order
obl< ...	12.0	0.361	adaptation_comment	Cetacea__order
compound> ...	12.0	0.504	adaptation_comment	Cetacea__order
nsubj< ...	10.0	0.954	adaptation_comment	Cetacea__order
det> the	10.0	1.197	adaptation_comment	Cetacea__order
nmod>case> of	10.0	1.142	adaptation_comment	Cetacea__order
obj< ...	10.0	0.093	adaptation_comment	Cetacea__order
amod<det> ...	9.0	0.848	adaptation_comment	Cetacea__order
conj> ...	9.0	0.867	adaptation_comment	Cetacea__order
conj>cc> ...	8.0	0.791	adaptation_comment	Cetacea__order
conj>cc> and	8.0	0.87	adaptation_comment	Cetacea__order
nmod>amod> ...	8.0	0.507	adaptation_comment	Cetacea__order
case> of	8.0	0.86	adaptation_comment	Cetacea__order
amod< structure	8.0	0.432	adaptation_comment	Cetacea__order
nmod<obj< ...	7.0	0.561	adaptation_comment	Cetacea__order
amod<nmod< ...	7.0	0.38	adaptation_comment	Cetacea__order
obj<aux> ...	7.0	0.352	adaptation_comment	Cetacea__order
nmod<amod> ...	7.0	0.613	adaptation_comment	Cetacea__order
compound<amod> ...	7.0	0.264	adaptation_comment	Cetacea__order
amod<det> a	7.0	0.867	adaptation_comment	Cetacea__order
cop> ...	6.0	0.411	adaptation_comment	Cetacea__order
appos< ...	6.0	0.418	adaptation_comment	Cetacea__order
nmod:poss> ...	6.0	0.42	adaptation_comment	Cetacea__order
amod<obl< ...	6.0	0.404	adaptation_comment	Cetacea__order
nmod>det> ...	6.0	0.567	adaptation_comment	Cetacea__order
nmod:poss> they	6.0	0.49	adaptation_comment	Cetacea__order
nmod>compound> ...	6.0	0.554	adaptation_comment	Cetacea__order
amod<conj< ...	6.0	0.343	adaptation_comment	Cetacea__order
obj<nsubj> ...	6.0	0.395	adaptation_comment	Cetacea__order
amod<cc> ...	5.0	0.309	adaptation_comment	Cetacea__order
obj<nsubj>amod> ...	5.0	0.242	adaptation_comment	Cetacea__order
nmod<det> ...	5.0	0.572	adaptation_comment	Cetacea__order
amod<case> in	5.0	0.551	adaptation_comment	Cetacea__order
nmod>nmod>case> ...	5.0	0.5	adaptation_comment	Cetacea__order
case> on	5.0	0.909	adaptation_comment	Cetacea__order
amod<obj< ...	5.0	0.406	adaptation_comment	Cetacea__order
nmod>nmod> ...	5.0	0.441	adaptation_comment	Cetacea__order
appos<compound> ...	5.0	0.365	adaptation_comment	Cetacea__order
obl<obl> ...	5.0	0.514	adaptation_comment	Cetacea__order
obl<obl>case> ...	5.0	0.552	adaptation_comment	Cetacea__order
obj<nsubj>det> ...	5.0	0.413	adaptation_comment	Cetacea__order
nsubj> ...	5.0	0.593	adaptation_comment	Cetacea__order
conj< ...	5.0	0.578	adaptation_comment	Cetacea__order
amod<amod> ...	5.0	0.228	adaptation_comment	Cetacea__order
cop> be	4.0	0.462	adaptation_comment	Cetacea__order
obl<acl<case> ...	4.0	0.424	adaptation_comment	Cetacea__order
amod<nmod<obj< ...	4.0	0.41	adaptation_comment	Cetacea__order
nsubj<cop> be	4.0	0.872	adaptation_comment	Cetacea__order
nmod<case> ...	4.0	0.904	adaptation_comment	Cetacea__order
nmod<obj<nsubj> ...	4.0	0.49	adaptation_comment	Cetacea__order
amod<nmod>case> of	4.0	0.314	adaptation_comment	Cetacea__order
nmod<obj<obl> ...	4.0	0.363	adaptation_comment	Cetacea__order
amod<obl<nsubj> ...	4.0	0.414	adaptation_comment	Cetacea__order
amod<conj> ...	4.0	0.4	adaptation_comment	Cetacea__order
obj<nsubj>nmod> ...	4.0	0.242	adaptation_comment	Cetacea__order
nsubj<cop> ...	4.0	0.709	adaptation_comment	Cetacea__order
appos> ...	4.0	0.489	adaptation_comment	Cetacea__order
amod<cc> and	4.0	0.351	adaptation_comment	Cetacea__order
nmod<nsubj< ...	4.0	0.307	adaptation_comment	Cetacea__order
amod< behavior	4.0	0.401	adaptation_comment	Cetacea__order
compound<det> ...	4.0	0.44	adaptation_comment	Cetacea__order
amod< behaviour	4.0	0.366	adaptation_comment	Cetacea__order
amod<nmod> ...	4.0	0.509	adaptation_comment	Cetacea__order
amod<nsubj< ...	4.0	0.256	adaptation_comment	Cetacea__order
appos<compound> Life	4.0	0.535	adaptation_comment	Cetacea__order
amod<nmod<det> ...	4.0	0.423	adaptation_comment	Cetacea__order
amod<nmod>case> ...	4.0	0.314	adaptation_comment	Cetacea__order
nsubj<conj>cc> ...	4.0	0.603	adaptation_comment	Cetacea__order
nsubj<conj> ...	4.0	0.206	adaptation_comment	Cetacea__order
appos< history	4.0	0.567	adaptation_comment	Cetacea__order
obl<obl>amod> ...	4.0	0.583	adaptation_comment	Cetacea__order
nmod>nmod>case> of	3.0	0.573	adaptation_comment	Cetacea__order
compound<obj<nsubj> ...	3.0	0.543	adaptation_comment	Cetacea__order
obj<obl> ...	3.0	0.181	adaptation_comment	Cetacea__order
nsubj<advmod> ...	3.0	0.905	adaptation_comment	Cetacea__order
nmod<det> the	3.0	0.614	adaptation_comment	Cetacea__order
nmod<nsubj<obl> ...	3.0	0.342	adaptation_comment	Cetacea__order
nmod<nmod> ...	3.0	0.3	adaptation_comment	Cetacea__order
obj<obl>amod> ...	3.0	0.209	adaptation_comment	Cetacea__order
nmod<nmod>case> ...	3.0	0.619	adaptation_comment	Cetacea__order
compound<nsubj:pass<aux:pass> ...	3.0	0.311	adaptation_comment	Cetacea__order
nsubj:pass<obl> ...	3.0	0.606	adaptation_comment	Cetacea__order
obl<acl<compound> ...	3.0	0.449	adaptation_comment	Cetacea__order
obl<acl< ...	3.0	0.337	adaptation_comment	Cetacea__order
amod>advmod> ...	3.0	0.37	adaptation_comment	Cetacea__order
nsubj<obj> ...	3.0	0.434	adaptation_comment	Cetacea__order
obj<obl>case> ...	3.0	0.445	adaptation_comment	Cetacea__order
amod<conj<det> ...	3.0	0.301	adaptation_comment	Cetacea__order
compound<nsubj:pass<aux:pass> be	3.0	0.311	adaptation_comment	Cetacea__order
amod<conj>nmod> ...	3.0	0.34	adaptation_comment	Cetacea__order
obj<obl>nmod> ...	3.0	0.305	adaptation_comment	Cetacea__order
compound<nsubj:pass< ...	3.0	0.304	adaptation_comment	Cetacea__order
cc> ...	3.0	0.681	adaptation_comment	Cetacea__order
amod<conj<case> ...	3.0	0.266	adaptation_comment	Cetacea__order
obj<xcomp> ...	3.0	0.387	adaptation_comment	Cetacea__order
obj<xcomp>iobj> ...	3.0	0.346	adaptation_comment	Cetacea__order
obj<xcomp>obj> ...	3.0	0.48	adaptation_comment	Cetacea__order
acl:relcl>nsubj> ...	3.0	0.388	adaptation_comment	Cetacea__order
acl:relcl> ...	3.0	0.384	adaptation_comment	Cetacea__order
compound<nmod> ...	3.0	0.32	adaptation_comment	Cetacea__order
amod<appos<compound> ...	3.0	0.502	adaptation_comment	Cetacea__order
amod<appos< ...	3.0	0.282	adaptation_comment	Cetacea__order
obj<mark> ...	3.0	0.455	adaptation_comment	Cetacea__order
compound<nmod>case> ...	3.0	0.383	adaptation_comment	Cetacea__order
compound<conj< ...	3.0	0.464	adaptation_comment	Cetacea__order
nsubj:pass<obl>case> ...	3.0	0.721	adaptation_comment	Cetacea__order
compound<conj<conj> ...	3.0	0.373	adaptation_comment	Cetacea__order
obl<aux> ...	3.0	0.502	adaptation_comment	Cetacea__order
obl<advcl> ...	3.0	0.497	adaptation_comment	Cetacea__order
det> a	3.0	1.11	adaptation_comment	Cetacea__order
nmod<obl< ...	3.0	0.355	adaptation_comment	Cetacea__order
obl<advcl>obj> ...	3.0	0.578	adaptation_comment	Cetacea__order
compound<case> ...	3.0	0.236	adaptation_comment	Cetacea__order
nsubj:pass<obl>compound> ...	3.0	0.216	adaptation_comment	Cetacea__order
obj<xcomp>mark> ...	3.0	0.509	adaptation_comment	Cetacea__order
compound< route	3.0	0.609	adaptation_comment	Cetacea__order
compound<obj< ...	3.0	0.426	adaptation_comment	Cetacea__order
obj<xcomp> give	3.0	0.289	adaptation_comment	Cetacea__order
amod< unit	3.0	0.494	adaptation_comment	Cetacea__order
nmod<obj<aux> ...	3.0	0.429	adaptation_comment	Cetacea__order
advmod> ...	3.0	0.479	adaptation_comment	Cetacea__order
nmod> whale	3.0	0.723	adaptation_comment	Cetacea__order
obl<advcl< ...	3.0	0.24	adaptation_comment	Cetacea__order
obl<mark> ...	3.0	0.472	adaptation_comment	Cetacea__order
amod< group	3.0	0.626	adaptation_comment	Cetacea__order
acl:relcl> show	3.0	0.495	adaptation_comment	Cetacea__order
compound<nmod:poss> ...	3.0	0.306	adaptation_comment	Cetacea__order
acl:relcl>nsubj> scientist	3.0	0.568	adaptation_comment	Cetacea__order
obj<xcomp>obj> warning	3.0	0.48	adaptation_comment	Cetacea__order
amod<nmod<amod> ...	3.0	0.438	adaptation_comment	Cetacea__order
conj>compound> ...	3.0	0.402	adaptation_comment	Cetacea__order
obj<nsubj>det> the	3.0	0.436	adaptation_comment	Cetacea__order
amod<nmod:poss> ...	3.0	0.276	adaptation_comment	Cetacea__order
obj<nsubj>amod> vast	3.0	0.282	adaptation_comment	Cetacea__order
obj<nsubj> eye	3.0	0.458	adaptation_comment	Cetacea__order
obj<nsubj>nmod> giant	3.0	0.399	adaptation_comment	Cetacea__order
obj<aux> squid	3.0	0.368	adaptation_comment	Cetacea__order
obj<aux> have	3.0	0.356	adaptation_comment	Cetacea__order
obj< evolve	3.0	0.318	adaptation_comment	Cetacea__order
obj<xcomp>iobj> they	3.0	0.346	adaptation_comment	Cetacea__order
amod<appos<compound> Sperm	3.0	0.502	adaptation_comment	Cetacea__order
obj<xcomp>mark> to	3.0	0.509	adaptation_comment	Cetacea__order
nmod>det> the	3.0	0.591	adaptation_comment	Cetacea__order
amod<conj>cc> ...	3.0	0.775	adaptation_comment	Cetacea__order
amod<appos< whale	3.0	0.282	adaptation_comment	Cetacea__order
obj<advcl> ...	2.0	0.489	adaptation_comment	Cetacea__order
obj<advcl>obl> ...	2.0	0.419	adaptation_comment	Cetacea__order
obj< exhibit	2.0	0.267	adaptation_comment	Cetacea__order
amod<cop> ...	2.0	0.46	adaptation_comment	Cetacea__order
amod<nsubj> ...	2.0	0.371	adaptation_comment	Cetacea__order
obl<obj> ...	2.0	0.185	adaptation_comment	Cetacea__order
amod<nmod<det> a	2.0	0.411	adaptation_comment	Cetacea__order
nmod<nsubj<advmod> ...	2.0	0.27	adaptation_comment	Cetacea__order
