	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Cetacea__order	1310
1	adaptation_comment	adaptation_topic	0.5568221168019577	Cetacea__order	1310
2	adaptation_comment	free_topic	0.4468320292120187	Cetacea__order	1310
3	adaptation_comment	location_comment	0.6204935928788528	Cetacea__order	1310
4	adaptation_comment	location_topic	0.5464747353306039	Cetacea__order	1310
5	adaptation_comment	taxongroup_comment	0.46549992650497174	Cetacea__order	1310
6	adaptation_comment	taxongroup_topic	0.535406739680546	Cetacea__order	1310
7	adaptation_topic	adaptation_comment	0.5568221168019577	Cetacea__order	1310
8	adaptation_topic	adaptation_topic	0.0	Cetacea__order	1310
9	adaptation_topic	free_topic	0.3401189673982512	Cetacea__order	1310
10	adaptation_topic	location_comment	0.6315155889604662	Cetacea__order	1310
11	adaptation_topic	location_topic	0.4230669643778879	Cetacea__order	1310
12	adaptation_topic	taxongroup_comment	0.41379916000855205	Cetacea__order	1310
13	adaptation_topic	taxongroup_topic	0.3740878127417074	Cetacea__order	1310
14	free_topic	adaptation_comment	0.4468320292120187	Cetacea__order	1310
15	free_topic	adaptation_topic	0.3401189673982512	Cetacea__order	1310
16	free_topic	free_topic	0.0	Cetacea__order	1310
17	free_topic	location_comment	0.5721819314045258	Cetacea__order	1310
18	free_topic	location_topic	0.41004861250724983	Cetacea__order	1310
19	free_topic	taxongroup_comment	0.3387834471068096	Cetacea__order	1310
20	free_topic	taxongroup_topic	0.32482017058264134	Cetacea__order	1310
21	location_comment	adaptation_comment	0.6204935928788528	Cetacea__order	1310
22	location_comment	adaptation_topic	0.6315155889604662	Cetacea__order	1310
23	location_comment	free_topic	0.5721819314045258	Cetacea__order	1310
24	location_comment	location_comment	0.0	Cetacea__order	1310
25	location_comment	location_topic	0.5760033823289061	Cetacea__order	1310
26	location_comment	taxongroup_comment	0.5211450112574867	Cetacea__order	1310
27	location_comment	taxongroup_topic	0.5702851440164525	Cetacea__order	1310
28	location_topic	adaptation_comment	0.5464747353306039	Cetacea__order	1310
29	location_topic	adaptation_topic	0.4230669643778879	Cetacea__order	1310
30	location_topic	free_topic	0.41004861250724983	Cetacea__order	1310
31	location_topic	location_comment	0.5760033823289061	Cetacea__order	1310
32	location_topic	location_topic	0.0	Cetacea__order	1310
33	location_topic	taxongroup_comment	0.4021404927646841	Cetacea__order	1310
34	location_topic	taxongroup_topic	0.39461980536333013	Cetacea__order	1310
35	taxongroup_comment	adaptation_comment	0.46549992650497174	Cetacea__order	1310
36	taxongroup_comment	adaptation_topic	0.41379916000855205	Cetacea__order	1310
37	taxongroup_comment	free_topic	0.3387834471068096	Cetacea__order	1310
38	taxongroup_comment	location_comment	0.5211450112574867	Cetacea__order	1310
39	taxongroup_comment	location_topic	0.4021404927646841	Cetacea__order	1310
40	taxongroup_comment	taxongroup_comment	0.0	Cetacea__order	1310
41	taxongroup_comment	taxongroup_topic	0.22599837655562433	Cetacea__order	1310
42	taxongroup_topic	adaptation_comment	0.535406739680546	Cetacea__order	1310
43	taxongroup_topic	adaptation_topic	0.3740878127417074	Cetacea__order	1310
44	taxongroup_topic	free_topic	0.32482017058264134	Cetacea__order	1310
45	taxongroup_topic	location_comment	0.5702851440164525	Cetacea__order	1310
46	taxongroup_topic	location_topic	0.39461980536333013	Cetacea__order	1310
47	taxongroup_topic	taxongroup_comment	0.22599837655562433	Cetacea__order	1310
48	taxongroup_topic	taxongroup_topic	0.0	Cetacea__order	1310
