feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod<advmod<conj> occur,0.934,0.001,0.577,0.134,2,Charadriiformes__order,adaptation_comment
nmod<case> as,0.909,0.002,0.577,0.134,2,Charadriiformes__order,adaptation_comment
nmod<advmod<conj> ...,0.88,0.004,0.577,0.134,2,Charadriiformes__order,adaptation_comment
nsubj<obj> gull,0.87,0.005,0.756,0.03,2,Charadriiformes__order,adaptation_comment
nsubj<advcl> ...,0.851,0.007,0.577,0.134,3,Charadriiformes__order,adaptation_comment
nmod< ...,0.84,0.009,0.873,0.005,13,Charadriiformes__order,adaptation_comment
nmod>case> of,0.819,0.013,0.751,0.032,9,Charadriiformes__order,adaptation_comment
det> a,0.798,0.018,0.756,0.03,2,Charadriiformes__order,adaptation_comment
nmod<case> ...,0.796,0.018,0.577,0.134,6,Charadriiformes__order,adaptation_comment
nmod:poss> they,0.792,0.019,0.822,0.012,5,Charadriiformes__order,adaptation_comment
nmod<det> ...,0.765,0.027,0.577,0.134,1,Charadriiformes__order,adaptation_comment
nmod<det> a,0.76,0.029,0.577,0.134,2,Charadriiformes__order,adaptation_comment
cop> be,0.754,0.031,0.782,0.022,6,Charadriiformes__order,adaptation_comment
nmod< absence,0.736,0.037,0.577,0.134,3,Charadriiformes__order,adaptation_comment
amod> aerial,0.729,0.04,0.546,0.162,3,Charadriiformes__order,adaptation_comment
amod> natural,0.726,0.042,0.63,0.094,4,Charadriiformes__order,adaptation_comment
nmod<det> the,0.725,0.042,0.577,0.134,5,Charadriiformes__order,adaptation_comment
nmod<case> of,0.725,0.042,0.577,0.134,2,Charadriiformes__order,adaptation_comment
nsubj<obj>amod> great,0.718,0.045,0.63,0.094,2,Charadriiformes__order,adaptation_comment
nsubj<appos> ...,0.715,0.046,0.62,0.101,3,Charadriiformes__order,adaptation_comment
nmod>case> ...,0.712,0.048,0.674,0.067,5,Charadriiformes__order,adaptation_comment
case> with,0.711,0.048,0.655,0.078,3,Charadriiformes__order,adaptation_comment
nmod<obl< ...,0.709,0.049,0.577,0.134,5,Charadriiformes__order,adaptation_comment
nsubj>conj> skua,0.708,0.05,0.577,0.134,2,Charadriiformes__order,adaptation_comment
nsubj>conj> ...,0.7,0.053,0.577,0.134,2,Charadriiformes__order,adaptation_comment
nmod>case> such,0.693,0.057,0.732,0.039,3,Charadriiformes__order,adaptation_comment
obj<obl>case> in,0.685,0.061,0.756,0.03,2,Charadriiformes__order,adaptation_comment
