feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj>nmod>conj> ...,0.952,0.0,0.764,0.027,4,Charadriiformes__order,free_topic
nmod< species,0.947,0.0,0.577,0.134,4,Charadriiformes__order,free_topic
nmod< relationship,0.943,0.0,0.577,0.134,2,Charadriiformes__order,free_topic
nmod< differ,0.937,0.001,0.577,0.134,2,Charadriiformes__order,free_topic
nmod< ...,0.934,0.001,0.464,0.247,59,Charadriiformes__order,free_topic
nsubj<advmod> ...,0.933,0.001,0.764,0.027,11,Charadriiformes__order,free_topic
conj<conj> species,0.92,0.001,0.764,0.027,4,Charadriiformes__order,free_topic
nsubj<advmod> also,0.914,0.001,0.756,0.03,2,Charadriiformes__order,free_topic
appos< skua,-0.909,0.002,-0.756,0.03,2,Charadriiformes__order,free_topic
obl<nsubj>det> the,0.907,0.002,0.764,0.027,3,Charadriiformes__order,free_topic
nmod<case> with,0.903,0.002,0.577,0.134,4,Charadriiformes__order,free_topic
nmod< those,0.902,0.002,0.577,0.134,3,Charadriiformes__order,free_topic
nsubj<obl>case> for,0.896,0.003,0.764,0.027,3,Charadriiformes__order,free_topic
conj> ...,0.893,0.003,0.699,0.054,55,Charadriiformes__order,free_topic
nmod<det> a,0.891,0.003,0.577,0.134,12,Charadriiformes__order,free_topic
nmod< that,0.887,0.003,0.577,0.134,2,Charadriiformes__order,free_topic
conj> shearwater,0.882,0.004,0.764,0.027,3,Charadriiformes__order,free_topic
nmod<case> ...,0.88,0.004,0.577,0.134,7,Charadriiformes__order,free_topic
nmod<obl< ...,0.877,0.004,0.873,0.005,13,Charadriiformes__order,free_topic
compound<obl>case> ...,-0.869,0.005,-0.577,0.134,2,Charadriiformes__order,free_topic
conj<appos< ...,0.866,0.005,0.764,0.027,6,Charadriiformes__order,free_topic
nmod<case> to,0.861,0.006,0.577,0.134,4,Charadriiformes__order,free_topic
appos<conj>det> ...,0.86,0.006,0.577,0.134,2,Charadriiformes__order,free_topic
compound<obl>case> in,-0.859,0.006,-0.577,0.134,2,Charadriiformes__order,free_topic
nmod< call,0.859,0.006,0.577,0.134,3,Charadriiformes__order,free_topic
nmod<det> ...,0.857,0.007,0.577,0.134,3,Charadriiformes__order,free_topic
nmod< seabird,0.856,0.007,0.436,0.28,3,Charadriiformes__order,free_topic
obl<aux> ...,0.855,0.007,0.845,0.008,3,Charadriiformes__order,free_topic
conj<conj> ...,0.848,0.008,0.393,0.335,111,Charadriiformes__order,free_topic
nmod>nmod>case> of,0.845,0.008,0.77,0.025,9,Charadriiformes__order,free_topic
nmod<det> the,0.844,0.008,0.577,0.134,15,Charadriiformes__order,free_topic
appos<conj> skua,0.843,0.009,0.577,0.134,2,Charadriiformes__order,free_topic
obj<mark> ...,0.842,0.009,0.764,0.027,3,Charadriiformes__order,free_topic
obl<xcomp< appear,0.841,0.009,0.577,0.134,2,Charadriiformes__order,free_topic
acl:relcl>obl> ...,0.84,0.009,0.764,0.027,3,Charadriiformes__order,free_topic
appos<conj>cc> and,0.84,0.009,0.577,0.134,7,Charadriiformes__order,free_topic
nmod< study,0.837,0.009,0.577,0.134,2,Charadriiformes__order,free_topic
obl<obj>amod> ...,0.83,0.011,0.546,0.162,3,Charadriiformes__order,free_topic
conj<conj> seabird,0.825,0.012,0.733,0.039,3,Charadriiformes__order,free_topic
nmod>compound> family,0.825,0.012,0.577,0.134,2,Charadriiformes__order,free_topic
nmod<compound> ...,0.823,0.012,0.764,0.027,5,Charadriiformes__order,free_topic
nmod<nmod> ...,0.822,0.012,0.846,0.008,12,Charadriiformes__order,free_topic
nsubj<obl>case> from,0.818,0.013,0.764,0.027,4,Charadriiformes__order,free_topic
nmod>nmod>nummod> ...,0.816,0.013,0.764,0.027,7,Charadriiformes__order,free_topic
nmod<conj> ...,0.814,0.014,0.764,0.027,4,Charadriiformes__order,free_topic
nmod>case> with,0.811,0.015,0.764,0.027,6,Charadriiformes__order,free_topic
conj> duck,0.811,0.015,0.756,0.03,2,Charadriiformes__order,free_topic
nsubj<obl>conj> ...,0.809,0.015,0.577,0.134,4,Charadriiformes__order,free_topic
nmod>det> a,0.808,0.015,0.764,0.027,8,Charadriiformes__order,free_topic
nsubj<det> the,0.804,0.016,0.764,0.027,7,Charadriiformes__order,free_topic
conj> cormorant,0.803,0.016,0.756,0.03,4,Charadriiformes__order,free_topic
nsubj<obl>case> ...,0.8,0.017,0.733,0.039,6,Charadriiformes__order,free_topic
conj<conj> fox,0.799,0.017,0.733,0.039,3,Charadriiformes__order,free_topic
obl<obl>case> ...,0.798,0.018,0.77,0.025,4,Charadriiformes__order,free_topic
nsubj<ccomp>advmod> ...,0.797,0.018,0.577,0.134,3,Charadriiformes__order,free_topic
case> for,0.797,0.018,0.655,0.078,5,Charadriiformes__order,free_topic
nmod< action,0.79,0.02,0.577,0.134,2,Charadriiformes__order,free_topic
conj>cc> or,0.789,0.02,0.674,0.067,13,Charadriiformes__order,free_topic
nsubj<obl>case> with,0.783,0.022,0.733,0.039,3,Charadriiformes__order,free_topic
appos<conj> ...,0.782,0.022,0.577,0.134,15,Charadriiformes__order,free_topic
compound< egg,0.78,0.022,0.577,0.134,2,Charadriiformes__order,free_topic
compound< ...,0.779,0.023,0.518,0.188,33,Charadriiformes__order,free_topic
appos<nsubj:pass<obl> ...,-0.777,0.023,-0.436,0.28,3,Charadriiformes__order,free_topic
nsubj<obl>nmod> ...,0.773,0.024,0.756,0.03,12,Charadriiformes__order,free_topic
appos<conj>det> the,0.769,0.026,0.756,0.03,2,Charadriiformes__order,free_topic
nsubj<advmod> increasingly,0.766,0.027,0.577,0.134,2,Charadriiformes__order,free_topic
