feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> ...,0.963,0.0,0.764,0.027,10,Charadriiformes__order,location_comment
conj<nmod<case> in,0.935,0.001,0.577,0.134,3,Charadriiformes__order,location_comment
conj<nmod<case> ...,0.934,0.001,0.577,0.134,1,Charadriiformes__order,location_comment
compound<obj< ...,0.906,0.002,0.845,0.008,3,Charadriiformes__order,location_comment
cc> or,0.905,0.002,0.756,0.03,2,Charadriiformes__order,location_comment
conj< ...,0.883,0.004,0.548,0.16,8,Charadriiformes__order,location_comment
nmod>case> in,0.876,0.004,0.764,0.027,4,Charadriiformes__order,location_comment
compound< ecosystem,0.841,0.009,0.756,0.03,2,Charadriiformes__order,location_comment
nmod<case> ...,0.837,0.009,0.546,0.162,3,Charadriiformes__order,location_comment
nmod>amod> ...,0.835,0.01,0.577,0.134,5,Charadriiformes__order,location_comment
conj<case> ...,0.822,0.012,0.655,0.078,4,Charadriiformes__order,location_comment
obl<obj> ...,0.818,0.013,0.873,0.005,4,Charadriiformes__order,location_comment
compound<amod> ...,0.816,0.014,0.577,0.134,7,Charadriiformes__order,location_comment
obl< spend,0.807,0.016,0.845,0.008,3,Charadriiformes__order,location_comment
conj<case> such,0.805,0.016,0.577,0.134,2,Charadriiformes__order,location_comment
compound< habitat,0.794,0.019,0.577,0.134,3,Charadriiformes__order,location_comment
nmod< ...,0.793,0.019,0.73,0.04,10,Charadriiformes__order,location_comment
conj>cc> and,0.79,0.02,0.577,0.134,6,Charadriiformes__order,location_comment
nmod>case> ...,0.788,0.02,0.577,0.134,3,Charadriiformes__order,location_comment
obl<nsubj> ...,0.786,0.021,0.809,0.015,7,Charadriiformes__order,location_comment
nmod> England,0.775,0.024,0.756,0.03,2,Charadriiformes__order,location_comment
nmod>case> of,0.768,0.026,0.577,0.134,4,Charadriiformes__order,location_comment
nmod>det> the,0.767,0.026,0.577,0.134,3,Charadriiformes__order,location_comment
cc> and,0.745,0.034,0.674,0.067,5,Charadriiformes__order,location_comment
compound< ...,0.739,0.036,0.674,0.067,9,Charadriiformes__order,location_comment
obl<advmod> ...,0.72,0.044,0.825,0.012,5,Charadriiformes__order,location_comment
compound<conj> desert,0.708,0.049,0.577,0.134,2,Charadriiformes__order,location_comment
conj<nmod< ...,0.706,0.05,0.577,0.134,5,Charadriiformes__order,location_comment
case> on,0.696,0.055,0.643,0.086,6,Charadriiformes__order,location_comment
conj>cc> or,0.687,0.06,0.63,0.094,2,Charadriiformes__order,location_comment
nmod> ...,0.658,0.076,0.577,0.134,9,Charadriiformes__order,location_comment
compound<det> the,0.655,0.078,0.577,0.134,8,Charadriiformes__order,location_comment
compound<det> ...,0.655,0.078,0.577,0.134,1,Charadriiformes__order,location_comment
case> of,0.655,0.078,0.674,0.067,4,Charadriiformes__order,location_comment
conj<nmod<amod> ...,0.647,0.083,0.577,0.134,4,Charadriiformes__order,location_comment
conj>amod> ...,0.643,0.085,0.577,0.134,3,Charadriiformes__order,location_comment
compound<conj< ...,-0.634,0.091,-0.577,0.134,3,Charadriiformes__order,location_comment
nmod<conj>amod> ...,0.619,0.102,0.536,0.171,4,Charadriiformes__order,location_comment
obl<obl>case> ...,0.615,0.105,0.62,0.101,3,Charadriiformes__order,location_comment
conj> ponds,0.607,0.111,0.252,0.547,2,Charadriiformes__order,location_comment
compound< water,0.603,0.113,0.577,0.134,2,Charadriiformes__order,location_comment
compound< area,0.602,0.115,0.577,0.134,2,Charadriiformes__order,location_comment
amod> ...,0.584,0.128,0.626,0.097,5,Charadriiformes__order,location_comment
obl<conj>cc> and,0.583,0.13,0.63,0.094,4,Charadriiformes__order,location_comment
obl<conj>cc> ...,0.571,0.139,0.577,0.134,1,Charadriiformes__order,location_comment
conj<conj>cc> and,0.56,0.149,0.63,0.094,2,Charadriiformes__order,location_comment
