,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
8,Atl-79fc_103_ocean-12,ocean,Pelagic#habitat,det>,the,DET,10,det> the,-0.25409510294279775,0.5622194927200694,Charadriiformes__order,location_comment,3,2
9,Atl-79fc_103_ocean-12,ocean,Pelagic#habitat,amod>,open,ADJ,11,amod> open,0.3096410280780343,-0.4342946855215707,Charadriiformes__order,location_comment,3,2
0,Biv-02de_248_zone-8,zone,Intertidal_zone#habitat,obl<nsubj>,many,ADJ,1,obl<nsubj> ...,-0.5527581690892412,0.3563746756832614,Charadriiformes__order,location_comment,3,2
4,Biv-02de_248_zone-8,zone,Intertidal_zone#habitat,det>,the,DET,6,det> the,-0.25409510294279775,0.5622194927200694,Charadriiformes__order,location_comment,3,2
5,Biv-02de_248_zone-8,zone,Intertidal_zone#habitat,amod>,intertidal,ADJ,7,amod> intertidal,0.3596635384492228,-0.2632952764913185,Charadriiformes__order,location_comment,3,2
1,Bur-dc3c_99_farmland-3,farmland,Arable_land#habitat,amod>,cleared,ADJ,2,amod> ...,-0.5047367691269683,-0.27764640796653894,Charadriiformes__order,location_comment,2,6
5,Bur-dc3c_212_heathlands-9,heathlands,Heath_habitat#habitat,case>,in,ADP,8,case> in,0.14206580290669052,-0.21784181785376727,Charadriiformes__order,location_comment,2,6
9,Sno-0a8f_400_tundra-54,tundra,Tundra#habitat,compound<,vole,NOUN,55,compound< vole,0.0028114051260409306,0.08307631290823729,Charadriiformes__order,location_comment,2,6
3,Bas-63b2_35_coastal-6,coastal,Coast#habitat,compound<,pelagic,NOUN,8,compound< ...,0.051076476482770895,0.1382835613729964,Charadriiformes__order,location_comment,2,6
2,Coa-44f0_206_coastal-33,coastal,Coast#habitat,compound<obj<,preserve,VERB,31,compound<obj< ...,-0.19903754731332046,-0.13855952951126377,Charadriiformes__order,location_comment,2,6
4,Coa-44f0_206_coastal-33,coastal,Coast#habitat,compound<,ecosystem,NOUN,34,compound< ecosystem,-0.04783790970681467,0.21490007631230093,Charadriiformes__order,location_comment,2,6
0,Tun-4bf6_67_Tundra-1,Tundra,Tundra#habitat,compound<,swan,NOUN,2,compound< swan,-0.10987166608982019,0.09332320430932212,Charadriiformes__order,location_comment,2,6
6,Atl-79fc_16_ocean-9,ocean,Pelagic#habitat,amod>,open,ADJ,8,amod> open,-0.39890342910244575,0.1719308227693937,Charadriiformes__order,location_comment,4,8
7,Atl-79fc_16_ocean-9,ocean,Pelagic#habitat,nmod>case>,of,ADP,10,nmod>case> of,-0.6429965000224985,-0.061652330650558154,Charadriiformes__order,location_comment,4,8
11,Atl-79fc_16_ocean-9,ocean,Pelagic#habitat,nmod>,seas,NOUN,14,nmod> ...,-0.2357757528991581,0.14186429202311057,Charadriiformes__order,location_comment,4,8
10,Red-d827_135_tundra-18,tundra,Tundra#habitat,nmod>case>,in,ADP,19,nmod>case> in,-0.6827329975757163,-0.07217340030700627,Charadriiformes__order,location_comment,4,8
12,Red-d827_135_tundra-18,tundra,Tundra#habitat,nmod>,area,NOUN,21,nmod> ...,-0.2513515503842777,0.19889146281151487,Charadriiformes__order,location_comment,4,8
9,Red-d827_134_tundra-10,tundra,Tundra#habitat,nmod>case>,near,ADP,11,nmod>case> ...,-0.7027781246588901,-0.08194805189117149,Charadriiformes__order,location_comment,4,8
