,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Ter-7888_138_terns-14,terns,Arctic_Tern#species,amod>,arctic,ADJ,13,amod> arctic,0.48118963622420063,-0.1919619460574676,Charadriiformes__order,location_topic,2,12
0,Eur-19c7_57_oystercatcher-2,oystercatcher,Eurasian_Oystercatcher#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.5711736775357287,-0.39581086125067666,Charadriiformes__order,location_topic,2,12
0,Eur-19c7_53_oystercatcher-2,oystercatcher,Eurasian_Oystercatcher#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.5711736775357287,-0.39581086125067666,Charadriiformes__order,location_topic,2,12
0,Eur-19c7_40_oystercatcher-2,oystercatcher,Eurasian_Oystercatcher#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.5711736775357287,-0.39581086125067666,Charadriiformes__order,location_topic,2,12
0,Eur-19c7_58_oystercatcher-2,oystercatcher,Eurasian_Oystercatcher#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.5711736775357287,-0.39581086125067666,Charadriiformes__order,location_topic,2,12
0,Eur-19c7_34_oystercatcher-2,oystercatcher,Eurasian_Oystercatcher#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.5711736775357287,-0.39581086125067666,Charadriiformes__order,location_topic,2,12
0,Gre-0f9b_58_gull-5,gull,Larus#genus,amod>,great,ADJ,1,amod> great,0.5177777797466122,-0.3604021240215094,Charadriiformes__order,location_topic,2,12
2,Gre-0f9b_58_gull-5,gull,Larus#genus,amod>,back,VERB,4,amod> back,0.12639714098410493,-0.21719977008516397,Charadriiformes__order,location_topic,2,12
0,Gre-0f9b_43_gull-5,gull,Larus#genus,amod>,great,ADJ,1,amod> great,0.5177777797466122,-0.3604021240215094,Charadriiformes__order,location_topic,2,12
2,Gre-0f9b_43_gull-5,gull,Larus#genus,amod>,back,VERB,4,amod> back,0.12639714098410493,-0.21719977008516397,Charadriiformes__order,location_topic,2,12
5,Gre-0f9b_63_gulls-21,gulls,Larus#genus,amod>,great,ADJ,17,amod> great,0.5177777797466122,-0.3604021240215094,Charadriiformes__order,location_topic,2,12
7,Gre-0f9b_63_gulls-21,gulls,Larus#genus,amod>,back,VERB,20,amod> back,0.12639714098410493,-0.21719977008516397,Charadriiformes__order,location_topic,2,12
0,Pie-a5d9_25_avocet-2,avocet,Pied_Avocet#species,amod>,Pied,VERB,1,amod> ...,0.4265185431111244,-0.46795351363880155,Charadriiformes__order,location_topic,2,12
1,Chada27_1_lapwings-3,lapwings,Northern_Lapwing#species,cc>,and,CCONJ,2,cc> and,-0.45731677334764,-0.3891732735892854,Charadriiformes__order,location_topic,2,12
6,Oys-0cbb_12_pie-20,pie,Eurasian_Oystercatcher#species,amod>,older,ADJ,17,amod> ...,0.4037968898708546,-0.3514162664723874,Charadriiformes__order,location_topic,2,12
2,Ter-7888_68_terns-2,terns,Arctic_Tern#species,nmod>,Greenland,PROPN,4,nmod> ...,0.4287011546005467,0.01569463887205337,Charadriiformes__order,location_topic,4,17
5,Pel-a6d1_160_murres-10,murres,Common_Murre#species,case>,on,ADP,7,case> on,-0.3079110948082319,-0.2247186950029939,Charadriiformes__order,location_topic,4,17
9,Pel-a6d1_160_murres-10,murres,Common_Murre#species,nmod>,California,PROPN,12,nmod> ...,0.5022509741961236,-0.05940395990179333,Charadriiformes__order,location_topic,4,17
3,Oys-0cbb_29_oystercatcher-5,oystercatcher,Eurasian_Oystercatcher#species,case>,of,ADP,4,case> of,-0.30541980483077497,-0.26340321701489533,Charadriiformes__order,location_topic,4,17
7,Oys-0cbb_29_oystercatcher-18,oystercatcher,Eurasian_Oystercatcher#species,case>,in,ADP,15,case> ...,-0.24083220512937004,-0.22815994851808585,Charadriiformes__order,location_topic,4,17
5,Eur-19c7_33_oystercatcher-12,oystercatcher,Eurasian_Oystercatcher#species,case>,from,ADP,9,case> ...,-0.3107680325926948,-0.1799113587810351,Charadriiformes__order,location_topic,4,17
1,Biv-02de_272_oystercatcher-6,oystercatcher,Eurasian_Oystercatcher#species,case>,such,ADJ,2,case> such,-0.3602394100094928,-0.23259600037347836,Charadriiformes__order,location_topic,4,17
6,Biv-02de_272_oystercatcher-6,oystercatcher,Eurasian_Oystercatcher#species,appos>,ostralegus,NOUN,9,appos> ...,-0.6044965493464965,-0.3716593218459959,Charadriiformes__order,location_topic,4,17
13,Bur-dc3c_96_curlew-21,curlew,Eurasian_Stone-curlew#species,case>,like,ADP,16,case> ...,-0.4047618922108643,-0.27060688631824714,Charadriiformes__order,location_topic,4,17
6,Bur-dc3c_213_curlews-42,curlews,Eurasian_Stone-curlew#species,case>,for,ADP,38,case> for,-0.33605110458718895,-0.1495855492014751,Charadriiformes__order,location_topic,4,17
11,Bur-dc3c_213_curlews-42,curlews,Eurasian_Stone-curlew#species,nmod>,Britain,PROPN,45,nmod> ...,0.5573030663038188,0.07815861693866294,Charadriiformes__order,location_topic,4,17
6,Bur-dc3c_211_curlew-12,curlew,Eurasian_Stone-curlew#species,case>,on,ADP,7,case> on,-0.3079110948082319,-0.2247186950029939,Charadriiformes__order,location_topic,4,17
10,Sno-0a8f_155_gull-25,gull,Larus#genus,case>,of,ADP,19,case> of,-0.30541980483077497,-0.26340321701489533,Charadriiformes__order,location_topic,4,17
16,Sno-0a8f_155_gull-25,gull,Larus#genus,appos>,marinus,NOUN,28,appos> marinus,-0.5486841636474432,-0.49069794634679326,Charadriiformes__order,location_topic,4,17
2,Gre-0f9b_65_gulls-8,gulls,Larus#genus,case>,of,ADP,3,case> of,-0.30541980483077497,-0.26340321701489533,Charadriiformes__order,location_topic,4,17
7,Gre-0f9b_76_gulls-23,gulls,Larus#genus,case>,by,ADP,18,case> by,-0.42580983727674254,-0.22409615563707946,Charadriiformes__order,location_topic,4,17
8,Gre-0f9b_19_gull-15,gull,Herring_Gull#species,case>,than,ADP,12,case> than,-0.15133691146320402,-0.20473586496687426,Charadriiformes__order,location_topic,4,17
12,Gre-0f9b_19_gull-15,gull,Herring_Gull#species,appos>,argentatus,NOUN,18,appos> argentatus,-0.49816086664513326,-0.5067885803648895,Charadriiformes__order,location_topic,4,17
7,Ste-6e04_135_gulls-12,gulls,Larus#genus,case>,for,ADP,8,case> for,-0.33605110458718895,-0.1495855492014751,Charadriiformes__order,location_topic,4,17
11,Ste-6e04_135_gulls-12,gulls,Larus#genus,appos>,schistisagus,NOUN,15,appos> ...,-0.4902092286902949,-0.4488049507286358,Charadriiformes__order,location_topic,4,17
9,Pie-a5d9_26_avocets-32,avocets,Pied_Avocet#species,case>,to,ADP,30,case> ...,-0.2699307312855149,-0.17440955771776584,Charadriiformes__order,location_topic,4,17
4,Bas-63b2_67_knots-12,knots,Red_Knot#species,case>,at,ADP,9,case> ...,-0.06378700178007475,-0.192405051354378,Charadriiformes__order,location_topic,4,17
2,Oys-0cbb_26_oystercatchers-5,oystercatchers,Eurasian_Oystercatcher#species,case>,of,ADP,3,case> of,-0.30541980483077497,-0.26340321701489533,Charadriiformes__order,location_topic,4,17
8,Ter-7888_64_tern-12,tern,Arctic_Tern#species,amod>,Antarctic,ADJ,11,amod> ...,-0.5481043341802945,-0.40310866759596425,Charadriiformes__order,location_topic,7,8
12,Gul-1ea1_51_gulls-21,gulls,Larus#genus,amod>,back,VERB,20,amod> back,-0.3358326878167758,-0.05556877196390855,Charadriiformes__order,location_topic,7,8
14,Gul-1ea1_51_gulls-21,gulls,Larus#genus,appos>,fuscus,NOUN,24,appos> ...,0.3801093385847463,-0.30830534631378886,Charadriiformes__order,location_topic,7,8
9,Ste-6e04_136_gulls-39,gulls,Larus#genus,amod>,back,VERB,38,amod> back,-0.3358326878167758,-0.05556877196390855,Charadriiformes__order,location_topic,7,8
12,Pal-0383_58_auks-23,auks,Auk#family,appos>,Alcidae,PROPN,25,appos> Alcidae,0.4083529723132228,-0.37627086323055803,Charadriiformes__order,location_topic,7,8
9,Nea-9375_55_auks-18,auks,Auk#family,appos>,Alcidae,PROPN,20,appos> Alcidae,0.4083529723132228,-0.37627086323055803,Charadriiformes__order,location_topic,7,8
10,Eur-1ed4_124_lapwing-33,lapwing,Northern_Lapwing#species,amod>,northern,ADJ,32,amod> ...,-0.48284384875758957,-0.30389073543936174,Charadriiformes__order,location_topic,7,8
10,Tun-4bf6_72_jaegers-21,jaegers,Arctic_Skua#species,amod>,parasitic,ADJ,20,amod> parasitic,-0.5107289881473761,-0.35820064435039156,Charadriiformes__order,location_topic,7,8
12,Tun-4bf6_72_jaegers-21,jaegers,Arctic_Skua#species,appos>,parasiticus,NOUN,24,appos> parasiticus,0.4298843741037672,-0.4662067312276413,Charadriiformes__order,location_topic,7,8
14,Sno-0a8f_405_jaegers-31,jaegers,Arctic_Skua#species,amod>,parasitic,ADJ,30,amod> parasitic,-0.5107289881473761,-0.35820064435039156,Charadriiformes__order,location_topic,7,8
