,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
12,Sno-0a8f_155_gull-25,gull,Larus#genus,amod>,great,ADJ,21,amod> great,-0.6434978289350564,-0.1730895784192735,Charadriiformes__order,taxongroup_comment,0,39
14,Sno-0a8f_155_gull-25,gull,Larus#genus,amod>,back,VERB,24,amod> back,0.019043867104279938,-0.31787086268810155,Charadriiformes__order,taxongroup_comment,0,39
5,Gre-0f9b_63_gulls-21,gulls,Larus#genus,amod>,great,ADJ,17,amod> great,-0.6434978289350564,-0.1730895784192735,Charadriiformes__order,taxongroup_comment,0,39
7,Gre-0f9b_63_gulls-21,gulls,Larus#genus,amod>,back,VERB,20,amod> back,0.019043867104279938,-0.31787086268810155,Charadriiformes__order,taxongroup_comment,0,39
3,Gre-0f9b_65_gulls-8,gulls,Larus#genus,amod>,great,ADJ,4,amod> great,-0.6434978289350564,-0.1730895784192735,Charadriiformes__order,taxongroup_comment,0,39
5,Gre-0f9b_65_gulls-8,gulls,Larus#genus,amod>,back,VERB,7,amod> back,0.019043867104279938,-0.31787086268810155,Charadriiformes__order,taxongroup_comment,0,39
8,Gre-0f9b_76_gulls-23,gulls,Larus#genus,amod>,great,ADJ,19,amod> great,-0.6434978289350564,-0.1730895784192735,Charadriiformes__order,taxongroup_comment,0,39
10,Gre-0f9b_76_gulls-23,gulls,Larus#genus,amod>,back,VERB,22,amod> back,0.019043867104279938,-0.31787086268810155,Charadriiformes__order,taxongroup_comment,0,39
8,Eur-35e8_9_gull-12,gull,Herring_Gull#species,amod>,backed,VERB,11,amod> ...,-0.3789970477007375,-0.25507664677281183,Charadriiformes__order,taxongroup_comment,0,39
6,Gre-0f9b_114_gull-12,gull,Great_Black-backed_Gull#species,amod>,wild,ADJ,7,amod> ...,-0.7680654695986406,-0.05066252252287004,Charadriiformes__order,taxongroup_comment,0,39
7,Gre-0f9b_114_gull-12,gull,Great_Black-backed_Gull#species,amod>,great,ADJ,8,amod> great,-0.6434978289350564,-0.1730895784192735,Charadriiformes__order,taxongroup_comment,0,39
9,Gre-0f9b_114_gull-12,gull,Great_Black-backed_Gull#species,amod>,back,VERB,11,amod> back,0.019043867104279938,-0.31787086268810155,Charadriiformes__order,taxongroup_comment,0,39
7,Les-bc96_28_gulls-13,gulls,Great_Black-backed_Gull#species,amod>,great,ADJ,9,amod> great,-0.6434978289350564,-0.1730895784192735,Charadriiformes__order,taxongroup_comment,0,39
9,Les-bc96_28_gulls-13,gulls,Great_Black-backed_Gull#species,amod>,back,VERB,12,amod> back,0.019043867104279938,-0.31787086268810155,Charadriiformes__order,taxongroup_comment,0,39
1,Eur-35e8_138_gull-4,gull,Herring_Gull#species,amod>,european,ADJ,2,amod> european,-0.7469046225565044,-0.18440120836653065,Charadriiformes__order,taxongroup_comment,0,39
5,Eur-35e8_13_gull-9,gull,Herring_Gull#species,amod>,american,ADJ,7,amod> american,-0.7369736565835395,-0.22476751754735055,Charadriiformes__order,taxongroup_comment,0,39
1,Eur-35e8_115_gulls-3,gulls,Herring_Gull#species,amod>,most,ADJ,2,amod> most,-0.6562776630693787,-0.08249920976776778,Charadriiformes__order,taxongroup_comment,0,39
5,Les-bc96_37_gulls-18,gulls,Herring_Gull#species,amod>,american,ADJ,16,amod> american,-0.7369736565835395,-0.22476751754735055,Charadriiformes__order,taxongroup_comment,0,39
7,Les-bc96_17_gull-13,gull,Herring_Gull#species,amod>,european,ADJ,11,amod> european,-0.7469046225565044,-0.18440120836653065,Charadriiformes__order,taxongroup_comment,0,39
10,Lit-ab57_5_plover-27,plover,Common_Ringed_Plover#species,amod>,common,ADJ,25,amod> common,-0.7418291646336714,-0.1951929667076976,Charadriiformes__order,taxongroup_comment,0,39
11,Lit-ab57_5_plover-27,plover,Common_Ringed_Plover#species,amod>,ring,VERB,26,amod> ring,-0.17144584205815372,-0.26718017083775203,Charadriiformes__order,taxongroup_comment,0,39
1,Com-8f07_15_plover-4,plover,Common_Ringed_Plover#species,amod>,common,ADJ,2,amod> common,-0.7418291646336714,-0.1951929667076976,Charadriiformes__order,taxongroup_comment,0,39
