,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.002,1,325,Charadriiformes__order,free_topic
1,acl:relcl>nsubj> ...,0,0.006,1,325,Charadriiformes__order,free_topic
5,acl> ...,0,0.002,1,325,Charadriiformes__order,free_topic
14,amod> ...,0,0.041,19,325,Charadriiformes__order,free_topic
15,amod> Eurasian,0,0.002,1,325,Charadriiformes__order,free_topic
17,amod> common,0,0.001,1,325,Charadriiformes__order,free_topic
18,amod> great,0,0.007,2,325,Charadriiformes__order,free_topic
20,amod> many,0,0.011,2,325,Charadriiformes__order,free_topic
23,amod> ring,0,0.001,1,325,Charadriiformes__order,free_topic
26,amod>advmod> black,0,0.003,1,325,Charadriiformes__order,free_topic
27,amod>advmod> lesser,0,0.004,1,325,Charadriiformes__order,free_topic
29,amod>advmod> so,0,0.011,2,325,Charadriiformes__order,free_topic
32,amod>amod> black,0,0.017,3,325,Charadriiformes__order,free_topic
33,amod>amod> yellow,0,0.006,1,325,Charadriiformes__order,free_topic
35,amod>compound> black,0,0.006,1,325,Charadriiformes__order,free_topic
36,amod>conj> ...,0,0.011,4,325,Charadriiformes__order,free_topic
38,amod>conj>cc> and,0,0.002,1,325,Charadriiformes__order,free_topic
42,appos< ...,0,0.001,2,325,Charadriiformes__order,free_topic
47,appos<advmod> ...,0,0.004,1,325,Charadriiformes__order,free_topic
49,appos<appos> ...,0,0.0,1,325,Charadriiformes__order,free_topic
52,appos<appos>compound> ...,0,0.002,1,325,Charadriiformes__order,free_topic
62,appos<conj> ...,0,-0.001,1,325,Charadriiformes__order,free_topic
65,appos<conj>amod> ...,0,0.001,1,325,Charadriiformes__order,free_topic
66,appos<conj>appos> ...,0,0.003,1,325,Charadriiformes__order,free_topic
68,appos<conj>cc> and,0,0.002,1,325,Charadriiformes__order,free_topic
71,appos<conj>det> the,0,0.006,1,325,Charadriiformes__order,free_topic
77,appos<nmod> ...,0,0.026,5,325,Charadriiformes__order,free_topic
78,appos<nmod>amod> ...,0,0.023,3,325,Charadriiformes__order,free_topic
79,appos<nmod>appos> ...,0,0.026,4,325,Charadriiformes__order,free_topic
80,appos<nmod>case> ...,0,0.013,2,325,Charadriiformes__order,free_topic
82,appos<nmod>case> of,0,0.017,3,325,Charadriiformes__order,free_topic
83,appos<nmod>conj> ...,0,0.023,3,325,Charadriiformes__order,free_topic
85,appos<nmod>det> the,0,0.003,1,325,Charadriiformes__order,free_topic
86,appos<nsubj:pass<obl> ...,0,0.004,1,325,Charadriiformes__order,free_topic
93,appos<obl>case> ...,0,0.013,2,325,Charadriiformes__order,free_topic
94,appos> ...,0,0.034,10,325,Charadriiformes__order,free_topic
102,appos> michahellis,0,0.006,1,325,Charadriiformes__order,free_topic
103,appos>amod> ...,0,0.008,2,325,Charadriiformes__order,free_topic
104,appos>amod> Larus,0,0.018,3,325,Charadriiformes__order,free_topic
106,appos>compound> ...,0,0.015,3,325,Charadriiformes__order,free_topic
107,appos>compound> Corvus,0,0.006,1,325,Charadriiformes__order,free_topic
108,appos>compound> Larus,0,0.015,2,325,Charadriiformes__order,free_topic
110,appos>conj> ...,0,0.011,2,325,Charadriiformes__order,free_topic
112,appos>conj>cc> and,0,0.003,1,325,Charadriiformes__order,free_topic
187,compound> ...,0,0.004,3,325,Charadriiformes__order,free_topic
190,compound> herr,0,0.002,1,325,Charadriiformes__order,free_topic
195,compound> stone,0,0.005,2,325,Charadriiformes__order,free_topic
197,compound>compound> ...,0,0.003,1,325,Charadriiformes__order,free_topic
341,conj> ...,0,0.005,6,325,Charadriiformes__order,free_topic
344,conj> crow,0,0.006,1,325,Charadriiformes__order,free_topic
347,conj> lapwing,0,0.006,1,325,Charadriiformes__order,free_topic
352,conj>amod> ...,0,0.003,2,325,Charadriiformes__order,free_topic
353,conj>amod> american,0,0.006,1,325,Charadriiformes__order,free_topic
354,conj>amod> common,0,0.006,1,325,Charadriiformes__order,free_topic
356,conj>amod> northern,0,0.006,1,325,Charadriiformes__order,free_topic
361,conj>cc> and,0,-0.004,1,325,Charadriiformes__order,free_topic
362,conj>cc> or,0,0.009,3,325,Charadriiformes__order,free_topic
364,conj>conj> ...,0,0.013,2,325,Charadriiformes__order,free_topic
373,cop> be,0,0.012,3,325,Charadriiformes__order,free_topic
377,det> the,0,0.038,16,325,Charadriiformes__order,free_topic
387,flat> ...,0,0.001,1,325,Charadriiformes__order,free_topic
549,nsubj< ...,0,0.049,13,325,Charadriiformes__order,free_topic
551,nsubj< common,0,0.015,2,325,Charadriiformes__order,free_topic
552,nsubj< find,0,0.015,2,325,Charadriiformes__order,free_topic
553,nsubj< have,0,0.004,1,325,Charadriiformes__order,free_topic
554,nsubj< one,0,0.004,1,325,Charadriiformes__order,free_topic
555,nsubj< species,0,0.013,2,325,Charadriiformes__order,free_topic
557,nsubj<advcl< ...,0,0.011,2,325,Charadriiformes__order,free_topic
558,nsubj<advcl<nmod> ...,0,0.013,2,325,Charadriiformes__order,free_topic
559,nsubj<advcl> ...,0,0.003,2,325,Charadriiformes__order,free_topic
561,nsubj<advcl>advmod> ...,0,0.01,2,325,Charadriiformes__order,free_topic
562,nsubj<advcl>mark> ...,0,0.002,1,325,Charadriiformes__order,free_topic
563,nsubj<advcl>mark> in,0,0.006,1,325,Charadriiformes__order,free_topic
568,nsubj<advcl>obl> ...,0,0.0,1,325,Charadriiformes__order,free_topic
569,nsubj<advmod> ...,0,0.053,8,325,Charadriiformes__order,free_topic
570,nsubj<advmod> also,0,0.006,1,325,Charadriiformes__order,free_topic
571,nsubj<advmod> however,0,0.006,1,325,Charadriiformes__order,free_topic
572,nsubj<advmod> increasingly,0,0.015,2,325,Charadriiformes__order,free_topic
575,nsubj<advmod> why,0,0.015,2,325,Charadriiformes__order,free_topic
576,nsubj<amod> ...,0,0.051,8,325,Charadriiformes__order,free_topic
577,nsubj<amod>advmod> ...,0,0.02,3,325,Charadriiformes__order,free_topic
578,nsubj<appos> ...,0,0.004,1,325,Charadriiformes__order,free_topic
579,nsubj<aux> ...,0,0.003,1,325,Charadriiformes__order,free_topic
582,nsubj<compound> ...,0,0.013,2,325,Charadriiformes__order,free_topic
584,nsubj<conj< associate,0,0.015,2,325,Charadriiformes__order,free_topic
585,nsubj<conj> ...,0,0.01,4,325,Charadriiformes__order,free_topic
586,nsubj<conj> fly,0,0.006,1,325,Charadriiformes__order,free_topic
587,nsubj<conj>advmod> ...,0,0.008,2,325,Charadriiformes__order,free_topic
588,nsubj<conj>aux:pass> be,0,0.004,1,325,Charadriiformes__order,free_topic
590,nsubj<conj>cc> ...,0,0.009,2,325,Charadriiformes__order,free_topic
591,nsubj<conj>cc> and,0,0.003,2,325,Charadriiformes__order,free_topic
593,nsubj<conj>obj> ...,0,0.01,2,325,Charadriiformes__order,free_topic
594,nsubj<conj>xcomp> ...,0,0.003,1,325,Charadriiformes__order,free_topic
596,nsubj<cop> be,0,0.083,15,325,Charadriiformes__order,free_topic
597,nsubj<det> a,0,0.01,2,325,Charadriiformes__order,free_topic
598,nsubj<det> the,0,0.043,6,325,Charadriiformes__order,free_topic
599,nsubj<mark> ...,0,0.004,1,325,Charadriiformes__order,free_topic
600,nsubj<mark> while,0,0.006,1,325,Charadriiformes__order,free_topic
601,nsubj<nmod> ...,0,0.007,2,325,Charadriiformes__order,free_topic
602,nsubj<nmod> world,0,0.015,2,325,Charadriiformes__order,free_topic
603,nsubj<nmod>case> ...,0,0.003,1,325,Charadriiformes__order,free_topic
