	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Charadriiformes__order	1720
1	adaptation_comment	adaptation_topic	0.515083607083545	Charadriiformes__order	1720
2	adaptation_comment	free_topic	0.47478434375968537	Charadriiformes__order	1720
3	adaptation_comment	location_comment	0.575797431177641	Charadriiformes__order	1720
4	adaptation_comment	location_topic	0.5300673187259081	Charadriiformes__order	1720
5	adaptation_comment	taxongroup_comment	0.46029225095071863	Charadriiformes__order	1720
6	adaptation_comment	taxongroup_topic	0.4706671654022426	Charadriiformes__order	1720
7	adaptation_topic	adaptation_comment	0.515083607083545	Charadriiformes__order	1720
8	adaptation_topic	adaptation_topic	0.0	Charadriiformes__order	1720
9	adaptation_topic	free_topic	0.3970386152945844	Charadriiformes__order	1720
10	adaptation_topic	location_comment	0.5253031677258381	Charadriiformes__order	1720
11	adaptation_topic	location_topic	0.4005650812630953	Charadriiformes__order	1720
12	adaptation_topic	taxongroup_comment	0.3733610180961247	Charadriiformes__order	1720
13	adaptation_topic	taxongroup_topic	0.35265209872466696	Charadriiformes__order	1720
14	free_topic	adaptation_comment	0.47478434375968537	Charadriiformes__order	1720
15	free_topic	adaptation_topic	0.3970386152945844	Charadriiformes__order	1720
16	free_topic	free_topic	0.0	Charadriiformes__order	1720
17	free_topic	location_comment	0.49762507570766323	Charadriiformes__order	1720
18	free_topic	location_topic	0.38204221233455415	Charadriiformes__order	1720
19	free_topic	taxongroup_comment	0.24960263923158393	Charadriiformes__order	1720
20	free_topic	taxongroup_topic	0.2688461865472437	Charadriiformes__order	1720
21	location_comment	adaptation_comment	0.575797431177641	Charadriiformes__order	1720
22	location_comment	adaptation_topic	0.5253031677258381	Charadriiformes__order	1720
23	location_comment	free_topic	0.49762507570766323	Charadriiformes__order	1720
24	location_comment	location_comment	0.0	Charadriiformes__order	1720
25	location_comment	location_topic	0.5726808673325544	Charadriiformes__order	1720
26	location_comment	taxongroup_comment	0.5261807735359931	Charadriiformes__order	1720
27	location_comment	taxongroup_topic	0.5710243579018188	Charadriiformes__order	1720
28	location_topic	adaptation_comment	0.5300673187259081	Charadriiformes__order	1720
29	location_topic	adaptation_topic	0.4005650812630953	Charadriiformes__order	1720
30	location_topic	free_topic	0.38204221233455415	Charadriiformes__order	1720
31	location_topic	location_comment	0.5726808673325544	Charadriiformes__order	1720
32	location_topic	location_topic	0.0	Charadriiformes__order	1720
33	location_topic	taxongroup_comment	0.3950473307014464	Charadriiformes__order	1720
34	location_topic	taxongroup_topic	0.35577844921822377	Charadriiformes__order	1720
35	taxongroup_comment	adaptation_comment	0.46029225095071863	Charadriiformes__order	1720
36	taxongroup_comment	adaptation_topic	0.3733610180961247	Charadriiformes__order	1720
37	taxongroup_comment	free_topic	0.24960263923158393	Charadriiformes__order	1720
38	taxongroup_comment	location_comment	0.5261807735359931	Charadriiformes__order	1720
39	taxongroup_comment	location_topic	0.3950473307014464	Charadriiformes__order	1720
40	taxongroup_comment	taxongroup_comment	0.0	Charadriiformes__order	1720
41	taxongroup_comment	taxongroup_topic	0.2045625473268261	Charadriiformes__order	1720
42	taxongroup_topic	adaptation_comment	0.4706671654022426	Charadriiformes__order	1720
43	taxongroup_topic	adaptation_topic	0.35265209872466696	Charadriiformes__order	1720
44	taxongroup_topic	free_topic	0.2688461865472437	Charadriiformes__order	1720
45	taxongroup_topic	location_comment	0.5710243579018188	Charadriiformes__order	1720
46	taxongroup_topic	location_topic	0.35577844921822377	Charadriiformes__order	1720
47	taxongroup_topic	taxongroup_comment	0.2045625473268261	Charadriiformes__order	1720
48	taxongroup_topic	taxongroup_topic	0.0	Charadriiformes__order	1720
