feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>case> ...,0.969,0.0,0.913,0.002,5,Chordate__phylum,adaptation_comment
nmod< cue,0.9,0.002,0.577,0.134,2,Chordate__phylum,adaptation_comment
nsubj>compound> tiger,0.878,0.004,0.756,0.03,2,Chordate__phylum,adaptation_comment
case> to,0.868,0.005,0.845,0.008,3,Chordate__phylum,adaptation_comment
nmod>conj> ...,0.852,0.007,0.866,0.005,4,Chordate__phylum,adaptation_comment
nmod>conj>cc> and,0.824,0.012,0.732,0.039,3,Chordate__phylum,adaptation_comment
nmod>conj>amod> ...,0.799,0.017,0.866,0.005,4,Chordate__phylum,adaptation_comment
nsubj< ...,0.795,0.018,0.73,0.04,7,Chordate__phylum,adaptation_comment
nmod>case> of,0.78,0.022,0.674,0.067,4,Chordate__phylum,adaptation_comment
case> for,0.777,0.023,0.764,0.027,5,Chordate__phylum,adaptation_comment
det> a,0.774,0.024,0.845,0.008,3,Chordate__phylum,adaptation_comment
nsubj>det> the,0.762,0.028,0.764,0.027,3,Chordate__phylum,adaptation_comment
nmod> ...,0.727,0.041,0.83,0.011,8,Chordate__phylum,adaptation_comment
obj< have,0.721,0.043,0.756,0.03,4,Chordate__phylum,adaptation_comment
compound> ...,-0.721,0.044,-0.639,0.088,6,Chordate__phylum,adaptation_comment
conj>cc> but,0.714,0.047,0.732,0.039,3,Chordate__phylum,adaptation_comment
amod> ...,0.707,0.05,0.749,0.033,24,Chordate__phylum,adaptation_comment
amod> natural,0.701,0.053,0.63,0.094,2,Chordate__phylum,adaptation_comment
nmod>compound> ...,0.7,0.053,0.733,0.039,3,Chordate__phylum,adaptation_comment
nmod>det> ...,0.648,0.082,0.577,0.134,1,Chordate__phylum,adaptation_comment
nmod<amod> Chemical,0.644,0.085,0.577,0.134,2,Chordate__phylum,adaptation_comment
nmod<case> ...,0.632,0.093,0.327,0.429,3,Chordate__phylum,adaptation_comment
nmod< ...,0.631,0.093,0.733,0.039,9,Chordate__phylum,adaptation_comment
case> ...,0.613,0.106,0.507,0.2,3,Chordate__phylum,adaptation_comment
obl<conj> ...,0.587,0.126,0.514,0.192,3,Chordate__phylum,adaptation_comment
obj<nsubj> ...,0.578,0.133,0.504,0.203,2,Chordate__phylum,adaptation_comment
obl< ...,0.575,0.136,0.546,0.162,6,Chordate__phylum,adaptation_comment
nsubj<conj> ...,0.574,0.136,0.546,0.162,5,Chordate__phylum,adaptation_comment
advcl>obl> ...,0.571,0.139,0.577,0.134,4,Chordate__phylum,adaptation_comment
nmod>det> the,0.565,0.144,0.592,0.122,3,Chordate__phylum,adaptation_comment
nmod> shark,0.559,0.15,0.63,0.094,2,Chordate__phylum,adaptation_comment
appos>det> ...,0.556,0.152,0.577,0.134,1,Chordate__phylum,adaptation_comment
det> the,0.546,0.161,0.504,0.203,2,Chordate__phylum,adaptation_comment
nmod:poss> ...,-0.523,0.184,-0.504,0.203,2,Chordate__phylum,adaptation_comment
conj>amod> ...,0.516,0.19,0.655,0.078,3,Chordate__phylum,adaptation_comment
nsubj>det> ...,0.509,0.198,0.412,0.31,1,Chordate__phylum,adaptation_comment
nsubj> shark,0.479,0.229,0.42,0.3,9,Chordate__phylum,adaptation_comment
conj> ...,0.475,0.234,0.536,0.171,5,Chordate__phylum,adaptation_comment
nmod>amod> ...,0.436,0.28,0.192,0.648,6,Chordate__phylum,adaptation_comment
amod< behaviour,0.436,0.28,0.452,0.261,3,Chordate__phylum,adaptation_comment
nsubj<obj>amod> ...,0.431,0.287,0.252,0.547,4,Chordate__phylum,adaptation_comment
appos< ...,-0.411,0.312,-0.507,0.2,3,Chordate__phylum,adaptation_comment
nsubj> species,0.392,0.337,0.282,0.499,3,Chordate__phylum,adaptation_comment
advcl>obl>case> ...,0.387,0.343,0.412,0.31,4,Chordate__phylum,adaptation_comment
obl<mark> ...,-0.377,0.357,-0.412,0.31,1,Chordate__phylum,adaptation_comment
nsubj<conj>cc> and,0.373,0.363,0.483,0.225,3,Chordate__phylum,adaptation_comment
case> by,0.352,0.393,0.394,0.334,3,Chordate__phylum,adaptation_comment
conj>obj> ...,0.334,0.418,0.218,0.604,3,Chordate__phylum,adaptation_comment
case> of,0.333,0.42,0.247,0.555,3,Chordate__phylum,adaptation_comment
advcl>obj> ...,0.332,0.422,0.592,0.122,3,Chordate__phylum,adaptation_comment
parataxis>nsubj> ...,0.327,0.429,0.187,0.657,3,Chordate__phylum,adaptation_comment
nsubj> ...,-0.291,0.484,-0.436,0.28,4,Chordate__phylum,adaptation_comment
det> ...,0.269,0.52,0.169,0.689,3,Chordate__phylum,adaptation_comment
nsubj>amod> ...,0.263,0.529,0.051,0.904,7,Chordate__phylum,adaptation_comment
obj< ...,0.263,0.529,0.247,0.555,1,Chordate__phylum,adaptation_comment
amod<case> ...,-0.239,0.569,-0.405,0.319,3,Chordate__phylum,adaptation_comment
nsubj>amod> white,0.232,0.58,0.187,0.657,3,Chordate__phylum,adaptation_comment
advcl> ...,0.228,0.587,0.014,0.974,5,Chordate__phylum,adaptation_comment
nsubj>compound> ...,-0.222,0.596,-0.082,0.846,1,Chordate__phylum,adaptation_comment
nsubj<conj>cc> ...,0.212,0.615,0.247,0.555,2,Chordate__phylum,adaptation_comment
nmod:poss> they,0.212,0.615,0.056,0.895,3,Chordate__phylum,adaptation_comment
nsubj>amod> great,0.211,0.616,0.082,0.846,2,Chordate__phylum,adaptation_comment
conj>cc> and,0.192,0.65,0.206,0.624,4,Chordate__phylum,adaptation_comment
conj> shark,0.164,0.698,0.0,1.0,2,Chordate__phylum,adaptation_comment
amod> primary,0.139,0.743,0.126,0.766,2,Chordate__phylum,adaptation_comment
compound> lamprey,-0.127,0.764,-0.247,0.555,2,Chordate__phylum,adaptation_comment
appos> ...,-0.123,0.771,-0.056,0.895,3,Chordate__phylum,adaptation_comment
advmod> ...,-0.117,0.782,-0.312,0.452,3,Chordate__phylum,adaptation_comment
appos>det> the,0.104,0.807,0.126,0.766,2,Chordate__phylum,adaptation_comment
parataxis> ...,0.088,0.835,0.203,0.63,4,Chordate__phylum,adaptation_comment
amod> main,0.079,0.853,0.0,1.0,2,Chordate__phylum,adaptation_comment
cop> be,-0.037,0.93,-0.182,0.666,16,Chordate__phylum,adaptation_comment
amod< ...,-0.018,0.966,0.203,0.63,7,Chordate__phylum,adaptation_comment
obj<nsubj> they,-0.01,0.981,0.047,0.912,3,Chordate__phylum,adaptation_comment
obl<mark> to,0.009,0.983,0.0,1.0,2,Chordate__phylum,adaptation_comment
nmod<amod> ...,0.001,0.999,0.082,0.846,3,Chordate__phylum,adaptation_comment
nsubj<obj> ...,0.0,0.999,-0.206,0.624,4,Chordate__phylum,adaptation_comment
