feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>case> such,0.963,0.0,0.921,0.001,31,Chordate__phylum,free_topic
nmod>case> ...,0.951,0.0,0.856,0.007,11,Chordate__phylum,free_topic
conj<conj> egg,0.946,0.0,0.764,0.027,5,Chordate__phylum,free_topic
conj<conj> ...,0.944,0.0,0.791,0.019,129,Chordate__phylum,free_topic
conj<case> include,0.943,0.0,0.756,0.03,8,Chordate__phylum,free_topic
nmod>case> in,0.933,0.001,0.873,0.005,15,Chordate__phylum,free_topic
conj<nmod< source,0.927,0.001,0.756,0.03,2,Chordate__phylum,free_topic
conj<conj> hammerhead,0.924,0.001,0.764,0.027,3,Chordate__phylum,free_topic
obl<advmod> mostly,0.918,0.001,0.756,0.03,2,Chordate__phylum,free_topic
nsubj< include,0.918,0.001,0.764,0.027,5,Chordate__phylum,free_topic
nmod>case> include,0.916,0.001,0.655,0.078,8,Chordate__phylum,free_topic
nmod>case> with,0.914,0.001,0.764,0.027,4,Chordate__phylum,free_topic
conj<obj> ...,0.912,0.002,0.825,0.012,7,Chordate__phylum,free_topic
obl<advmod> usually,0.911,0.002,0.756,0.03,2,Chordate__phylum,free_topic
nsubj< fish,0.906,0.002,0.577,0.134,2,Chordate__phylum,free_topic
nmod:poss< ...,-0.904,0.002,-0.764,0.027,7,Chordate__phylum,free_topic
nmod< species,0.9,0.002,0.846,0.008,10,Chordate__phylum,free_topic
conj<conj>cc> as,0.886,0.003,0.756,0.03,2,Chordate__phylum,free_topic
nmod>conj>amod> small,0.884,0.004,0.577,0.134,4,Chordate__phylum,free_topic
nmod>case> to,0.881,0.004,0.577,0.134,3,Chordate__phylum,free_topic
conj<case> such,0.876,0.004,0.764,0.027,8,Chordate__phylum,free_topic
obl<advcl>mark> when,0.87,0.005,0.655,0.078,4,Chordate__phylum,free_topic
acl:relcl>obl> ...,0.87,0.005,0.764,0.027,6,Chordate__phylum,free_topic
amod>conj> ...,0.867,0.005,0.546,0.162,12,Chordate__phylum,free_topic
appos<nmod>case> of,0.852,0.007,0.764,0.027,3,Chordate__phylum,free_topic
nmod<obl<nsubj> ...,0.851,0.007,0.764,0.027,12,Chordate__phylum,free_topic
conj<conj> insect,0.849,0.008,0.764,0.027,5,Chordate__phylum,free_topic
conj<conj>cc> and,0.848,0.008,0.702,0.052,47,Chordate__phylum,free_topic
compound<appos<amod> ...,-0.848,0.008,-0.764,0.027,3,Chordate__phylum,free_topic
case> such,0.847,0.008,0.868,0.005,15,Chordate__phylum,free_topic
nmod>case> of,0.843,0.009,0.587,0.126,10,Chordate__phylum,free_topic
nsubj< related,0.84,0.009,0.756,0.03,2,Chordate__phylum,free_topic
nmod<nmod>case> include,-0.839,0.009,-0.756,0.03,2,Chordate__phylum,free_topic
nmod<obl<nsubj:pass> this,-0.837,0.009,-0.756,0.03,2,Chordate__phylum,free_topic
conj<obj> insect,0.835,0.01,0.756,0.03,2,Chordate__phylum,free_topic
nsubj< ...,0.834,0.01,0.786,0.021,68,Chordate__phylum,free_topic
compound<conj>amod> neosuchian,0.831,0.011,0.577,0.134,2,Chordate__phylum,free_topic
acl>obl>nmod> ...,0.829,0.011,0.709,0.049,7,Chordate__phylum,free_topic
obl<ccomp> ...,-0.827,0.011,-0.756,0.03,4,Chordate__phylum,free_topic
nmod<nsubj>nmod> ...,0.821,0.012,0.733,0.039,3,Chordate__phylum,free_topic
conj<appos>det> the,0.819,0.013,0.546,0.162,4,Chordate__phylum,free_topic
conj<case>fixed> as,-0.819,0.013,-0.764,0.027,8,Chordate__phylum,free_topic
conj< human,0.818,0.013,0.733,0.039,3,Chordate__phylum,free_topic
nmod< order,0.818,0.013,0.764,0.027,6,Chordate__phylum,free_topic
nmod<conj>nummod> ...,0.817,0.013,0.577,0.134,1,Chordate__phylum,free_topic
amod> small,0.817,0.013,0.762,0.028,69,Chordate__phylum,free_topic
conj<conj>amod> eat,0.816,0.014,0.577,0.134,3,Chordate__phylum,free_topic
nsubj<obl>nmod:poss> its,0.815,0.014,0.577,0.134,2,Chordate__phylum,free_topic
nmod<conj>det> ...,0.814,0.014,0.577,0.134,1,Chordate__phylum,free_topic
conj<nmod<amod> many,0.814,0.014,0.756,0.03,2,Chordate__phylum,free_topic
nsubj<parataxis>nsubj> ...,0.814,0.014,0.825,0.012,5,Chordate__phylum,free_topic
nummod> ...,0.813,0.014,0.868,0.005,8,Chordate__phylum,free_topic
nmod>case>fixed> as,0.812,0.014,0.847,0.008,31,Chordate__phylum,free_topic
compound<conj<amod> ...,0.81,0.015,0.764,0.027,4,Chordate__phylum,free_topic
nmod<acl:relcl>nsubj> that,0.81,0.015,0.756,0.03,2,Chordate__phylum,free_topic
nmod<acl:relcl> ...,-0.81,0.015,-0.764,0.027,5,Chordate__phylum,free_topic
conj<nmod< ...,0.81,0.015,0.873,0.005,26,Chordate__phylum,free_topic
conj<case> from,0.807,0.015,0.733,0.039,3,Chordate__phylum,free_topic
conj<obl> ...,0.805,0.016,0.791,0.019,10,Chordate__phylum,free_topic
nsubj<obj>det> all,-0.805,0.016,-0.577,0.134,2,Chordate__phylum,free_topic
nsubj<advcl<obj> ...,0.804,0.016,0.546,0.162,5,Chordate__phylum,free_topic
nmod< ...,0.803,0.016,0.731,0.04,160,Chordate__phylum,free_topic
conj<conj>cc> ...,0.803,0.016,0.764,0.027,3,Chordate__phylum,free_topic
compound>amod> western,-0.802,0.017,-0.577,0.134,2,Chordate__phylum,free_topic
nsubj<cop> be,0.801,0.017,0.791,0.019,33,Chordate__phylum,free_topic
nsubj<amod>advmod> ...,0.8,0.017,0.764,0.027,3,Chordate__phylum,free_topic
conj>nmod>case> of,0.8,0.017,0.784,0.021,5,Chordate__phylum,free_topic
nmod<obj< include,0.799,0.017,0.873,0.005,4,Chordate__phylum,free_topic
conj<case> ...,0.796,0.018,0.764,0.027,4,Chordate__phylum,free_topic
obl<aux> may,0.791,0.019,0.845,0.008,3,Chordate__phylum,free_topic
nmod<nmod>case> of,-0.791,0.019,-0.674,0.067,5,Chordate__phylum,free_topic
nsubj>det> the,0.787,0.02,0.546,0.162,9,Chordate__phylum,free_topic
