feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod<conj> shark,0.952,0.0,0.655,0.078,12,Chordate__phylum,taxongroup_comment
nmod< those,0.923,0.001,0.577,0.134,2,Chordate__phylum,taxongroup_comment
nmod<case> ...,0.918,0.001,0.577,0.134,4,Chordate__phylum,taxongroup_comment
nsubj<conj> ...,0.912,0.002,0.546,0.162,9,Chordate__phylum,taxongroup_comment
nmod<case> for,0.912,0.002,0.577,0.134,2,Chordate__phylum,taxongroup_comment
conj<nmod<conj> shark,0.904,0.002,0.546,0.162,22,Chordate__phylum,taxongroup_comment
conj<conj> shark,0.899,0.002,0.873,0.005,134,Chordate__phylum,taxongroup_comment
nmod<det> a,0.894,0.003,0.436,0.28,18,Chordate__phylum,taxongroup_comment
nmod< type,0.894,0.003,0.577,0.134,2,Chordate__phylum,taxongroup_comment
nmod< ...,0.891,0.003,0.218,0.604,38,Chordate__phylum,taxongroup_comment
nmod<det> the,0.89,0.003,0.327,0.429,19,Chordate__phylum,taxongroup_comment
conj> shark,0.886,0.003,0.243,0.563,30,Chordate__phylum,taxongroup_comment
obj<nsubj>det> ...,0.886,0.003,0.756,0.03,2,Chordate__phylum,taxongroup_comment
nmod< shark,0.886,0.003,0.577,0.134,3,Chordate__phylum,taxongroup_comment
nmod< group,0.885,0.003,0.577,0.134,5,Chordate__phylum,taxongroup_comment
nmod<case> in,0.882,0.004,0.577,0.134,2,Chordate__phylum,taxongroup_comment
conj>compound> hammerhead,0.881,0.004,0.577,0.134,2,Chordate__phylum,taxongroup_comment
nmod<conj>amod> ...,0.879,0.004,0.756,0.03,8,Chordate__phylum,taxongroup_comment
conj< shark,0.878,0.004,0.702,0.052,29,Chordate__phylum,taxongroup_comment
nmod<case> of,0.878,0.004,0.436,0.28,8,Chordate__phylum,taxongroup_comment
appos<conj<appos> ...,-0.877,0.004,-0.577,0.134,2,Chordate__phylum,taxongroup_comment
conj<case> such,0.868,0.005,0.436,0.28,10,Chordate__phylum,taxongroup_comment
conj<nmod< species,0.865,0.006,0.577,0.134,11,Chordate__phylum,taxongroup_comment
nmod<obl< ...,0.865,0.006,0.577,0.134,6,Chordate__phylum,taxongroup_comment
conj<conj>det> thresher,0.862,0.006,0.577,0.134,4,Chordate__phylum,taxongroup_comment
conj<nmod< shark,0.861,0.006,0.577,0.134,2,Chordate__phylum,taxongroup_comment
compound>compound> juvenile,0.861,0.006,0.577,0.134,3,Chordate__phylum,taxongroup_comment
compound<compound>appos> ...,0.852,0.007,0.764,0.027,3,Chordate__phylum,taxongroup_comment
nmod<obj< ...,0.843,0.009,0.436,0.28,11,Chordate__phylum,taxongroup_comment
obj<cc> and,0.84,0.009,0.577,0.134,3,Chordate__phylum,taxongroup_comment
conj> ...,0.837,0.009,0.546,0.162,21,Chordate__phylum,taxongroup_comment
obl<nsubj:pass>conj> turtle,0.835,0.01,0.577,0.134,2,Chordate__phylum,taxongroup_comment
nmod<obj< comprise,0.832,0.01,0.577,0.134,2,Chordate__phylum,taxongroup_comment
