,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Bas-63b2_73_Migration-4,Migration,Animal_migration#adaptation,appos<,behavior,NOUN,2,appos< ...,-0.2021939890802264,0.38717465852923183,Chordate__phylum,adaptation_comment,7,7
1,Bas-63b2_109_ovoviviparous-4,ovoviviparous,Ovoviviparity#adaptation,nsubj>,shark,NOUN,2,nsubj> shark,0.14168419260333798,-0.38538022827060114,Chordate__phylum,adaptation_comment,7,7
2,Bas-63b2_109_ovoviviparous-4,ovoviviparous,Ovoviviparity#adaptation,cop>,be,AUX,3,cop> be,-0.11393179069328063,-0.03333198436141793,Chordate__phylum,adaptation_comment,7,7
5,Gre-c669_187_social-26,social,Presociality#adaptation,amod<case>,of,ADP,25,amod<case> ...,0.41934349322093056,-0.08262876145187768,Chordate__phylum,adaptation_comment,7,7
1,Lem-ec0f_80_viviparous-4,viviparous,Vivipary#adaptation,nsubj>,shark,NOUN,2,nsubj> shark,0.14168419260333798,-0.38538022827060114,Chordate__phylum,adaptation_comment,7,7
2,Lem-ec0f_80_viviparous-4,viviparous,Vivipary#adaptation,cop>,be,AUX,3,cop> be,-0.11393179069328063,-0.03333198436141793,Chordate__phylum,adaptation_comment,7,7
1,Hem0083_4_suckers-2,suckers,Hematophagy#adaptation,nsubj<,take,VERB,3,nsubj< ...,-0.23131703725100738,0.4630102384193418,Chordate__phylum,adaptation_comment,7,7
0,Sha-8b9d_290_viviparous-19,viviparous,Vivipary#adaptation,nsubj>,Hammerheads,PROPN,1,nsubj> ...,0.06241967584342059,-0.3741740851872358,Chordate__phylum,adaptation_comment,7,7
7,Sha-8b9d_290_viviparous-19,viviparous,Vivipary#adaptation,cop>,be,AUX,18,cop> be,-0.11393179069328063,-0.03333198436141793,Chordate__phylum,adaptation_comment,7,7
3,Sha-8b9d_272_ovoviviparous-5,ovoviviparous,Ovoviviparity#adaptation,amod<case>,for,ADP,4,amod<case> ...,0.320930497569038,-0.01264648673863046,Chordate__phylum,adaptation_comment,7,7
9,Coe-f000_125_predators-29,predators,Predation#adaptation,amod>,large,ADJ,27,amod> ...,0.7781916424001234,0.06681269622724266,Chordate__phylum,adaptation_comment,4,11
6,Gre-c669_15_migration-11,migration,Animal_migration#adaptation,amod>,seasonal,ADJ,10,amod> ...,0.6359760813759726,-0.01428308331366239,Chordate__phylum,adaptation_comment,4,11
2,Gre-c669_167_migrations-17,migrations,Animal_migration#adaptation,nmod<case>,within,ADP,11,nmod<case> ...,0.452634652023153,0.07168612413905369,Chordate__phylum,adaptation_comment,4,11
6,Gre-c669_167_migrations-17,migrations,Animal_migration#adaptation,amod>,long,ADJ,15,amod> ...,0.601020846857506,-0.05220019049262421,Chordate__phylum,adaptation_comment,4,11
9,Gre-c669_75_predators-13,predators,Predation#adaptation,amod>,coastal,ADJ,11,amod> ...,0.6169216900332257,0.12336003273101082,Chordate__phylum,adaptation_comment,4,11
10,Gre-c669_75_predators-13,predators,Predation#adaptation,amod>,territorial,ADJ,12,amod> ...,0.4742926410592438,0.007321897680655517,Chordate__phylum,adaptation_comment,4,11
5,Atl-fb88_77_predators-10,predators,Predation#adaptation,obj<,have,VERB,8,obj< have,0.23030375306211187,0.14423793133710552,Chordate__phylum,adaptation_comment,4,11
6,Atl-fb88_77_predators-10,predators,Predation#adaptation,amod>,few,ADJ,9,amod> ...,0.7704086852978692,0.03350993901264722,Chordate__phylum,adaptation_comment,4,11
5,Gred83c_11_predators-7,predators,Predation#adaptation,amod>,great,ADJ,6,amod> ...,0.655359153494285,0.11773340956305245,Chordate__phylum,adaptation_comment,4,11
2,Tig-9404_9_predator-8,predator,Predation#adaptation,obj<,have,VERB,3,obj< have,0.23030375306211187,0.14423793133710552,Chordate__phylum,adaptation_comment,4,11
5,Tig-9404_9_predator-8,predator,Predation#adaptation,amod>,record,ADJ,6,amod> ...,0.6932390611625989,-0.017657469652262933,Chordate__phylum,adaptation_comment,4,11
6,Tig-9404_9_predator-8,predator,Predation#adaptation,amod>,natural,ADJ,7,amod> natural,0.5676498509492192,0.10893789037111373,Chordate__phylum,adaptation_comment,4,11
9,Tig-9404_125_predators-23,predators,Predation#adaptation,amod>,larger,ADJ,22,amod> ...,0.7171436002699164,-0.012801299805320465,Chordate__phylum,adaptation_comment,4,11
4,Ani-ab87_9_migration-6,migration,Animal_migration#adaptation,amod>,human,ADJ,5,amod> ...,0.5485482698191473,0.07931181921456834,Chordate__phylum,adaptation_comment,4,11
2,Spa-e46a_26_spawning-7,spawning,Spawn_biology#adaptation,nmod<case>,for,ADP,3,nmod<case> ...,0.30056204168900486,-0.10256856537021711,Chordate__phylum,adaptation_comment,4,11
5,Spa-e46a_26_spawning-7,spawning,Spawn_biology#adaptation,amod>,broadcast,ADJ,6,amod> ...,0.6662809415597518,0.028873649751413467,Chordate__phylum,adaptation_comment,4,11
2,Ame-fe9c_131_predators-4,predators,Predation#adaptation,amod>,know,VERB,3,amod> ...,0.799614814510665,0.1396952679442937,Chordate__phylum,adaptation_comment,4,11
2,Gre-8842_180_predators-8,predators,Predation#adaptation,obj<,have,VERB,5,obj< have,-0.5129883609194292,0.28745975886495456,Chordate__phylum,adaptation_comment,3,5
4,Gre-8842_180_predators-8,predators,Predation#adaptation,amod>,more,ADJ,7,amod> ...,-0.5867630241977393,0.28819997091404925,Chordate__phylum,adaptation_comment,3,5
7,Sea-fb32_324_predator-10,predator,Predation#adaptation,amod>,primary,ADJ,9,amod> primary,-0.634906669936736,0.2533138170078034,Chordate__phylum,adaptation_comment,3,5
7,Lem-ec0f_54_camouflage-16,camouflage,Camouflage#adaptation,obj<,use,VERB,15,obj< ...,-0.33263014234743965,0.2865815187485174,Chordate__phylum,adaptation_comment,3,5
5,Ame-fe9c_130_predators-12,predators,Predation#adaptation,obj<,have,VERB,9,obj< have,-0.5129883609194292,0.28745975886495456,Chordate__phylum,adaptation_comment,3,5
7,Ame-fe9c_130_predators-12,predators,Predation#adaptation,amod>,natural,ADJ,11,amod> natural,-0.5994926277046502,0.14339182113231033,Chordate__phylum,adaptation_comment,3,5
4,Ame-fe9c_130_predators-6,predators,Predation#adaptation,amod>,apex,ADJ,5,amod> ...,-0.6602237798030139,0.16712107830049988,Chordate__phylum,adaptation_comment,3,5
2,Coe-f000_125_predators-6,predators,Predation#adaptation,case>,by,ADP,3,case> by,0.4740811186837044,0.18424083634336227,Chordate__phylum,adaptation_comment,5,7
3,Coe-f000_125_predators-6,predators,Predation#adaptation,amod>,foreign,ADJ,4,amod> ...,-0.4384244504454234,0.117558707188008,Chordate__phylum,adaptation_comment,5,7
5,Bro-6067_34_predators-7,predators,Predation#adaptation,amod>,main,ADJ,6,amod> main,-0.4259760737366559,0.5261188224501563,Chordate__phylum,adaptation_comment,5,7
0,Har-49aa_62_predators-2,predators,Predation#adaptation,amod>,significant,ADJ,1,amod> ...,-0.23208967567439942,0.45730678442972467,Chordate__phylum,adaptation_comment,5,7
4,Lem-ec0f_16_camouflage-10,camouflage,Camouflage#adaptation,case>,as,ADP,7,case> ...,0.40997949156358005,0.1994424371287204,Chordate__phylum,adaptation_comment,5,7
6,Lem-ec0f_16_camouflage-10,camouflage,Camouflage#adaptation,amod>,excellent,ADJ,9,amod> ...,-0.3491775989087453,0.438235185837418,Chordate__phylum,adaptation_comment,5,7
5,Sar-0f18_7_predators-7,predators,Predation#adaptation,amod>,dominant,ADJ,6,amod> ...,-0.3247006845923856,0.4947620230299121,Chordate__phylum,adaptation_comment,5,7
18,Sar-0f18_7_predators-7,predators,Predation#adaptation,conj>,decline,NOUN,21,conj> ...,0.40024462835721747,0.25290505285890597,Chordate__phylum,adaptation_comment,5,7
4,Gre-c49e_41_predators-7,predators,Predation#adaptation,case>,to,ADP,5,case> to,0.44149802462176313,0.2346098426912565,Chordate__phylum,adaptation_comment,5,7
5,Gre-c49e_41_predators-7,predators,Predation#adaptation,amod>,typical,ADJ,6,amod> ...,-0.320820726741291,0.5679370501673694,Chordate__phylum,adaptation_comment,5,7
2,Gre-c49e_41_predator-15,predator,Predation#adaptation,amod>,primary,ADJ,14,amod> primary,-0.3988621621259881,0.5568642303208946,Chordate__phylum,adaptation_comment,5,7
4,Gre-8842_178_predator-7,predator,Predation#adaptation,det>,the,DET,5,det> the,0.2769954043576542,-0.5455759189246356,Chordate__phylum,adaptation_comment,2,4
5,Gre-8842_178_predator-7,predator,Predation#adaptation,amod>,main,ADJ,6,amod> main,0.46745688616159087,-0.002893881755921734,Chordate__phylum,adaptation_comment,2,4
3,Pin-2f45_282_predator-6,predator,Predation#adaptation,det>,another,DET,4,det> ...,0.23928226917697426,-0.44036609200192267,Chordate__phylum,adaptation_comment,2,4
4,Pin-2f45_282_predator-6,predator,Predation#adaptation,amod>,major,ADJ,5,amod> ...,0.3567775023928031,-0.0016602251766239529,Chordate__phylum,adaptation_comment,2,4
16,Pin-2f45_282_predator-6,predator,Predation#adaptation,conj>,shark,NOUN,18,conj> shark,0.30417948726979777,-0.2788272260538287,Chordate__phylum,adaptation_comment,2,4
9,Lem-ec0f_47_predators-21,predators,Predation#adaptation,amod>,asynchronous,ADJ,19,amod> ...,0.4013528887047194,-0.012203913869161837,Chordate__phylum,adaptation_comment,2,4
10,Lem-ec0f_47_predators-21,predators,Predation#adaptation,amod>,opportunistic,ADJ,20,amod> ...,0.41473778313377274,-0.002088696111590103,Chordate__phylum,adaptation_comment,2,4
0,Tig-9404_80_scavenger-2,scavenger,Scavenger#adaptation,det>,a,DET,1,det> a,0.27163839918356336,-0.5006452280431959,Chordate__phylum,adaptation_comment,2,4
4,Gre-8842_175_Predators-5,Predators,Predation#adaptation,conj>,parasite,NOUN,7,conj> ...,0.15727383339775305,-0.3496226023042068,Chordate__phylum,adaptation_comment,1,5
3,Gre-c669_76_migration-5,migration,Animal_migration#adaptation,nmod:poss>,they,PRON,4,nmod:poss> they,0.22719152376370516,-0.06930753755356597,Chordate__phylum,adaptation_comment,1,5
4,Lem-ec0f_72_predators-38,predators,Predation#adaptation,nmod<case>,regard,VERB,34,nmod<case> ...,-0.2186633956141984,-0.03267756443246176,Chordate__phylum,adaptation_comment,1,5
10,Lem-ec0f_72_predators-38,predators,Predation#adaptation,conj>,prey,NOUN,41,conj> ...,0.20053801686256256,-0.30736189693422,Chordate__phylum,adaptation_comment,1,5
6,Lam-fc95_246_migration-10,migration,Animal_migration#adaptation,compound>,lamprey,NOUN,9,compound> lamprey,0.12297090744851695,0.10556623351518893,Chordate__phylum,adaptation_comment,1,5
5,Lam-fc95_241_migration-11,migration,Animal_migration#adaptation,compound>,sea,NOUN,9,compound> ...,0.09410837816840685,0.11941443870399884,Chordate__phylum,adaptation_comment,1,5
6,Lam-fc95_241_migration-11,migration,Animal_migration#adaptation,compound>,lamprey,NOUN,10,compound> lamprey,0.12297090744851695,0.10556623351518893,Chordate__phylum,adaptation_comment,1,5
6,Tig-9404_70_predator-7,predator,Predation#adaptation,conj>cc>,and,CCONJ,8,conj>cc> and,-0.16474794999272965,-0.24554768047570757,Chordate__phylum,adaptation_comment,0,3
3,Dev-10b5_32_ovoviviparous-4,ovoviviparous,Ovoviviparity#adaptation,appos>det>,the,DET,6,appos>det> the,0.19532721091768723,-0.07430356072132416,Chordate__phylum,adaptation_comment,0,3
6,Raj-3022_50_ovoviviparous-7,ovoviviparous,Ovoviviparity#adaptation,advcl>obj>,birth,NOUN,11,advcl>obj> ...,-0.22510237422204157,-0.26468291690594936,Chordate__phylum,adaptation_comment,0,3
10,Raj-3022_50_ovoviviparous-7,ovoviviparous,Ovoviviparity#adaptation,conj>cc>,but,CCONJ,17,conj>cc> but,-0.2324571094180287,-0.25018792575018434,Chordate__phylum,adaptation_comment,0,3
