,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Wha-290e_33_ocean-62,ocean,Deep_sea#habitat,amod>,deep,ADJ,61,amod> deep,-0.49326910960730197,0.5802723716504756,Chordate__phylum,location_comment,5,8
8,Gia-6202_4_reef-17,reef,Reef#habitat,amod>,smaller,ADJ,16,amod> ...,-0.583863435034762,0.5969947358126935,Chordate__phylum,location_comment,5,8
5,Gia-6202_22_reef-15,reef,Reef#habitat,cc>,and,CCONJ,14,cc> and,-0.2839011474377131,-0.21040118062530538,Chordate__phylum,location_comment,5,8
7,Sar-0f18_43_estuaries-15,estuaries,Estuary#habitat,cc>,and,CCONJ,14,cc> and,-0.2839011474377131,-0.21040118062530538,Chordate__phylum,location_comment,5,8
9,Sti-ddcd_6_ocean-38,ocean,Deep_sea#habitat,amod>,deep,ADJ,37,amod> deep,-0.49326910960730197,0.5802723716504756,Chordate__phylum,location_comment,5,8
0,Nerefb6_38_seas-2,seas,Neritic_zone#habitat,amod>,shallow,ADJ,1,amod> shallow,-0.5127209661434098,0.5058045809744904,Chordate__phylum,location_comment,5,8
1,Nerefb6_40_seas-3,seas,Neritic_zone#habitat,amod>,shallow,ADJ,2,amod> shallow,-0.5127209661434098,0.5058045809744904,Chordate__phylum,location_comment,5,8
9,Ich-89df_453_ocean-13,ocean,Pelagic#habitat,amod>,open,ADJ,12,amod> open,-0.46586049169915017,0.5144543489455571,Chordate__phylum,location_comment,5,8
15,Lem-ec0f_27_ocean-35,ocean,Pelagic#habitat,obl<aux:pass>,be,AUX,30,obl<aux:pass> be,0.44522922784575475,-0.3053018848228527,Chordate__phylum,location_comment,6,14
17,Lem-ec0f_27_ocean-35,ocean,Pelagic#habitat,case>,in,ADP,32,case> in,-0.4855021403387369,0.10540125280486068,Chordate__phylum,location_comment,6,14
18,Lem-ec0f_27_ocean-35,ocean,Pelagic#habitat,det>,the,DET,33,det> the,0.38333577819961995,-0.23105413899678895,Chordate__phylum,location_comment,6,14
9,Gre-8842_154_ocean-16,ocean,Pelagic#habitat,case>,within,ADP,12,case> ...,-0.39553465876222355,0.09604988131794012,Chordate__phylum,location_comment,6,14
10,Gre-8842_154_ocean-16,ocean,Pelagic#habitat,det>,the,DET,13,det> the,0.38333577819961995,-0.23105413899678895,Chordate__phylum,location_comment,6,14
6,Gre-8842_227_ocean-10,ocean,Pelagic#habitat,case>,in,ADP,7,case> in,-0.4855021403387369,0.10540125280486068,Chordate__phylum,location_comment,6,14
7,Gre-8842_227_ocean-10,ocean,Pelagic#habitat,det>,the,DET,8,det> the,0.38333577819961995,-0.23105413899678895,Chordate__phylum,location_comment,6,14
7,Lam-fc95_17_ocean-21,ocean,Pelagic#habitat,case>,in,ADP,18,case> in,-0.4855021403387369,0.10540125280486068,Chordate__phylum,location_comment,6,14
8,Lam-fc95_17_ocean-21,ocean,Pelagic#habitat,det>,the,DET,19,det> the,0.38333577819961995,-0.23105413899678895,Chordate__phylum,location_comment,6,14
5,Bio-20c0_79_ocean-10,ocean,Deep_sea#habitat,case>,in,ADP,7,case> in,-0.4855021403387369,0.10540125280486068,Chordate__phylum,location_comment,6,14
6,Bio-20c0_79_ocean-10,ocean,Deep_sea#habitat,det>,the,DET,8,det> the,0.38333577819961995,-0.23105413899678895,Chordate__phylum,location_comment,6,14
4,Man-b368_159_ocean-8,ocean,Pelagic#habitat,case>,in,ADP,5,case> in,-0.4855021403387369,0.10540125280486068,Chordate__phylum,location_comment,6,14
5,Man-b368_159_ocean-8,ocean,Pelagic#habitat,det>,the,DET,6,det> the,0.38333577819961995,-0.23105413899678895,Chordate__phylum,location_comment,6,14
