,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Gre-c669_123_shark-11,shark,Shark#superorder,det>,a,DET,8,det> a,0.5162703502605903,-0.0388688490184968,Chordate__phylum,location_topic,3,38
0,Gre-c669_123_shark-4,shark,Basking_shark#species,det>,this,DET,1,det> ...,0.3718837165932386,-0.06940002431370239,Chordate__phylum,location_topic,3,38
4,Lem-ec0f_2_Carcharhinidae-16,Carcharhinidae,Requiem_shark#family,nmod<case>,of,ADP,11,nmod<case> of,-0.5593963878942931,-0.5592082684496968,Chordate__phylum,location_topic,3,38
7,Lem-ec0f_2_Carcharhinidae-16,Carcharhinidae,Requiem_shark#family,det>,the,DET,14,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
12,Wha-290e_5_Chondrichthyes-29,Chondrichthyes,Chondrichthyes#class,det>,the,DET,27,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
5,Sha-8b9d_38_Chondrichthyes-14,Chondrichthyes,Chondrichthyes#class,nmod<case>,in,ADP,7,nmod<case> in,-0.5691314717372074,-0.494339278723811,Chordate__phylum,location_topic,3,38
10,Sha-8b9d_38_Chondrichthyes-14,Chondrichthyes,Chondrichthyes#class,det>,the,DET,12,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
6,Bio-20c0_83_fishes-19,fishes,Actinopterygii#class,nmod<case>,within,ADP,11,nmod<case> ...,-0.5216274382471892,-0.5246624013498191,Chordate__phylum,location_topic,3,38
4,Sar-0f18_4_fish-11,fish,Osteichthyes#superclass,nmod<case>,to,ADP,5,nmod<case> to,-0.42186797890479205,-0.4328046830853799,Chordate__phylum,location_topic,3,38
4,Gre-c669_67_fish-7,fish,Osteichthyes#superclass,det>,a,DET,5,det> a,0.5162703502605903,-0.0388688490184968,Chordate__phylum,location_topic,3,38
1,Lem-ec0f_20_fish-4,fish,Chondrichthyes#class,det>,all,DET,2,det> all,0.5552263693947205,0.047499183521674745,Chordate__phylum,location_topic,3,38
5,Gre-c669_6_fishes-38,fishes,Chondrichthyes#class,det>,the,DET,34,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
0,Gia-6202_15_ray-3,ray,Manta_ray#species,det>,the,DET,1,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
7,Gia-6202_15_rays-16,rays,Manta_ray#species,det>,the,DET,12,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
3,Sha-8b9d_525_sharks-17,sharks,Hammerhead_shark#genus,nmod<case>,of,ADP,11,nmod<case> of,-0.5593963878942931,-0.5592082684496968,Chordate__phylum,location_topic,3,38
7,Sha-8b9d_525_sharks-37,sharks,Hammerhead_shark#genus,det>,the,DET,36,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
6,Eure30b_9_lamprey-14,lamprey,Cephalaspidomorphi#class,det>,a,DET,13,det> a,0.5162703502605903,-0.0388688490184968,Chordate__phylum,location_topic,3,38
7,Lem-ec0f_72_sharks-16,sharks,Lemon_shark#species,det>,the,DET,12,det> the,0.5640767036691565,-0.008697719711106021,Chordate__phylum,location_topic,3,38
