,feat,cluster,pw_entr,feat_n,N,group,relrole
0,advcl> ...,0,0.054,1,20,Chordate__phylum,adaptation_comment
1,advcl>obj> ...,0,0.08,1,20,Chordate__phylum,adaptation_comment
12,appos< ...,0,0.08,1,20,Chordate__phylum,adaptation_comment
13,appos> ...,0,0.08,1,20,Chordate__phylum,adaptation_comment
15,appos>det> the,0,0.1,1,20,Chordate__phylum,adaptation_comment
21,compound> ...,0,0.045,1,20,Chordate__phylum,adaptation_comment
23,conj> ...,0,0.178,2,20,Chordate__phylum,adaptation_comment
26,conj>cc> and,0,0.065,1,20,Chordate__phylum,adaptation_comment
27,conj>cc> but,0,0.08,1,20,Chordate__phylum,adaptation_comment
28,conj>obj> ...,0,0.229,2,20,Chordate__phylum,adaptation_comment
29,cop> be,0,0.062,2,20,Chordate__phylum,adaptation_comment
31,det> a,0,0.08,1,20,Chordate__phylum,adaptation_comment
58,nsubj> shark,0,0.025,1,20,Chordate__phylum,adaptation_comment
59,nsubj> species,0,0.08,1,20,Chordate__phylum,adaptation_comment
64,nsubj>compound> tiger,0,0.1,1,20,Chordate__phylum,adaptation_comment
66,nsubj>det> the,0,0.229,2,20,Chordate__phylum,adaptation_comment
89,appos< ...,1,0.063,1,23,Chordate__phylum,adaptation_comment
93,case> ...,1,0.063,1,23,Chordate__phylum,adaptation_comment
95,case> for,1,0.267,3,23,Chordate__phylum,adaptation_comment
97,case> to,1,0.063,1,23,Chordate__phylum,adaptation_comment
98,compound> ...,1,0.033,1,23,Chordate__phylum,adaptation_comment
99,compound> lamprey,1,0.222,2,23,Chordate__phylum,adaptation_comment
100,conj> ...,1,0.142,2,23,Chordate__phylum,adaptation_comment
102,conj>amod> ...,1,0.063,1,23,Chordate__phylum,adaptation_comment
103,conj>cc> and,1,0.162,2,23,Chordate__phylum,adaptation_comment
111,nmod:poss> they,1,0.063,1,23,Chordate__phylum,adaptation_comment
112,nmod< ...,1,0.19,3,23,Chordate__phylum,adaptation_comment
113,nmod< cue,1,0.222,2,23,Chordate__phylum,adaptation_comment
115,nmod<amod> Chemical,1,0.222,2,23,Chordate__phylum,adaptation_comment
116,nmod<case> ...,1,0.063,1,23,Chordate__phylum,adaptation_comment
154,advcl> ...,2,0.051,3,62,Chordate__phylum,adaptation_comment
155,advcl>obj> ...,2,0.037,2,62,Chordate__phylum,adaptation_comment
156,advcl>obl> ...,2,0.101,4,62,Chordate__phylum,adaptation_comment
157,advcl>obl>case> ...,2,0.101,4,62,Chordate__phylum,adaptation_comment
158,advmod> ...,2,0.037,2,62,Chordate__phylum,adaptation_comment
162,amod> ...,2,-0.025,3,62,Chordate__phylum,adaptation_comment
163,amod> main,2,0.014,1,62,Chordate__phylum,adaptation_comment
170,case> ...,2,0.007,1,62,Chordate__phylum,adaptation_comment
171,case> by,2,0.007,1,62,Chordate__phylum,adaptation_comment
178,conj> shark,2,0.014,1,62,Chordate__phylum,adaptation_comment
181,conj>cc> but,2,0.007,1,62,Chordate__phylum,adaptation_comment
183,cop> be,2,0.011,4,62,Chordate__phylum,adaptation_comment
184,det> ...,2,0.007,1,62,Chordate__phylum,adaptation_comment
185,det> a,2,0.007,1,62,Chordate__phylum,adaptation_comment
186,det> the,2,0.014,1,62,Chordate__phylum,adaptation_comment
194,nmod> ...,2,0.006,2,62,Chordate__phylum,adaptation_comment
195,nmod> shark,2,0.014,1,62,Chordate__phylum,adaptation_comment
196,nmod>amod> ...,2,0.075,4,62,Chordate__phylum,adaptation_comment
197,nmod>case> ...,2,-0.001,1,62,Chordate__phylum,adaptation_comment
198,nmod>case> of,2,0.003,1,62,Chordate__phylum,adaptation_comment
200,nmod>conj> ...,2,0.003,1,62,Chordate__phylum,adaptation_comment
201,nmod>conj>amod> ...,2,0.003,1,62,Chordate__phylum,adaptation_comment
202,nmod>conj>cc> and,2,0.007,1,62,Chordate__phylum,adaptation_comment
204,nmod>det> the,2,0.037,2,62,Chordate__phylum,adaptation_comment
205,nsubj< ...,2,-0.006,1,62,Chordate__phylum,adaptation_comment
206,nsubj<conj> ...,2,-0.001,1,62,Chordate__phylum,adaptation_comment
208,nsubj<conj>cc> and,2,0.007,1,62,Chordate__phylum,adaptation_comment
212,nsubj> shark,2,0.022,3,62,Chordate__phylum,adaptation_comment
213,nsubj> species,2,0.007,1,62,Chordate__phylum,adaptation_comment
214,nsubj>amod> ...,2,0.01,2,62,Chordate__phylum,adaptation_comment
218,nsubj>compound> tiger,2,0.014,1,62,Chordate__phylum,adaptation_comment
219,nsubj>det> ...,2,0.025,1,62,Chordate__phylum,adaptation_comment
220,nsubj>det> the,2,0.007,1,62,Chordate__phylum,adaptation_comment
225,obl< ...,2,0.015,2,62,Chordate__phylum,adaptation_comment
226,obl<conj> ...,2,0.007,1,62,Chordate__phylum,adaptation_comment
228,obl<mark> to,2,0.014,1,62,Chordate__phylum,adaptation_comment
229,parataxis> ...,2,0.003,1,62,Chordate__phylum,adaptation_comment
230,parataxis>nsubj> ...,2,0.007,1,62,Chordate__phylum,adaptation_comment
236,amod< ...,3,0.005,1,35,Chordate__phylum,adaptation_comment
237,amod< behaviour,3,0.03,1,35,Chordate__phylum,adaptation_comment
238,amod<case> ...,3,0.03,1,35,Chordate__phylum,adaptation_comment
239,amod> ...,3,-0.02,2,35,Chordate__phylum,adaptation_comment
241,amod> natural,3,0.041,1,35,Chordate__phylum,adaptation_comment
242,amod> primary,3,0.041,1,35,Chordate__phylum,adaptation_comment
260,cop> be,3,0.086,4,35,Chordate__phylum,adaptation_comment
261,det> ...,3,0.03,1,35,Chordate__phylum,adaptation_comment
265,nmod:poss> they,3,0.03,1,35,Chordate__phylum,adaptation_comment
288,nsubj> ...,3,0.021,1,35,Chordate__phylum,adaptation_comment
289,nsubj> shark,3,0.036,2,35,Chordate__phylum,adaptation_comment
290,nsubj> species,3,0.03,1,35,Chordate__phylum,adaptation_comment
291,nsubj>amod> ...,3,0.11,3,35,Chordate__phylum,adaptation_comment
292,nsubj>amod> great,3,0.122,2,35,Chordate__phylum,adaptation_comment
293,nsubj>amod> white,3,0.099,2,35,Chordate__phylum,adaptation_comment
298,obj< ...,3,0.061,1,35,Chordate__phylum,adaptation_comment
299,obj< have,3,0.082,2,35,Chordate__phylum,adaptation_comment
300,obj<nsubj> ...,3,0.041,1,35,Chordate__phylum,adaptation_comment
301,obj<nsubj> they,3,0.099,2,35,Chordate__phylum,adaptation_comment
306,parataxis> ...,3,0.158,3,35,Chordate__phylum,adaptation_comment
307,parataxis>nsubj> ...,3,0.099,2,35,Chordate__phylum,adaptation_comment
316,amod> ...,4,0.208,12,56,Chordate__phylum,adaptation_comment
318,amod> natural,4,0.017,1,56,Chordate__phylum,adaptation_comment
321,appos> ...,4,0.01,1,56,Chordate__phylum,adaptation_comment
323,appos>det> the,4,0.017,1,56,Chordate__phylum,adaptation_comment
325,case> by,4,0.01,1,56,Chordate__phylum,adaptation_comment
326,case> for,4,0.027,2,56,Chordate__phylum,adaptation_comment
327,case> of,4,0.089,3,56,Chordate__phylum,adaptation_comment
328,case> to,4,0.01,1,56,Chordate__phylum,adaptation_comment
329,compound> ...,4,0.02,2,56,Chordate__phylum,adaptation_comment
332,conj> shark,4,0.017,1,56,Chordate__phylum,adaptation_comment
334,conj>cc> and,4,0.005,1,56,Chordate__phylum,adaptation_comment
336,conj>obj> ...,4,0.01,1,56,Chordate__phylum,adaptation_comment
337,cop> be,4,-0.015,2,56,Chordate__phylum,adaptation_comment
341,nmod:poss> ...,4,0.017,1,56,Chordate__phylum,adaptation_comment
343,nmod< ...,4,0.135,6,56,Chordate__phylum,adaptation_comment
345,nmod<amod> ...,4,0.089,3,56,Chordate__phylum,adaptation_comment
347,nmod<case> ...,4,0.045,2,56,Chordate__phylum,adaptation_comment
348,nmod> ...,4,-0.007,1,56,Chordate__phylum,adaptation_comment
349,nmod> shark,4,0.017,1,56,Chordate__phylum,adaptation_comment
350,nmod>amod> ...,4,-0.002,1,56,Chordate__phylum,adaptation_comment
351,nmod>case> ...,4,0.001,1,56,Chordate__phylum,adaptation_comment
352,nmod>case> of,4,0.005,1,56,Chordate__phylum,adaptation_comment
353,nmod>compound> ...,4,0.01,1,56,Chordate__phylum,adaptation_comment
365,nsubj> ...,4,0.005,1,56,Chordate__phylum,adaptation_comment
366,nsubj> shark,4,-0.01,1,56,Chordate__phylum,adaptation_comment
370,nsubj>amod> white,4,0.01,1,56,Chordate__phylum,adaptation_comment
376,obj< have,4,0.035,2,56,Chordate__phylum,adaptation_comment
377,obj<nsubj> ...,4,0.017,1,56,Chordate__phylum,adaptation_comment
378,obj<nsubj> they,4,0.01,1,56,Chordate__phylum,adaptation_comment
379,obl< ...,4,-0.002,1,56,Chordate__phylum,adaptation_comment
382,obl<mark> to,4,0.017,1,56,Chordate__phylum,adaptation_comment
389,advmod> ...,5,0.007,1,64,Chordate__phylum,adaptation_comment
393,amod> ...,5,-0.003,5,64,Chordate__phylum,adaptation_comment
394,amod> main,5,0.013,1,64,Chordate__phylum,adaptation_comment
396,amod> primary,5,0.013,1,64,Chordate__phylum,adaptation_comment
398,appos> ...,5,0.007,1,64,Chordate__phylum,adaptation_comment
399,appos>det> ...,5,0.024,1,64,Chordate__phylum,adaptation_comment
401,case> ...,5,0.007,1,64,Chordate__phylum,adaptation_comment
402,case> by,5,0.007,1,64,Chordate__phylum,adaptation_comment
405,case> to,5,0.007,1,64,Chordate__phylum,adaptation_comment
406,compound> ...,5,-0.004,1,64,Chordate__phylum,adaptation_comment
408,conj> ...,5,-0.001,1,64,Chordate__phylum,adaptation_comment
410,conj>amod> ...,5,0.035,2,64,Chordate__phylum,adaptation_comment
412,conj>cc> but,5,0.007,1,64,Chordate__phylum,adaptation_comment
414,cop> be,5,-0.019,1,64,Chordate__phylum,adaptation_comment
415,det> ...,5,0.007,1,64,Chordate__phylum,adaptation_comment
416,det> a,5,0.007,1,64,Chordate__phylum,adaptation_comment
417,det> the,5,0.013,1,64,Chordate__phylum,adaptation_comment
418,nmod:poss> ...,5,0.013,1,64,Chordate__phylum,adaptation_comment
419,nmod:poss> they,5,0.007,1,64,Chordate__phylum,adaptation_comment
425,nmod> ...,5,0.052,4,64,Chordate__phylum,adaptation_comment
427,nmod>amod> ...,5,-0.004,1,64,Chordate__phylum,adaptation_comment
428,nmod>case> ...,5,0.019,2,64,Chordate__phylum,adaptation_comment
429,nmod>case> of,5,0.026,2,64,Chordate__phylum,adaptation_comment
430,nmod>compound> ...,5,0.035,2,64,Chordate__phylum,adaptation_comment
431,nmod>conj> ...,5,0.002,1,64,Chordate__phylum,adaptation_comment
432,nmod>conj>amod> ...,5,0.002,1,64,Chordate__phylum,adaptation_comment
433,nmod>conj>cc> and,5,0.007,1,64,Chordate__phylum,adaptation_comment
434,nmod>det> ...,5,0.024,1,64,Chordate__phylum,adaptation_comment
435,nmod>det> the,5,0.007,1,64,Chordate__phylum,adaptation_comment
436,nsubj< ...,5,0.061,4,64,Chordate__phylum,adaptation_comment
437,nsubj<conj> ...,5,0.082,4,64,Chordate__phylum,adaptation_comment
438,nsubj<conj>cc> ...,5,0.048,2,64,Chordate__phylum,adaptation_comment
439,nsubj<conj>cc> and,5,0.035,2,64,Chordate__phylum,adaptation_comment
440,nsubj<obj> ...,5,0.026,2,64,Chordate__phylum,adaptation_comment
441,nsubj<obj>amod> ...,5,0.026,2,64,Chordate__phylum,adaptation_comment
442,nsubj> ...,5,0.002,1,64,Chordate__phylum,adaptation_comment
445,nsubj>amod> ...,5,-0.006,1,64,Chordate__phylum,adaptation_comment
456,obl< ...,5,0.039,3,64,Chordate__phylum,adaptation_comment
457,obl<conj> ...,5,0.035,2,64,Chordate__phylum,adaptation_comment
458,obl<mark> ...,5,0.024,1,64,Chordate__phylum,adaptation_comment
470,amod> ...,6,0.099,2,13,Chordate__phylum,adaptation_comment
502,nmod> ...,6,0.08,1,13,Chordate__phylum,adaptation_comment
505,nmod>case> ...,6,0.117,1,13,Chordate__phylum,adaptation_comment
508,nmod>conj> ...,6,0.374,2,13,Chordate__phylum,adaptation_comment
509,nmod>conj>amod> ...,6,0.374,2,13,Chordate__phylum,adaptation_comment
510,nmod>conj>cc> and,6,0.156,1,13,Chordate__phylum,adaptation_comment
513,nsubj< ...,6,0.091,1,13,Chordate__phylum,adaptation_comment
517,nsubj<obj> ...,6,0.134,1,13,Chordate__phylum,adaptation_comment
518,nsubj<obj>amod> ...,6,0.374,2,13,Chordate__phylum,adaptation_comment
539,advcl> ...,7,0.041,1,23,Chordate__phylum,adaptation_comment
544,amod< ...,7,0.626,6,23,Chordate__phylum,adaptation_comment
545,amod< behaviour,7,0.187,2,23,Chordate__phylum,adaptation_comment
546,amod<case> ...,7,0.187,2,23,Chordate__phylum,adaptation_comment
551,appos< ...,7,0.063,1,23,Chordate__phylum,adaptation_comment
560,compound> ...,7,0.033,1,23,Chordate__phylum,adaptation_comment
568,cop> be,7,0.115,3,23,Chordate__phylum,adaptation_comment
590,nsubj< ...,7,0.026,1,23,Chordate__phylum,adaptation_comment
594,nsubj<obj> ...,7,0.051,1,23,Chordate__phylum,adaptation_comment
596,nsubj> ...,7,0.051,1,23,Chordate__phylum,adaptation_comment
597,nsubj> shark,7,0.091,2,23,Chordate__phylum,adaptation_comment
599,nsubj>amod> ...,7,0.026,1,23,Chordate__phylum,adaptation_comment
602,nsubj>compound> ...,7,0.111,1,23,Chordate__phylum,adaptation_comment
