,feat,cluster,pw_entr,feat_n,N,group,relrole
11,amod> white,0,-0.009,1,84,Chordate__phylum,adaptation_topic
13,appos< shark,0,0.018,1,84,Chordate__phylum,adaptation_topic
14,appos<compound> ...,0,0.013,1,84,Chordate__phylum,adaptation_topic
16,appos> ...,0,0.217,9,84,Chordate__phylum,adaptation_topic
17,appos> Reproduction,0,0.053,2,84,Chordate__phylum,adaptation_topic
18,appos> conservation,0,0.053,2,84,Chordate__phylum,adaptation_topic
19,appos>compound> ...,0,0.013,1,84,Chordate__phylum,adaptation_topic
20,case> ...,0,0.017,2,84,Chordate__phylum,adaptation_topic
21,case> of,0,0.023,2,84,Chordate__phylum,adaptation_topic
25,compound< ...,0,0.095,4,84,Chordate__phylum,adaptation_topic
27,compound< migration,0,0.053,2,84,Chordate__phylum,adaptation_topic
28,compound<case> ...,0,0.069,3,84,Chordate__phylum,adaptation_topic
29,compound<case> for,0,0.053,2,84,Chordate__phylum,adaptation_topic
30,compound<compound> ...,0,0.043,2,84,Chordate__phylum,adaptation_topic
31,compound<compound> sea,0,0.018,1,84,Chordate__phylum,adaptation_topic
32,compound<nmod< ...,0,0.079,3,84,Chordate__phylum,adaptation_topic
33,compound<nmod< cue,0,0.053,2,84,Chordate__phylum,adaptation_topic
34,compound<nmod<amod> ...,0,0.026,1,84,Chordate__phylum,adaptation_topic
35,compound<nmod<amod> Chemical,0,0.053,2,84,Chordate__phylum,adaptation_topic
38,compound> ...,0,-0.003,1,84,Chordate__phylum,adaptation_topic
39,compound> Lemon,0,0.128,7,84,Chordate__phylum,adaptation_topic
40,compound> Requiem,0,0.01,1,84,Chordate__phylum,adaptation_topic
41,compound> Tiger,0,0.087,4,84,Chordate__phylum,adaptation_topic
42,compound> basking,0,0.079,4,84,Chordate__phylum,adaptation_topic
43,compound> bull,0,0.043,2,84,Chordate__phylum,adaptation_topic
44,compound> lemon,0,-0.003,1,84,Chordate__phylum,adaptation_topic
47,compound> sea,0,0.013,1,84,Chordate__phylum,adaptation_topic
91,nmod< ...,0,0.02,2,84,Chordate__phylum,adaptation_topic
99,nmod<nsubj:pass< ...,0,0.043,2,84,Chordate__phylum,adaptation_topic
100,nmod<nsubj:pass<advmod> ...,0,0.079,3,84,Chordate__phylum,adaptation_topic
101,nmod<nsubj:pass<aux:pass> be,0,0.043,2,84,Chordate__phylum,adaptation_topic
102,nmod<nsubj:pass<obl> ...,0,0.013,1,84,Chordate__phylum,adaptation_topic
117,nsubj< ...,0,-0.01,1,84,Chordate__phylum,adaptation_topic
147,nsubj<obj> ...,0,-0.003,1,84,Chordate__phylum,adaptation_topic
149,nsubj<obj>amod> ...,0,0.003,1,84,Chordate__phylum,adaptation_topic
166,obj< ...,0,0.005,1,84,Chordate__phylum,adaptation_topic
171,obl< ...,0,0.02,2,84,Chordate__phylum,adaptation_topic
172,obl<advmod> ...,0,0.007,1,84,Chordate__phylum,adaptation_topic
174,obl<cop> be,0,0.013,1,84,Chordate__phylum,adaptation_topic
176,obl<mark> that,0,0.018,1,84,Chordate__phylum,adaptation_topic
177,obl<nsubj> ...,0,0.013,1,84,Chordate__phylum,adaptation_topic
183,advmod> ...,1,0.036,2,85,Chordate__phylum,adaptation_topic
186,amod> great,1,0.003,2,85,Chordate__phylum,adaptation_topic
187,amod> large,1,0.018,1,85,Chordate__phylum,adaptation_topic
188,amod> male,1,0.018,1,85,Chordate__phylum,adaptation_topic
189,amod> white,1,0.011,3,85,Chordate__phylum,adaptation_topic
198,case> ...,1,0.0,1,85,Chordate__phylum,adaptation_topic
201,cc> ...,1,0.052,2,85,Chordate__phylum,adaptation_topic
202,cc> and,1,0.066,4,85,Chordate__phylum,adaptation_topic
216,compound> ...,1,-0.003,1,85,Chordate__phylum,adaptation_topic
221,compound> bull,1,0.013,1,85,Chordate__phylum,adaptation_topic
223,compound> mako,1,0.018,1,85,Chordate__phylum,adaptation_topic
224,compound> requiem,1,0.013,1,85,Chordate__phylum,adaptation_topic
225,compound> sea,1,0.013,1,85,Chordate__phylum,adaptation_topic
226,compound> tiger,1,0.003,1,85,Chordate__phylum,adaptation_topic
227,conj< ...,1,0.078,4,85,Chordate__phylum,adaptation_topic
228,conj< predator,1,0.018,1,85,Chordate__phylum,adaptation_topic
229,conj< shark,1,0.023,2,85,Chordate__phylum,adaptation_topic
230,conj<amod> ...,1,0.145,6,85,Chordate__phylum,adaptation_topic
231,conj<case> ...,1,0.052,2,85,Chordate__phylum,adaptation_topic
234,conj<compound> ...,1,0.119,5,85,Chordate__phylum,adaptation_topic
236,conj<conj> ...,1,0.018,1,85,Chordate__phylum,adaptation_topic
243,conj<conj>cc> ...,1,0.026,1,85,Chordate__phylum,adaptation_topic
249,conj<det> ...,1,0.026,1,85,Chordate__phylum,adaptation_topic
250,conj<det> the,1,0.017,2,85,Chordate__phylum,adaptation_topic
252,conj<nmod< maturity,1,0.018,1,85,Chordate__phylum,adaptation_topic
254,conj<nmod<amod> blue,1,0.018,1,85,Chordate__phylum,adaptation_topic
255,conj<nmod> ...,1,0.026,1,85,Chordate__phylum,adaptation_topic
256,conj<nmod> shark,1,0.018,1,85,Chordate__phylum,adaptation_topic
257,conj<obj< include,1,0.005,1,85,Chordate__phylum,adaptation_topic
258,conj<obj<nsubj> ...,1,0.026,1,85,Chordate__phylum,adaptation_topic
260,conj> ...,1,0.136,6,85,Chordate__phylum,adaptation_topic
261,conj> shark,1,0.023,2,85,Chordate__phylum,adaptation_topic
262,conj>amod> ...,1,0.026,2,85,Chordate__phylum,adaptation_topic
263,conj>cc> ...,1,0.052,2,85,Chordate__phylum,adaptation_topic
264,conj>cc> and,1,0.103,5,85,Chordate__phylum,adaptation_topic
265,conj>compound> ...,1,0.06,3,85,Chordate__phylum,adaptation_topic
266,conj>compound> mako,1,0.018,1,85,Chordate__phylum,adaptation_topic
268,det> the,1,-0.002,2,85,Chordate__phylum,adaptation_topic
295,nsubj< ...,1,-0.01,1,85,Chordate__phylum,adaptation_topic
325,nsubj<obj> ...,1,-0.003,1,85,Chordate__phylum,adaptation_topic
330,nsubj<obl> ...,1,-0.006,1,85,Chordate__phylum,adaptation_topic
332,nsubj<obl>case> ...,1,0.018,1,85,Chordate__phylum,adaptation_topic
338,nsubj<obl>compound> ...,1,0.007,1,85,Chordate__phylum,adaptation_topic
345,obj< include,1,0.018,1,85,Chordate__phylum,adaptation_topic
346,obj<nsubj> ...,1,0.013,1,85,Chordate__phylum,adaptation_topic
349,obl< ...,1,0.002,1,85,Chordate__phylum,adaptation_topic
350,obl<advmod> ...,1,0.007,1,85,Chordate__phylum,adaptation_topic
362,amod> ...,2,0.009,2,100,Chordate__phylum,adaptation_topic
364,amod> great,2,-0.007,1,100,Chordate__phylum,adaptation_topic
367,amod> white,2,-0.009,1,100,Chordate__phylum,adaptation_topic
380,cc> and,2,0.011,2,100,Chordate__phylum,adaptation_topic
394,compound> ...,2,0.005,2,100,Chordate__phylum,adaptation_topic
401,compound> mako,2,0.014,1,100,Chordate__phylum,adaptation_topic
