,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.006,1,189,Chordate__phylum,location_topic
1,acl:relcl>obl> ...,0,0.006,1,189,Chordate__phylum,location_topic
2,acl:relcl>obl>case> ...,0,0.006,1,189,Chordate__phylum,location_topic
3,acl:relcl>obl>compound> ...,0,0.016,2,189,Chordate__phylum,location_topic
6,advmod> ...,0,0.002,1,189,Chordate__phylum,location_topic
8,amod> cartilaginous,0,0.001,1,189,Chordate__phylum,location_topic
16,amod> white,0,0.008,2,189,Chordate__phylum,location_topic
21,appos< shark,0,0.006,1,189,Chordate__phylum,location_topic
27,appos<compound> ...,0,0.006,1,189,Chordate__phylum,location_topic
46,appos> ...,0,0.061,8,189,Chordate__phylum,location_topic
47,appos> distribution,0,0.036,3,189,Chordate__phylum,location_topic
48,appos> shark,0,0.008,1,189,Chordate__phylum,location_topic
49,appos>compound> ...,0,0.022,3,189,Chordate__phylum,location_topic
51,appos>conj> ...,0,0.043,4,189,Chordate__phylum,location_topic
52,case> ...,0,0.002,1,189,Chordate__phylum,location_topic
54,case> for,0,0.005,1,189,Chordate__phylum,location_topic
64,compound< ...,0,0.09,8,189,Chordate__phylum,location_topic
65,compound< ray,0,0.157,14,189,Chordate__phylum,location_topic
66,compound< species,0,0.006,1,189,Chordate__phylum,location_topic
67,compound<amod> ...,0,0.016,2,189,Chordate__phylum,location_topic
68,compound<amod> giant,0,0.024,2,189,Chordate__phylum,location_topic
69,compound<amod> oceanic,0,0.048,4,189,Chordate__phylum,location_topic
70,compound<appos> ...,0,0.055,5,189,Chordate__phylum,location_topic
71,compound<case> ...,0,0.048,4,189,Chordate__phylum,location_topic
72,compound<case> of,0,0.048,4,189,Chordate__phylum,location_topic
74,compound<case> with,0,0.024,2,189,Chordate__phylum,location_topic
75,compound<compound> ...,0,0.043,4,189,Chordate__phylum,location_topic
76,compound<compound> ray,0,0.02,2,189,Chordate__phylum,location_topic
77,compound<compound> reef,0,0.031,3,189,Chordate__phylum,location_topic
79,compound<det> the,0,0.098,9,189,Chordate__phylum,location_topic
80,compound<nmod< ...,0,0.071,6,189,Chordate__phylum,location_topic
81,compound<nmod< distinction,0,0.008,1,189,Chordate__phylum,location_topic
82,compound<nmod< threat,0,0.024,2,189,Chordate__phylum,location_topic
83,compound<nmod<amod> ...,0,0.024,2,189,Chordate__phylum,location_topic
84,compound<nmod<amod> physical,0,0.008,1,189,Chordate__phylum,location_topic
85,compound<nmod<appos< ...,0,0.012,1,189,Chordate__phylum,location_topic
86,compound<nmod<appos< description,0,0.008,1,189,Chordate__phylum,location_topic
87,compound<nmod<det> the,0,0.048,4,189,Chordate__phylum,location_topic
88,compound<nmod<nsubj< ...,0,0.048,4,189,Chordate__phylum,location_topic
89,compound<nmod> ...,0,0.003,1,189,Chordate__phylum,location_topic
90,compound<nmod>case> ...,0,0.006,1,189,Chordate__phylum,location_topic
92,compound<nsubj< ...,0,0.031,3,189,Chordate__phylum,location_topic
93,compound<nsubj< have,0,0.024,2,189,Chordate__phylum,location_topic
94,compound<nsubj<obj> ...,0,0.036,3,189,Chordate__phylum,location_topic
95,compound<nsubj<obl> ...,0,0.031,3,189,Chordate__phylum,location_topic
96,compound> ...,0,-0.005,2,189,Chordate__phylum,location_topic
97,compound> Lemon,0,0.047,5,189,Chordate__phylum,location_topic
98,compound> Manta,0,0.055,5,189,Chordate__phylum,location_topic
102,compound> lemon,0,-0.002,1,189,Chordate__phylum,location_topic
104,compound> manta,0,-0.001,2,189,Chordate__phylum,location_topic
105,compound> reef,0,0.0,1,189,Chordate__phylum,location_topic
106,compound> tiger,0,0.005,1,189,Chordate__phylum,location_topic
109,compound>conj> ...,0,0.005,1,189,Chordate__phylum,location_topic
111,compound>conj>cc> and,0,0.008,1,189,Chordate__phylum,location_topic
197,det> ...,0,0.005,1,189,Chordate__phylum,location_topic
198,det> a,0,0.002,1,189,Chordate__phylum,location_topic
199,det> all,0,0.008,1,189,Chordate__phylum,location_topic
200,det> the,0,-0.006,1,189,Chordate__phylum,location_topic
202,flat> ray,0,0.06,5,189,Chordate__phylum,location_topic
203,nmod< ...,0,-0.005,1,189,Chordate__phylum,location_topic
214,nmod<case> to,0,0.008,1,189,Chordate__phylum,location_topic
215,nmod<compound> ...,0,0.003,1,189,Chordate__phylum,location_topic
245,nmod<obl< ...,0,0.005,1,189,Chordate__phylum,location_topic
269,nsubj< ...,0,-0.002,2,189,Chordate__phylum,location_topic
316,nsubj<obl> ...,0,-0.003,1,189,Chordate__phylum,location_topic
322,nsubj<obl>case> in,0,0.002,1,189,Chordate__phylum,location_topic
326,nsubj<obl>det> a,0,0.006,1,189,Chordate__phylum,location_topic
329,nsubj<obl>nmod> ...,0,0.005,1,189,Chordate__phylum,location_topic
331,nsubj<xcomp> ...,0,0.003,1,189,Chordate__phylum,location_topic
333,obj< ...,0,0.017,3,189,Chordate__phylum,location_topic
334,obj<advcl< ...,0,0.006,1,189,Chordate__phylum,location_topic
335,obj<mark> ...,0,0.008,1,189,Chordate__phylum,location_topic
337,obj<nsubj> ...,0,0.016,2,189,Chordate__phylum,location_topic
362,parataxis> ...,0,0.043,4,189,Chordate__phylum,location_topic
363,parataxis> relation,0,0.024,2,189,Chordate__phylum,location_topic
364,parataxis>nmod> ...,0,0.012,1,189,Chordate__phylum,location_topic
365,parataxis>nmod> human,0,0.024,2,189,Chordate__phylum,location_topic
366,parataxis>nmod>case> ...,0,0.012,1,189,Chordate__phylum,location_topic
367,parataxis>nmod>case> with,0,0.024,2,189,Chordate__phylum,location_topic
375,amod> ...,1,-0.005,3,323,Chordate__phylum,location_topic
381,amod> oceanic,1,0.0,1,323,Chordate__phylum,location_topic
430,cc> and,1,-0.002,1,323,Chordate__phylum,location_topic
464,compound> ...,1,-0.006,3,323,Chordate__phylum,location_topic
473,compound> reef,1,0.006,3,323,Chordate__phylum,location_topic
476,compound>compound> ...,1,0.011,3,323,Chordate__phylum,location_topic
484,conj< species,1,0.053,10,323,Chordate__phylum,location_topic
490,conj<amod> such,1,0.053,10,323,Chordate__phylum,location_topic
502,conj<conj> shark,1,0.463,90,323,Chordate__phylum,location_topic
504,conj<conj>amod> blue,1,0.048,9,323,Chordate__phylum,location_topic
505,conj<conj>amod> dusky,1,0.048,9,323,Chordate__phylum,location_topic
507,conj<conj>amod> oceanic,1,0.048,9,323,Chordate__phylum,location_topic
508,conj<conj>amod> silky,1,0.048,9,323,Chordate__phylum,location_topic
510,conj<conj>cc> and,1,0.034,9,323,Chordate__phylum,location_topic
512,conj<conj>compound> blacktip,1,0.048,9,323,Chordate__phylum,location_topic
513,conj<conj>compound> copper,1,0.048,9,323,Chordate__phylum,location_topic
514,conj<conj>compound> reef,1,0.143,27,323,Chordate__phylum,location_topic
515,conj<conj>compound> whitetip,1,0.048,9,323,Chordate__phylum,location_topic
516,conj<conj>det> blacknose,1,0.048,9,323,Chordate__phylum,location_topic
530,conj<nmod> shark,1,0.047,10,323,Chordate__phylum,location_topic
532,conj<nmod>case> as,1,0.053,10,323,Chordate__phylum,location_topic
535,conj<nmod>compound> bull,1,0.053,10,323,Chordate__phylum,location_topic
536,conj<nmod>conj> shark,1,0.106,20,323,Chordate__phylum,location_topic
538,conj<nmod>det> the,1,0.05,10,323,Chordate__phylum,location_topic
550,conj<obj< include,1,0.053,10,323,Chordate__phylum,location_topic
551,conj<obj<cc> and,1,0.053,10,323,Chordate__phylum,location_topic
552,conj<obj<conj< migratory,1,0.053,10,323,Chordate__phylum,location_topic
565,det> ...,1,0.001,1,323,Chordate__phylum,location_topic
742,advmod> ...,2,0.006,1,134,Chordate__phylum,location_topic
743,amod> ...,2,-0.006,1,134,Chordate__phylum,location_topic
744,amod> cartilaginous,2,0.004,1,134,Chordate__phylum,location_topic
746,amod> giant,2,0.009,1,134,Chordate__phylum,location_topic
750,amod> other,2,0.014,1,134,Chordate__phylum,location_topic
782,appos> ...,2,-0.002,1,134,Chordate__phylum,location_topic
785,appos>compound> ...,2,0.005,1,134,Chordate__phylum,location_topic
797,cc> ...,2,0.014,1,134,Chordate__phylum,location_topic
798,cc> and,2,0.107,7,134,Chordate__phylum,location_topic
801,compound< ray,2,-0.001,1,134,Chordate__phylum,location_topic
806,compound<appos> ...,2,0.006,1,134,Chordate__phylum,location_topic
809,compound<case> than,2,0.014,1,134,Chordate__phylum,location_topic
813,compound<compound> reef,2,0.009,1,134,Chordate__phylum,location_topic
815,compound<det> the,2,0.001,1,134,Chordate__phylum,location_topic
825,compound<nmod> ...,2,0.007,1,134,Chordate__phylum,location_topic
827,compound<nmod>case> to,2,0.014,1,134,Chordate__phylum,location_topic
832,compound> ...,2,0.029,5,134,Chordate__phylum,location_topic
835,compound> bony,2,0.006,1,134,Chordate__phylum,location_topic
838,compound> lemon,2,-0.001,1,134,Chordate__phylum,location_topic
840,compound> manta,2,-0.003,1,134,Chordate__phylum,location_topic
845,compound>conj> ...,2,0.028,2,134,Chordate__phylum,location_topic
846,compound>conj>cc> ...,2,0.039,2,134,Chordate__phylum,location_topic
848,conj< ...,2,0.067,5,134,Chordate__phylum,location_topic
849,conj< fish,2,0.039,2,134,Chordate__phylum,location_topic
851,conj< shark,2,0.061,4,134,Chordate__phylum,location_topic
853,conj<advmod> ...,2,0.011,1,134,Chordate__phylum,location_topic
854,conj<amod> ...,2,0.061,4,134,Chordate__phylum,location_topic
855,conj<amod> bask,2,0.039,2,134,Chordate__phylum,location_topic
856,conj<amod> cartilaginous,2,0.039,2,134,Chordate__phylum,location_topic
857,conj<amod> live,2,0.039,2,134,Chordate__phylum,location_topic
859,conj<appos> ...,2,0.019,1,134,Chordate__phylum,location_topic
860,conj<appos> Rhincodon,2,0.039,2,134,Chordate__phylum,location_topic
861,conj<appos> birostris,2,0.039,2,134,Chordate__phylum,location_topic
862,conj<appos> shark,2,0.058,3,134,Chordate__phylum,location_topic
863,conj<appos>compound> Manta,2,0.039,2,134,Chordate__phylum,location_topic
864,conj<appos>compound> whale,2,0.039,2,134,Chordate__phylum,location_topic
865,conj<case> ...,2,0.065,4,134,Chordate__phylum,location_topic
867,conj<compound> ...,2,0.077,4,134,Chordate__phylum,location_topic
869,conj<conj> ...,2,0.053,5,134,Chordate__phylum,location_topic
870,conj<conj> shark,2,-0.019,3,134,Chordate__phylum,location_topic
871,conj<conj>amod> ...,2,0.022,2,134,Chordate__phylum,location_topic
874,conj<conj>amod> large,2,0.014,1,134,Chordate__phylum,location_topic
877,conj<conj>cc> ...,2,0.019,1,134,Chordate__phylum,location_topic
878,conj<conj>cc> and,2,0.022,3,134,Chordate__phylum,location_topic
879,conj<conj>compound> ...,2,0.075,5,134,Chordate__phylum,location_topic
885,conj<conj>det> the,2,0.039,2,134,Chordate__phylum,location_topic
889,conj<det> the,2,0.065,4,134,Chordate__phylum,location_topic
890,conj<nmod< ...,2,0.014,1,134,Chordate__phylum,location_topic
891,conj<nmod< species,2,0.011,1,134,Chordate__phylum,location_topic
892,conj<nmod<amod> ...,2,0.014,1,134,Chordate__phylum,location_topic
894,conj<nmod<conj> ...,2,0.019,1,134,Chordate__phylum,location_topic
896,conj<nmod<det> ...,2,0.033,2,134,Chordate__phylum,location_topic
897,conj<nmod> order,2,0.039,2,134,Chordate__phylum,location_topic
901,conj<nmod>case> in,2,0.039,2,134,Chordate__phylum,location_topic
905,conj<nmod>det> that,2,0.039,2,134,Chordate__phylum,location_topic
907,conj<nsubj< ...,2,0.039,2,134,Chordate__phylum,location_topic
908,conj<nsubj< average,2,0.039,2,134,Chordate__phylum,location_topic
909,conj<nsubj< evolve,2,0.039,2,134,Chordate__phylum,location_topic
910,conj<nsubj<advcl> ...,2,0.019,1,134,Chordate__phylum,location_topic
911,conj<nsubj<advcl> use,2,0.039,2,134,Chordate__phylum,location_topic
912,conj<nsubj<advmod> ...,2,0.039,2,134,Chordate__phylum,location_topic
913,conj<nsubj<advmod> independently,2,0.039,2,134,Chordate__phylum,location_topic
914,conj<nsubj<cop> be,2,0.058,3,134,Chordate__phylum,location_topic
917,conj<obj< ...,2,0.019,1,134,Chordate__phylum,location_topic
921,conj<obl<advmod> ...,2,0.011,1,134,Chordate__phylum,location_topic
936,det> the,2,-0.002,2,134,Chordate__phylum,location_topic
1104,acl:relcl> ...,3,0.0,2,1035,Chordate__phylum,location_topic
1105,acl:relcl>obl> ...,3,0.0,2,1035,Chordate__phylum,location_topic
1106,acl:relcl>obl>case> ...,3,0.0,2,1035,Chordate__phylum,location_topic
1107,acl:relcl>obl>compound> ...,3,-0.0,2,1035,Chordate__phylum,location_topic
1108,acl> ...,3,0.001,2,1035,Chordate__phylum,location_topic
1109,acl> know,3,0.001,2,1035,Chordate__phylum,location_topic
1110,advmod> ...,3,0.001,4,1035,Chordate__phylum,location_topic
1111,amod> ...,3,0.01,25,1035,Chordate__phylum,location_topic
1112,amod> cartilaginous,3,0.002,6,1035,Chordate__phylum,location_topic
1113,amod> finn,3,0.002,3,1035,Chordate__phylum,location_topic
1114,amod> giant,3,0.001,3,1035,Chordate__phylum,location_topic
1115,amod> great,3,0.002,4,1035,Chordate__phylum,location_topic
1116,amod> lemon,3,0.001,2,1035,Chordate__phylum,location_topic
1117,amod> oceanic,3,0.001,4,1035,Chordate__phylum,location_topic
1118,amod> other,3,-0.0,1,1035,Chordate__phylum,location_topic
1119,amod> related,3,0.001,2,1035,Chordate__phylum,location_topic
1120,amod> white,3,0.002,7,1035,Chordate__phylum,location_topic
1121,amod> young,3,0.001,2,1035,Chordate__phylum,location_topic
1122,amod>advmod> ...,3,0.002,4,1035,Chordate__phylum,location_topic
1123,appos< ...,3,0.001,2,1035,Chordate__phylum,location_topic
1124,appos< fish,3,0.001,2,1035,Chordate__phylum,location_topic
1125,appos< shark,3,0.0,2,1035,Chordate__phylum,location_topic
1126,appos<amod> cartilaginous,3,0.001,2,1035,Chordate__phylum,location_topic
1127,appos<amod> great,3,0.001,2,1035,Chordate__phylum,location_topic
1128,appos<amod> live,3,0.001,2,1035,Chordate__phylum,location_topic
1129,appos<appos> ...,3,0.001,2,1035,Chordate__phylum,location_topic
1130,appos<appos> Rhincodon,3,0.001,2,1035,Chordate__phylum,location_topic
1131,appos<compound> ...,3,0.0,2,1035,Chordate__phylum,location_topic
1132,appos<conj<conj> ...,3,0.003,5,1035,Chordate__phylum,location_topic
1133,appos<conj> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1134,appos<conj> ray,3,0.001,2,1035,Chordate__phylum,location_topic
1135,appos<conj> shark,3,0.001,2,1035,Chordate__phylum,location_topic
1136,appos<conj>amod> bask,3,0.001,2,1035,Chordate__phylum,location_topic
1137,appos<conj>amod> giant,3,0.001,2,1035,Chordate__phylum,location_topic
1138,appos<conj>det> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1139,appos<conj>det> the,3,0.002,4,1035,Chordate__phylum,location_topic
1140,appos<det> the,3,0.002,3,1035,Chordate__phylum,location_topic
1141,appos<nmod> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1142,appos<nmod> order,3,0.001,2,1035,Chordate__phylum,location_topic
1143,appos<nmod>case> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1144,appos<nmod>case> in,3,0.001,2,1035,Chordate__phylum,location_topic
1145,appos<nmod>det> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1146,appos<nmod>det> that,3,0.001,2,1035,Chordate__phylum,location_topic
1147,appos<nsubj< ...,3,0.001,2,1035,Chordate__phylum,location_topic
1148,appos<nsubj< average,3,0.001,2,1035,Chordate__phylum,location_topic
1149,appos<nsubj<cop> be,3,0.002,3,1035,Chordate__phylum,location_topic
1150,appos> ...,3,-0.001,9,1035,Chordate__phylum,location_topic
1152,appos> shark,3,-0.0,1,1035,Chordate__phylum,location_topic
1153,appos>compound> ...,3,-0.001,3,1035,Chordate__phylum,location_topic
1154,appos>compound> Mobula,3,0.001,2,1035,Chordate__phylum,location_topic
1155,appos>conj> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1156,case> ...,3,0.001,5,1035,Chordate__phylum,location_topic
1157,case> as,3,0.0,2,1035,Chordate__phylum,location_topic
1158,case> for,3,0.001,3,1035,Chordate__phylum,location_topic
1159,case> from,3,0.001,2,1035,Chordate__phylum,location_topic
1160,case> in,3,0.002,3,1035,Chordate__phylum,location_topic
1161,case> like,3,0.002,4,1035,Chordate__phylum,location_topic
1162,case> of,3,0.013,25,1035,Chordate__phylum,location_topic
1163,case> to,3,0.002,3,1035,Chordate__phylum,location_topic
1164,case> with,3,0.002,3,1035,Chordate__phylum,location_topic
1165,cc> ...,3,-0.0,1,1035,Chordate__phylum,location_topic
1166,cc> and,3,-0.002,3,1035,Chordate__phylum,location_topic
1167,cc> but,3,0.001,2,1035,Chordate__phylum,location_topic
1168,compound< ...,3,-0.002,1,1035,Chordate__phylum,location_topic
1169,compound< ray,3,-0.002,1,1035,Chordate__phylum,location_topic
1170,compound< species,3,0.0,2,1035,Chordate__phylum,location_topic
1171,compound<amod> ...,3,-0.0,2,1035,Chordate__phylum,location_topic
1177,compound<case> than,3,-0.0,1,1035,Chordate__phylum,location_topic
1179,compound<compound> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1180,compound<compound> ray,3,-0.001,1,1035,Chordate__phylum,location_topic
1182,compound<conj<conj> ...,3,0.002,4,1035,Chordate__phylum,location_topic
1183,compound<det> the,3,-0.002,1,1035,Chordate__phylum,location_topic
1185,compound<nmod< distinction,3,-0.0,1,1035,Chordate__phylum,location_topic
1188,compound<nmod<amod> physical,3,-0.0,1,1035,Chordate__phylum,location_topic
1190,compound<nmod<appos< description,3,-0.0,1,1035,Chordate__phylum,location_topic
1193,compound<nmod> ...,3,0.0,3,1035,Chordate__phylum,location_topic
1194,compound<nmod>case> ...,3,0.0,2,1035,Chordate__phylum,location_topic
1195,compound<nmod>case> to,3,-0.0,1,1035,Chordate__phylum,location_topic
1196,compound<nsubj< ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1199,compound<nsubj<obl> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1200,compound> ...,3,0.002,20,1035,Chordate__phylum,location_topic
1201,compound> Lemon,3,-0.001,3,1035,Chordate__phylum,location_topic
1202,compound> Manta,3,-0.001,1,1035,Chordate__phylum,location_topic
1203,compound> bony,3,0.001,4,1035,Chordate__phylum,location_topic
1204,compound> bull,3,0.0,2,1035,Chordate__phylum,location_topic
1205,compound> juvenile,3,0.002,3,1035,Chordate__phylum,location_topic
1206,compound> lemon,3,0.003,11,1035,Chordate__phylum,location_topic
1207,compound> mackerel,3,0.002,4,1035,Chordate__phylum,location_topic
1208,compound> manta,3,0.006,17,1035,Chordate__phylum,location_topic
1209,compound> reef,3,-0.0,5,1035,Chordate__phylum,location_topic
1210,compound> tiger,3,0.001,3,1035,Chordate__phylum,location_topic
1211,compound>amod> ...,3,0.002,4,1035,Chordate__phylum,location_topic
1212,compound>compound> ...,3,-0.001,2,1035,Chordate__phylum,location_topic
1213,compound>conj> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1215,compound>conj>cc> and,3,-0.0,1,1035,Chordate__phylum,location_topic
1216,conj< ...,3,-0.001,5,1035,Chordate__phylum,location_topic
1218,conj< predator,3,0.001,2,1035,Chordate__phylum,location_topic
1219,conj< shark,3,-0.001,1,1035,Chordate__phylum,location_topic
1221,conj<advmod> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1222,conj<amod> ...,3,-0.001,3,1035,Chordate__phylum,location_topic
1233,conj<case> ...,3,-0.001,2,1035,Chordate__phylum,location_topic
1237,conj<conj> ...,3,-0.003,3,1035,Chordate__phylum,location_topic
1246,conj<conj>cc> and,3,-0.003,2,1035,Chordate__phylum,location_topic
1254,conj<conj>obj> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1255,conj<cop> be,3,0.002,4,1035,Chordate__phylum,location_topic
1256,conj<det> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1258,conj<nmod< ...,3,-0.0,1,1035,Chordate__phylum,location_topic
1260,conj<nmod<amod> ...,3,-0.0,1,1035,Chordate__phylum,location_topic
1264,conj<nmod<det> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1266,conj<nmod> shark,3,-0.002,2,1035,Chordate__phylum,location_topic
1267,conj<nmod>case> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1270,conj<nmod>compound> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1274,conj<nmod>det> the,3,-0.002,1,1035,Chordate__phylum,location_topic
1283,conj<nsubj> ...,3,0.001,3,1035,Chordate__phylum,location_topic
1284,conj<nsubj> they,3,0.001,2,1035,Chordate__phylum,location_topic
1289,conj<obl<advmod> ...,3,0.0,2,1035,Chordate__phylum,location_topic
1290,conj> ...,3,0.0,11,1035,Chordate__phylum,location_topic
1291,conj> shark,3,0.0,5,1035,Chordate__phylum,location_topic
1292,conj>amod> ...,3,0.001,4,1035,Chordate__phylum,location_topic
1293,conj>amod> other,3,-0.0,1,1035,Chordate__phylum,location_topic
1294,conj>cc> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1295,conj>cc> and,3,0.004,10,1035,Chordate__phylum,location_topic
1296,conj>compound> ...,3,-0.001,4,1035,Chordate__phylum,location_topic
1297,conj>compound> lemon,3,-0.0,1,1035,Chordate__phylum,location_topic
1298,conj>det> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1299,conj>det> the,3,0.002,3,1035,Chordate__phylum,location_topic
1300,cop> be,3,0.002,4,1035,Chordate__phylum,location_topic
1301,det> ...,3,-0.0,2,1035,Chordate__phylum,location_topic
1302,det> a,3,0.002,5,1035,Chordate__phylum,location_topic
1303,det> all,3,-0.0,1,1035,Chordate__phylum,location_topic
1304,det> the,3,0.011,27,1035,Chordate__phylum,location_topic
1305,flat> mokarran,3,0.001,2,1035,Chordate__phylum,location_topic
1307,nmod< ...,3,0.01,22,1035,Chordate__phylum,location_topic
1308,nmod< clade,3,0.002,3,1035,Chordate__phylum,location_topic
1309,nmod< genus,3,0.001,2,1035,Chordate__phylum,location_topic
1310,nmod< predator,3,0.001,2,1035,Chordate__phylum,location_topic
1311,nmod< shark,3,0.001,2,1035,Chordate__phylum,location_topic
1312,nmod< species,3,0.001,3,1035,Chordate__phylum,location_topic
1313,nmod<amod> ...,3,0.003,9,1035,Chordate__phylum,location_topic
1314,nmod<appos< ...,3,0.002,3,1035,Chordate__phylum,location_topic
1315,nmod<case> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1316,nmod<case> in,3,0.001,2,1035,Chordate__phylum,location_topic
1317,nmod<case> of,3,0.001,2,1035,Chordate__phylum,location_topic
1318,nmod<case> to,3,-0.0,1,1035,Chordate__phylum,location_topic
1319,nmod<compound> ...,3,0.001,4,1035,Chordate__phylum,location_topic
1320,nmod<conj< ...,3,0.002,3,1035,Chordate__phylum,location_topic
1321,nmod<conj> shark,3,-0.002,2,1035,Chordate__phylum,location_topic
1323,nmod<conj>cc> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1324,nmod<conj>cc> and,3,-0.0,1,1035,Chordate__phylum,location_topic
1325,nmod<conj>compound> ...,3,-0.001,1,1035,Chordate__phylum,location_topic
1327,nmod<cop> be,3,0.003,6,1035,Chordate__phylum,location_topic
1328,nmod<det> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1329,nmod<det> a,3,0.004,7,1035,Chordate__phylum,location_topic
1330,nmod<det> the,3,0.004,8,1035,Chordate__phylum,location_topic
1331,nmod<nmod< ...,3,0.002,4,1035,Chordate__phylum,location_topic
1332,nmod<nmod<det> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1333,nmod<nmod<det> the,3,0.001,2,1035,Chordate__phylum,location_topic
1334,nmod<nmod> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1335,nmod<nmod>case> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1336,nmod<nsubj:pass< ...,3,0.002,3,1035,Chordate__phylum,location_topic
1337,nmod<nsubj:pass<advmod> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1338,nmod<nsubj:pass<aux:pass> be,3,0.002,3,1035,Chordate__phylum,location_topic
1339,nmod<nsubj:pass<obl> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1340,nmod<nsubj< ...,3,0.004,8,1035,Chordate__phylum,location_topic
1341,nmod<nsubj<amod> ...,3,0.002,4,1035,Chordate__phylum,location_topic
1342,nmod<nsubj<conj> ...,3,0.004,7,1035,Chordate__phylum,location_topic
1343,nmod<nsubj<cop> ...,3,0.001,1,1035,Chordate__phylum,location_topic
1344,nmod<nsubj<cop> be,3,0.002,4,1035,Chordate__phylum,location_topic
1345,nmod<nsubj<obl> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1346,nmod<nsubj> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1347,nmod<nsubj> shark,3,0.001,2,1035,Chordate__phylum,location_topic
1348,nmod<obj< ...,3,0.001,4,1035,Chordate__phylum,location_topic
1349,nmod<obl< ...,3,-0.0,2,1035,Chordate__phylum,location_topic
1350,nmod<parataxis> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1351,nmod> ...,3,0.006,11,1035,Chordate__phylum,location_topic
1352,nmod>amod> ...,3,0.002,3,1035,Chordate__phylum,location_topic
1353,nmod>case> ...,3,0.003,6,1035,Chordate__phylum,location_topic
1354,nmod>case> in,3,0.002,3,1035,Chordate__phylum,location_topic
1355,nmod>case> of,3,0.001,2,1035,Chordate__phylum,location_topic
1356,nmod>conj> ...,3,0.003,6,1035,Chordate__phylum,location_topic
