,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.001,3,1203,Chordate__phylum,taxongroup_comment
2,acl:relcl>advmod> ...,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
4,acl:relcl>nsubj> which,0,0.002,3,1203,Chordate__phylum,taxongroup_comment
5,acl:relcl>obj> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
6,acl:relcl>obj>compound> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
9,acl> ...,0,0.002,4,1203,Chordate__phylum,taxongroup_comment
10,acl> know,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
11,acl>advcl> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
12,acl>advcl>mark> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
14,acl>advmod> also,0,0.002,2,1203,Chordate__phylum,taxongroup_comment
15,acl>obl> ...,0,0.002,4,1203,Chordate__phylum,taxongroup_comment
16,acl>obl>amod> ...,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
17,acl>obl>case> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
18,acl>obl>case> as,0,0.003,3,1203,Chordate__phylum,taxongroup_comment
19,acl>obl>conj> ...,0,0.002,3,1203,Chordate__phylum,taxongroup_comment
20,acl>obl>det> ...,0,0.001,1,1203,Chordate__phylum,taxongroup_comment
21,acl>obl>det> the,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
22,advmod> ...,0,-0.001,2,1203,Chordate__phylum,taxongroup_comment
23,amod> ...,0,0.003,21,1203,Chordate__phylum,taxongroup_comment
26,amod> dominant,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
27,amod> great,0,-0.0,4,1203,Chordate__phylum,taxongroup_comment
28,amod> jaw,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
29,amod> large,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
30,amod> largest,0,0.003,4,1203,Chordate__phylum,taxongroup_comment
31,amod> other,0,0.001,5,1203,Chordate__phylum,taxongroup_comment
32,amod> terrestrial,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
33,amod> white,0,0.001,5,1203,Chordate__phylum,taxongroup_comment
34,amod>advmod> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
36,amod>conj> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
38,amod>conj>cc> and,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
39,appos< ...,0,0.001,5,1203,Chordate__phylum,taxongroup_comment
41,appos< fish,0,0.002,2,1203,Chordate__phylum,taxongroup_comment
42,appos< shark,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
43,appos<amod> ...,0,0.004,5,1203,Chordate__phylum,taxongroup_comment
44,appos<appos> ...,0,0.002,6,1203,Chordate__phylum,taxongroup_comment
45,appos<appos> Superclass,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
49,appos<appos>amod> ...,0,0.002,2,1203,Chordate__phylum,taxongroup_comment
51,appos<appos>compound> ...,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
53,appos<appos>flat> ...,0,0.002,3,1203,Chordate__phylum,taxongroup_comment
54,appos<appos>nummod> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
55,appos<case> ...,0,0.002,3,1203,Chordate__phylum,taxongroup_comment
56,appos<compound> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
59,appos<conj<appos> Subclass,0,0.002,2,1203,Chordate__phylum,taxongroup_comment
60,appos<conj<appos> fish,0,0.002,2,1203,Chordate__phylum,taxongroup_comment
61,appos<conj> ...,0,-0.0,3,1203,Chordate__phylum,taxongroup_comment
62,appos<conj>amod> ...,0,0.003,3,1203,Chordate__phylum,taxongroup_comment
66,appos<conj>cc> and,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
69,appos<flat> ...,0,0.004,6,1203,Chordate__phylum,taxongroup_comment
73,appos<list> ...,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
74,appos<list>nummod> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
75,appos<nsubj< ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
76,appos<obl< ...,0,0.002,3,1203,Chordate__phylum,taxongroup_comment
77,appos<obl<nsubj> ...,0,0.001,2,1203,Chordate__phylum,taxongroup_comment
78,appos<parataxis> ...,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
80,appos> ...,0,-0.0,10,1203,Chordate__phylum,taxongroup_comment
81,appos> Galeocerdo,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
83,appos> cuvier,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
86,appos> shark,0,0.002,3,1203,Chordate__phylum,taxongroup_comment
87,appos>amod> ...,0,0.001,3,1203,Chordate__phylum,taxongroup_comment
89,appos>compound> ...,0,0.003,6,1203,Chordate__phylum,taxongroup_comment
90,appos>compound> Galeocerdo,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
91,appos>compound> tiger,0,0.002,2,1203,Chordate__phylum,taxongroup_comment
95,appos>det> the,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
97,appos>flat> cuvier,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
98,case> 's,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
99,case> ...,0,-0.002,2,1203,Chordate__phylum,taxongroup_comment
100,case> as,0,0.001,3,1203,Chordate__phylum,taxongroup_comment
104,case> of,0,-0.005,5,1203,Chordate__phylum,taxongroup_comment
106,case> such,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
107,case> to,0,0.001,3,1203,Chordate__phylum,taxongroup_comment
109,case>fixed> as,0,-0.0,1,1203,Chordate__phylum,taxongroup_comment
111,cc> and,0,-0.002,2,1203,Chordate__phylum,taxongroup_comment
112,cc> or,0,0.0,1,1203,Chordate__phylum,taxongroup_comment
