feat	count	weight	rel_role	group_name
amod> ...	30.0	1.022	adaptation_comment	Chordate__phylum
case> ...	17.0	0.908	adaptation_comment	Chordate__phylum
cop> be	16.0	0.41	adaptation_comment	Chordate__phylum
nsubj> ...	16.0	0.382	adaptation_comment	Chordate__phylum
cop> ...	16.0	0.41	adaptation_comment	Chordate__phylum
nsubj>amod> ...	12.0	0.227	adaptation_comment	Chordate__phylum
nmod< ...	11.0	0.377	adaptation_comment	Chordate__phylum
nmod> ...	10.0	0.342	adaptation_comment	Chordate__phylum
amod< ...	10.0	0.205	adaptation_comment	Chordate__phylum
nmod>case> ...	9.0	0.82	adaptation_comment	Chordate__phylum
nsubj> shark	9.0	0.505	adaptation_comment	Chordate__phylum
det> ...	8.0	0.81	adaptation_comment	Chordate__phylum
compound> ...	8.0	0.409	adaptation_comment	Chordate__phylum
nsubj< ...	7.0	0.607	adaptation_comment	Chordate__phylum
conj>cc> ...	7.0	0.763	adaptation_comment	Chordate__phylum
conj> ...	7.0	0.882	adaptation_comment	Chordate__phylum
obl< ...	6.0	0.449	adaptation_comment	Chordate__phylum
nmod>amod> ...	6.0	0.352	adaptation_comment	Chordate__phylum
nmod<amod> ...	5.0	0.587	adaptation_comment	Chordate__phylum
case> for	5.0	0.804	adaptation_comment	Chordate__phylum
advcl> ...	5.0	0.349	adaptation_comment	Chordate__phylum
nsubj<conj>cc> ...	5.0	0.484	adaptation_comment	Chordate__phylum
nsubj<conj> ...	5.0	0.174	adaptation_comment	Chordate__phylum
obj<nsubj> ...	5.0	0.301	adaptation_comment	Chordate__phylum
nmod:poss> ...	5.0	0.298	adaptation_comment	Chordate__phylum
obj< ...	5.0	0.649	adaptation_comment	Chordate__phylum
advcl>obl> ...	4.0	0.267	adaptation_comment	Chordate__phylum
nmod>conj>amod> ...	4.0	0.406	adaptation_comment	Chordate__phylum
conj>cc> and	4.0	0.755	adaptation_comment	Chordate__phylum
obj< have	4.0	0.804	adaptation_comment	Chordate__phylum
nsubj<obj>amod> ...	4.0	0.307	adaptation_comment	Chordate__phylum
nsubj<obj> ...	4.0	0.372	adaptation_comment	Chordate__phylum
parataxis> ...	4.0	0.394	adaptation_comment	Chordate__phylum
nmod>conj> ...	4.0	0.532	adaptation_comment	Chordate__phylum
nmod>case> of	4.0	0.925	adaptation_comment	Chordate__phylum
nmod>det> ...	4.0	0.319	adaptation_comment	Chordate__phylum
advcl>obl>case> ...	4.0	0.439	adaptation_comment	Chordate__phylum
nsubj>det> ...	4.0	0.36	adaptation_comment	Chordate__phylum
nsubj>amod> white	3.0	0.324	adaptation_comment	Chordate__phylum
obl<conj> ...	3.0	0.457	adaptation_comment	Chordate__phylum
nmod>conj>cc> and	3.0	0.374	adaptation_comment	Chordate__phylum
advcl>obj> ...	3.0	0.499	adaptation_comment	Chordate__phylum
nmod:poss> they	3.0	0.393	adaptation_comment	Chordate__phylum
appos< ...	3.0	0.545	adaptation_comment	Chordate__phylum
nsubj>compound> ...	3.0	0.328	adaptation_comment	Chordate__phylum
nmod>compound> ...	3.0	0.326	adaptation_comment	Chordate__phylum
advmod> ...	3.0	0.625	adaptation_comment	Chordate__phylum
amod<case> ...	3.0	0.635	adaptation_comment	Chordate__phylum
conj>amod> ...	3.0	0.596	adaptation_comment	Chordate__phylum
det> a	3.0	0.892	adaptation_comment	Chordate__phylum
conj>cc> but	3.0	0.78	adaptation_comment	Chordate__phylum
obj<nsubj> they	3.0	0.45	adaptation_comment	Chordate__phylum
nmod<case> ...	3.0	0.722	adaptation_comment	Chordate__phylum
nmod>det> the	3.0	0.291	adaptation_comment	Chordate__phylum
conj>obj> ...	3.0	0.397	adaptation_comment	Chordate__phylum
nsubj<conj>cc> and	3.0	0.459	adaptation_comment	Chordate__phylum
nsubj> species	3.0	0.518	adaptation_comment	Chordate__phylum
case> of	3.0	0.959	adaptation_comment	Chordate__phylum
nmod>conj>cc> ...	3.0	0.343	adaptation_comment	Chordate__phylum
appos>det> ...	3.0	0.391	adaptation_comment	Chordate__phylum
appos> ...	3.0	0.372	adaptation_comment	Chordate__phylum
obl<mark> ...	3.0	0.545	adaptation_comment	Chordate__phylum
parataxis>nsubj> ...	3.0	0.592	adaptation_comment	Chordate__phylum
amod< behaviour	3.0	0.255	adaptation_comment	Chordate__phylum
case> to	3.0	0.926	adaptation_comment	Chordate__phylum
nsubj>det> the	3.0	0.476	adaptation_comment	Chordate__phylum
case> by	3.0	0.933	adaptation_comment	Chordate__phylum
amod<nmod<det> the	2.0	0.342	adaptation_comment	Chordate__phylum
nmod:poss>det> the	2.0	0.417	adaptation_comment	Chordate__phylum
compound<case> ...	2.0	0.34	adaptation_comment	Chordate__phylum
nmod<appos< ...	2.0	0.586	adaptation_comment	Chordate__phylum
