	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Chordate__phylum	2054
1	adaptation_comment	adaptation_topic	0.6096871449972965	Chordate__phylum	2054
2	adaptation_comment	free_topic	0.46253672244250604	Chordate__phylum	2054
3	adaptation_comment	location_comment	0.6205803872143352	Chordate__phylum	2054
4	adaptation_comment	location_topic	0.522060732647177	Chordate__phylum	2054
5	adaptation_comment	taxongroup_comment	0.4933197580645462	Chordate__phylum	2054
6	adaptation_comment	taxongroup_topic	0.49822914558176296	Chordate__phylum	2054
7	adaptation_topic	adaptation_comment	0.6096871449972965	Chordate__phylum	2054
8	adaptation_topic	adaptation_topic	0.0	Chordate__phylum	2054
9	adaptation_topic	free_topic	0.40296687385034663	Chordate__phylum	2054
10	adaptation_topic	location_comment	0.572957798557975	Chordate__phylum	2054
11	adaptation_topic	location_topic	0.3372878146557824	Chordate__phylum	2054
12	adaptation_topic	taxongroup_comment	0.3358240084072638	Chordate__phylum	2054
13	adaptation_topic	taxongroup_topic	0.34042232777386583	Chordate__phylum	2054
14	free_topic	adaptation_comment	0.46253672244250604	Chordate__phylum	2054
15	free_topic	adaptation_topic	0.40296687385034663	Chordate__phylum	2054
16	free_topic	free_topic	0.0	Chordate__phylum	2054
17	free_topic	location_comment	0.4833568641396595	Chordate__phylum	2054
18	free_topic	location_topic	0.2842268351762145	Chordate__phylum	2054
19	free_topic	taxongroup_comment	0.23290219584009958	Chordate__phylum	2054
20	free_topic	taxongroup_topic	0.24158895210173403	Chordate__phylum	2054
21	location_comment	adaptation_comment	0.6205803872143352	Chordate__phylum	2054
22	location_comment	adaptation_topic	0.572957798557975	Chordate__phylum	2054
23	location_comment	free_topic	0.4833568641396595	Chordate__phylum	2054
24	location_comment	location_comment	0.0	Chordate__phylum	2054
25	location_comment	location_topic	0.5406830625771862	Chordate__phylum	2054
26	location_comment	taxongroup_comment	0.5267293742871133	Chordate__phylum	2054
27	location_comment	taxongroup_topic	0.5386960000794925	Chordate__phylum	2054
28	location_topic	adaptation_comment	0.522060732647177	Chordate__phylum	2054
29	location_topic	adaptation_topic	0.3372878146557824	Chordate__phylum	2054
30	location_topic	free_topic	0.2842268351762145	Chordate__phylum	2054
31	location_topic	location_comment	0.5406830625771862	Chordate__phylum	2054
32	location_topic	location_topic	0.0	Chordate__phylum	2054
33	location_topic	taxongroup_comment	0.26693050866062273	Chordate__phylum	2054
34	location_topic	taxongroup_topic	0.2848025901417879	Chordate__phylum	2054
35	taxongroup_comment	adaptation_comment	0.4933197580645462	Chordate__phylum	2054
36	taxongroup_comment	adaptation_topic	0.3358240084072638	Chordate__phylum	2054
37	taxongroup_comment	free_topic	0.23290219584009958	Chordate__phylum	2054
38	taxongroup_comment	location_comment	0.5267293742871133	Chordate__phylum	2054
39	taxongroup_comment	location_topic	0.26693050866062273	Chordate__phylum	2054
40	taxongroup_comment	taxongroup_comment	0.0	Chordate__phylum	2054
41	taxongroup_comment	taxongroup_topic	0.07471566758567377	Chordate__phylum	2054
42	taxongroup_topic	adaptation_comment	0.49822914558176296	Chordate__phylum	2054
43	taxongroup_topic	adaptation_topic	0.34042232777386583	Chordate__phylum	2054
44	taxongroup_topic	free_topic	0.24158895210173403	Chordate__phylum	2054
45	taxongroup_topic	location_comment	0.5386960000794925	Chordate__phylum	2054
46	taxongroup_topic	location_topic	0.2848025901417879	Chordate__phylum	2054
47	taxongroup_topic	taxongroup_comment	0.07471566758567377	Chordate__phylum	2054
48	taxongroup_topic	taxongroup_topic	0.0	Chordate__phylum	2054
