feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<det> a,0.765,0.027,0.845,0.008,3.0,Dicotyledon__class,adaptation_comment
compound<case> of,0.721,0.044,0.764,0.027,6.0,Dicotyledon__class,adaptation_comment
compound<case> with,0.703,0.052,0.756,0.03,2.0,Dicotyledon__class,adaptation_comment
compound< plant,0.699,0.054,0.798,0.018,14.0,Dicotyledon__class,adaptation_comment
compound<compound<compound> International,0.682,0.062,0.577,0.134,2.0,Dicotyledon__class,adaptation_comment
compound<amod> ...,0.672,0.068,0.6,0.116,8.0,Dicotyledon__class,adaptation_comment
compound<nmod<det> ...,0.658,0.076,0.756,0.03,2.0,Dicotyledon__class,adaptation_comment
compound<nmod<amod> ...,-0.651,0.08,-0.732,0.039,3.0,Dicotyledon__class,adaptation_comment
compound<nmod<det> the,0.646,0.083,0.63,0.094,2.0,Dicotyledon__class,adaptation_comment
compound<case> ...,0.637,0.089,0.613,0.106,7.0,Dicotyledon__class,adaptation_comment
compound<det> the,0.628,0.095,0.672,0.068,11.0,Dicotyledon__class,adaptation_comment
compound<compound<compound> ...,0.573,0.138,0.577,0.134,2.0,Dicotyledon__class,adaptation_comment
cop> be,0.568,0.142,0.577,0.134,3.0,Dicotyledon__class,adaptation_comment
case> ...,0.565,0.144,0.592,0.122,3.0,Dicotyledon__class,adaptation_comment
compound< habit,0.534,0.173,0.504,0.203,2.0,Dicotyledon__class,adaptation_comment
compound<nmod< ...,0.502,0.205,0.546,0.162,6.0,Dicotyledon__class,adaptation_comment
compound<compound> ...,0.501,0.206,0.514,0.192,4.0,Dicotyledon__class,adaptation_comment
compound<nmod<nsubj> ...,0.499,0.209,0.546,0.162,3.0,Dicotyledon__class,adaptation_comment
compound<nmod>case> ...,0.491,0.216,0.412,0.31,3.0,Dicotyledon__class,adaptation_comment
compound< ...,0.444,0.271,0.469,0.241,9.0,Dicotyledon__class,adaptation_comment
amod<conj<advmod> ...,0.43,0.287,0.577,0.134,3.0,Dicotyledon__class,adaptation_comment
compound<obl<nsubj> ...,0.407,0.317,0.218,0.604,3.0,Dicotyledon__class,adaptation_comment
compound<nmod> ...,0.347,0.4,0.412,0.31,3.0,Dicotyledon__class,adaptation_comment
compound<nmod< species,0.344,0.404,0.412,0.31,2.0,Dicotyledon__class,adaptation_comment
compound<nmod<case> to,0.324,0.434,0.504,0.203,2.0,Dicotyledon__class,adaptation_comment
compound<det> ...,0.321,0.438,0.247,0.555,1.0,Dicotyledon__class,adaptation_comment
compound<obl< ...,0.262,0.531,0.514,0.192,4.0,Dicotyledon__class,adaptation_comment
compound<nmod< Nepenthes,0.26,0.534,0.412,0.31,2.0,Dicotyledon__class,adaptation_comment
compound<nmod<nmod> ...,-0.26,0.535,-0.343,0.406,4.0,Dicotyledon__class,adaptation_comment
compound<nmod<case> ...,0.244,0.56,0.412,0.31,2.0,Dicotyledon__class,adaptation_comment
compound<compound< faq,0.228,0.587,0.247,0.555,3.0,Dicotyledon__class,adaptation_comment
compound> ...,-0.227,0.589,-0.169,0.689,3.0,Dicotyledon__class,adaptation_comment
compound> seed,-0.189,0.653,-0.234,0.577,4.0,Dicotyledon__class,adaptation_comment
compound<compound> plant,0.178,0.673,0.126,0.766,2.0,Dicotyledon__class,adaptation_comment
compound<compound<det> the,0.166,0.695,0.412,0.31,3.0,Dicotyledon__class,adaptation_comment
nsubj> ...,0.111,0.793,-0.082,0.846,3.0,Dicotyledon__class,adaptation_comment
compound> body,-0.076,0.858,0.0,1.0,2.0,Dicotyledon__class,adaptation_comment
