feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>case> in,0.964,0.0,0.764,0.027,6,Dicotyledon__class,location_comment
conj<conj> verge,0.947,0.0,0.577,0.134,3,Dicotyledon__class,location_comment
nmod>case> ...,0.941,0.0,0.577,0.134,3,Dicotyledon__class,location_comment
nmod>case> of,0.938,0.001,0.577,0.134,6,Dicotyledon__class,location_comment
compound<case> by,0.929,0.001,0.577,0.134,2,Dicotyledon__class,location_comment
compound<case> ...,0.929,0.001,0.577,0.134,1,Dicotyledon__class,location_comment
compound<case> in,0.923,0.001,0.577,0.134,2,Dicotyledon__class,location_comment
compound<case> of,0.91,0.002,0.577,0.134,2,Dicotyledon__class,location_comment
conj<conj> woodland,0.901,0.002,0.577,0.134,4,Dicotyledon__class,location_comment
conj<conj> roadside,0.89,0.003,0.577,0.134,3,Dicotyledon__class,location_comment
nmod>amod> ...,0.883,0.004,0.655,0.078,5,Dicotyledon__class,location_comment
compound<det> the,0.882,0.004,0.577,0.134,3,Dicotyledon__class,location_comment
conj<conj> farmland,0.873,0.005,0.577,0.134,2,Dicotyledon__class,location_comment
conj> garden,0.869,0.005,0.764,0.027,3,Dicotyledon__class,location_comment
compound<nmod> ...,0.856,0.007,0.764,0.027,3,Dicotyledon__class,location_comment
conj<conj> hedgerow,0.855,0.007,0.577,0.134,2,Dicotyledon__class,location_comment
conj<conj> ...,0.853,0.007,0.164,0.699,19,Dicotyledon__class,location_comment
compound<det> ...,0.847,0.008,0.577,0.134,2,Dicotyledon__class,location_comment
conj<conj> land,0.845,0.008,0.577,0.134,2,Dicotyledon__class,location_comment
conj<conj> native,0.831,0.011,0.577,0.134,3,Dicotyledon__class,location_comment
nmod> ...,0.83,0.011,0.764,0.027,9,Dicotyledon__class,location_comment
compound< ...,0.828,0.011,0.577,0.134,10,Dicotyledon__class,location_comment
nsubj:pass<obl>case> in,0.82,0.013,0.577,0.134,2,Dicotyledon__class,location_comment
case> in,0.818,0.013,0.97,0.0,17,Dicotyledon__class,location_comment
nsubj:pass<obl>case> for,0.815,0.014,0.577,0.134,2,Dicotyledon__class,location_comment
nsubj:pass<obl>case> ...,0.808,0.015,0.577,0.134,3,Dicotyledon__class,location_comment
conj<conj> line,0.807,0.015,0.577,0.134,3,Dicotyledon__class,location_comment
nmod< ...,0.8,0.017,0.546,0.162,19,Dicotyledon__class,location_comment
nmod<case> by,0.796,0.018,0.577,0.134,2,Dicotyledon__class,location_comment
nmod> Arizona,0.796,0.018,0.577,0.134,2,Dicotyledon__class,location_comment
case> such,0.776,0.023,0.764,0.027,3,Dicotyledon__class,location_comment
nsubj:pass<obl> ...,0.765,0.027,0.577,0.134,7,Dicotyledon__class,location_comment
obl<obl>det> the,0.765,0.027,0.577,0.134,2,Dicotyledon__class,location_comment
compound<amod> ...,0.765,0.027,0.436,0.28,8,Dicotyledon__class,location_comment
nmod<case> ...,0.758,0.029,0.577,0.134,6,Dicotyledon__class,location_comment
nsubj:pass<advmod> ...,0.742,0.035,0.289,0.488,5,Dicotyledon__class,location_comment
nmod<case> of,0.733,0.039,0.577,0.134,2,Dicotyledon__class,location_comment
nmod<case> from,0.731,0.039,0.577,0.134,2,Dicotyledon__class,location_comment
case> include,0.729,0.04,0.733,0.039,3,Dicotyledon__class,location_comment
nsubj:pass<obl>amod> ...,0.727,0.041,0.577,0.134,5,Dicotyledon__class,location_comment
compound< tree,0.712,0.048,0.577,0.134,2,Dicotyledon__class,location_comment
nsubj< ...,0.712,0.048,0.511,0.196,8,Dicotyledon__class,location_comment
obl<obl>conj> ...,0.71,0.048,0.577,0.134,4,Dicotyledon__class,location_comment
conj<obl<advmod> ...,-0.705,0.051,-0.546,0.162,3,Dicotyledon__class,location_comment
conj<conj>amod> tropical,0.705,0.051,0.577,0.134,2,Dicotyledon__class,location_comment
case> on,0.69,0.058,0.733,0.039,3,Dicotyledon__class,location_comment
nmod> Normandy,0.69,0.058,0.577,0.134,2,Dicotyledon__class,location_comment
conj<conj>amod> ...,0.681,0.063,0.577,0.134,1,Dicotyledon__class,location_comment
nsubj<cop> be,0.661,0.074,0.674,0.067,4,Dicotyledon__class,location_comment
nmod<amod> ...,0.639,0.088,0.764,0.027,7,Dicotyledon__class,location_comment
obj< include,0.632,0.093,0.577,0.134,2,Dicotyledon__class,location_comment
compound< regulation,0.63,0.094,0.577,0.134,3,Dicotyledon__class,location_comment
nmod<det> the,0.627,0.096,0.577,0.134,2,Dicotyledon__class,location_comment
conj<conj>amod> semi-natural,0.627,0.096,0.577,0.134,3,Dicotyledon__class,location_comment
compound<obl< ...,-0.623,0.099,-0.577,0.134,2,Dicotyledon__class,location_comment
nmod<obl<aux:pass> be,-0.613,0.106,-0.327,0.429,3,Dicotyledon__class,location_comment
conj> scrub,0.61,0.109,0.378,0.356,2,Dicotyledon__class,location_comment
conj<amod> ...,0.609,0.109,0.546,0.162,4,Dicotyledon__class,location_comment
conj<conj>amod> open,0.604,0.113,0.63,0.094,2,Dicotyledon__class,location_comment
nmod<obl< ...,0.594,0.121,0.577,0.134,7,Dicotyledon__class,location_comment
obl<obl>case> ...,0.592,0.122,0.646,0.083,4,Dicotyledon__class,location_comment
conj<conj>amod> abandon,0.586,0.127,0.577,0.134,2,Dicotyledon__class,location_comment
compound> beech,-0.581,0.131,-0.729,0.04,4,Dicotyledon__class,location_comment
cc> ...,0.577,0.134,0.63,0.094,2,Dicotyledon__class,location_comment
det> a,0.573,0.137,0.577,0.134,4,Dicotyledon__class,location_comment
conj< grassland,0.561,0.148,0.504,0.203,2,Dicotyledon__class,location_comment
conj<nmod>case> ...,0.546,0.161,0.577,0.134,5,Dicotyledon__class,location_comment
det> the,0.536,0.171,0.434,0.283,21,Dicotyledon__class,location_comment
amod> tropical,0.534,0.173,0.577,0.134,2,Dicotyledon__class,location_comment
obl<obl>case> in,0.529,0.177,0.577,0.134,3,Dicotyledon__class,location_comment
conj<conj>compound> ...,0.529,0.177,0.733,0.039,4,Dicotyledon__class,location_comment
obl< ...,0.522,0.184,0.509,0.198,11,Dicotyledon__class,location_comment
compound<nmod< ...,0.519,0.188,0.577,0.134,3,Dicotyledon__class,location_comment
compound<obl< controlle,-0.517,0.189,-0.577,0.134,2,Dicotyledon__class,location_comment
obl<obl>amod> ...,0.507,0.2,0.514,0.192,4,Dicotyledon__class,location_comment
case> of,0.5,0.207,0.472,0.237,7,Dicotyledon__class,location_comment
conj<conj>cc> ...,0.491,0.216,0.577,0.134,1,Dicotyledon__class,location_comment
conj>cc> and,0.489,0.218,0.179,0.672,12,Dicotyledon__class,location_comment
conj<conj>cc> and,0.472,0.237,0.733,0.039,14,Dicotyledon__class,location_comment
conj<case> ...,0.471,0.239,0.504,0.203,2,Dicotyledon__class,location_comment
nsubj:pass<aux:pass> be,0.465,0.245,0.464,0.247,6,Dicotyledon__class,location_comment
det> ...,-0.464,0.247,-0.577,0.134,1,Dicotyledon__class,location_comment
acl:relcl>nsubj> which,0.461,0.251,0.327,0.429,3,Dicotyledon__class,location_comment
nsubj<advcl> ...,0.46,0.251,0.405,0.319,3,Dicotyledon__class,location_comment
obl<advmod> ...,0.449,0.264,0.495,0.212,5,Dicotyledon__class,location_comment
amod> ...,0.445,0.269,0.426,0.293,18,Dicotyledon__class,location_comment
nmod>det> the,0.441,0.274,0.327,0.429,4,Dicotyledon__class,location_comment
conj<conj>amod> similar,0.437,0.278,0.577,0.134,2,Dicotyledon__class,location_comment
conj> ...,0.436,0.281,0.1,0.814,13,Dicotyledon__class,location_comment
conj<nmod> ...,0.426,0.292,0.412,0.31,3,Dicotyledon__class,location_comment
amod> dry,0.414,0.308,0.504,0.203,2,Dicotyledon__class,location_comment
case> ...,0.412,0.311,0.344,0.405,4,Dicotyledon__class,location_comment
conj< ...,0.398,0.329,0.327,0.429,12,Dicotyledon__class,location_comment
cc> and,0.389,0.341,0.591,0.123,7,Dicotyledon__class,location_comment
obj< ...,-0.389,0.341,-0.382,0.351,6,Dicotyledon__class,location_comment
amod> open,0.381,0.351,0.378,0.356,2,Dicotyledon__class,location_comment
nmod>compound> ...,0.381,0.352,0.412,0.31,3,Dicotyledon__class,location_comment
obl<nsubj> it,0.363,0.377,0.378,0.356,2,Dicotyledon__class,location_comment
conj<conj>amod> other,0.362,0.378,0.312,0.452,3,Dicotyledon__class,location_comment
nmod<conj> ...,0.358,0.385,0.412,0.31,5,Dicotyledon__class,location_comment
conj>amod> ...,0.345,0.402,0.187,0.657,5,Dicotyledon__class,location_comment
obj< inhabit,0.339,0.411,0.412,0.31,2,Dicotyledon__class,location_comment
conj<obl< find,-0.335,0.417,-0.378,0.356,2,Dicotyledon__class,location_comment
conj<obl> ...,0.31,0.455,0.187,0.657,3,Dicotyledon__class,location_comment
