,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Bee-f189_112_Beech-1,Beech,European_Beech#species,nsubj:pass<advmod>,also,ADV,3,nsubj:pass<advmod> also,-0.3657965596714268,0.11156717332473981,Dicotyledon__class,location_topic,3,6
1,Bee-f189_12_Beech-1,Beech,European_Beech#species,nsubj:pass<advmod>,also,ADV,3,nsubj:pass<advmod> also,-0.3657965596714268,0.11156717332473981,Dicotyledon__class,location_topic,3,6
3,Hed-8dc6_131_hawthorn-16,hawthorn,Crataegus_monogyna#species,amod>,common,ADJ,15,amod> common,-0.6657788744744418,0.21060395950994698,Dicotyledon__class,location_topic,3,6
4,Elm-3ea7_100_elm-8,elm,Ulmus_procera#species,amod>,english,ADJ,7,amod> english,-0.4508258701333843,0.3500935822489385,Dicotyledon__class,location_topic,3,6
1,Bee-f189_7_beech-3,beech,European_Beech#species,amod>,european,ADJ,2,amod> european,-0.6514520661873512,0.16975952586986395,Dicotyledon__class,location_topic,3,6
6,Spr-39f8_177_kudu-14,kudu,Adenium#species,amod>,greater,ADJ,13,amod> ...,-0.625977693204031,0.13995808067511112,Dicotyledon__class,location_topic,3,6
4,Ulm-8a7b_53_elm-6,elm,Ulmus_procera#species,amod>,Atinian,ADJ,5,amod> Atinian,0.414160753269676,0.28294612006835157,Dicotyledon__class,location_topic,2,10
17,Dro-82dc_30_muscipula-2,muscipula,Venus_Flytrap#species,nsubj<appos>,one,NUM,24,nsubj<appos> ...,0.4566115751198849,-0.07101432268405357,Dicotyledon__class,location_topic,2,10
4,Ulm-8a7b_44_elm-6,elm,Ulmus_procera#species,amod>,english,ADJ,5,amod> english,0.41900906294690615,0.13323185989250427,Dicotyledon__class,location_topic,2,10
7,Ulm-8a7b_115_elm-24,elm,Ulmus_procera#species,amod>,english,ADJ,23,amod> english,0.41900906294690615,0.13323185989250427,Dicotyledon__class,location_topic,2,10
4,Bee-f189_32_beech-6,beech,European_Beech#species,amod>,european,ADJ,5,amod> european,0.7285975241741235,0.24720020721741962,Dicotyledon__class,location_topic,2,10
11,See-1516_124_plants-19,plants,Plant#kingdom,amod>,tropical,ADJ,18,amod> tropical,0.8236198767738587,0.31474020686540355,Dicotyledon__class,location_topic,2,10
