,feat,cluster,pw_entr,feat_n,N,group,relrole
2,compound< ...,0,0.008,1.0,14.0,Dicotyledon__class,adaptation_comment
4,compound< plant,0,0.052,2.0,14.0,Dicotyledon__class,adaptation_comment
9,compound<compound< faq,0,0.495,3.0,14.0,Dicotyledon__class,adaptation_comment
10,compound<compound<compound> ...,0,0.33,2.0,14.0,Dicotyledon__class,adaptation_comment
11,compound<compound<compound> International,0,0.33,2.0,14.0,Dicotyledon__class,adaptation_comment
12,compound<compound<det> the,0,0.495,3.0,14.0,Dicotyledon__class,adaptation_comment
14,compound<compound> plant,0,0.115,1.0,14.0,Dicotyledon__class,adaptation_comment
39,compound< ...,1,-0.016,2.0,45.0,Dicotyledon__class,adaptation_comment
40,compound< habit,1,0.01,1.0,45.0,Dicotyledon__class,adaptation_comment
41,compound< plant,1,0.039,6.0,45.0,Dicotyledon__class,adaptation_comment
42,compound<amod> ...,1,0.011,3.0,45.0,Dicotyledon__class,adaptation_comment
43,compound<case> ...,1,0.02,3.0,45.0,Dicotyledon__class,adaptation_comment
44,compound<case> of,1,0.03,3.0,45.0,Dicotyledon__class,adaptation_comment
50,compound<compound> ...,1,0.057,3.0,45.0,Dicotyledon__class,adaptation_comment
51,compound<compound> plant,1,0.01,1.0,45.0,Dicotyledon__class,adaptation_comment
52,compound<det> ...,1,0.025,1.0,45.0,Dicotyledon__class,adaptation_comment
53,compound<det> a,1,0.001,1.0,45.0,Dicotyledon__class,adaptation_comment
54,compound<det> the,1,-0.01,3.0,45.0,Dicotyledon__class,adaptation_comment
55,compound<nmod< ...,1,0.002,2.0,45.0,Dicotyledon__class,adaptation_comment
56,compound<nmod< Nepenthes,1,0.051,2.0,45.0,Dicotyledon__class,adaptation_comment
57,compound<nmod< species,1,0.051,2.0,45.0,Dicotyledon__class,adaptation_comment
58,compound<nmod<amod> ...,1,0.001,1.0,45.0,Dicotyledon__class,adaptation_comment
59,compound<nmod<case> ...,1,0.051,2.0,45.0,Dicotyledon__class,adaptation_comment
60,compound<nmod<case> to,1,0.01,1.0,45.0,Dicotyledon__class,adaptation_comment
61,compound<nmod<det> ...,1,0.01,1.0,45.0,Dicotyledon__class,adaptation_comment
62,compound<nmod<det> the,1,0.01,1.0,45.0,Dicotyledon__class,adaptation_comment
63,compound<nmod<nmod> ...,1,0.057,3.0,45.0,Dicotyledon__class,adaptation_comment
64,compound<nmod<nsubj> ...,1,0.033,2.0,45.0,Dicotyledon__class,adaptation_comment
69,compound> ...,1,0.001,1.0,45.0,Dicotyledon__class,adaptation_comment
112,case> ...,3,0.448,2.0,10.0,Dicotyledon__class,adaptation_comment
143,compound> ...,3,0.155,1.0,10.0,Dicotyledon__class,adaptation_comment
144,compound> body,3,0.195,1.0,10.0,Dicotyledon__class,adaptation_comment
146,cop> be,3,0.794,3.0,10.0,Dicotyledon__class,adaptation_comment
