,feat,cluster,pw_entr,feat_n,N,group,relrole
7,acl> ...,0,-0.0,1,1192,Dicotyledon__class,free_topic
14,acl>obl> ...,0,-0.0,1,1192,Dicotyledon__class,free_topic
17,acl>obl>case> in,0,0.001,1,1192,Dicotyledon__class,free_topic
18,acl>obl>compound> ...,0,0.002,2,1192,Dicotyledon__class,free_topic
19,advmod> ...,0,0.0,2,1192,Dicotyledon__class,free_topic
21,amod> ...,0,-0.001,15,1192,Dicotyledon__class,free_topic
24,amod> black,0,0.0,1,1192,Dicotyledon__class,free_topic
26,amod> greater,0,0.002,2,1192,Dicotyledon__class,free_topic
28,amod> red,0,0.001,3,1192,Dicotyledon__class,free_topic
29,amod> southern,0,-0.0,1,1192,Dicotyledon__class,free_topic
34,appos< ...,0,-0.001,2,1192,Dicotyledon__class,free_topic
77,appos<det> the,0,-0.001,1,1192,Dicotyledon__class,free_topic
92,appos<nsubj< ...,0,0.0,1,1192,Dicotyledon__class,free_topic
93,appos<nsubj<obj> ...,0,0.001,1,1192,Dicotyledon__class,free_topic
106,appos> ...,0,-0.002,2,1192,Dicotyledon__class,free_topic
116,appos>amod> ...,0,-0.0,1,1192,Dicotyledon__class,free_topic
120,appos>compound> ...,0,-0.001,1,1192,Dicotyledon__class,free_topic
131,case> in,0,-0.002,1,1192,Dicotyledon__class,free_topic
139,cc> ...,0,0.002,2,1192,Dicotyledon__class,free_topic
140,cc> and,0,0.052,41,1192,Dicotyledon__class,free_topic
142,cc> or,0,0.004,4,1192,Dicotyledon__class,free_topic
143,compound< ...,0,-0.004,2,1192,Dicotyledon__class,free_topic
211,compound<compound< ...,0,-0.001,2,1192,Dicotyledon__class,free_topic
226,compound<compound<det> the,0,0.001,2,1192,Dicotyledon__class,free_topic
229,compound<compound<nmod> ...,0,0.002,2,1192,Dicotyledon__class,free_topic
400,compound> ...,0,-0.004,9,1192,Dicotyledon__class,free_topic
405,compound> order,0,-0.0,1,1192,Dicotyledon__class,free_topic
406,compound> passion,0,0.001,2,1192,Dicotyledon__class,free_topic
407,compound> pitcher,0,-0.0,1,1192,Dicotyledon__class,free_topic
409,compound> sea,0,0.002,2,1192,Dicotyledon__class,free_topic
411,compound>amod> ...,0,0.0,1,1192,Dicotyledon__class,free_topic
415,compound>conj> ...,0,0.001,1,1192,Dicotyledon__class,free_topic
