,feat,cluster,pw_entr,feat_n,N,group,relrole
39,compound> oak,0,0.115,2,41,Dicotyledon__class,location_comment
125,nsubj:pass< ...,0,0.034,1,41,Dicotyledon__class,location_comment
126,nsubj:pass< use,0,0.135,2,41,Dicotyledon__class,location_comment
127,nsubj:pass<advcl> ...,0,0.101,2,41,Dicotyledon__class,location_comment
128,nsubj:pass<advcl>mark> ...,0,0.165,3,41,Dicotyledon__class,location_comment
129,nsubj:pass<advmod> ...,0,0.165,3,41,Dicotyledon__class,location_comment
130,nsubj:pass<aux:pass> be,0,0.152,3,41,Dicotyledon__class,location_comment
131,nsubj:pass<obl> ...,0,0.473,7,41,Dicotyledon__class,location_comment
132,nsubj:pass<obl>amod> ...,0,0.338,5,41,Dicotyledon__class,location_comment
133,nsubj:pass<obl>case> ...,0,0.203,3,41,Dicotyledon__class,location_comment
134,nsubj:pass<obl>case> for,0,0.135,2,41,Dicotyledon__class,location_comment
135,nsubj:pass<obl>case> in,0,0.135,2,41,Dicotyledon__class,location_comment
136,nsubj:pass<obl>conj> ...,0,0.203,3,41,Dicotyledon__class,location_comment
137,nsubj:pass<obl>nmod> ...,0,0.203,3,41,Dicotyledon__class,location_comment
163,acl:relcl> ...,1,0.021,1,92,Dicotyledon__class,location_comment
164,acl:relcl> provide,1,0.014,1,92,Dicotyledon__class,location_comment
165,acl:relcl>nsubj> which,1,0.034,2,92,Dicotyledon__class,location_comment
166,acl> ...,1,0.006,1,92,Dicotyledon__class,location_comment
167,amod> ...,1,-0.005,2,92,Dicotyledon__class,location_comment
172,case> ...,1,0.028,2,92,Dicotyledon__class,location_comment
173,case> in,1,0.022,4,92,Dicotyledon__class,location_comment
174,case> include,1,0.034,2,92,Dicotyledon__class,location_comment
175,case> of,1,0.015,2,92,Dicotyledon__class,location_comment
176,case> on,1,0.034,2,92,Dicotyledon__class,location_comment
177,case> such,1,0.009,1,92,Dicotyledon__class,location_comment
178,case> to,1,0.009,1,92,Dicotyledon__class,location_comment
179,case>fixed> as,1,0.009,1,92,Dicotyledon__class,location_comment
199,compound> ...,1,0.009,1,92,Dicotyledon__class,location_comment
201,compound> beech,1,0.028,2,92,Dicotyledon__class,location_comment
252,conj> ...,1,0.078,6,92,Dicotyledon__class,location_comment
253,conj> garden,1,0.034,2,92,Dicotyledon__class,location_comment
254,conj> scrub,1,0.014,1,92,Dicotyledon__class,location_comment
255,conj>amod> ...,1,0.023,2,92,Dicotyledon__class,location_comment
256,conj>cc> and,1,0.108,7,92,Dicotyledon__class,location_comment
257,conj>compound> ...,1,0.009,1,92,Dicotyledon__class,location_comment
259,det> a,1,0.006,1,92,Dicotyledon__class,location_comment
260,det> the,1,0.029,5,92,Dicotyledon__class,location_comment
261,nmod< ...,1,0.034,5,92,Dicotyledon__class,location_comment
262,nmod< breeding,1,0.043,2,92,Dicotyledon__class,location_comment
263,nmod<amod> ...,1,0.036,3,92,Dicotyledon__class,location_comment
266,nmod<case> for,1,0.034,2,92,Dicotyledon__class,location_comment
270,nmod<det> ...,1,0.021,1,92,Dicotyledon__class,location_comment
276,nmod<obl< favour,1,0.043,2,92,Dicotyledon__class,location_comment
277,nmod<obl<aux:pass> be,1,0.034,2,92,Dicotyledon__class,location_comment
278,nmod<obl<nsubj:pass> ...,1,0.034,2,92,Dicotyledon__class,location_comment
288,nsubj:pass< ...,1,0.006,1,92,Dicotyledon__class,location_comment
290,nsubj:pass<advcl> ...,1,0.006,1,92,Dicotyledon__class,location_comment
291,nsubj:pass<advcl>mark> ...,1,0.004,1,92,Dicotyledon__class,location_comment
292,nsubj:pass<advmod> ...,1,0.004,1,92,Dicotyledon__class,location_comment
293,nsubj:pass<aux:pass> be,1,0.002,1,92,Dicotyledon__class,location_comment
309,obj< inhabit,1,0.043,2,92,Dicotyledon__class,location_comment
310,obj<advmod> also,1,0.028,2,92,Dicotyledon__class,location_comment
311,obj<nsubj> ...,1,0.002,1,92,Dicotyledon__class,location_comment
313,obl< ...,1,0.064,5,92,Dicotyledon__class,location_comment
315,obl< plan,1,0.043,2,92,Dicotyledon__class,location_comment
316,obl<advmod> ...,1,0.023,2,92,Dicotyledon__class,location_comment
317,obl<nsubj> ...,1,0.004,1,92,Dicotyledon__class,location_comment
319,obl<obl> ...,1,0.0,1,92,Dicotyledon__class,location_comment
321,obl<obl>case> ...,1,0.006,1,92,Dicotyledon__class,location_comment
324,obl<obl>det> a,1,0.014,1,92,Dicotyledon__class,location_comment
330,amod> ...,2,-0.01,1,110,Dicotyledon__class,location_comment
344,cc> and,2,0.01,2,110,Dicotyledon__class,location_comment
362,compound> ...,2,0.006,1,110,Dicotyledon__class,location_comment
366,conj< ...,2,0.011,3,110,Dicotyledon__class,location_comment
367,conj< grassland,2,0.01,1,110,Dicotyledon__class,location_comment
368,conj< habitat,2,0.049,3,110,Dicotyledon__class,location_comment
369,conj<amod> ...,2,0.004,1,110,Dicotyledon__class,location_comment
370,conj<amod> disturb,2,0.049,3,110,Dicotyledon__class,location_comment
371,conj<case> ...,2,0.01,1,110,Dicotyledon__class,location_comment
372,conj<case> in,2,0.002,1,110,Dicotyledon__class,location_comment
373,conj<conj> ...,2,0.145,12,110,Dicotyledon__class,location_comment
374,conj<conj> farmland,2,0.032,2,110,Dicotyledon__class,location_comment
376,conj<conj> hedgerow,2,0.032,2,110,Dicotyledon__class,location_comment
377,conj<conj> land,2,0.032,2,110,Dicotyledon__class,location_comment
378,conj<conj> line,2,0.049,3,110,Dicotyledon__class,location_comment
379,conj<conj> native,2,0.049,3,110,Dicotyledon__class,location_comment
380,conj<conj> roadside,2,0.049,3,110,Dicotyledon__class,location_comment
381,conj<conj> verge,2,0.049,3,110,Dicotyledon__class,location_comment
382,conj<conj> woodland,2,0.065,4,110,Dicotyledon__class,location_comment
383,conj<conj>amod> ...,2,0.016,1,110,Dicotyledon__class,location_comment
384,conj<conj>amod> abandon,2,0.032,2,110,Dicotyledon__class,location_comment
385,conj<conj>amod> open,2,0.01,1,110,Dicotyledon__class,location_comment
386,conj<conj>amod> other,2,0.006,1,110,Dicotyledon__class,location_comment
387,conj<conj>amod> semi-natural,2,0.049,3,110,Dicotyledon__class,location_comment
388,conj<conj>amod> similar,2,0.032,2,110,Dicotyledon__class,location_comment
389,conj<conj>amod> tropical,2,0.032,2,110,Dicotyledon__class,location_comment
391,conj<conj>cc> and,2,0.202,13,110,Dicotyledon__class,location_comment
392,conj<conj>compound> ...,2,0.041,3,110,Dicotyledon__class,location_comment
393,conj<conj>compound> brownfield,2,0.032,2,110,Dicotyledon__class,location_comment
394,conj<conj>compound> railway,2,0.049,3,110,Dicotyledon__class,location_comment
396,conj<nmod> plantation,2,0.049,3,110,Dicotyledon__class,location_comment
398,conj<nmod>case> such,2,0.049,3,110,Dicotyledon__class,location_comment
399,conj<nmod>compound> forest,2,0.049,3,110,Dicotyledon__class,location_comment
401,conj<obj< invades,2,0.049,3,110,Dicotyledon__class,location_comment
403,conj<obj<advmod> readily,2,0.049,3,110,Dicotyledon__class,location_comment
404,conj<obj<nsubj> it,2,0.041,3,110,Dicotyledon__class,location_comment
405,conj<obl< ...,2,0.004,1,110,Dicotyledon__class,location_comment
406,conj<obl< find,2,0.01,1,110,Dicotyledon__class,location_comment
407,conj<obl<advmod> ...,2,0.006,1,110,Dicotyledon__class,location_comment
408,conj<obl<aux:pass> be,2,0.006,1,110,Dicotyledon__class,location_comment
409,conj<obl<aux> ...,2,0.01,1,110,Dicotyledon__class,location_comment
410,conj<obl<aux> will,2,0.01,1,110,Dicotyledon__class,location_comment
411,conj<obl<nsubj:pass> ...,2,0.006,1,110,Dicotyledon__class,location_comment
412,conj<obl<nsubj> ...,2,0.006,1,110,Dicotyledon__class,location_comment
498,case> ...,3,0.037,1,39,Dicotyledon__class,location_comment
499,case> in,3,0.084,3,39,Dicotyledon__class,location_comment
526,compound> Kalahari,3,0.044,1,39,Dicotyledon__class,location_comment
578,conj> ...,3,0.007,1,39,Dicotyledon__class,location_comment
579,conj> garden,3,0.044,1,39,Dicotyledon__class,location_comment
582,conj>cc> and,3,0.009,1,39,Dicotyledon__class,location_comment
583,conj>compound> ...,3,0.044,1,39,Dicotyledon__class,location_comment
586,det> the,3,0.024,2,39,Dicotyledon__class,location_comment
627,nsubj< ...,3,0.019,1,39,Dicotyledon__class,location_comment
631,nsubj<cop> be,3,0.037,1,39,Dicotyledon__class,location_comment
633,obj< ...,3,0.026,1,39,Dicotyledon__class,location_comment
637,obj<nsubj> ...,3,0.026,1,39,Dicotyledon__class,location_comment
639,obl< ...,3,0.117,3,39,Dicotyledon__class,location_comment
642,obl<advmod> ...,3,0.098,2,39,Dicotyledon__class,location_comment
643,obl<nsubj> ...,3,0.031,1,39,Dicotyledon__class,location_comment
644,obl<nsubj> it,3,0.055,1,39,Dicotyledon__class,location_comment
645,obl<obl> ...,3,0.232,4,39,Dicotyledon__class,location_comment
646,obl<obl>amod> ...,3,0.195,3,39,Dicotyledon__class,location_comment
647,obl<obl>case> ...,3,0.037,1,39,Dicotyledon__class,location_comment
648,obl<obl>case> in,3,0.217,3,39,Dicotyledon__class,location_comment
649,obl<obl>conj> ...,3,0.289,4,39,Dicotyledon__class,location_comment
651,obl<obl>det> the,3,0.145,2,39,Dicotyledon__class,location_comment
658,amod> open,4,0.032,1,56,Dicotyledon__class,location_comment
662,case> in,4,-0.007,1,56,Dicotyledon__class,location_comment
669,cc> ...,4,0.032,1,56,Dicotyledon__class,location_comment
670,cc> and,4,0.043,2,56,Dicotyledon__class,location_comment
692,conj< ...,4,0.097,4,56,Dicotyledon__class,location_comment
693,conj< grassland,4,0.032,1,56,Dicotyledon__class,location_comment
695,conj<amod> ...,4,0.116,3,56,Dicotyledon__class,location_comment
697,conj<case> ...,4,0.032,1,56,Dicotyledon__class,location_comment
698,conj<case> in,4,0.055,2,56,Dicotyledon__class,location_comment
699,conj<conj> ...,4,0.064,4,56,Dicotyledon__class,location_comment
701,conj<conj> garden,4,0.032,1,56,Dicotyledon__class,location_comment
711,conj<conj>amod> open,4,0.032,1,56,Dicotyledon__class,location_comment
712,conj<conj>amod> other,4,0.073,2,56,Dicotyledon__class,location_comment
716,conj<conj>cc> ...,4,0.044,1,56,Dicotyledon__class,location_comment
717,conj<conj>cc> and,4,-0.003,1,56,Dicotyledon__class,location_comment
718,conj<conj>compound> ...,4,0.019,1,56,Dicotyledon__class,location_comment
721,conj<nmod> ...,4,0.132,3,56,Dicotyledon__class,location_comment
723,conj<nmod>case> ...,4,0.22,5,56,Dicotyledon__class,location_comment
726,conj<obj< ...,4,0.044,1,56,Dicotyledon__class,location_comment
728,conj<obj<advmod> ...,4,0.044,1,56,Dicotyledon__class,location_comment
730,conj<obj<nsubj> it,4,0.019,1,56,Dicotyledon__class,location_comment
731,conj<obl< ...,4,0.063,2,56,Dicotyledon__class,location_comment
734,conj<obl<aux:pass> be,4,0.024,1,56,Dicotyledon__class,location_comment
736,conj<obl<aux> will,4,0.032,1,56,Dicotyledon__class,location_comment
737,conj<obl<nsubj:pass> ...,4,0.024,1,56,Dicotyledon__class,location_comment
738,conj<obl<nsubj> ...,4,0.024,1,56,Dicotyledon__class,location_comment
739,conj<obl> ...,4,0.073,2,56,Dicotyledon__class,location_comment
740,conj<obl>case> in,4,0.073,2,56,Dicotyledon__class,location_comment
748,det> a,4,0.019,1,56,Dicotyledon__class,location_comment
749,det> the,4,-0.01,1,56,Dicotyledon__class,location_comment
790,nsubj< ...,4,0.007,1,56,Dicotyledon__class,location_comment
791,nsubj<advcl> ...,4,0.073,2,56,Dicotyledon__class,location_comment
792,nsubj<advcl>mark> ...,4,0.073,2,56,Dicotyledon__class,location_comment
795,nsubj<obj> ...,4,0.019,1,56,Dicotyledon__class,location_comment
818,acl> ...,5,0.001,1,149,Dicotyledon__class,location_comment
819,amod> ...,5,0.007,5,149,Dicotyledon__class,location_comment
820,amod> dry,5,0.005,1,149,Dicotyledon__class,location_comment
821,amod> open,5,0.005,1,149,Dicotyledon__class,location_comment
822,amod> subtropical,5,0.005,1,149,Dicotyledon__class,location_comment
